danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.563,0.603,7,-8.06,0,0.0299,0.0208,4.38e-05,0.169,0.365,94.582,audio_features,7BveOHNCRW3FqnAtA2Gnb0,spotify:track:7BveOHNCRW3FqnAtA2Gnb0,https://api.spotify.com/v1/tracks/7BveOHNCRW3FqnAtA2Gnb0,https://api.spotify.com/v1/audio-analysis/7BveOHNCRW3FqnAtA2Gnb0,209440,4
0.749,0.383,8,-8.466,1,0.031,0.284,0.296,0.279,0.45,97.243,audio_features,5mayqRLrBYxucQ5fXgZ2eY,spotify:track:5mayqRLrBYxucQ5fXgZ2eY,https://api.spotify.com/v1/tracks/5mayqRLrBYxucQ5fXgZ2eY,https://api.spotify.com/v1/audio-analysis/5mayqRLrBYxucQ5fXgZ2eY,151927,4
0.603,0.606,3,-5.06,0,0.0688,0.0108,0.00157,0.108,0.403,93.06,audio_features,6OHWgUuDDedHRVhcg8vlaf,spotify:track:6OHWgUuDDedHRVhcg8vlaf,https://api.spotify.com/v1/tracks/6OHWgUuDDedHRVhcg8vlaf,https://api.spotify.com/v1/audio-analysis/6OHWgUuDDedHRVhcg8vlaf,167173,4
0.422,0.425,4,-5.666,0,0.0348,0.539,0,0.166,0.417,151.929,audio_features,4qHqXwMeGEGKxYgMvUTO6A,spotify:track:4qHqXwMeGEGKxYgMvUTO6A,https://api.spotify.com/v1/tracks/4qHqXwMeGEGKxYgMvUTO6A,https://api.spotify.com/v1/audio-analysis/4qHqXwMeGEGKxYgMvUTO6A,232107,3
0.751,0.713,1,-7.333,1,0.0544,0.156,9.59e-05,0.0508,0.906,100.856,audio_features,1SHA4IJyiyNobDOrQzFFXy,spotify:track:1SHA4IJyiyNobDOrQzFFXy,https://api.spotify.com/v1/tracks/1SHA4IJyiyNobDOrQzFFXy,https://api.spotify.com/v1/audio-analysis/1SHA4IJyiyNobDOrQzFFXy,190802,4
0.591,0.797,7,-3.544,0,0.109,0.0994,0,0.0797,0.768,89.968,audio_features,6ht5cDaJsrvWXCOd0vkIsX,spotify:track:6ht5cDaJsrvWXCOd0vkIsX,https://api.spotify.com/v1/tracks/6ht5cDaJsrvWXCOd0vkIsX,https://api.spotify.com/v1/audio-analysis/6ht5cDaJsrvWXCOd0vkIsX,229467,4
0.563,0.654,11,-6.052,0,0.0357,0.233,0.000179,0.108,0.736,96.044,audio_features,1qCuOj9vIku6yHw2m3maPf,spotify:track:1qCuOj9vIku6yHw2m3maPf,https://api.spotify.com/v1/tracks/1qCuOj9vIku6yHw2m3maPf,https://api.spotify.com/v1/audio-analysis/1qCuOj9vIku6yHw2m3maPf,234806,4
0.398,0.316,1,-7.031,1,0.0368,0.805,0,0.295,0.174,118.582,audio_features,0tV8pOpiNsKqUys0ilUcXz,spotify:track:0tV8pOpiNsKqUys0ilUcXz,https://api.spotify.com/v1/tracks/0tV8pOpiNsKqUys0ilUcXz,https://api.spotify.com/v1/audio-analysis/0tV8pOpiNsKqUys0ilUcXz,253342,4
0.843,0.431,1,-9.486,0,0.0692,0.36,3.77e-05,0.297,0.389,97.993,audio_features,4WtOFEQOJ3TOPL9iRKWJ95,spotify:track:4WtOFEQOJ3TOPL9iRKWJ95,https://api.spotify.com/v1/tracks/4WtOFEQOJ3TOPL9iRKWJ95,https://api.spotify.com/v1/audio-analysis/4WtOFEQOJ3TOPL9iRKWJ95,218501,4
0.853,0.681,0,-5.003,1,0.0888,0.00966,5.71e-05,0.0233,0.93,115.004,audio_features,4rmPQGwcLQjCoFq5NrTA0D,spotify:track:4rmPQGwcLQjCoFq5NrTA0D,https://api.spotify.com/v1/tracks/4rmPQGwcLQjCoFq5NrTA0D,https://api.spotify.com/v1/audio-analysis/4rmPQGwcLQjCoFq5NrTA0D,270627,4
