danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.341,0.954,7,-4.745,0,0.082,1.24e-05,0.0234,0.0308,0.23,161.858,audio_features,60S9ymObD44uj4KTDUGIXV,spotify:track:60S9ymObD44uj4KTDUGIXV,https://api.spotify.com/v1/tracks/60S9ymObD44uj4KTDUGIXV,https://api.spotify.com/v1/audio-analysis/60S9ymObD44uj4KTDUGIXV,249533,3
0.547,0.962,5,-4.268,1,0.104,6.97e-06,0.00167,0.449,0.381,136.005,audio_features,2VFPz0AlNfD0ntr59gfS1q,spotify:track:2VFPz0AlNfD0ntr59gfS1q,https://api.spotify.com/v1/tracks/2VFPz0AlNfD0ntr59gfS1q,https://api.spotify.com/v1/audio-analysis/2VFPz0AlNfD0ntr59gfS1q,302135,4
0.544,0.936,9,-5.269,0,0.0642,3.54e-05,0.0281,0.126,0.193,139.99,audio_features,65b1ds24VRmAsCAWef8RgQ,spotify:track:65b1ds24VRmAsCAWef8RgQ,https://api.spotify.com/v1/tracks/65b1ds24VRmAsCAWef8RgQ,https://api.spotify.com/v1/audio-analysis/65b1ds24VRmAsCAWef8RgQ,218720,4
0.223,0.938,10,-3.22,0,0.088,0.000878,0,0.118,0.19,92.536,audio_features,4IgWyUK9Y7lnWBocThbVRB,spotify:track:4IgWyUK9Y7lnWBocThbVRB,https://api.spotify.com/v1/tracks/4IgWyUK9Y7lnWBocThbVRB,https://api.spotify.com/v1/audio-analysis/4IgWyUK9Y7lnWBocThbVRB,312310,4
0.363,0.988,10,-3.207,0,0.0922,0.000255,0.0462,0.615,0.0857,89.944,audio_features,2MjJHuYIFlzQrobIEgPBxv,spotify:track:2MjJHuYIFlzQrobIEgPBxv,https://api.spotify.com/v1/tracks/2MjJHuYIFlzQrobIEgPBxv,https://api.spotify.com/v1/audio-analysis/2MjJHuYIFlzQrobIEgPBxv,223507,4
0.46,0.876,5,-5.39,1,0.045,6.85e-05,0.798,0.151,0.499,164.992,audio_features,5gNyrx8elXaXXs3vFC1ufZ,spotify:track:5gNyrx8elXaXXs3vFC1ufZ,https://api.spotify.com/v1/tracks/5gNyrx8elXaXXs3vFC1ufZ,https://api.spotify.com/v1/audio-analysis/5gNyrx8elXaXXs3vFC1ufZ,263787,3
0.497,0.978,11,-4.356,0,0.072,0.000367,0,0.389,0.69,92.022,audio_features,2iQoaliksvoEBhldqjYPgL,spotify:track:2iQoaliksvoEBhldqjYPgL,https://api.spotify.com/v1/tracks/2iQoaliksvoEBhldqjYPgL,https://api.spotify.com/v1/audio-analysis/2iQoaliksvoEBhldqjYPgL,225263,4
0.452,0.961,11,-3.085,0,0.0738,0.000443,1.15e-05,0.44,0.547,162.036,audio_features,0VGNnnuZRtbPL8vy6hIit8,spotify:track:0VGNnnuZRtbPL8vy6hIit8,https://api.spotify.com/v1/tracks/0VGNnnuZRtbPL8vy6hIit8,https://api.spotify.com/v1/audio-analysis/0VGNnnuZRtbPL8vy6hIit8,220640,4
0.408,0.953,7,-3.883,1,0.226,0.00532,0,0.338,0.291,177.94,audio_features,3KWW3wKaQviTplvq6cFYFR,spotify:track:3KWW3wKaQviTplvq6cFYFR,https://api.spotify.com/v1/tracks/3KWW3wKaQviTplvq6cFYFR,https://api.spotify.com/v1/audio-analysis/3KWW3wKaQviTplvq6cFYFR,272666,4
0.502,0.971,7,-5.586,1,0.0749,5.26e-05,1.5e-05,0.0689,0.454,134.998,audio_features,7y7zF5PJTUxiSpqxOWrntI,spotify:track:7y7zF5PJTUxiSpqxOWrntI,https://api.spotify.com/v1/tracks/7y7zF5PJTUxiSpqxOWrntI,https://api.spotify.com/v1/audio-analysis/7y7zF5PJTUxiSpqxOWrntI,190107,4
0.607,0.917,4,-5.46,0,0.0355,0.000515,4.59e-05,0.433,0.745,127.022,audio_features,7gBeH3BlWg6Af7nJoxp20o,spotify:track:7gBeH3BlWg6Af7nJoxp20o,https://api.spotify.com/v1/tracks/7gBeH3BlWg6Af7nJoxp20o,https://api.spotify.com/v1/audio-analysis/7gBeH3BlWg6Af7nJoxp20o,244147,4
0.344,0.903,8,-5.018,1,0.11,6.16e-05,0.0322,0.168,0.218,175.158,audio_features,5xkCIUh6FuM4IKclognX7H,spotify:track:5xkCIUh6FuM4IKclognX7H,https://api.spotify.com/v1/tracks/5xkCIUh6FuM4IKclognX7H,https://api.spotify.com/v1/audio-analysis/5xkCIUh6FuM4IKclognX7H,253147,4
0.569,0.986,7,-4.027,1,0.0671,0.000157,5.32e-06,0.367,0.403,108.001,audio_features,3pTznNiAK5Cy4tSFBOAe6K,spotify:track:3pTznNiAK5Cy4tSFBOAe6K,https://api.spotify.com/v1/tracks/3pTznNiAK5Cy4tSFBOAe6K,https://api.spotify.com/v1/audio-analysis/3pTznNiAK5Cy4tSFBOAe6K,181427,4
0.479,0.982,8,-5.331,1,0.0768,1.76e-05,0.00232,0.359,0.18,115.002,audio_features,66XaFU18IE6vnQ7U1CzvXi,spotify:track:66XaFU18IE6vnQ7U1CzvXi,https://api.spotify.com/v1/tracks/66XaFU18IE6vnQ7U1CzvXi,https://api.spotify.com/v1/audio-analysis/66XaFU18IE6vnQ7U1CzvXi,331612,4
0.491,0.985,4,-4.992,0,0.0846,0.000283,1.1e-06,0.101,0.311,119.956,audio_features,1q3fFNDzygHVJ4s5ntnw9q,spotify:track:1q3fFNDzygHVJ4s5ntnw9q,https://api.spotify.com/v1/tracks/1q3fFNDzygHVJ4s5ntnw9q,https://api.spotify.com/v1/audio-analysis/1q3fFNDzygHVJ4s5ntnw9q,301973,4
0.212,0.97,7,-4.68,1,0.132,3.01e-05,2.83e-06,0.0682,0.349,152.577,audio_features,2Cv8fs0SPLX1XaLQ80Lvds,spotify:track:2Cv8fs0SPLX1XaLQ80Lvds,https://api.spotify.com/v1/tracks/2Cv8fs0SPLX1XaLQ80Lvds,https://api.spotify.com/v1/audio-analysis/2Cv8fs0SPLX1XaLQ80Lvds,267998,4
0.519,0.961,5,-4.578,0,0.0476,7.09e-05,0,0.0622,0.28,94.984,audio_features,1XVSlao4og2AqjgXphuJoi,spotify:track:1XVSlao4og2AqjgXphuJoi,https://api.spotify.com/v1/tracks/1XVSlao4og2AqjgXphuJoi,https://api.spotify.com/v1/audio-analysis/1XVSlao4og2AqjgXphuJoi,243474,4
0.361,0.917,4,-4.607,0,0.264,0.000121,0.431,0.166,0.291,147.48,audio_features,7wSsK6lLHbkEq6JO4GFfCg,spotify:track:7wSsK6lLHbkEq6JO4GFfCg,https://api.spotify.com/v1/tracks/7wSsK6lLHbkEq6JO4GFfCg,https://api.spotify.com/v1/audio-analysis/7wSsK6lLHbkEq6JO4GFfCg,228667,4
0.178,0.948,11,-3.556,0,0.133,0.00483,0,0.105,0.236,165.752,audio_features,5PKlQ1LqbjVhoxpuKwBRYt,spotify:track:5PKlQ1LqbjVhoxpuKwBRYt,https://api.spotify.com/v1/tracks/5PKlQ1LqbjVhoxpuKwBRYt,https://api.spotify.com/v1/audio-analysis/5PKlQ1LqbjVhoxpuKwBRYt,234360,4
0.465,0.968,8,-3.772,1,0.112,0.00606,6.6e-06,0.508,0.224,94.964,audio_features,07M2kcdsRiZK9CwCQH2GOI,spotify:track:07M2kcdsRiZK9CwCQH2GOI,https://api.spotify.com/v1/tracks/07M2kcdsRiZK9CwCQH2GOI,https://api.spotify.com/v1/audio-analysis/07M2kcdsRiZK9CwCQH2GOI,228000,4
0.484,0.925,10,-4.01,0,0.0992,0.000157,1.67e-05,0.181,0.278,95.063,audio_features,6aqz1BxKt4IBtkVYU06SPD,spotify:track:6aqz1BxKt4IBtkVYU06SPD,https://api.spotify.com/v1/tracks/6aqz1BxKt4IBtkVYU06SPD,https://api.spotify.com/v1/audio-analysis/6aqz1BxKt4IBtkVYU06SPD,201173,4
0.576,0.989,2,-1.909,1,0.112,0.00252,0.0032,0.0243,0.352,135.093,audio_features,2MvIMgtWyK88OiPi0J8Dg3,spotify:track:2MvIMgtWyK88OiPi0J8Dg3,https://api.spotify.com/v1/tracks/2MvIMgtWyK88OiPi0J8Dg3,https://api.spotify.com/v1/audio-analysis/2MvIMgtWyK88OiPi0J8Dg3,283400,4
0.458,0.99,8,-3.717,1,0.183,0.000285,0.000893,0.454,0.46,166.904,audio_features,5N0ToFp1DWQnG3EX24TNPs,spotify:track:5N0ToFp1DWQnG3EX24TNPs,https://api.spotify.com/v1/tracks/5N0ToFp1DWQnG3EX24TNPs,https://api.spotify.com/v1/audio-analysis/5N0ToFp1DWQnG3EX24TNPs,211430,4
0.565,0.977,2,-3.326,1,0.041,0.000118,0.32,0.318,0.168,99.996,audio_features,4Vx6tR3XWkOVw7GvqJGmWF,spotify:track:4Vx6tR3XWkOVw7GvqJGmWF,https://api.spotify.com/v1/tracks/4Vx6tR3XWkOVw7GvqJGmWF,https://api.spotify.com/v1/audio-analysis/4Vx6tR3XWkOVw7GvqJGmWF,325200,4
0.423,0.993,4,-3.341,0,0.0603,3.53e-05,0.0267,0.0756,0.426,95.116,audio_features,3dcvwpAqj1kNOiXzbloC1n,spotify:track:3dcvwpAqj1kNOiXzbloC1n,https://api.spotify.com/v1/tracks/3dcvwpAqj1kNOiXzbloC1n,https://api.spotify.com/v1/audio-analysis/3dcvwpAqj1kNOiXzbloC1n,388625,4
0.485,0.987,4,-3.1,1,0.0738,2.08e-05,0,0.267,0.272,123.576,audio_features,5nRBTzF9dLIlNqnl0xWo9g,spotify:track:5nRBTzF9dLIlNqnl0xWo9g,https://api.spotify.com/v1/tracks/5nRBTzF9dLIlNqnl0xWo9g,https://api.spotify.com/v1/audio-analysis/5nRBTzF9dLIlNqnl0xWo9g,224906,4
0.487,0.987,1,-4.71,1,0.0812,0.000651,0.0506,0.284,0.499,180.065,audio_features,5hQfs9spSyXUavvPe7jmgn,spotify:track:5hQfs9spSyXUavvPe7jmgn,https://api.spotify.com/v1/tracks/5hQfs9spSyXUavvPe7jmgn,https://api.spotify.com/v1/audio-analysis/5hQfs9spSyXUavvPe7jmgn,161627,4
0.52,0.946,1,-3.311,0,0.138,7.85e-05,0.0703,0.0562,0.408,114.997,audio_features,1TnmR2CWvNOxJFvXrRs9t7,spotify:track:1TnmR2CWvNOxJFvXrRs9t7,https://api.spotify.com/v1/tracks/1TnmR2CWvNOxJFvXrRs9t7,https://api.spotify.com/v1/audio-analysis/1TnmR2CWvNOxJFvXrRs9t7,205787,4
0.477,0.94,9,-3.435,1,0.103,0.000211,0.0518,0.346,0.338,76.517,audio_features,1yYr4D1KjhhyDD5bZIiFQy,spotify:track:1yYr4D1KjhhyDD5bZIiFQy,https://api.spotify.com/v1/tracks/1yYr4D1KjhhyDD5bZIiFQy,https://api.spotify.com/v1/audio-analysis/1yYr4D1KjhhyDD5bZIiFQy,302467,4
0.409,0.992,3,-2.803,0,0.108,4.82e-05,2.03e-06,0.1,0.344,149.859,audio_features,3HhaSocKwTptze7PySNZlW,spotify:track:3HhaSocKwTptze7PySNZlW,https://api.spotify.com/v1/tracks/3HhaSocKwTptze7PySNZlW,https://api.spotify.com/v1/audio-analysis/3HhaSocKwTptze7PySNZlW,200677,4
0.5,0.947,7,-5.75,0,0.122,0.000597,0.00223,0.125,0.267,120.021,audio_features,67AwhpUrZfSLwK2ekFptmM,spotify:track:67AwhpUrZfSLwK2ekFptmM,https://api.spotify.com/v1/tracks/67AwhpUrZfSLwK2ekFptmM,https://api.spotify.com/v1/audio-analysis/67AwhpUrZfSLwK2ekFptmM,221974,4
0.48,0.988,11,-3.229,0,0.0838,3.17e-05,0.00432,0.389,0.252,124.041,audio_features,6ImePfz0yslIWLPQ7cQIYA,spotify:track:6ImePfz0yslIWLPQ7cQIYA,https://api.spotify.com/v1/tracks/6ImePfz0yslIWLPQ7cQIYA,https://api.spotify.com/v1/audio-analysis/6ImePfz0yslIWLPQ7cQIYA,263587,4
0.284,0.955,11,-4.108,0,0.0722,1.02e-05,0.018,0.248,0.313,97.78,audio_features,7f9413SGJveISMbg5keXaX,spotify:track:7f9413SGJveISMbg5keXaX,https://api.spotify.com/v1/tracks/7f9413SGJveISMbg5keXaX,https://api.spotify.com/v1/audio-analysis/7f9413SGJveISMbg5keXaX,234520,3
0.423,0.982,2,-4.577,1,0.0781,3.83e-06,0.202,0.319,0.421,127.901,audio_features,2OtfLGA4fIPuFw1bd254PA,spotify:track:2OtfLGA4fIPuFw1bd254PA,https://api.spotify.com/v1/tracks/2OtfLGA4fIPuFw1bd254PA,https://api.spotify.com/v1/audio-analysis/2OtfLGA4fIPuFw1bd254PA,212893,4
0.341,0.912,6,-5.465,1,0.0936,0.000173,0,0.216,0.352,170.057,audio_features,74XK6loeWil2omwM9VMZdi,spotify:track:74XK6loeWil2omwM9VMZdi,https://api.spotify.com/v1/tracks/74XK6loeWil2omwM9VMZdi,https://api.spotify.com/v1/audio-analysis/74XK6loeWil2omwM9VMZdi,241560,4
0.49,0.972,10,-4.518,0,0.111,0.000188,0.0299,0.368,0.376,95.012,audio_features,5PXjboZvWr7by2uvU6K7IV,spotify:track:5PXjboZvWr7by2uvU6K7IV,https://api.spotify.com/v1/tracks/5PXjboZvWr7by2uvU6K7IV,https://api.spotify.com/v1/audio-analysis/5PXjboZvWr7by2uvU6K7IV,238491,4
0.422,0.97,9,-6.214,1,0.13,0.000507,2.14e-06,0.395,0.363,76.019,audio_features,59FnMRoeGa8RWrP2dAO9EJ,spotify:track:59FnMRoeGa8RWrP2dAO9EJ,https://api.spotify.com/v1/tracks/59FnMRoeGa8RWrP2dAO9EJ,https://api.spotify.com/v1/audio-analysis/59FnMRoeGa8RWrP2dAO9EJ,228232,4
0.382,0.98,1,-2.943,0,0.112,0.00214,0,0.0634,0.189,78.989,audio_features,3SQse8mAM1eRFDI3h6zjEO,spotify:track:3SQse8mAM1eRFDI3h6zjEO,https://api.spotify.com/v1/tracks/3SQse8mAM1eRFDI3h6zjEO,https://api.spotify.com/v1/audio-analysis/3SQse8mAM1eRFDI3h6zjEO,205773,4
0.433,0.996,11,-1.754,1,0.151,0.000435,0.000173,0.0832,0.063,171.985,audio_features,2yoCtR2C0sMFgII70RosuY,spotify:track:2yoCtR2C0sMFgII70RosuY,https://api.spotify.com/v1/tracks/2yoCtR2C0sMFgII70RosuY,https://api.spotify.com/v1/audio-analysis/2yoCtR2C0sMFgII70RosuY,328000,4
0.292,0.972,0,-5.028,0,0.274,1.84e-05,0.000207,0.0868,0.0397,108.013,audio_features,3taSzWrlMYIkSjTeIbQptk,spotify:track:3taSzWrlMYIkSjTeIbQptk,https://api.spotify.com/v1/tracks/3taSzWrlMYIkSjTeIbQptk,https://api.spotify.com/v1/audio-analysis/3taSzWrlMYIkSjTeIbQptk,265336,3
0.299,0.993,6,-2.553,1,0.193,0.000923,0.000626,0.176,0.182,94.962,audio_features,5byPquq8wcmayT8J7wsAKb,spotify:track:5byPquq8wcmayT8J7wsAKb,https://api.spotify.com/v1/tracks/5byPquq8wcmayT8J7wsAKb,https://api.spotify.com/v1/audio-analysis/5byPquq8wcmayT8J7wsAKb,229453,4
0.403,0.97,0,-4.371,0,0.368,0.00155,1.45e-06,0.113,0.129,150.091,audio_features,5nnXcuB7TusVn0KRhDHi91,spotify:track:5nnXcuB7TusVn0KRhDHi91,https://api.spotify.com/v1/tracks/5nnXcuB7TusVn0KRhDHi91,https://api.spotify.com/v1/audio-analysis/5nnXcuB7TusVn0KRhDHi91,251213,4
0.423,0.985,3,-3.971,0,0.101,1.77e-05,0,0.366,0.162,101.497,audio_features,5jr7HBFD9yryABMbPd4aJR,spotify:track:5jr7HBFD9yryABMbPd4aJR,https://api.spotify.com/v1/tracks/5jr7HBFD9yryABMbPd4aJR,https://api.spotify.com/v1/audio-analysis/5jr7HBFD9yryABMbPd4aJR,182293,4
0.303,0.971,0,-4.496,1,0.31,2.3e-05,0.000174,0.383,0.172,193.97,audio_features,6Ry06zv8MRr0IiRsWsh5Gt,spotify:track:6Ry06zv8MRr0IiRsWsh5Gt,https://api.spotify.com/v1/tracks/6Ry06zv8MRr0IiRsWsh5Gt,https://api.spotify.com/v1/audio-analysis/6Ry06zv8MRr0IiRsWsh5Gt,189427,4
0.447,0.977,8,-3.07,1,0.138,0.000281,0.00233,0.128,0.0778,129.928,audio_features,2dqIYIjt6N0L4I1u5e4Asj,spotify:track:2dqIYIjt6N0L4I1u5e4Asj,https://api.spotify.com/v1/tracks/2dqIYIjt6N0L4I1u5e4Asj,https://api.spotify.com/v1/audio-analysis/2dqIYIjt6N0L4I1u5e4Asj,322775,4
0.427,0.987,1,-3.561,0,0.265,0.000212,0.000128,0.0841,0.0643,150.002,audio_features,4oWlYe1XF0zwVGBSnKhlFt,spotify:track:4oWlYe1XF0zwVGBSnKhlFt,https://api.spotify.com/v1/tracks/4oWlYe1XF0zwVGBSnKhlFt,https://api.spotify.com/v1/audio-analysis/4oWlYe1XF0zwVGBSnKhlFt,293973,4
0.518,0.947,11,-4.28,0,0.136,2.5e-06,0.582,0.392,0.199,120.0,audio_features,6OVzJOLKXD2Cg5XurQdyfr,spotify:track:6OVzJOLKXD2Cg5XurQdyfr,https://api.spotify.com/v1/tracks/6OVzJOLKXD2Cg5XurQdyfr,https://api.spotify.com/v1/audio-analysis/6OVzJOLKXD2Cg5XurQdyfr,250027,4
0.494,0.987,1,-2.316,1,0.0971,3.35e-06,0.44,0.0997,0.513,119.985,audio_features,2lCeIU0CX26cuS5Ncjs5qF,spotify:track:2lCeIU0CX26cuS5Ncjs5qF,https://api.spotify.com/v1/tracks/2lCeIU0CX26cuS5Ncjs5qF,https://api.spotify.com/v1/audio-analysis/2lCeIU0CX26cuS5Ncjs5qF,257880,4
0.513,0.88,7,-4.69,0,0.0309,9.59e-05,0.00614,0.0824,0.495,92.358,audio_features,2sdZWR9xJlSbbf3JXCKaaD,spotify:track:2sdZWR9xJlSbbf3JXCKaaD,https://api.spotify.com/v1/tracks/2sdZWR9xJlSbbf3JXCKaaD,https://api.spotify.com/v1/audio-analysis/2sdZWR9xJlSbbf3JXCKaaD,269533,4
0.295,0.924,5,-3.407,1,0.0678,4.02e-05,0.00462,0.377,0.219,171.941,audio_features,1yYE8EyuIV0rrvQ1bA2Fyf,spotify:track:1yYE8EyuIV0rrvQ1bA2Fyf,https://api.spotify.com/v1/tracks/1yYE8EyuIV0rrvQ1bA2Fyf,https://api.spotify.com/v1/audio-analysis/1yYE8EyuIV0rrvQ1bA2Fyf,239387,4
0.381,0.977,11,-4.631,1,0.122,5.58e-05,0.153,0.0854,0.224,103.682,audio_features,6Pyqxpgxi0pjHvvWeGoWRW,spotify:track:6Pyqxpgxi0pjHvvWeGoWRW,https://api.spotify.com/v1/tracks/6Pyqxpgxi0pjHvvWeGoWRW,https://api.spotify.com/v1/audio-analysis/6Pyqxpgxi0pjHvvWeGoWRW,270201,4
0.331,0.902,8,-4.194,1,0.0914,0.00228,2.2e-06,0.108,0.369,118.716,audio_features,7CPzfatcqFlX5mbXnz8pZp,spotify:track:7CPzfatcqFlX5mbXnz8pZp,https://api.spotify.com/v1/tracks/7CPzfatcqFlX5mbXnz8pZp,https://api.spotify.com/v1/audio-analysis/7CPzfatcqFlX5mbXnz8pZp,207598,4
0.517,0.977,7,-4.627,1,0.0741,4.97e-05,0.00129,0.105,0.135,121.503,audio_features,5QDDmrz819WmzBeQHZNhor,spotify:track:5QDDmrz819WmzBeQHZNhor,https://api.spotify.com/v1/tracks/5QDDmrz819WmzBeQHZNhor,https://api.spotify.com/v1/audio-analysis/5QDDmrz819WmzBeQHZNhor,228018,4
