danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.556,0.912,9,-4.974,0,0.0729,0.00417,0.0144,0.168,0.511,130.989,audio_features,36QgwAuixhg4SpDm2QeHK8,spotify:track:36QgwAuixhg4SpDm2QeHK8,https://api.spotify.com/v1/tracks/36QgwAuixhg4SpDm2QeHK8,https://api.spotify.com/v1/audio-analysis/36QgwAuixhg4SpDm2QeHK8,240044,4
0.662,0.84,7,-5.173,1,0.0273,0.355,0.00245,0.224,0.815,127.998,audio_features,1tCwv0AJBCBSuvDfj3hELq,spotify:track:1tCwv0AJBCBSuvDfj3hELq,https://api.spotify.com/v1/tracks/1tCwv0AJBCBSuvDfj3hELq,https://api.spotify.com/v1/audio-analysis/1tCwv0AJBCBSuvDfj3hELq,245880,4
0.665,0.635,2,-6.233,1,0.0315,0.355,0.027,0.0929,0.627,118.126,audio_features,6M0NdpuYzeTf5810SgcGtJ,spotify:track:6M0NdpuYzeTf5810SgcGtJ,https://api.spotify.com/v1/tracks/6M0NdpuYzeTf5810SgcGtJ,https://api.spotify.com/v1/audio-analysis/6M0NdpuYzeTf5810SgcGtJ,133820,4
0.531,0.472,3,-7.091,1,0.0407,0.373,0,0.0694,0.408,94.759,audio_features,3wBRiOgNkY97ysxkdD4HhU,spotify:track:3wBRiOgNkY97ysxkdD4HhU,https://api.spotify.com/v1/tracks/3wBRiOgNkY97ysxkdD4HhU,https://api.spotify.com/v1/audio-analysis/3wBRiOgNkY97ysxkdD4HhU,187253,4
0.67,0.185,0,-13.636,1,0.0371,0.459,0,0.209,0.188,77.924,audio_features,2fkV04O2edaP4tqXlI2FCh,spotify:track:2fkV04O2edaP4tqXlI2FCh,https://api.spotify.com/v1/tracks/2fkV04O2edaP4tqXlI2FCh,https://api.spotify.com/v1/audio-analysis/2fkV04O2edaP4tqXlI2FCh,121811,4
0.39,0.153,6,-11.62,1,0.0314,0.157,0,0.138,0.209,113.182,audio_features,1UTF65VNLCPIgbYeLWH5r6,spotify:track:1UTF65VNLCPIgbYeLWH5r6,https://api.spotify.com/v1/tracks/1UTF65VNLCPIgbYeLWH5r6,https://api.spotify.com/v1/audio-analysis/1UTF65VNLCPIgbYeLWH5r6,240609,4
0.654,0.678,8,-8.544,1,0.0289,0.0568,1.72e-06,0.0931,0.615,112.033,audio_features,3FN7m7Ixqbov2jahrWWwfr,spotify:track:3FN7m7Ixqbov2jahrWWwfr,https://api.spotify.com/v1/tracks/3FN7m7Ixqbov2jahrWWwfr,https://api.spotify.com/v1/audio-analysis/3FN7m7Ixqbov2jahrWWwfr,187491,4
0.439,0.912,7,-5.942,1,0.0469,0.00652,0.00969,0.307,0.722,143.009,audio_features,6sQGmTlGADvvxKuoEtw5H6,spotify:track:6sQGmTlGADvvxKuoEtw5H6,https://api.spotify.com/v1/tracks/6sQGmTlGADvvxKuoEtw5H6,https://api.spotify.com/v1/audio-analysis/6sQGmTlGADvvxKuoEtw5H6,147480,4
0.646,0.767,1,-9.331,1,0.0839,0.00101,0.0069,0.0485,0.581,129.987,audio_features,1QRA4e0AqnV6i5ZLZQqjBH,spotify:track:1QRA4e0AqnV6i5ZLZQqjBH,https://api.spotify.com/v1/tracks/1QRA4e0AqnV6i5ZLZQqjBH,https://api.spotify.com/v1/audio-analysis/1QRA4e0AqnV6i5ZLZQqjBH,212000,4
0.555,0.903,0,-5.157,1,0.0821,0.0846,9.71e-05,0.421,0.447,177.649,audio_features,7Ac57QRAscrw2QL6TNok5J,spotify:track:7Ac57QRAscrw2QL6TNok5J,https://api.spotify.com/v1/tracks/7Ac57QRAscrw2QL6TNok5J,https://api.spotify.com/v1/audio-analysis/7Ac57QRAscrw2QL6TNok5J,119453,4
0.619,0.605,8,-3.218,1,0.0334,0.023,0.0152,0.123,0.764,100.57,audio_features,6KciNxn8hG35t3j40ecibB,spotify:track:6KciNxn8hG35t3j40ecibB,https://api.spotify.com/v1/tracks/6KciNxn8hG35t3j40ecibB,https://api.spotify.com/v1/audio-analysis/6KciNxn8hG35t3j40ecibB,224153,4
0.234,0.526,8,-8.424,1,0.0328,0.0319,8.82e-06,0.381,0.208,174.575,audio_features,5OHqaWsEAgox1gE6ix7FK3,spotify:track:5OHqaWsEAgox1gE6ix7FK3,https://api.spotify.com/v1/tracks/5OHqaWsEAgox1gE6ix7FK3,https://api.spotify.com/v1/audio-analysis/5OHqaWsEAgox1gE6ix7FK3,223120,4
0.644,0.672,7,-5.291,1,0.0315,0.0303,0.00216,0.149,0.679,110.095,audio_features,6YgDLuCtCsQ9RTAPTjOVYz,spotify:track:6YgDLuCtCsQ9RTAPTjOVYz,https://api.spotify.com/v1/tracks/6YgDLuCtCsQ9RTAPTjOVYz,https://api.spotify.com/v1/audio-analysis/6YgDLuCtCsQ9RTAPTjOVYz,241989,4
0.76,0.693,3,-8.325,1,0.0326,0.0303,0.0735,0.0925,0.536,122.011,audio_features,7AKe4jkExK4imy7kuT5MWm,spotify:track:7AKe4jkExK4imy7kuT5MWm,https://api.spotify.com/v1/tracks/7AKe4jkExK4imy7kuT5MWm,https://api.spotify.com/v1/audio-analysis/7AKe4jkExK4imy7kuT5MWm,245132,4
0.452,0.487,8,-10.58,0,0.0774,0.0857,1.61e-06,0.099,0.395,96.127,audio_features,6yXdwjK0tBD8SEbTbQAHPj,spotify:track:6yXdwjK0tBD8SEbTbQAHPj,https://api.spotify.com/v1/tracks/6yXdwjK0tBD8SEbTbQAHPj,https://api.spotify.com/v1/audio-analysis/6yXdwjK0tBD8SEbTbQAHPj,193750,4
0.397,0.399,4,-7.995,1,0.0273,0.00116,0.00358,0.108,0.188,79.176,audio_features,1oaH3wzD4Sry8yOGygqNsZ,spotify:track:1oaH3wzD4Sry8yOGygqNsZ,https://api.spotify.com/v1/tracks/1oaH3wzD4Sry8yOGygqNsZ,https://api.spotify.com/v1/audio-analysis/1oaH3wzD4Sry8yOGygqNsZ,231747,4
0.551,0.657,5,-6.231,1,0.0432,0.0365,3.22e-05,0.215,0.696,152.241,audio_features,0EzC5buFSH9cxl1Iosd7Gk,spotify:track:0EzC5buFSH9cxl1Iosd7Gk,https://api.spotify.com/v1/tracks/0EzC5buFSH9cxl1Iosd7Gk,https://api.spotify.com/v1/audio-analysis/0EzC5buFSH9cxl1Iosd7Gk,161018,4
0.266,0.869,4,-4.019,1,0.0471,0.0153,0.000347,0.173,0.51,152.118,audio_features,4z5spGB7FRfhR2Kbjl7xPw,spotify:track:4z5spGB7FRfhR2Kbjl7xPw,https://api.spotify.com/v1/tracks/4z5spGB7FRfhR2Kbjl7xPw,https://api.spotify.com/v1/audio-analysis/4z5spGB7FRfhR2Kbjl7xPw,267200,4
0.44,0.594,0,-8.991,0,0.0298,0.33,0.801,0.105,0.0906,137.878,audio_features,2tgcl49VIZT3pIxtf1F43E,spotify:track:2tgcl49VIZT3pIxtf1F43E,https://api.spotify.com/v1/tracks/2tgcl49VIZT3pIxtf1F43E,https://api.spotify.com/v1/audio-analysis/2tgcl49VIZT3pIxtf1F43E,216038,4
0.676,0.638,7,-6.84,1,0.0318,0.00217,0.0517,0.237,0.55,125.04,audio_features,2KTdUix9aHrz90jDSI40Io,spotify:track:2KTdUix9aHrz90jDSI40Io,https://api.spotify.com/v1/tracks/2KTdUix9aHrz90jDSI40Io,https://api.spotify.com/v1/audio-analysis/2KTdUix9aHrz90jDSI40Io,179482,4
0.44,0.579,6,-13.841,0,0.0555,0.0263,0.0157,0.345,0.503,159.921,audio_features,00gobF7PAU2sp0aRuR1xkl,spotify:track:00gobF7PAU2sp0aRuR1xkl,https://api.spotify.com/v1/tracks/00gobF7PAU2sp0aRuR1xkl,https://api.spotify.com/v1/audio-analysis/00gobF7PAU2sp0aRuR1xkl,154960,4
0.398,0.73,4,-8.132,1,0.0458,0.00204,6.42e-05,0.159,0.414,133.594,audio_features,7pLPpyiZ2AfwU8gh4QlhEM,spotify:track:7pLPpyiZ2AfwU8gh4QlhEM,https://api.spotify.com/v1/tracks/7pLPpyiZ2AfwU8gh4QlhEM,https://api.spotify.com/v1/audio-analysis/7pLPpyiZ2AfwU8gh4QlhEM,134002,4
0.363,0.865,0,-5.868,0,0.0314,0.0662,0.015,0.0997,0.756,179.39,audio_features,5pmswGf4fU7jQq7SlpLK1M,spotify:track:5pmswGf4fU7jQq7SlpLK1M,https://api.spotify.com/v1/tracks/5pmswGf4fU7jQq7SlpLK1M,https://api.spotify.com/v1/audio-analysis/5pmswGf4fU7jQq7SlpLK1M,177826,4
0.337,0.813,9,-4.884,1,0.0578,0.0487,0.00884,0.11,0.448,99.027,audio_features,4j1RyI4Y5r1grdgr64XvQC,spotify:track:4j1RyI4Y5r1grdgr64XvQC,https://api.spotify.com/v1/tracks/4j1RyI4Y5r1grdgr64XvQC,https://api.spotify.com/v1/audio-analysis/4j1RyI4Y5r1grdgr64XvQC,228115,4
0.526,0.884,8,-4.78,1,0.0453,0.00932,0.108,0.0386,0.457,149.395,audio_features,2dK4Rxfsj7u9ax6rbYGf8s,spotify:track:2dK4Rxfsj7u9ax6rbYGf8s,https://api.spotify.com/v1/tracks/2dK4Rxfsj7u9ax6rbYGf8s,https://api.spotify.com/v1/audio-analysis/2dK4Rxfsj7u9ax6rbYGf8s,171888,4
0.564,0.9,5,-5.478,1,0.0455,0.0524,0.0301,0.528,0.321,128.894,audio_features,0kv2mVgHvgZ2WkceiKdfbY,spotify:track:0kv2mVgHvgZ2WkceiKdfbY,https://api.spotify.com/v1/tracks/0kv2mVgHvgZ2WkceiKdfbY,https://api.spotify.com/v1/audio-analysis/0kv2mVgHvgZ2WkceiKdfbY,128108,4
0.479,0.656,2,-6.438,1,0.0288,0.213,2.14e-06,0.105,0.506,129.515,audio_features,21ooRcqW4Dr5B97SGHjq8s,spotify:track:21ooRcqW4Dr5B97SGHjq8s,https://api.spotify.com/v1/tracks/21ooRcqW4Dr5B97SGHjq8s,https://api.spotify.com/v1/audio-analysis/21ooRcqW4Dr5B97SGHjq8s,184200,4
0.878,0.308,1,-15.335,0,0.0798,0.736,0.241,0.092,0.218,126.107,audio_features,3Gl3sE6ZhmXOkJhrumZTVS,spotify:track:3Gl3sE6ZhmXOkJhrumZTVS,https://api.spotify.com/v1/tracks/3Gl3sE6ZhmXOkJhrumZTVS,https://api.spotify.com/v1/audio-analysis/3Gl3sE6ZhmXOkJhrumZTVS,149133,4
0.534,0.287,7,-11.5,1,0.0367,0.24,0.213,0.0893,0.206,121.151,audio_features,4zysTI8NXze7QHfHL4TXz0,spotify:track:4zysTI8NXze7QHfHL4TXz0,https://api.spotify.com/v1/tracks/4zysTI8NXze7QHfHL4TXz0,https://api.spotify.com/v1/audio-analysis/4zysTI8NXze7QHfHL4TXz0,244641,4
0.586,0.607,2,-6.655,1,0.0496,0.00927,0.00436,0.0412,0.694,126.072,audio_features,3roQwHOSIagX6BiE8Lu58e,spotify:track:3roQwHOSIagX6BiE8Lu58e,https://api.spotify.com/v1/tracks/3roQwHOSIagX6BiE8Lu58e,https://api.spotify.com/v1/audio-analysis/3roQwHOSIagX6BiE8Lu58e,202220,4
0.48,0.786,11,-7.924,0,0.035,0.00743,0.807,0.332,0.838,172.957,audio_features,4WhfGpe3rERRYVCiO2zLoD,spotify:track:4WhfGpe3rERRYVCiO2zLoD,https://api.spotify.com/v1/tracks/4WhfGpe3rERRYVCiO2zLoD,https://api.spotify.com/v1/audio-analysis/4WhfGpe3rERRYVCiO2zLoD,206705,4
0.162,0.933,0,-3.432,1,0.0856,0.00544,0.000117,0.0297,0.205,170.931,audio_features,3QLzu3Z2QQmSex8nALv5N0,spotify:track:3QLzu3Z2QQmSex8nALv5N0,https://api.spotify.com/v1/tracks/3QLzu3Z2QQmSex8nALv5N0,https://api.spotify.com/v1/audio-analysis/3QLzu3Z2QQmSex8nALv5N0,165280,4
0.263,0.939,11,-3.948,1,0.101,0.0375,0.00893,0.252,0.221,140.163,audio_features,6TiL0dBpKj691SBSc7ISug,spotify:track:6TiL0dBpKj691SBSc7ISug,https://api.spotify.com/v1/tracks/6TiL0dBpKj691SBSc7ISug,https://api.spotify.com/v1/audio-analysis/6TiL0dBpKj691SBSc7ISug,272352,4
0.363,0.897,4,-4.518,0,0.0555,0.007,0.00156,0.312,0.151,140.74,audio_features,6lznHvdadbK9VUY0HDb6l6,spotify:track:6lznHvdadbK9VUY0HDb6l6,https://api.spotify.com/v1/tracks/6lznHvdadbK9VUY0HDb6l6,https://api.spotify.com/v1/audio-analysis/6lznHvdadbK9VUY0HDb6l6,222961,4
0.401,0.918,0,-5.049,0,0.0757,0.0398,0.444,0.143,0.474,159.086,audio_features,5vBSbQV44cXsyOAHDyqNGs,spotify:track:5vBSbQV44cXsyOAHDyqNGs,https://api.spotify.com/v1/tracks/5vBSbQV44cXsyOAHDyqNGs,https://api.spotify.com/v1/audio-analysis/5vBSbQV44cXsyOAHDyqNGs,245627,4
0.405,0.685,6,-7.388,0,0.0297,0.00219,0.866,0.154,0.642,94.989,audio_features,7J6JdGb86rmnUv9clOjyvl,spotify:track:7J6JdGb86rmnUv9clOjyvl,https://api.spotify.com/v1/tracks/7J6JdGb86rmnUv9clOjyvl,https://api.spotify.com/v1/audio-analysis/7J6JdGb86rmnUv9clOjyvl,188130,4
0.349,0.817,2,-4.988,1,0.0402,0.0017,0.000208,0.0425,0.486,130.181,audio_features,6LTTCyKirErWTxPkqqciRD,spotify:track:6LTTCyKirErWTxPkqqciRD,https://api.spotify.com/v1/tracks/6LTTCyKirErWTxPkqqciRD,https://api.spotify.com/v1/audio-analysis/6LTTCyKirErWTxPkqqciRD,216000,4
0.562,0.853,5,-4.277,1,0.0279,0.00173,0.267,0.301,0.611,115.955,audio_features,0kFaX2L4372bmfsIqvJyzU,spotify:track:0kFaX2L4372bmfsIqvJyzU,https://api.spotify.com/v1/tracks/0kFaX2L4372bmfsIqvJyzU,https://api.spotify.com/v1/audio-analysis/0kFaX2L4372bmfsIqvJyzU,216016,4
0.596,0.646,4,-6.381,0,0.032,0.157,0.413,0.0696,0.792,135.761,audio_features,6Cly13qtRTx4PWQY2YCTLa,spotify:track:6Cly13qtRTx4PWQY2YCTLa,https://api.spotify.com/v1/tracks/6Cly13qtRTx4PWQY2YCTLa,https://api.spotify.com/v1/audio-analysis/6Cly13qtRTx4PWQY2YCTLa,242100,4
0.648,0.681,5,-7.47,1,0.0295,0.103,0.00102,0.103,0.364,124.795,audio_features,5tA5shSEKB44zDYKkLfTOx,spotify:track:5tA5shSEKB44zDYKkLfTOx,https://api.spotify.com/v1/tracks/5tA5shSEKB44zDYKkLfTOx,https://api.spotify.com/v1/audio-analysis/5tA5shSEKB44zDYKkLfTOx,228800,4
0.555,0.665,9,-7.96,1,0.0404,0.0675,0.736,0.105,0.392,114.97,audio_features,5jKS1BscHn0q1LboDlPEE1,spotify:track:5jKS1BscHn0q1LboDlPEE1,https://api.spotify.com/v1/tracks/5jKS1BscHn0q1LboDlPEE1,https://api.spotify.com/v1/audio-analysis/5jKS1BscHn0q1LboDlPEE1,170145,4
0.391,0.823,2,-4.838,1,0.0404,0.0398,1.54e-06,0.236,0.319,140.023,audio_features,1KbXfuQ4hSuysMYdLZ3NzC,spotify:track:1KbXfuQ4hSuysMYdLZ3NzC,https://api.spotify.com/v1/tracks/1KbXfuQ4hSuysMYdLZ3NzC,https://api.spotify.com/v1/audio-analysis/1KbXfuQ4hSuysMYdLZ3NzC,226286,4
