danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.387,0.0225,7,-20.961,0,0.0569,0.976,0.908,0.0912,0.119,119.532,audio_features,2OT0D7g8Y0CotmE5DYcbvy,spotify:track:2OT0D7g8Y0CotmE5DYcbvy,https://api.spotify.com/v1/tracks/2OT0D7g8Y0CotmE5DYcbvy,https://api.spotify.com/v1/audio-analysis/2OT0D7g8Y0CotmE5DYcbvy,276640,4
0.482,0.197,10,-21.818,0,0.0338,0.994,0.924,0.0953,0.313,155.923,audio_features,7wmIHor2CpFg3jlVo4rem6,spotify:track:7wmIHor2CpFg3jlVo4rem6,https://api.spotify.com/v1/tracks/7wmIHor2CpFg3jlVo4rem6,https://api.spotify.com/v1/audio-analysis/7wmIHor2CpFg3jlVo4rem6,541480,5
0.349,0.0925,7,-21.851,0,0.0408,0.981,0.799,0.128,0.0417,108.025,audio_features,2SZJyKJgQfAFdumuNV0KYG,spotify:track:2SZJyKJgQfAFdumuNV0KYG,https://api.spotify.com/v1/tracks/2SZJyKJgQfAFdumuNV0KYG,https://api.spotify.com/v1/audio-analysis/2SZJyKJgQfAFdumuNV0KYG,339018,4
0.117,0.162,9,-17.402,1,0.0435,0.793,0.463,0.137,0.188,75.002,audio_features,4O7MwF13jCD0JZGYS1WDQi,spotify:track:4O7MwF13jCD0JZGYS1WDQi,https://api.spotify.com/v1/tracks/4O7MwF13jCD0JZGYS1WDQi,https://api.spotify.com/v1/audio-analysis/4O7MwF13jCD0JZGYS1WDQi,329760,3
0.224,0.181,9,-24.934,1,0.0365,0.942,0.886,0.0764,0.384,150.909,audio_features,3YmF8PeLj56aEWjm5tFiJc,spotify:track:3YmF8PeLj56aEWjm5tFiJc,https://api.spotify.com/v1/tracks/3YmF8PeLj56aEWjm5tFiJc,https://api.spotify.com/v1/audio-analysis/3YmF8PeLj56aEWjm5tFiJc,224760,4
0.66,0.341,2,-16.17,0,0.193,0.978,0.915,0.0913,0.528,89.993,audio_features,37gvazQS5QLM78JlwLBSNI,spotify:track:37gvazQS5QLM78JlwLBSNI,https://api.spotify.com/v1/tracks/37gvazQS5QLM78JlwLBSNI,https://api.spotify.com/v1/audio-analysis/37gvazQS5QLM78JlwLBSNI,205813,4
0.212,0.0232,0,-28.637,1,0.0499,0.982,0.791,0.104,0.138,87.449,audio_features,6UL4QXVLda5Q9o5eLLEJBb,spotify:track:6UL4QXVLda5Q9o5eLLEJBb,https://api.spotify.com/v1/tracks/6UL4QXVLda5Q9o5eLLEJBb,https://api.spotify.com/v1/audio-analysis/6UL4QXVLda5Q9o5eLLEJBb,578627,4
0.222,0.315,8,-25.553,1,0.112,0.953,0.926,0.118,0.0327,136.642,audio_features,4skiwoFHGqI7oF7JkpLr7N,spotify:track:4skiwoFHGqI7oF7JkpLr7N,https://api.spotify.com/v1/tracks/4skiwoFHGqI7oF7JkpLr7N,https://api.spotify.com/v1/audio-analysis/4skiwoFHGqI7oF7JkpLr7N,384519,3
0.679,0.028,0,-29.675,0,0.0639,0.989,0.959,0.121,0.27,87.9,audio_features,4Kx2qwH8Y0GCddeIXG6H7s,spotify:track:4Kx2qwH8Y0GCddeIXG6H7s,https://api.spotify.com/v1/tracks/4Kx2qwH8Y0GCddeIXG6H7s,https://api.spotify.com/v1/audio-analysis/4Kx2qwH8Y0GCddeIXG6H7s,109739,3
0.162,0.247,10,-17.855,1,0.0407,0.608,0.463,0.354,0.0972,93.173,audio_features,2l0FbcXTfZtUtRO5Ts7EvF,spotify:track:2l0FbcXTfZtUtRO5Ts7EvF,https://api.spotify.com/v1/tracks/2l0FbcXTfZtUtRO5Ts7EvF,https://api.spotify.com/v1/audio-analysis/2l0FbcXTfZtUtRO5Ts7EvF,147480,1
