danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.309,0.0446,0,-26.075,1,0.0301,0.907,0.825,0.0867,0.165,95.69,audio_features,4TewheY5HBdF1Qv1DVZwcJ,spotify:track:4TewheY5HBdF1Qv1DVZwcJ,https://api.spotify.com/v1/tracks/4TewheY5HBdF1Qv1DVZwcJ,https://api.spotify.com/v1/audio-analysis/4TewheY5HBdF1Qv1DVZwcJ,377560,4
0.0596,0.00121,2,-39.952,1,0.0559,0.987,0.262,0.0991,0.0383,62.51,audio_features,02H2meQsn2tcMNqx6NUZoC,spotify:track:02H2meQsn2tcMNqx6NUZoC,https://api.spotify.com/v1/tracks/02H2meQsn2tcMNqx6NUZoC,https://api.spotify.com/v1/audio-analysis/02H2meQsn2tcMNqx6NUZoC,255960,5
0.198,0.0899,4,-25.087,1,0.0448,0.949,0.924,0.15,0.0711,111.868,audio_features,5j2W2Ev9tukxk27a8yULOw,spotify:track:5j2W2Ev9tukxk27a8yULOw,https://api.spotify.com/v1/tracks/5j2W2Ev9tukxk27a8yULOw,https://api.spotify.com/v1/audio-analysis/5j2W2Ev9tukxk27a8yULOw,160240,4
0.268,0.00471,10,-32.597,1,0.0476,0.996,0.861,0.0655,0.242,73.997,audio_features,0hXWX5OdIzAp46BJHHlL6v,spotify:track:0hXWX5OdIzAp46BJHHlL6v,https://api.spotify.com/v1/tracks/0hXWX5OdIzAp46BJHHlL6v,https://api.spotify.com/v1/audio-analysis/0hXWX5OdIzAp46BJHHlL6v,105760,5
0.169,0.027,5,-30.15,1,0.0514,0.797,0.92,0.117,0.0318,113.478,audio_features,1SMDuZThgauvMckxone4sT,spotify:track:1SMDuZThgauvMckxone4sT,https://api.spotify.com/v1/tracks/1SMDuZThgauvMckxone4sT,https://api.spotify.com/v1/audio-analysis/1SMDuZThgauvMckxone4sT,307027,1
0.132,0.00221,8,-41.468,1,0.0439,0.736,2.51e-05,0.0893,0.0391,70.122,audio_features,4z7XSZvabBr1Q4TFOp6nNL,spotify:track:4z7XSZvabBr1Q4TFOp6nNL,https://api.spotify.com/v1/tracks/4z7XSZvabBr1Q4TFOp6nNL,https://api.spotify.com/v1/audio-analysis/4z7XSZvabBr1Q4TFOp6nNL,96680,5
0.371,0.00373,11,-39.064,0,0.0518,0.993,0.553,0.0681,0.132,96.147,audio_features,42DlYwoJlR9aQtGjnStBcA,spotify:track:42DlYwoJlR9aQtGjnStBcA,https://api.spotify.com/v1/tracks/42DlYwoJlR9aQtGjnStBcA,https://api.spotify.com/v1/audio-analysis/42DlYwoJlR9aQtGjnStBcA,343147,4
0.191,0.22,9,-20.181,0,0.0376,0.886,0.903,0.0911,0.044,126.722,audio_features,3qxhadoRB9ygie4ZctwJm0,spotify:track:3qxhadoRB9ygie4ZctwJm0,https://api.spotify.com/v1/tracks/3qxhadoRB9ygie4ZctwJm0,https://api.spotify.com/v1/audio-analysis/3qxhadoRB9ygie4ZctwJm0,232073,3
0.0992,0.00845,1,-35.6,0,0.0383,0.972,0.923,0.0806,0.0374,84.78,audio_features,6uILUw1lRfF6k3jLzEvSE0,spotify:track:6uILUw1lRfF6k3jLzEvSE0,https://api.spotify.com/v1/tracks/6uILUw1lRfF6k3jLzEvSE0,https://api.spotify.com/v1/audio-analysis/6uILUw1lRfF6k3jLzEvSE0,499627,4
0.188,0.0306,9,-23.443,0,0.0437,0.975,0.188,0.0833,0.114,96.292,audio_features,64DVu1DHlfv9L5MIdjdaeY,spotify:track:64DVu1DHlfv9L5MIdjdaeY,https://api.spotify.com/v1/tracks/64DVu1DHlfv9L5MIdjdaeY,https://api.spotify.com/v1/audio-analysis/64DVu1DHlfv9L5MIdjdaeY,152440,4
0.0854,0.0642,10,-26.589,1,0.0434,0.95,0.819,0.0786,0.0766,60.2,audio_features,7bEO1yogMN8Yqzlqiznfjc,spotify:track:7bEO1yogMN8Yqzlqiznfjc,https://api.spotify.com/v1/tracks/7bEO1yogMN8Yqzlqiznfjc,https://api.spotify.com/v1/audio-analysis/7bEO1yogMN8Yqzlqiznfjc,468640,4
0.29,0.0077,11,-38.933,1,0.0434,0.983,0.921,0.0787,0.0386,135.607,audio_features,0eiT0cfG4TT3u6Zw68A1Kw,spotify:track:0eiT0cfG4TT3u6Zw68A1Kw,https://api.spotify.com/v1/tracks/0eiT0cfG4TT3u6Zw68A1Kw,https://api.spotify.com/v1/audio-analysis/0eiT0cfG4TT3u6Zw68A1Kw,154400,1
0.159,0.231,11,-15.895,0,0.0354,0.838,0.896,0.11,0.0361,77.617,audio_features,1aEVdiqmS2KeCnpydYxsQT,spotify:track:1aEVdiqmS2KeCnpydYxsQT,https://api.spotify.com/v1/tracks/1aEVdiqmS2KeCnpydYxsQT,https://api.spotify.com/v1/audio-analysis/1aEVdiqmS2KeCnpydYxsQT,183667,4
0.208,0.00643,2,-44.347,0,0.0433,0.992,0.935,0.0849,0.476,66.291,audio_features,4iXgy9zH7eYSwDuYwb7waL,spotify:track:4iXgy9zH7eYSwDuYwb7waL,https://api.spotify.com/v1/tracks/4iXgy9zH7eYSwDuYwb7waL,https://api.spotify.com/v1/audio-analysis/4iXgy9zH7eYSwDuYwb7waL,768173,4
0.184,0.0238,11,-27.658,1,0.0561,0.574,0.0209,0.111,0.0828,35.995,audio_features,180I6VEpaQwoyAvmDCid5D,spotify:track:180I6VEpaQwoyAvmDCid5D,https://api.spotify.com/v1/tracks/180I6VEpaQwoyAvmDCid5D,https://api.spotify.com/v1/audio-analysis/180I6VEpaQwoyAvmDCid5D,341067,4
0.407,0.00453,5,-30.925,1,0.041,0.995,0.935,0.0798,0.0342,104.957,audio_features,6G6tIDO3rB8FktjkM70GGd,spotify:track:6G6tIDO3rB8FktjkM70GGd,https://api.spotify.com/v1/tracks/6G6tIDO3rB8FktjkM70GGd,https://api.spotify.com/v1/audio-analysis/6G6tIDO3rB8FktjkM70GGd,256360,4
0.451,0.0287,11,-33.021,0,0.052,0.996,0.927,0.0779,0.221,89.017,audio_features,2fteBRbyEj2Lo7Lr17xXgu,spotify:track:2fteBRbyEj2Lo7Lr17xXgu,https://api.spotify.com/v1/tracks/2fteBRbyEj2Lo7Lr17xXgu,https://api.spotify.com/v1/audio-analysis/2fteBRbyEj2Lo7Lr17xXgu,243560,4
0.148,0.00399,4,-39.52,0,0.0464,0.791,0.723,0.12,0.0252,137.352,audio_features,0x3Z3AgS7eoMQQk2TW0cdO,spotify:track:0x3Z3AgS7eoMQQk2TW0cdO,https://api.spotify.com/v1/tracks/0x3Z3AgS7eoMQQk2TW0cdO,https://api.spotify.com/v1/audio-analysis/0x3Z3AgS7eoMQQk2TW0cdO,262240,4
0.299,0.00328,4,-40.155,0,0.06,0.994,0.955,0.0689,0.0966,75.413,audio_features,6wXbdX2b6Q87kJ8e1G3SmT,spotify:track:6wXbdX2b6Q87kJ8e1G3SmT,https://api.spotify.com/v1/tracks/6wXbdX2b6Q87kJ8e1G3SmT,https://api.spotify.com/v1/audio-analysis/6wXbdX2b6Q87kJ8e1G3SmT,143027,3
0.122,0.064,5,-24.111,1,0.0469,0.977,0.848,0.109,0.0983,64.715,audio_features,2LY503OZZHMC8uP7isvnR6,spotify:track:2LY503OZZHMC8uP7isvnR6,https://api.spotify.com/v1/tracks/2LY503OZZHMC8uP7isvnR6,https://api.spotify.com/v1/audio-analysis/2LY503OZZHMC8uP7isvnR6,370333,3
0.299,0.0175,3,-30.898,1,0.0415,0.975,0.923,0.0793,0.038,60.469,audio_features,6gw7xX4IdxqYPt0mXMhhCp,spotify:track:6gw7xX4IdxqYPt0mXMhhCp,https://api.spotify.com/v1/tracks/6gw7xX4IdxqYPt0mXMhhCp,https://api.spotify.com/v1/audio-analysis/6gw7xX4IdxqYPt0mXMhhCp,325680,4
0.416,0.0046,2,-35.09,1,0.05,0.995,0.902,0.0736,0.218,123.226,audio_features,0hfVcQcggGU3bBujqrQ6tY,spotify:track:0hfVcQcggGU3bBujqrQ6tY,https://api.spotify.com/v1/tracks/0hfVcQcggGU3bBujqrQ6tY,https://api.spotify.com/v1/audio-analysis/0hfVcQcggGU3bBujqrQ6tY,292587,4
