danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.812,0.803,7,-5.386,0,0.141,0.11,0,0.0637,0.93,123.066,audio_features,6xcXAVbDuVT1pCsa2rmDHY,spotify:track:6xcXAVbDuVT1pCsa2rmDHY,https://api.spotify.com/v1/tracks/6xcXAVbDuVT1pCsa2rmDHY,https://api.spotify.com/v1/audio-analysis/6xcXAVbDuVT1pCsa2rmDHY,208480,4
0.748,0.754,6,-6.479,1,0.157,0.358,0.000189,0.138,0.487,119.989,audio_features,2pXySkZUGu0rdLH1bAvSLS,spotify:track:2pXySkZUGu0rdLH1bAvSLS,https://api.spotify.com/v1/tracks/2pXySkZUGu0rdLH1bAvSLS,https://api.spotify.com/v1/audio-analysis/2pXySkZUGu0rdLH1bAvSLS,203105,4
0.825,0.453,4,-7.429,0,0.227,0.127,3.82e-06,0.0838,0.496,99.974,audio_features,2zYs4BonN2ydkbrRk333SN,spotify:track:2zYs4BonN2ydkbrRk333SN,https://api.spotify.com/v1/tracks/2zYs4BonN2ydkbrRk333SN,https://api.spotify.com/v1/audio-analysis/2zYs4BonN2ydkbrRk333SN,211293,4
0.743,0.78,0,-7.756,0,0.0645,0.365,8.57e-05,0.0706,0.768,114.016,audio_features,6nGSXuZrE5P7gSvtJs4unC,spotify:track:6nGSXuZrE5P7gSvtJs4unC,https://api.spotify.com/v1/tracks/6nGSXuZrE5P7gSvtJs4unC,https://api.spotify.com/v1/audio-analysis/6nGSXuZrE5P7gSvtJs4unC,200867,4
0.965,0.617,2,-6.197,1,0.296,0.0702,0,0.124,0.669,123.961,audio_features,4VoJMNVZWFuJ7G9qKdO7NG,spotify:track:4VoJMNVZWFuJ7G9qKdO7NG,https://api.spotify.com/v1/tracks/4VoJMNVZWFuJ7G9qKdO7NG,https://api.spotify.com/v1/audio-analysis/4VoJMNVZWFuJ7G9qKdO7NG,189259,4
0.812,0.657,1,-2.77,1,0.0738,0.496,0.0024,0.091,0.749,109.998,audio_features,5uMwuzrvG2377KmsOnEmcg,spotify:track:5uMwuzrvG2377KmsOnEmcg,https://api.spotify.com/v1/tracks/5uMwuzrvG2377KmsOnEmcg,https://api.spotify.com/v1/audio-analysis/5uMwuzrvG2377KmsOnEmcg,250920,4
0.805,0.689,4,-5.756,0,0.105,0.083,0,0.095,0.592,108.087,audio_features,0riQ6IQJuLzpCw9N94D4a3,spotify:track:0riQ6IQJuLzpCw9N94D4a3,https://api.spotify.com/v1/tracks/0riQ6IQJuLzpCw9N94D4a3,https://api.spotify.com/v1/audio-analysis/0riQ6IQJuLzpCw9N94D4a3,268293,4
0.666,0.894,0,-4.903,0,0.168,0.168,0,0.0906,0.466,120.014,audio_features,14r0CpvE17tav2smpSMolH,spotify:track:14r0CpvE17tav2smpSMolH,https://api.spotify.com/v1/tracks/14r0CpvE17tav2smpSMolH,https://api.spotify.com/v1/audio-analysis/14r0CpvE17tav2smpSMolH,169867,4
0.836,0.712,10,-3.741,0,0.238,0.187,0.000111,0.0781,0.907,127.09,audio_features,4BlvfQJfZa1Dk84Hl7CTcM,spotify:track:4BlvfQJfZa1Dk84Hl7CTcM,https://api.spotify.com/v1/tracks/4BlvfQJfZa1Dk84Hl7CTcM,https://api.spotify.com/v1/audio-analysis/4BlvfQJfZa1Dk84Hl7CTcM,278000,4
0.819,0.79,8,-5.508,0,0.173,0.191,5.23e-06,0.0802,0.617,123.019,audio_features,3AkhtRarPRwQ2lAzvnH64n,spotify:track:3AkhtRarPRwQ2lAzvnH64n,https://api.spotify.com/v1/tracks/3AkhtRarPRwQ2lAzvnH64n,https://api.spotify.com/v1/audio-analysis/3AkhtRarPRwQ2lAzvnH64n,221759,4
0.734,0.669,7,-5.758,1,0.15,0.514,1.82e-06,0.0881,0.508,96.052,audio_features,1Y6pL6kWGnQlPsxJaia7tY,spotify:track:1Y6pL6kWGnQlPsxJaia7tY,https://api.spotify.com/v1/tracks/1Y6pL6kWGnQlPsxJaia7tY,https://api.spotify.com/v1/audio-analysis/1Y6pL6kWGnQlPsxJaia7tY,213147,4
0.796,0.592,5,-5.694,0,0.0899,0.508,1.8e-05,0.0754,0.514,107.965,audio_features,4613Yq0p8BHSr1qKK12dEq,spotify:track:4613Yq0p8BHSr1qKK12dEq,https://api.spotify.com/v1/tracks/4613Yq0p8BHSr1qKK12dEq,https://api.spotify.com/v1/audio-analysis/4613Yq0p8BHSr1qKK12dEq,173577,4
0.775,0.568,10,-8.456,0,0.0644,0.414,1.45e-05,0.113,0.478,99.942,audio_features,6mLLwHRZrF9QRCVnxE7Xq3,spotify:track:6mLLwHRZrF9QRCVnxE7Xq3,https://api.spotify.com/v1/tracks/6mLLwHRZrF9QRCVnxE7Xq3,https://api.spotify.com/v1/audio-analysis/6mLLwHRZrF9QRCVnxE7Xq3,221667,4
0.887,0.541,10,-11.245,0,0.0646,0.235,1.2e-06,0.11,0.587,107.974,audio_features,37gtSmRBMvDcC93rWch2by,spotify:track:37gtSmRBMvDcC93rWch2by,https://api.spotify.com/v1/tracks/37gtSmRBMvDcC93rWch2by,https://api.spotify.com/v1/audio-analysis/37gtSmRBMvDcC93rWch2by,225776,4
0.781,0.736,1,-5.413,0,0.29,0.344,0,0.125,0.536,100.55,audio_features,4USHZ3omhEBGjHLD9BIJYs,spotify:track:4USHZ3omhEBGjHLD9BIJYs,https://api.spotify.com/v1/tracks/4USHZ3omhEBGjHLD9BIJYs,https://api.spotify.com/v1/audio-analysis/4USHZ3omhEBGjHLD9BIJYs,210905,4
0.674,0.803,3,-5.696,0,0.31,0.632,5.32e-05,0.0703,0.947,101.795,audio_features,1iDQ2zCOU1uYeR8QcpqUZb,spotify:track:1iDQ2zCOU1uYeR8QcpqUZb,https://api.spotify.com/v1/tracks/1iDQ2zCOU1uYeR8QcpqUZb,https://api.spotify.com/v1/audio-analysis/1iDQ2zCOU1uYeR8QcpqUZb,176316,4
0.694,0.795,9,-4.73,0,0.261,0.121,6.81e-05,0.132,0.0773,107.937,audio_features,62kNjXARWUncZVwjfrGDXL,spotify:track:62kNjXARWUncZVwjfrGDXL,https://api.spotify.com/v1/tracks/62kNjXARWUncZVwjfrGDXL,https://api.spotify.com/v1/audio-analysis/62kNjXARWUncZVwjfrGDXL,198314,4
