danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.699,0.65,2,-7.737,1,0.0475,0.544,1.1e-06,0.325,0.968,84.786,audio_features,6VqC5gNL532RfgdlGzNAv0,spotify:track:6VqC5gNL532RfgdlGzNAv0,https://api.spotify.com/v1/tracks/6VqC5gNL532RfgdlGzNAv0,https://api.spotify.com/v1/audio-analysis/6VqC5gNL532RfgdlGzNAv0,151493,4
0.661,0.517,7,-8.004,1,0.0269,0.267,0.000158,0.431,0.676,104.563,audio_features,5rDkA2TFOImbiVenmnE9r4,spotify:track:5rDkA2TFOImbiVenmnE9r4,https://api.spotify.com/v1/tracks/5rDkA2TFOImbiVenmnE9r4,https://api.spotify.com/v1/audio-analysis/5rDkA2TFOImbiVenmnE9r4,155707,4
0.604,0.816,7,-7.15,1,0.0456,0.431,0.000555,0.165,0.976,128.896,audio_features,07zToRJlr6YYaDNL70CFz8,spotify:track:07zToRJlr6YYaDNL70CFz8,https://api.spotify.com/v1/tracks/07zToRJlr6YYaDNL70CFz8,https://api.spotify.com/v1/audio-analysis/07zToRJlr6YYaDNL70CFz8,161773,4
0.482,0.849,2,-9.198,1,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,audio_features,5ZBeML7Lf3FMEVviTyvi8l,spotify:track:5ZBeML7Lf3FMEVviTyvi8l,https://api.spotify.com/v1/tracks/5ZBeML7Lf3FMEVviTyvi8l,https://api.spotify.com/v1/audio-analysis/5ZBeML7Lf3FMEVviTyvi8l,155227,4
0.664,0.828,5,-5.643,1,0.171,0.146,0,0.0914,0.841,167.95,audio_features,2McHF33C9Tx4lfwKBefE4n,spotify:track:2McHF33C9Tx4lfwKBefE4n,https://api.spotify.com/v1/tracks/2McHF33C9Tx4lfwKBefE4n,https://api.spotify.com/v1/audio-analysis/2McHF33C9Tx4lfwKBefE4n,151573,3
0.508,0.189,10,-13.191,1,0.0356,0.896,0.000524,0.0793,0.444,104.86,audio_features,4DuBNU1r50XEv4dvsrQcpY,spotify:track:4DuBNU1r50XEv4dvsrQcpY,https://api.spotify.com/v1/tracks/4DuBNU1r50XEv4dvsrQcpY,https://api.spotify.com/v1/audio-analysis/4DuBNU1r50XEv4dvsrQcpY,162133,3
0.545,0.714,2,-5.659,1,0.0562,0.675,2.52e-06,0.121,0.952,94.784,audio_features,3htVOUt4zoFthJhqtJMGTo,spotify:track:3htVOUt4zoFthJhqtJMGTo,https://api.spotify.com/v1/tracks/3htVOUt4zoFthJhqtJMGTo,https://api.spotify.com/v1/audio-analysis/3htVOUt4zoFthJhqtJMGTo,119600,4
0.668,0.558,9,-9.378,1,0.0422,0.424,3.07e-06,0.293,0.909,175.545,audio_features,727Ric7BCNuahIETyOALEU,spotify:track:727Ric7BCNuahIETyOALEU,https://api.spotify.com/v1/tracks/727Ric7BCNuahIETyOALEU,https://api.spotify.com/v1/audio-analysis/727Ric7BCNuahIETyOALEU,161253,3
0.491,0.801,4,-9.835,1,0.0361,0.27,0,0.0665,0.971,160.109,audio_features,3KiexfmhxHvG5IgAElmTkd,spotify:track:3KiexfmhxHvG5IgAElmTkd,https://api.spotify.com/v1/tracks/3KiexfmhxHvG5IgAElmTkd,https://api.spotify.com/v1/audio-analysis/3KiexfmhxHvG5IgAElmTkd,173947,4
0.555,0.817,0,-4.658,1,0.0537,0.00317,2.46e-05,0.0704,0.653,169.199,audio_features,7lcCLXghOHf8xERQ9BkS3n,spotify:track:7lcCLXghOHf8xERQ9BkS3n,https://api.spotify.com/v1/tracks/7lcCLXghOHf8xERQ9BkS3n,https://api.spotify.com/v1/audio-analysis/7lcCLXghOHf8xERQ9BkS3n,184160,4
0.74,0.392,9,-11.996,1,0.0824,0.483,1.11e-06,0.0965,0.387,82.742,audio_features,2nwCO1PqpvyoFIvq3Vrj8N,spotify:track:2nwCO1PqpvyoFIvq3Vrj8N,https://api.spotify.com/v1/tracks/2nwCO1PqpvyoFIvq3Vrj8N,https://api.spotify.com/v1/audio-analysis/2nwCO1PqpvyoFIvq3Vrj8N,166008,4
0.72,0.283,7,-12.0,1,0.0429,0.867,0,0.103,0.562,114.563,audio_features,3KSMRPYQq1dX2qUIXniM4N,spotify:track:3KSMRPYQq1dX2qUIXniM4N,https://api.spotify.com/v1/tracks/3KSMRPYQq1dX2qUIXniM4N,https://api.spotify.com/v1/audio-analysis/3KSMRPYQq1dX2qUIXniM4N,183213,4
0.594,0.676,5,-9.552,1,0.0528,0.0267,0.00541,0.905,0.898,110.71,audio_features,5O6mz4qn6q7MSKubAzRnDW,spotify:track:5O6mz4qn6q7MSKubAzRnDW,https://api.spotify.com/v1/tracks/5O6mz4qn6q7MSKubAzRnDW,https://api.spotify.com/v1/audio-analysis/5O6mz4qn6q7MSKubAzRnDW,162907,4
0.729,0.205,3,-14.853,1,0.0385,0.432,0,0.082,0.576,135.429,audio_features,6XJvB9UZYiJiUh8gWGWfXd,spotify:track:6XJvB9UZYiJiUh8gWGWfXd,https://api.spotify.com/v1/tracks/6XJvB9UZYiJiUh8gWGWfXd,https://api.spotify.com/v1/audio-analysis/6XJvB9UZYiJiUh8gWGWfXd,129040,4
0.584,0.334,1,-12.606,0,0.0263,0.847,0,0.164,0.637,103.643,audio_features,6Et30R1GtviOIDU7wYYyxp,spotify:track:6Et30R1GtviOIDU7wYYyxp,https://api.spotify.com/v1/tracks/6Et30R1GtviOIDU7wYYyxp,https://api.spotify.com/v1/audio-analysis/6Et30R1GtviOIDU7wYYyxp,139987,4
0.674,0.537,1,-10.971,0,0.0363,0.566,0,0.131,0.809,110.578,audio_features,5fdhThPDe6jQQDqCyWrdAn,spotify:track:5fdhThPDe6jQQDqCyWrdAn,https://api.spotify.com/v1/tracks/5fdhThPDe6jQQDqCyWrdAn,https://api.spotify.com/v1/audio-analysis/5fdhThPDe6jQQDqCyWrdAn,161533,4
