danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.343,0.0764,4,-24.006,1,0.0482,0.806,0.28,0.0989,0.215,142.975,audio_features,1CunzSC6ALdqhnkrF9ZIQA,spotify:track:1CunzSC6ALdqhnkrF9ZIQA,https://api.spotify.com/v1/tracks/1CunzSC6ALdqhnkrF9ZIQA,https://api.spotify.com/v1/audio-analysis/1CunzSC6ALdqhnkrF9ZIQA,433560,4
0.236,0.27,8,-15.32,1,0.0375,0.803,0.664,0.113,0.095,137.921,audio_features,59HjUX12OLOUCoDjTJ5shl,spotify:track:59HjUX12OLOUCoDjTJ5shl,https://api.spotify.com/v1/tracks/59HjUX12OLOUCoDjTJ5shl,https://api.spotify.com/v1/audio-analysis/59HjUX12OLOUCoDjTJ5shl,164533,4
0.165,0.0816,11,-19.355,1,0.0377,0.935,0.11,0.0875,0.0319,88.43,audio_features,0W7RZL2cwtAk0CMh3fCE1z,spotify:track:0W7RZL2cwtAk0CMh3fCE1z,https://api.spotify.com/v1/tracks/0W7RZL2cwtAk0CMh3fCE1z,https://api.spotify.com/v1/audio-analysis/0W7RZL2cwtAk0CMh3fCE1z,535347,3
0.38,0.119,10,-19.49,1,0.0368,0.911,0.869,0.0985,0.208,116.787,audio_features,24gs8iJWD0IL6yp1LUiytE,spotify:track:24gs8iJWD0IL6yp1LUiytE,https://api.spotify.com/v1/tracks/24gs8iJWD0IL6yp1LUiytE,https://api.spotify.com/v1/audio-analysis/24gs8iJWD0IL6yp1LUiytE,443000,4
0.198,0.0492,8,-22.7,1,0.0395,0.981,0.226,0.0754,0.0721,86.818,audio_features,4L2ONMcTSdz3jpStIJehxH,spotify:track:4L2ONMcTSdz3jpStIJehxH,https://api.spotify.com/v1/tracks/4L2ONMcTSdz3jpStIJehxH,https://api.spotify.com/v1/audio-analysis/4L2ONMcTSdz3jpStIJehxH,456933,5
0.375,0.0728,2,-23.019,1,0.0383,0.98,0.583,0.178,0.092,120.573,audio_features,17lNoMnPhceYcy8oy1zyV8,spotify:track:17lNoMnPhceYcy8oy1zyV8,https://api.spotify.com/v1/tracks/17lNoMnPhceYcy8oy1zyV8,https://api.spotify.com/v1/audio-analysis/17lNoMnPhceYcy8oy1zyV8,485587,4
0.427,0.149,7,-17.535,0,0.0367,0.638,0.185,0.618,0.35,58.101,audio_features,2ZK8CFdebr93WpCdNo3rbR,spotify:track:2ZK8CFdebr93WpCdNo3rbR,https://api.spotify.com/v1/tracks/2ZK8CFdebr93WpCdNo3rbR,https://api.spotify.com/v1/audio-analysis/2ZK8CFdebr93WpCdNo3rbR,151613,4
0.221,0.186,8,-16.923,0,0.0413,0.979,0.00105,0.129,0.194,90.637,audio_features,2kpfdk43hlmbQcGNlp1UzS,spotify:track:2kpfdk43hlmbQcGNlp1UzS,https://api.spotify.com/v1/tracks/2kpfdk43hlmbQcGNlp1UzS,https://api.spotify.com/v1/audio-analysis/2kpfdk43hlmbQcGNlp1UzS,383840,4
0.381,0.0981,7,-29.56,1,0.0422,0.915,0.909,0.129,0.361,128.072,audio_features,5lYtm6aUxZMJPkG0htWFDu,spotify:track:5lYtm6aUxZMJPkG0htWFDu,https://api.spotify.com/v1/tracks/5lYtm6aUxZMJPkG0htWFDu,https://api.spotify.com/v1/audio-analysis/5lYtm6aUxZMJPkG0htWFDu,275800,4
0.564,0.0511,3,-20.993,1,0.0818,0.986,0.231,0.0692,0.337,123.407,audio_features,32rouEbuO349hstMIIbdQY,spotify:track:32rouEbuO349hstMIIbdQY,https://api.spotify.com/v1/tracks/32rouEbuO349hstMIIbdQY,https://api.spotify.com/v1/audio-analysis/32rouEbuO349hstMIIbdQY,244578,4
