danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.525,0.903,0,-3.207,1,0.043,0.093,0,0.0714,0.791,171.111,audio_features,2zARfXgHp9piZwi2sdBOXt,spotify:track:2zARfXgHp9piZwi2sdBOXt,https://api.spotify.com/v1/tracks/2zARfXgHp9piZwi2sdBOXt,https://api.spotify.com/v1/audio-analysis/2zARfXgHp9piZwi2sdBOXt,219716,4
0.586,0.66,7,-7.635,1,0.0241,0.12,1.6e-05,0.357,0.824,142.669,audio_features,3vJqxU8r8QQfiX5CdAqTWf,spotify:track:3vJqxU8r8QQfiX5CdAqTWf,https://api.spotify.com/v1/tracks/3vJqxU8r8QQfiX5CdAqTWf,https://api.spotify.com/v1/audio-analysis/3vJqxU8r8QQfiX5CdAqTWf,229075,4
0.566,0.669,9,-10.081,1,0.0694,0.7,0.0654,0.588,0.92,149.702,audio_features,0eTHlx53lUn95HVsJtR6Qx,spotify:track:0eTHlx53lUn95HVsJtR6Qx,https://api.spotify.com/v1/tracks/0eTHlx53lUn95HVsJtR6Qx,https://api.spotify.com/v1/audio-analysis/0eTHlx53lUn95HVsJtR6Qx,239107,4
0.77,0.591,0,-12.522,1,0.037,0.616,0.00233,0.0774,0.794,123.754,audio_features,2CFtB64mDu2XCFjvGJhc9k,spotify:track:2CFtB64mDu2XCFjvGJhc9k,https://api.spotify.com/v1/tracks/2CFtB64mDu2XCFjvGJhc9k,https://api.spotify.com/v1/audio-analysis/2CFtB64mDu2XCFjvGJhc9k,184467,4
0.666,0.74,7,-7.606,1,0.031,0.0185,0,0.0741,0.826,120.056,audio_features,3zQGSeIVIj3k41gi1MaToN,spotify:track:3zQGSeIVIj3k41gi1MaToN,https://api.spotify.com/v1/tracks/3zQGSeIVIj3k41gi1MaToN,https://api.spotify.com/v1/audio-analysis/3zQGSeIVIj3k41gi1MaToN,172307,4
0.497,0.749,2,-6.746,0,0.0447,0.518,0.000567,0.0902,0.717,91.976,audio_features,16pGi1ZNrsPvx5TD8oFleb,spotify:track:16pGi1ZNrsPvx5TD8oFleb,https://api.spotify.com/v1/tracks/16pGi1ZNrsPvx5TD8oFleb,https://api.spotify.com/v1/audio-analysis/16pGi1ZNrsPvx5TD8oFleb,277960,4
0.39,0.828,2,-5.453,1,0.0284,0.000347,0.144,0.128,0.554,81.861,audio_features,6Bvh8a4YhNyqsafMVYlRrd,spotify:track:6Bvh8a4YhNyqsafMVYlRrd,https://api.spotify.com/v1/tracks/6Bvh8a4YhNyqsafMVYlRrd,https://api.spotify.com/v1/audio-analysis/6Bvh8a4YhNyqsafMVYlRrd,272074,4
0.602,0.606,7,-12.078,1,0.0262,0.183,0.000178,0.0847,0.893,97.827,audio_features,7e89621JPkKaeDSTQ3avtg,spotify:track:7e89621JPkKaeDSTQ3avtg,https://api.spotify.com/v1/tracks/7e89621JPkKaeDSTQ3avtg,https://api.spotify.com/v1/audio-analysis/7e89621JPkKaeDSTQ3avtg,283800,4
0.449,0.786,9,-7.568,1,0.0509,0.524,5.31e-06,0.222,0.878,164.825,audio_features,3D6NRqhKlp6ixGmVXTZkD9,spotify:track:3D6NRqhKlp6ixGmVXTZkD9,https://api.spotify.com/v1/tracks/3D6NRqhKlp6ixGmVXTZkD9,https://api.spotify.com/v1/audio-analysis/3D6NRqhKlp6ixGmVXTZkD9,237693,4
0.561,0.783,7,-4.068,1,0.0428,0.201,2.33e-06,0.346,0.574,133.575,audio_features,40CcH0CZqykvg1bBtWpcXo,spotify:track:40CcH0CZqykvg1bBtWpcXo,https://api.spotify.com/v1/tracks/40CcH0CZqykvg1bBtWpcXo,https://api.spotify.com/v1/audio-analysis/40CcH0CZqykvg1bBtWpcXo,229667,4
0.373,0.648,4,-9.193,0,0.0344,0.345,0.496,0.0883,0.573,95.155,audio_features,5JBUpI6OGZahUqchMKe6UY,spotify:track:5JBUpI6OGZahUqchMKe6UY,https://api.spotify.com/v1/tracks/5JBUpI6OGZahUqchMKe6UY,https://api.spotify.com/v1/audio-analysis/5JBUpI6OGZahUqchMKe6UY,317438,3
0.57,0.63,9,-7.015,1,0.0315,0.0807,0,0.123,0.534,145.097,audio_features,0F1xhaO19R3okVY2FmYe13,spotify:track:0F1xhaO19R3okVY2FmYe13,https://api.spotify.com/v1/tracks/0F1xhaO19R3okVY2FmYe13,https://api.spotify.com/v1/audio-analysis/0F1xhaO19R3okVY2FmYe13,271813,4
0.263,0.828,4,-8.225,0,0.0412,0.000421,0.018,0.232,0.584,99.092,audio_features,4BxfXnGbnlibcUUPKog7Ne,spotify:track:4BxfXnGbnlibcUUPKog7Ne,https://api.spotify.com/v1/tracks/4BxfXnGbnlibcUUPKog7Ne,https://api.spotify.com/v1/audio-analysis/4BxfXnGbnlibcUUPKog7Ne,586400,4
0.465,0.865,11,-9.573,0,0.098,0.018,0.00135,0.0769,0.677,117.528,audio_features,2ZOTtG7v1OrSNs6EINIGb4,spotify:track:2ZOTtG7v1OrSNs6EINIGb4,https://api.spotify.com/v1/tracks/2ZOTtG7v1OrSNs6EINIGb4,https://api.spotify.com/v1/audio-analysis/2ZOTtG7v1OrSNs6EINIGb4,237893,4
0.611,0.544,0,-9.331,1,0.0332,0.247,0.0572,0.105,0.773,124.894,audio_features,7uODrkf1XnlIGMyUSCLbLU,spotify:track:7uODrkf1XnlIGMyUSCLbLU,https://api.spotify.com/v1/tracks/7uODrkf1XnlIGMyUSCLbLU,https://api.spotify.com/v1/audio-analysis/7uODrkf1XnlIGMyUSCLbLU,236200,4
0.47,0.897,5,-3.746,1,0.0454,0.0839,1.95e-06,0.124,0.21,102.052,audio_features,0MMutLfLzxfN3V4eRKNEwK,spotify:track:0MMutLfLzxfN3V4eRKNEwK,https://api.spotify.com/v1/tracks/0MMutLfLzxfN3V4eRKNEwK,https://api.spotify.com/v1/audio-analysis/0MMutLfLzxfN3V4eRKNEwK,267133,4
0.725,0.852,0,-6.213,1,0.0265,0.0179,0.00361,0.0598,0.963,111.776,audio_features,1HEE7tvSNeaZQZ9UU2WZkQ,spotify:track:1HEE7tvSNeaZQZ9UU2WZkQ,https://api.spotify.com/v1/tracks/1HEE7tvSNeaZQZ9UU2WZkQ,https://api.spotify.com/v1/audio-analysis/1HEE7tvSNeaZQZ9UU2WZkQ,237587,4
0.252,0.844,0,-8.121,1,0.0572,0.0765,0.00018,0.084,0.351,118.158,audio_features,5EWPGh7jbTNO2wakv8LjUI,spotify:track:5EWPGh7jbTNO2wakv8LjUI,https://api.spotify.com/v1/tracks/5EWPGh7jbTNO2wakv8LjUI,https://api.spotify.com/v1/audio-analysis/5EWPGh7jbTNO2wakv8LjUI,547107,4
0.406,0.713,7,-5.49,1,0.0348,0.276,0.00354,0.112,0.577,164.444,audio_features,4fUU9WKxEgJXyrZJsUA2iP,spotify:track:4fUU9WKxEgJXyrZJsUA2iP,https://api.spotify.com/v1/tracks/4fUU9WKxEgJXyrZJsUA2iP,https://api.spotify.com/v1/audio-analysis/4fUU9WKxEgJXyrZJsUA2iP,365093,4
0.611,0.675,11,-10.327,1,0.0379,0.00279,0.00628,0.238,0.606,127.748,audio_features,4No7vBUnNaJ76hOCMiWr5l,spotify:track:4No7vBUnNaJ76hOCMiWr5l,https://api.spotify.com/v1/tracks/4No7vBUnNaJ76hOCMiWr5l,https://api.spotify.com/v1/audio-analysis/4No7vBUnNaJ76hOCMiWr5l,312200,4
0.357,0.84,7,-7.328,1,0.0546,0.023,0.00349,0.274,0.614,170.262,audio_features,7dANjnnwmtUSwF25J4MrzZ,spotify:track:7dANjnnwmtUSwF25J4MrzZ,https://api.spotify.com/v1/tracks/7dANjnnwmtUSwF25J4MrzZ,https://api.spotify.com/v1/audio-analysis/7dANjnnwmtUSwF25J4MrzZ,311600,4
0.599,0.734,0,-4.615,1,0.0355,0.281,0,0.119,0.243,118.928,audio_features,5Y36csDNfP9gRThyyveiBT,spotify:track:5Y36csDNfP9gRThyyveiBT,https://api.spotify.com/v1/tracks/5Y36csDNfP9gRThyyveiBT,https://api.spotify.com/v1/audio-analysis/5Y36csDNfP9gRThyyveiBT,256147,4
0.641,0.854,7,-4.628,1,0.0274,0.132,0,0.1,0.679,114.433,audio_features,5BxeyZpeEHaFzlhefhWkqd,spotify:track:5BxeyZpeEHaFzlhefhWkqd,https://api.spotify.com/v1/tracks/5BxeyZpeEHaFzlhefhWkqd,https://api.spotify.com/v1/audio-analysis/5BxeyZpeEHaFzlhefhWkqd,274027,4
0.609,0.412,5,-13.47,0,0.0343,0.66,0.0283,0.133,0.797,86.949,audio_features,3Sm5TYFgMXyXwgAcY2xweX,spotify:track:3Sm5TYFgMXyXwgAcY2xweX,https://api.spotify.com/v1/tracks/3Sm5TYFgMXyXwgAcY2xweX,https://api.spotify.com/v1/audio-analysis/3Sm5TYFgMXyXwgAcY2xweX,260867,4
0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,audio_features,70YvYr2hGlS01bKRIho1HM,spotify:track:70YvYr2hGlS01bKRIho1HM,https://api.spotify.com/v1/tracks/70YvYr2hGlS01bKRIho1HM,https://api.spotify.com/v1/audio-analysis/70YvYr2hGlS01bKRIho1HM,230480,4
0.452,0.712,0,-9.511,1,0.0358,0.0282,0.622,0.125,0.439,116.997,audio_features,5WFJ17ke5ldHuM0X3J5ddz,spotify:track:5WFJ17ke5ldHuM0X3J5ddz,https://api.spotify.com/v1/tracks/5WFJ17ke5ldHuM0X3J5ddz,https://api.spotify.com/v1/audio-analysis/5WFJ17ke5ldHuM0X3J5ddz,335293,4
0.484,0.882,2,-4.456,1,0.0482,0.14,4.68e-06,0.124,0.777,105.059,audio_features,2tKvbXiqQM7aYhbpEWLbTf,spotify:track:2tKvbXiqQM7aYhbpEWLbTf,https://api.spotify.com/v1/tracks/2tKvbXiqQM7aYhbpEWLbTf,https://api.spotify.com/v1/audio-analysis/2tKvbXiqQM7aYhbpEWLbTf,281640,4
0.582,0.57,7,-7.928,1,0.0293,0.455,1.1e-05,0.148,0.596,86.997,audio_features,2Jg514bdH9PplDlrkbRuQI,spotify:track:2Jg514bdH9PplDlrkbRuQI,https://api.spotify.com/v1/tracks/2Jg514bdH9PplDlrkbRuQI,https://api.spotify.com/v1/audio-analysis/2Jg514bdH9PplDlrkbRuQI,257747,4
