danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.69,0.0477,11,-20.469,0,0.885,0.696,0,0.149,0.747,136.756,audio_features,75PfVeP18plFtnYWBqp5nA,spotify:track:75PfVeP18plFtnYWBqp5nA,https://api.spotify.com/v1/tracks/75PfVeP18plFtnYWBqp5nA,https://api.spotify.com/v1/audio-analysis/75PfVeP18plFtnYWBqp5nA,16586,3
0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,audio_features,4iLqG9SeJSnt0cSPICSjxv,spotify:track:4iLqG9SeJSnt0cSPICSjxv,https://api.spotify.com/v1/tracks/4iLqG9SeJSnt0cSPICSjxv,https://api.spotify.com/v1/audio-analysis/4iLqG9SeJSnt0cSPICSjxv,211475,4
0.751,0.768,1,-7.089,1,0.0346,0.052,0,0.0848,0.881,120.084,audio_features,2iuZJX9X9P0GKaE93xcPjk,spotify:track:2iuZJX9X9P0GKaE93xcPjk,https://api.spotify.com/v1/tracks/2iuZJX9X9P0GKaE93xcPjk,https://api.spotify.com/v1/audio-analysis/2iuZJX9X9P0GKaE93xcPjk,235493,4
0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017,audio_features,37FXw5QGFN7uwwsLy8uAc0,spotify:track:37FXw5QGFN7uwwsLy8uAc0,https://api.spotify.com/v1/tracks/37FXw5QGFN7uwwsLy8uAc0,https://api.spotify.com/v1/audio-analysis/37FXw5QGFN7uwwsLy8uAc0,217707,4
0.797,0.278,9,-10.66,1,0.942,0.59,0,0.354,0.842,78.198,audio_features,2pydVOP77yduShJbqo46Cs,spotify:track:2pydVOP77yduShJbqo46Cs,https://api.spotify.com/v1/tracks/2pydVOP77yduShJbqo46Cs,https://api.spotify.com/v1/audio-analysis/2pydVOP77yduShJbqo46Cs,51812,4
0.777,0.627,7,-6.142,1,0.0792,0.356,0,0.0956,0.444,100.054,audio_features,0AKejOKlGdiB53QpwAeenO,spotify:track:0AKejOKlGdiB53QpwAeenO,https://api.spotify.com/v1/tracks/0AKejOKlGdiB53QpwAeenO,https://api.spotify.com/v1/audio-analysis/0AKejOKlGdiB53QpwAeenO,214480,4
0.813,0.872,9,-5.224,1,0.107,0.00621,0,0.0498,0.736,103.016,audio_features,1COvXs6jaykXC73h9OSBVM,spotify:track:1COvXs6jaykXC73h9OSBVM,https://api.spotify.com/v1/tracks/1COvXs6jaykXC73h9OSBVM,https://api.spotify.com/v1/audio-analysis/1COvXs6jaykXC73h9OSBVM,171413,4
0.539,0.718,0,-4.054,1,0.0777,0.00221,0,0.542,0.577,127.924,audio_features,1Tfix64VDRzgF4jLApxgsy,spotify:track:1Tfix64VDRzgF4jLApxgsy,https://api.spotify.com/v1/tracks/1Tfix64VDRzgF4jLApxgsy,https://api.spotify.com/v1/audio-analysis/1Tfix64VDRzgF4jLApxgsy,185880,4
0.722,0.614,1,-4.519,1,0.191,0.5,0,0.0422,0.753,150.288,audio_features,02y4CADbBLKy1dpFsSeay5,spotify:track:02y4CADbBLKy1dpFsSeay5,https://api.spotify.com/v1/tracks/02y4CADbBLKy1dpFsSeay5,https://api.spotify.com/v1/audio-analysis/02y4CADbBLKy1dpFsSeay5,188560,4
0.7,0.714,9,-6.295,0,0.104,0.122,0,0.0428,0.458,99.909,audio_features,52yOf7Ls1u5AO3cFIzQ58m,spotify:track:52yOf7Ls1u5AO3cFIzQ58m,https://api.spotify.com/v1/tracks/52yOf7Ls1u5AO3cFIzQ58m,https://api.spotify.com/v1/audio-analysis/52yOf7Ls1u5AO3cFIzQ58m,234308,4
