danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.392,0.337,0,-9.68,1,0.0329,0.827,2.03e-05,0.114,0.19,80.364,audio_features,1oK521blRUrNIo4vgJbfGB,spotify:track:1oK521blRUrNIo4vgJbfGB,https://api.spotify.com/v1/tracks/1oK521blRUrNIo4vgJbfGB,https://api.spotify.com/v1/audio-analysis/1oK521blRUrNIo4vgJbfGB,207673,4
0.72,0.283,7,-12.0,1,0.0429,0.867,0,0.103,0.562,114.563,audio_features,3KSMRPYQq1dX2qUIXniM4N,spotify:track:3KSMRPYQq1dX2qUIXniM4N,https://api.spotify.com/v1/tracks/3KSMRPYQq1dX2qUIXniM4N,https://api.spotify.com/v1/audio-analysis/3KSMRPYQq1dX2qUIXniM4N,183213,4
0.531,0.116,2,-15.743,0,0.0318,0.935,0.0369,0.11,0.373,78.947,audio_features,3qEVk7Ml4AvG32KTI1Kwi0,spotify:track:3qEVk7Ml4AvG32KTI1Kwi0,https://api.spotify.com/v1/tracks/3qEVk7Ml4AvG32KTI1Kwi0,https://api.spotify.com/v1/audio-analysis/3qEVk7Ml4AvG32KTI1Kwi0,183298,4
0.677,0.36,9,-9.736,1,0.0311,0.899,5.68e-05,0.0847,0.684,97.665,audio_features,6RdsoPcGdlITDlvPdvAT0m,spotify:track:6RdsoPcGdlITDlvPdvAT0m,https://api.spotify.com/v1/tracks/6RdsoPcGdlITDlvPdvAT0m,https://api.spotify.com/v1/audio-analysis/6RdsoPcGdlITDlvPdvAT0m,201200,4
0.538,0.705,0,-5.663,1,0.0282,0.774,2.79e-06,0.144,0.886,79.561,audio_features,4028zJBYfwfeMDemUGxsn7,spotify:track:4028zJBYfwfeMDemUGxsn7,https://api.spotify.com/v1/tracks/4028zJBYfwfeMDemUGxsn7,https://api.spotify.com/v1/audio-analysis/4028zJBYfwfeMDemUGxsn7,170670,4
0.679,0.425,0,-12.024,1,0.0251,0.646,0.509,0.0933,0.453,90.487,audio_features,1Z0FpIlGRGQrC7rz2uwX6I,spotify:track:1Z0FpIlGRGQrC7rz2uwX6I,https://api.spotify.com/v1/tracks/1Z0FpIlGRGQrC7rz2uwX6I,https://api.spotify.com/v1/audio-analysis/1Z0FpIlGRGQrC7rz2uwX6I,250240,4
0.578,0.189,6,-13.538,0,0.0314,0.862,0.000566,0.119,0.487,103.285,audio_features,0ydBIMrsTiJLPcfrya7zOE,spotify:track:0ydBIMrsTiJLPcfrya7zOE,https://api.spotify.com/v1/tracks/0ydBIMrsTiJLPcfrya7zOE,https://api.spotify.com/v1/audio-analysis/0ydBIMrsTiJLPcfrya7zOE,226269,4
0.495,0.434,2,-8.079,1,0.0313,0.897,0.000393,0.109,0.23,82.16,audio_features,0YOOXnCJihgyluizqhAcrz,spotify:track:0YOOXnCJihgyluizqhAcrz,https://api.spotify.com/v1/tracks/0YOOXnCJihgyluizqhAcrz,https://api.spotify.com/v1/audio-analysis/0YOOXnCJihgyluizqhAcrz,180400,4
0.886,0.26,1,-11.676,1,0.0574,0.793,0.000429,0.0901,0.516,138.052,audio_features,5RmAtT0VaKttU0Eybo6ZWA,spotify:track:5RmAtT0VaKttU0Eybo6ZWA,https://api.spotify.com/v1/tracks/5RmAtT0VaKttU0Eybo6ZWA,https://api.spotify.com/v1/audio-analysis/5RmAtT0VaKttU0Eybo6ZWA,256560,4
0.532,0.546,5,-10.014,0,0.0352,0.431,0.553,0.107,0.834,180.192,audio_features,33gHvO5eLnhxKHgGDu6xu9,spotify:track:33gHvO5eLnhxKHgGDu6xu9,https://api.spotify.com/v1/tracks/33gHvO5eLnhxKHgGDu6xu9,https://api.spotify.com/v1/audio-analysis/33gHvO5eLnhxKHgGDu6xu9,201536,4
0.633,0.603,2,-8.624,1,0.028,0.779,0.00244,0.191,0.794,132.245,audio_features,6nnGWRHzscBMWQZjxokadI,spotify:track:6nnGWRHzscBMWQZjxokadI,https://api.spotify.com/v1/tracks/6nnGWRHzscBMWQZjxokadI,https://api.spotify.com/v1/audio-analysis/6nnGWRHzscBMWQZjxokadI,134436,4
0.472,0.363,0,-13.364,1,0.0495,0.936,0.929,0.102,0.508,89.704,audio_features,5tayXYH2tys0f8qISVTuEs,spotify:track:5tayXYH2tys0f8qISVTuEs,https://api.spotify.com/v1/tracks/5tayXYH2tys0f8qISVTuEs,https://api.spotify.com/v1/audio-analysis/5tayXYH2tys0f8qISVTuEs,211040,4
0.657,0.313,7,-11.372,1,0.0343,0.818,0,0.134,0.722,106.483,audio_features,3xWz5pehiWKGTsSJl7vzxT,spotify:track:3xWz5pehiWKGTsSJl7vzxT,https://api.spotify.com/v1/tracks/3xWz5pehiWKGTsSJl7vzxT,https://api.spotify.com/v1/audio-analysis/3xWz5pehiWKGTsSJl7vzxT,166643,4
0.594,0.601,0,-8.532,1,0.0391,0.18,0.000539,0.106,0.524,155.583,audio_features,7lP1EnhAspGUCjL5Qzh0iF,spotify:track:7lP1EnhAspGUCjL5Qzh0iF,https://api.spotify.com/v1/tracks/7lP1EnhAspGUCjL5Qzh0iF,https://api.spotify.com/v1/audio-analysis/7lP1EnhAspGUCjL5Qzh0iF,175973,4
0.445,0.202,3,-13.062,1,0.0336,0.973,0.000806,0.115,0.483,157.468,audio_features,6ebGwzYDtUWc2Hi5TEEjBF,spotify:track:6ebGwzYDtUWc2Hi5TEEjBF,https://api.spotify.com/v1/tracks/6ebGwzYDtUWc2Hi5TEEjBF,https://api.spotify.com/v1/audio-analysis/6ebGwzYDtUWc2Hi5TEEjBF,234453,4
0.585,0.621,5,-6.891,0,0.0282,0.000739,0.000281,0.137,0.817,98.774,audio_features,1W9ajfAm8yfatYEgQ17fR5,spotify:track:1W9ajfAm8yfatYEgQ17fR5,https://api.spotify.com/v1/tracks/1W9ajfAm8yfatYEgQ17fR5,https://api.spotify.com/v1/audio-analysis/1W9ajfAm8yfatYEgQ17fR5,142480,4
0.372,0.136,9,-12.842,1,0.0306,0.899,0,0.119,0.614,97.979,audio_features,2Pu0QRICEVszrrd8m9tUlg,spotify:track:2Pu0QRICEVszrrd8m9tUlg,https://api.spotify.com/v1/tracks/2Pu0QRICEVszrrd8m9tUlg,https://api.spotify.com/v1/audio-analysis/2Pu0QRICEVszrrd8m9tUlg,95500,4
0.376,0.336,4,-11.879,0,0.0317,0.617,4.96e-05,0.125,0.204,133.401,audio_features,42dwOfymo97MMLpaMXICVk,spotify:track:42dwOfymo97MMLpaMXICVk,https://api.spotify.com/v1/tracks/42dwOfymo97MMLpaMXICVk,https://api.spotify.com/v1/audio-analysis/42dwOfymo97MMLpaMXICVk,304200,4
0.576,0.853,9,-4.236,0,0.0343,0.418,0,0.11,0.966,128.35,audio_features,6yYs01DPxatBLLTIlAQKYA,spotify:track:6yYs01DPxatBLLTIlAQKYA,https://api.spotify.com/v1/tracks/6yYs01DPxatBLLTIlAQKYA,https://api.spotify.com/v1/audio-analysis/6yYs01DPxatBLLTIlAQKYA,152034,4
0.356,0.427,6,-11.084,1,0.034,0.769,0.000843,0.0857,0.299,171.95,audio_features,4wgjR20sS3eUtWXyRQrfKo,spotify:track:4wgjR20sS3eUtWXyRQrfKo,https://api.spotify.com/v1/tracks/4wgjR20sS3eUtWXyRQrfKo,https://api.spotify.com/v1/audio-analysis/4wgjR20sS3eUtWXyRQrfKo,190360,4
0.558,0.879,1,-8.754,0,0.0502,0.58,0.798,0.127,0.313,114.058,audio_features,6qOo5ulOMo1afciMYkw8cu,spotify:track:6qOo5ulOMo1afciMYkw8cu,https://api.spotify.com/v1/tracks/6qOo5ulOMo1afciMYkw8cu,https://api.spotify.com/v1/audio-analysis/6qOo5ulOMo1afciMYkw8cu,210573,4
0.409,0.645,2,-5.891,1,0.0245,0.718,0.00766,0.102,0.749,102.367,audio_features,7KrXRw2LwfRbbJpwmykDYv,spotify:track:7KrXRw2LwfRbbJpwmykDYv,https://api.spotify.com/v1/tracks/7KrXRw2LwfRbbJpwmykDYv,https://api.spotify.com/v1/audio-analysis/7KrXRw2LwfRbbJpwmykDYv,169393,4
0.642,0.23,6,-12.227,1,0.0289,0.954,0.000256,0.101,0.266,97.066,audio_features,11Lx6a0DsZx40t6JHgpOQU,spotify:track:11Lx6a0DsZx40t6JHgpOQU,https://api.spotify.com/v1/tracks/11Lx6a0DsZx40t6JHgpOQU,https://api.spotify.com/v1/audio-analysis/11Lx6a0DsZx40t6JHgpOQU,177880,4
0.613,0.499,11,-10.5,0,0.036,0.619,0.501,0.128,0.813,112.896,audio_features,0bfb4Ej5jyswy4ctArsoRe,spotify:track:0bfb4Ej5jyswy4ctArsoRe,https://api.spotify.com/v1/tracks/0bfb4Ej5jyswy4ctArsoRe,https://api.spotify.com/v1/audio-analysis/0bfb4Ej5jyswy4ctArsoRe,155482,4
0.468,0.47,9,-7.69,1,0.0492,0.739,0,0.362,0.584,159.969,audio_features,2GqSeimgymP8iH61onfjFY,spotify:track:2GqSeimgymP8iH61onfjFY,https://api.spotify.com/v1/tracks/2GqSeimgymP8iH61onfjFY,https://api.spotify.com/v1/audio-analysis/2GqSeimgymP8iH61onfjFY,206379,4
