danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.466,0.00472,5,-28.546,1,0.0531,0.992,0.938,0.0712,0.233,81.181,audio_features,181ybi6b0dYJBcQzETKv67,spotify:track:181ybi6b0dYJBcQzETKv67,https://api.spotify.com/v1/tracks/181ybi6b0dYJBcQzETKv67,https://api.spotify.com/v1/audio-analysis/181ybi6b0dYJBcQzETKv67,145812,4
0.477,0.0605,5,-23.884,0,0.0757,0.994,0.954,0.106,0.423,123.246,audio_features,0EChOlLf124aJR7AZH8t7c,spotify:track:0EChOlLf124aJR7AZH8t7c,https://api.spotify.com/v1/tracks/0EChOlLf124aJR7AZH8t7c,https://api.spotify.com/v1/audio-analysis/0EChOlLf124aJR7AZH8t7c,100051,3
0.705,0.121,7,-15.884,0,0.0774,0.993,0.918,0.156,0.374,120.056,audio_features,74fO1ufNT2oHl2EqKOKd4I,spotify:track:74fO1ufNT2oHl2EqKOKd4I,https://api.spotify.com/v1/tracks/74fO1ufNT2oHl2EqKOKd4I,https://api.spotify.com/v1/audio-analysis/74fO1ufNT2oHl2EqKOKd4I,145642,3
0.298,0.0366,8,-29.701,1,0.0465,0.994,0.938,0.109,0.282,72.209,audio_features,4t6PkD6UKAkvDhHw7uKjdC,spotify:track:4t6PkD6UKAkvDhHw7uKjdC,https://api.spotify.com/v1/tracks/4t6PkD6UKAkvDhHw7uKjdC,https://api.spotify.com/v1/audio-analysis/4t6PkD6UKAkvDhHw7uKjdC,131988,4
0.495,0.0406,3,-24.758,0,0.0499,0.991,0.928,0.104,0.144,151.974,audio_features,5C0pEMNp1Qr4LNDI3T7eVF,spotify:track:5C0pEMNp1Qr4LNDI3T7eVF,https://api.spotify.com/v1/tracks/5C0pEMNp1Qr4LNDI3T7eVF,https://api.spotify.com/v1/audio-analysis/5C0pEMNp1Qr4LNDI3T7eVF,197566,4
0.504,0.0379,10,-18.456,1,0.0521,0.988,0.948,0.108,0.431,135.183,audio_features,0xlEsMzBdsxaKBKKOmB5rz,spotify:track:0xlEsMzBdsxaKBKKOmB5rz,https://api.spotify.com/v1/tracks/0xlEsMzBdsxaKBKKOmB5rz,https://api.spotify.com/v1/audio-analysis/0xlEsMzBdsxaKBKKOmB5rz,111226,3
0.462,0.0352,4,-18.76,0,0.0402,0.993,0.946,0.12,0.249,130.987,audio_features,79OvrG2Ey6c7VDyG6JMvLE,spotify:track:79OvrG2Ey6c7VDyG6JMvLE,https://api.spotify.com/v1/tracks/79OvrG2Ey6c7VDyG6JMvLE,https://api.spotify.com/v1/audio-analysis/79OvrG2Ey6c7VDyG6JMvLE,140673,3
0.367,0.0171,0,-33.264,1,0.0351,0.994,0.884,0.0875,0.0911,67.504,audio_features,2u8bnIIQ0UrNeHgdIm7HuK,spotify:track:2u8bnIIQ0UrNeHgdIm7HuK,https://api.spotify.com/v1/tracks/2u8bnIIQ0UrNeHgdIm7HuK,https://api.spotify.com/v1/audio-analysis/2u8bnIIQ0UrNeHgdIm7HuK,144600,1
0.741,0.0076,9,-28.167,0,0.102,0.996,0.964,0.151,0.146,70.063,audio_features,2BA9lxm5WcM1Ek98E70gav,spotify:track:2BA9lxm5WcM1Ek98E70gav,https://api.spotify.com/v1/tracks/2BA9lxm5WcM1Ek98E70gav,https://api.spotify.com/v1/audio-analysis/2BA9lxm5WcM1Ek98E70gav,136286,3
0.661,0.00978,5,-21.693,1,0.114,0.986,0.965,0.12,0.351,68.185,audio_features,2Y3nbZeF9ENeugN0jSMUUw,spotify:track:2Y3nbZeF9ENeugN0jSMUUw,https://api.spotify.com/v1/tracks/2Y3nbZeF9ENeugN0jSMUUw,https://api.spotify.com/v1/audio-analysis/2Y3nbZeF9ENeugN0jSMUUw,168266,4
