danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.155,0.0369,7,-29.795,0,0.0418,0.977,0.984,0.101,0.0373,106.665,audio_features,4pzK8bFo1sgi4f5BJWb7ih,spotify:track:4pzK8bFo1sgi4f5BJWb7ih,https://api.spotify.com/v1/tracks/4pzK8bFo1sgi4f5BJWb7ih,https://api.spotify.com/v1/audio-analysis/4pzK8bFo1sgi4f5BJWb7ih,114913,4
0.33,0.229,9,-16.442,0,0.0375,0.948,0.973,0.0998,0.0593,96.158,audio_features,18z7tK7u9DcDw85LYRR5Fe,spotify:track:18z7tK7u9DcDw85LYRR5Fe,https://api.spotify.com/v1/tracks/18z7tK7u9DcDw85LYRR5Fe,https://api.spotify.com/v1/audio-analysis/18z7tK7u9DcDw85LYRR5Fe,126960,4
0.281,0.0284,5,-28.816,1,0.0529,0.98,0.912,0.104,0.0337,127.149,audio_features,7yeLDO8LYVCvIFYM7vlJ4F,spotify:track:7yeLDO8LYVCvIFYM7vlJ4F,https://api.spotify.com/v1/tracks/7yeLDO8LYVCvIFYM7vlJ4F,https://api.spotify.com/v1/audio-analysis/7yeLDO8LYVCvIFYM7vlJ4F,256608,1
0.0926,0.206,2,-18.415,0,0.0483,0.829,0.702,0.0973,0.0377,88.018,audio_features,2RVLIVL5rcgTfReW8Wckvw,spotify:track:2RVLIVL5rcgTfReW8Wckvw,https://api.spotify.com/v1/tracks/2RVLIVL5rcgTfReW8Wckvw,https://api.spotify.com/v1/audio-analysis/2RVLIVL5rcgTfReW8Wckvw,310037,4
0.192,0.117,2,-23.111,0,0.0472,0.163,0.936,0.114,0.0539,72.655,audio_features,63XWBP50fCjsP52MLnIpKm,spotify:track:63XWBP50fCjsP52MLnIpKm,https://api.spotify.com/v1/tracks/63XWBP50fCjsP52MLnIpKm,https://api.spotify.com/v1/audio-analysis/63XWBP50fCjsP52MLnIpKm,265693,4
0.113,0.0731,11,-18.331,0,0.0403,0.836,0.65,0.0607,0.0379,64.925,audio_features,0j7Iwtj1a6tOYLqMyMPuCp,spotify:track:0j7Iwtj1a6tOYLqMyMPuCp,https://api.spotify.com/v1/tracks/0j7Iwtj1a6tOYLqMyMPuCp,https://api.spotify.com/v1/audio-analysis/0j7Iwtj1a6tOYLqMyMPuCp,330238,4
0.334,0.283,6,-17.184,0,0.0338,0.88,0.89,0.121,0.0366,111.642,audio_features,4NkxNXR19hl20qlB2DOgAx,spotify:track:4NkxNXR19hl20qlB2DOgAx,https://api.spotify.com/v1/tracks/4NkxNXR19hl20qlB2DOgAx,https://api.spotify.com/v1/audio-analysis/4NkxNXR19hl20qlB2DOgAx,431413,4
0.0968,0.228,1,-17.969,1,0.0395,0.287,0.785,0.0816,0.0342,62.224,audio_features,54PR3LJ79jzUqc5aYgG5Bv,spotify:track:54PR3LJ79jzUqc5aYgG5Bv,https://api.spotify.com/v1/tracks/54PR3LJ79jzUqc5aYgG5Bv,https://api.spotify.com/v1/audio-analysis/54PR3LJ79jzUqc5aYgG5Bv,126080,4
0.173,0.409,7,-9.459,1,0.0369,0.011,0.813,0.0972,0.0361,119.46,audio_features,50ExtKr8j9cHTY3OEw282G,spotify:track:50ExtKr8j9cHTY3OEw282G,https://api.spotify.com/v1/tracks/50ExtKr8j9cHTY3OEw282G,https://api.spotify.com/v1/audio-analysis/50ExtKr8j9cHTY3OEw282G,284834,4
0.186,0.00426,7,-20.593,1,0.0449,0.931,0.96,0.0952,0.0285,111.936,audio_features,2kk3Lyl3HUNcNqNvfGGiYr,spotify:track:2kk3Lyl3HUNcNqNvfGGiYr,https://api.spotify.com/v1/tracks/2kk3Lyl3HUNcNqNvfGGiYr,https://api.spotify.com/v1/audio-analysis/2kk3Lyl3HUNcNqNvfGGiYr,289549,4
