danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.679,0.492,11,-6.291,0,0.0353,0.0367,0.000153,0.0778,0.453,104.786,audio_features,6kaPNiBCzWGzY2QoZl4PtR,spotify:track:6kaPNiBCzWGzY2QoZl4PtR,https://api.spotify.com/v1/tracks/6kaPNiBCzWGzY2QoZl4PtR,https://api.spotify.com/v1/audio-analysis/6kaPNiBCzWGzY2QoZl4PtR,187453,4
0.389,0.696,5,-5.251,1,0.0402,0.0619,0.43,0.546,0.65,153.245,audio_features,1oy0UIGzuqIPBkOsjojeJ1,spotify:track:1oy0UIGzuqIPBkOsjojeJ1,https://api.spotify.com/v1/tracks/1oy0UIGzuqIPBkOsjojeJ1,https://api.spotify.com/v1/audio-analysis/1oy0UIGzuqIPBkOsjojeJ1,242093,5
0.551,0.825,2,-5.813,1,0.0306,0.000614,0.307,0.115,0.686,107.031,audio_features,1zXpHPdBAUxnOCQqFMFLk3,spotify:track:1zXpHPdBAUxnOCQqFMFLk3,https://api.spotify.com/v1/tracks/1zXpHPdBAUxnOCQqFMFLk3,https://api.spotify.com/v1/audio-analysis/1zXpHPdBAUxnOCQqFMFLk3,247280,4
0.352,0.45,5,-9.881,1,0.0293,0.546,0.127,0.283,0.114,86.937,audio_features,1JxNWpK9xTWKRPoYTIX4Qk,spotify:track:1JxNWpK9xTWKRPoYTIX4Qk,https://api.spotify.com/v1/tracks/1JxNWpK9xTWKRPoYTIX4Qk,https://api.spotify.com/v1/audio-analysis/1JxNWpK9xTWKRPoYTIX4Qk,274200,4
0.588,0.507,7,-8.15,1,0.0297,0.0521,0.722,0.188,0.515,128.041,audio_features,1LAzF3sa7k3QrOKtpCVgLJ,spotify:track:1LAzF3sa7k3QrOKtpCVgLJ,https://api.spotify.com/v1/tracks/1LAzF3sa7k3QrOKtpCVgLJ,https://api.spotify.com/v1/audio-analysis/1LAzF3sa7k3QrOKtpCVgLJ,222409,4
0.596,0.894,0,-5.407,1,0.0265,0.00878,0.00659,0.104,0.572,132.994,audio_features,36PQh1G6h7n9VWB799fXpI,spotify:track:36PQh1G6h7n9VWB799fXpI,https://api.spotify.com/v1/tracks/36PQh1G6h7n9VWB799fXpI,https://api.spotify.com/v1/audio-analysis/36PQh1G6h7n9VWB799fXpI,260387,5
0.537,0.712,5,-5.597,1,0.0286,0.289,0.00568,0.08,0.704,159.871,audio_features,0iTpQYzJnYgh7kIxyq8A2O,spotify:track:0iTpQYzJnYgh7kIxyq8A2O,https://api.spotify.com/v1/tracks/0iTpQYzJnYgh7kIxyq8A2O,https://api.spotify.com/v1/audio-analysis/0iTpQYzJnYgh7kIxyq8A2O,243160,4
0.689,0.617,4,-5.196,1,0.0289,0.0918,2.02e-05,0.0816,0.682,121.062,audio_features,5ftdTvmQjjsL23t7jxADfI,spotify:track:5ftdTvmQjjsL23t7jxADfI,https://api.spotify.com/v1/tracks/5ftdTvmQjjsL23t7jxADfI,https://api.spotify.com/v1/audio-analysis/5ftdTvmQjjsL23t7jxADfI,252307,4
0.561,0.687,9,-6.336,1,0.0292,0.00791,0.0225,0.08,0.792,128.569,audio_features,1Buh8ZFWaCoE6Yh3LhKZ4v,spotify:track:1Buh8ZFWaCoE6Yh3LhKZ4v,https://api.spotify.com/v1/tracks/1Buh8ZFWaCoE6Yh3LhKZ4v,https://api.spotify.com/v1/audio-analysis/1Buh8ZFWaCoE6Yh3LhKZ4v,191712,4
0.516,0.671,0,-8.727,1,0.0328,0.248,0.000228,0.12,0.531,139.462,audio_features,6qoGbqtZFYaQHqAfPrF18e,spotify:track:6qoGbqtZFYaQHqAfPrF18e,https://api.spotify.com/v1/tracks/6qoGbqtZFYaQHqAfPrF18e,https://api.spotify.com/v1/audio-analysis/6qoGbqtZFYaQHqAfPrF18e,185587,4
0.621,0.661,0,-7.811,1,0.045,0.0467,0.0251,0.171,0.778,128.045,audio_features,4YKGc1movjOlnDQCVZ1L6H,spotify:track:4YKGc1movjOlnDQCVZ1L6H,https://api.spotify.com/v1/tracks/4YKGc1movjOlnDQCVZ1L6H,https://api.spotify.com/v1/audio-analysis/4YKGc1movjOlnDQCVZ1L6H,192080,4
0.438,0.806,5,-5.717,1,0.0395,0.365,0.0551,0.237,0.489,96.156,audio_features,2ARB3fKvRkMGhAtZuTnE5J,spotify:track:2ARB3fKvRkMGhAtZuTnE5J,https://api.spotify.com/v1/tracks/2ARB3fKvRkMGhAtZuTnE5J,https://api.spotify.com/v1/audio-analysis/2ARB3fKvRkMGhAtZuTnE5J,317427,3
0.593,0.558,2,-11.182,1,0.052,5.17e-05,0.774,0.0989,0.981,155.032,audio_features,3GJhE5Y54FYX0np1j4eyiD,spotify:track:3GJhE5Y54FYX0np1j4eyiD,https://api.spotify.com/v1/tracks/3GJhE5Y54FYX0np1j4eyiD,https://api.spotify.com/v1/audio-analysis/3GJhE5Y54FYX0np1j4eyiD,138347,4
0.576,0.609,7,-5.921,1,0.107,0.303,0,0.164,0.737,86.703,audio_features,0ewrI06EIDMGXvgJxuyF3U,spotify:track:0ewrI06EIDMGXvgJxuyF3U,https://api.spotify.com/v1/tracks/0ewrI06EIDMGXvgJxuyF3U,https://api.spotify.com/v1/audio-analysis/0ewrI06EIDMGXvgJxuyF3U,212800,4
0.688,0.771,1,-4.463,1,0.0291,0.056,0.000106,0.0561,0.481,100.01,audio_features,4ZFHITy0bAeZ3oFfvR0HaI,spotify:track:4ZFHITy0bAeZ3oFfvR0HaI,https://api.spotify.com/v1/tracks/4ZFHITy0bAeZ3oFfvR0HaI,https://api.spotify.com/v1/audio-analysis/4ZFHITy0bAeZ3oFfvR0HaI,226933,4
