danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.858,0.751,10,-5.221,1,0.0808,0.177,0,0.14,0.709,92.062,audio_features,3slazms3TpwswQBlwZ20hb,spotify:track:3slazms3TpwswQBlwZ20hb,https://api.spotify.com/v1/tracks/3slazms3TpwswQBlwZ20hb,https://api.spotify.com/v1/audio-analysis/3slazms3TpwswQBlwZ20hb,226749,4
0.771,0.825,0,-4.009,1,0.0441,0.305,0,0.11,0.812,92.009,audio_features,4efQTJSX6Jca1hHZNi74Zd,spotify:track:4efQTJSX6Jca1hHZNi74Zd,https://api.spotify.com/v1/tracks/4efQTJSX6Jca1hHZNi74Zd,https://api.spotify.com/v1/audio-analysis/4efQTJSX6Jca1hHZNi74Zd,215052,4
0.792,0.822,4,-2.825,0,0.0512,0.525,0,0.132,0.773,95.021,audio_features,2BesEfIHzUb7viZwUkSAhE,spotify:track:2BesEfIHzUb7viZwUkSAhE,https://api.spotify.com/v1/tracks/2BesEfIHzUb7viZwUkSAhE,https://api.spotify.com/v1/audio-analysis/2BesEfIHzUb7viZwUkSAhE,207024,4
0.907,0.541,1,-4.692,0,0.102,0.239,3.4e-06,0.0895,0.338,124.002,audio_features,1GpBcCRShuLTp4gz1Udc8n,spotify:track:1GpBcCRShuLTp4gz1Udc8n,https://api.spotify.com/v1/tracks/1GpBcCRShuLTp4gz1Udc8n,https://api.spotify.com/v1/audio-analysis/1GpBcCRShuLTp4gz1Udc8n,252373,4
0.822,0.814,4,-4.995,0,0.101,0.19,0,0.229,0.433,93.979,audio_features,5ommnX8qOlbjRspCEFkn57,spotify:track:5ommnX8qOlbjRspCEFkn57,https://api.spotify.com/v1/tracks/5ommnX8qOlbjRspCEFkn57,https://api.spotify.com/v1/audio-analysis/5ommnX8qOlbjRspCEFkn57,205679,4
0.82,0.788,6,-5.478,0,0.191,0.272,1.65e-06,0.0404,0.648,93.961,audio_features,0tDSgSmZsbxCkdkfUPjg59,spotify:track:0tDSgSmZsbxCkdkfUPjg59,https://api.spotify.com/v1/tracks/0tDSgSmZsbxCkdkfUPjg59,https://api.spotify.com/v1/audio-analysis/0tDSgSmZsbxCkdkfUPjg59,195573,4
0.831,0.73,6,-3.714,1,0.0573,0.225,0,0.0679,0.492,94.009,audio_features,4F85m7YhgAsifa91zamuvt,spotify:track:4F85m7YhgAsifa91zamuvt,https://api.spotify.com/v1/tracks/4F85m7YhgAsifa91zamuvt,https://api.spotify.com/v1/audio-analysis/4F85m7YhgAsifa91zamuvt,229853,4
0.779,0.812,1,-4.387,1,0.0511,0.229,0,0.28,0.691,91.988,audio_features,3cGLxeOmBpqCKxXLmgwtFS,spotify:track:3cGLxeOmBpqCKxXLmgwtFS,https://api.spotify.com/v1/tracks/3cGLxeOmBpqCKxXLmgwtFS,https://api.spotify.com/v1/audio-analysis/3cGLxeOmBpqCKxXLmgwtFS,228266,4
0.655,0.66,7,-7.183,0,0.15,0.0638,0,0.154,0.348,186.033,audio_features,3QpO9BhT8KgsEynSZkyngk,spotify:track:3QpO9BhT8KgsEynSZkyngk,https://api.spotify.com/v1/tracks/3QpO9BhT8KgsEynSZkyngk,https://api.spotify.com/v1/audio-analysis/3QpO9BhT8KgsEynSZkyngk,225893,4
0.816,0.614,0,-4.699,0,0.0497,0.445,0,0.386,0.336,118.074,audio_features,7MWdzTTeGQF7xsXB25DIjS,spotify:track:7MWdzTTeGQF7xsXB25DIjS,https://api.spotify.com/v1/tracks/7MWdzTTeGQF7xsXB25DIjS,https://api.spotify.com/v1/audio-analysis/7MWdzTTeGQF7xsXB25DIjS,248240,4
0.711,0.841,6,-4.775,0,0.0917,0.231,9.85e-05,0.191,0.964,176.027,audio_features,3tI4duDhHmmz1Sp7RX0Jbq,spotify:track:3tI4duDhHmmz1Sp7RX0Jbq,https://api.spotify.com/v1/tracks/3tI4duDhHmmz1Sp7RX0Jbq,https://api.spotify.com/v1/audio-analysis/3tI4duDhHmmz1Sp7RX0Jbq,257880,4
0.726,0.753,10,-4.544,1,0.0599,0.193,7.36e-06,0.3,0.855,180.065,audio_features,6vqzOkMY63jhyUXSXodgZU,spotify:track:6vqzOkMY63jhyUXSXodgZU,https://api.spotify.com/v1/tracks/6vqzOkMY63jhyUXSXodgZU,https://api.spotify.com/v1/audio-analysis/6vqzOkMY63jhyUXSXodgZU,279440,4
0.746,0.892,2,-3.688,1,0.0803,0.152,0,0.142,0.853,179.995,audio_features,108CV7XyOKCyTM7rP7vYLD,spotify:track:108CV7XyOKCyTM7rP7vYLD,https://api.spotify.com/v1/tracks/108CV7XyOKCyTM7rP7vYLD,https://api.spotify.com/v1/audio-analysis/108CV7XyOKCyTM7rP7vYLD,234987,4
0.743,0.821,3,-6.047,0,0.06,0.423,0,0.325,0.828,82.061,audio_features,20fQVuio8RcGPleqONoGx6,spotify:track:20fQVuio8RcGPleqONoGx6,https://api.spotify.com/v1/tracks/20fQVuio8RcGPleqONoGx6,https://api.spotify.com/v1/audio-analysis/20fQVuio8RcGPleqONoGx6,218000,4
0.846,0.852,6,-4.982,1,0.246,0.0187,1.15e-06,0.0989,0.851,127.992,audio_features,1y0aylGvfFqaWqeZKQWImp,spotify:track:1y0aylGvfFqaWqeZKQWImp,https://api.spotify.com/v1/tracks/1y0aylGvfFqaWqeZKQWImp,https://api.spotify.com/v1/audio-analysis/1y0aylGvfFqaWqeZKQWImp,192427,4
0.8,0.703,1,-5.972,0,0.104,0.245,0,0.105,0.346,95.999,audio_features,08HC5yL0XpxfXr8Hy3eFlF,spotify:track:08HC5yL0XpxfXr8Hy3eFlF,https://api.spotify.com/v1/tracks/08HC5yL0XpxfXr8Hy3eFlF,https://api.spotify.com/v1/audio-analysis/08HC5yL0XpxfXr8Hy3eFlF,249787,4
0.859,0.79,1,-4.317,0,0.13,0.17,4.44e-06,0.288,0.773,93.99,audio_features,4Gw4Ewchd7h74Yeawx973A,spotify:track:4Gw4Ewchd7h74Yeawx973A,https://api.spotify.com/v1/tracks/4Gw4Ewchd7h74Yeawx973A,https://api.spotify.com/v1/audio-analysis/4Gw4Ewchd7h74Yeawx973A,212866,4
0.783,0.831,9,-3.465,0,0.0372,0.214,5.38e-05,0.263,0.655,93.997,audio_features,6Z0LS8Qts9v9sR7N8yt7Ig,spotify:track:6Z0LS8Qts9v9sR7N8yt7Ig,https://api.spotify.com/v1/tracks/6Z0LS8Qts9v9sR7N8yt7Ig,https://api.spotify.com/v1/audio-analysis/6Z0LS8Qts9v9sR7N8yt7Ig,221440,4
0.772,0.698,11,-5.78,0,0.149,0.118,0,0.368,0.619,89.006,audio_features,2BsAHJTXOf4NDI8hBUg1HB,spotify:track:2BsAHJTXOf4NDI8hBUg1HB,https://api.spotify.com/v1/tracks/2BsAHJTXOf4NDI8hBUg1HB,https://api.spotify.com/v1/audio-analysis/2BsAHJTXOf4NDI8hBUg1HB,357330,4
0.88,0.839,9,-5.911,1,0.102,0.14,1.43e-05,0.0981,0.512,94.032,audio_features,7xzcR7ChznJF5KgDS7exYA,spotify:track:7xzcR7ChznJF5KgDS7exYA,https://api.spotify.com/v1/tracks/7xzcR7ChznJF5KgDS7exYA,https://api.spotify.com/v1/audio-analysis/7xzcR7ChznJF5KgDS7exYA,164693,4
0.829,0.904,9,-3.51,0,0.0535,0.0661,1.64e-06,0.343,0.595,94.021,audio_features,2PyuytS9WHUXcqzR1lJYV0,spotify:track:2PyuytS9WHUXcqzR1lJYV0,https://api.spotify.com/v1/tracks/2PyuytS9WHUXcqzR1lJYV0,https://api.spotify.com/v1/audio-analysis/2PyuytS9WHUXcqzR1lJYV0,228813,4
0.834,0.691,6,-5.842,0,0.165,0.179,0,0.255,0.601,90.972,audio_features,5ZxiEu4PzqELNBjmamqcmn,spotify:track:5ZxiEu4PzqELNBjmamqcmn,https://api.spotify.com/v1/tracks/5ZxiEu4PzqELNBjmamqcmn,https://api.spotify.com/v1/audio-analysis/5ZxiEu4PzqELNBjmamqcmn,214693,4
0.7,0.792,1,-3.558,1,0.0862,0.135,0,0.0693,0.873,174.004,audio_features,7gPzoGVxtO7uuEtuNl4oao,spotify:track:7gPzoGVxtO7uuEtuNl4oao,https://api.spotify.com/v1/tracks/7gPzoGVxtO7uuEtuNl4oao,https://api.spotify.com/v1/audio-analysis/7gPzoGVxtO7uuEtuNl4oao,260232,4
0.805,0.805,6,-5.522,0,0.0987,0.073,0.000511,0.234,0.514,98.978,audio_features,0Q9oXksYs1WWthQfD68MSu,spotify:track:0Q9oXksYs1WWthQfD68MSu,https://api.spotify.com/v1/tracks/0Q9oXksYs1WWthQfD68MSu,https://api.spotify.com/v1/audio-analysis/0Q9oXksYs1WWthQfD68MSu,219293,4
0.673,0.89,4,-5.031,1,0.0362,0.00251,0.000163,0.0597,0.883,89.957,audio_features,6ZX2j3kwpEVI4kf8EjSsJk,spotify:track:6ZX2j3kwpEVI4kf8EjSsJk,https://api.spotify.com/v1/tracks/6ZX2j3kwpEVI4kf8EjSsJk,https://api.spotify.com/v1/audio-analysis/6ZX2j3kwpEVI4kf8EjSsJk,194293,4
0.832,0.733,4,-7.199,0,0.0784,0.0152,0.00278,0.0617,0.32,115.997,audio_features,5Al0idBzvmaZgncvLcHT7Z,spotify:track:5Al0idBzvmaZgncvLcHT7Z,https://api.spotify.com/v1/tracks/5Al0idBzvmaZgncvLcHT7Z,https://api.spotify.com/v1/audio-analysis/5Al0idBzvmaZgncvLcHT7Z,174280,4
0.784,0.7,4,-5.876,0,0.163,0.221,0,0.338,0.59,89.993,audio_features,1Ijx74YacGt4KgF7mHbMlG,spotify:track:1Ijx74YacGt4KgF7mHbMlG,https://api.spotify.com/v1/tracks/1Ijx74YacGt4KgF7mHbMlG,https://api.spotify.com/v1/audio-analysis/1Ijx74YacGt4KgF7mHbMlG,180000,4
0.767,0.784,1,-2.71,1,0.0745,0.0609,0,0.402,0.696,134.946,audio_features,3AmsRXF45NfjOE9M1sqSXO,spotify:track:3AmsRXF45NfjOE9M1sqSXO,https://api.spotify.com/v1/tracks/3AmsRXF45NfjOE9M1sqSXO,https://api.spotify.com/v1/audio-analysis/3AmsRXF45NfjOE9M1sqSXO,190929,4
0.795,0.916,4,-6.051,0,0.0489,0.00201,9.86e-06,0.303,0.851,119.966,audio_features,6g1smUp6ejPkCPZ1J3vkTf,spotify:track:6g1smUp6ejPkCPZ1J3vkTf,https://api.spotify.com/v1/tracks/6g1smUp6ejPkCPZ1J3vkTf,https://api.spotify.com/v1/audio-analysis/6g1smUp6ejPkCPZ1J3vkTf,207280,4
0.908,0.81,1,-6.753,0,0.132,0.347,3.49e-05,0.268,0.76,95.006,audio_features,7uCZiUZqnKSGBnr3YZTcxA,spotify:track:7uCZiUZqnKSGBnr3YZTcxA,https://api.spotify.com/v1/tracks/7uCZiUZqnKSGBnr3YZTcxA,https://api.spotify.com/v1/audio-analysis/7uCZiUZqnKSGBnr3YZTcxA,195200,4
0.659,0.88,2,-4.254,1,0.0595,0.0383,0.176,0.102,0.652,179.985,audio_features,50JYk1mnIkosI80PKyqZmV,spotify:track:50JYk1mnIkosI80PKyqZmV,https://api.spotify.com/v1/tracks/50JYk1mnIkosI80PKyqZmV,https://api.spotify.com/v1/audio-analysis/50JYk1mnIkosI80PKyqZmV,252107,4
0.781,0.881,7,-3.816,1,0.173,0.124,0,0.245,0.7,125.057,audio_features,5KMoHHy3cQLGNHRZDPFtRf,spotify:track:5KMoHHy3cQLGNHRZDPFtRf,https://api.spotify.com/v1/tracks/5KMoHHy3cQLGNHRZDPFtRf,https://api.spotify.com/v1/audio-analysis/5KMoHHy3cQLGNHRZDPFtRf,219467,4
