danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.728,0.539,2,-5.769,1,0.0525,0.0289,2.06e-06,0.325,0.33,95.019,audio_features,1C6ZvjS6v0eQewUo8qcDng,spotify:track:1C6ZvjS6v0eQewUo8qcDng,https://api.spotify.com/v1/tracks/1C6ZvjS6v0eQewUo8qcDng,https://api.spotify.com/v1/audio-analysis/1C6ZvjS6v0eQewUo8qcDng,206658,4
0.623,0.523,0,-8.584,0,0.0642,0.158,0.00564,0.103,0.355,95.082,audio_features,0VNnBZ38zjzocbXWANxqOQ,spotify:track:0VNnBZ38zjzocbXWANxqOQ,https://api.spotify.com/v1/tracks/0VNnBZ38zjzocbXWANxqOQ,https://api.spotify.com/v1/audio-analysis/0VNnBZ38zjzocbXWANxqOQ,285857,4
0.689,0.521,0,-5.845,1,0.132,0.119,8.41e-05,0.108,0.178,95.055,audio_features,6TaqooOXAEcijL6G1AWS2K,spotify:track:6TaqooOXAEcijL6G1AWS2K,https://api.spotify.com/v1/tracks/6TaqooOXAEcijL6G1AWS2K,https://api.spotify.com/v1/audio-analysis/6TaqooOXAEcijL6G1AWS2K,229747,4
0.777,0.524,8,-6.549,1,0.037,0.0135,8.38e-06,0.129,0.617,94.959,audio_features,0xx2lOJwl6sbIzqu1ZduIC,spotify:track:0xx2lOJwl6sbIzqu1ZduIC,https://api.spotify.com/v1/tracks/0xx2lOJwl6sbIzqu1ZduIC,https://api.spotify.com/v1/audio-analysis/0xx2lOJwl6sbIzqu1ZduIC,173081,4
0.582,0.729,1,-6.638,1,0.0339,0.0211,0.0705,0.0696,0.398,117.978,audio_features,3Of7NOmnY7T8G3rEUQshdz,spotify:track:3Of7NOmnY7T8G3rEUQshdz,https://api.spotify.com/v1/tracks/3Of7NOmnY7T8G3rEUQshdz,https://api.spotify.com/v1/audio-analysis/3Of7NOmnY7T8G3rEUQshdz,225845,4
0.576,0.445,10,-9.981,0,0.223,0.282,0,0.7,0.612,94.962,audio_features,2wknuokNRAnUPoNmYe0shu,spotify:track:2wknuokNRAnUPoNmYe0shu,https://api.spotify.com/v1/tracks/2wknuokNRAnUPoNmYe0shu,https://api.spotify.com/v1/audio-analysis/2wknuokNRAnUPoNmYe0shu,203880,4
0.6,0.77,1,-5.209,1,0.0278,0.348,0.95,0.168,0.788,111.127,audio_features,5q5kJjS2PE1gPS9AH9T2oF,spotify:track:5q5kJjS2PE1gPS9AH9T2oF,https://api.spotify.com/v1/tracks/5q5kJjS2PE1gPS9AH9T2oF,https://api.spotify.com/v1/audio-analysis/5q5kJjS2PE1gPS9AH9T2oF,144773,4
0.662,0.373,11,-12.797,1,0.0468,0.947,0.926,0.114,0.0746,95.002,audio_features,3r1lPGWYshJ3lDMLJ0SgzW,spotify:track:3r1lPGWYshJ3lDMLJ0SgzW,https://api.spotify.com/v1/tracks/3r1lPGWYshJ3lDMLJ0SgzW,https://api.spotify.com/v1/audio-analysis/3r1lPGWYshJ3lDMLJ0SgzW,268627,3
0.788,0.534,8,-7.866,0,0.0379,0.0047,0.113,0.056,0.498,95.986,audio_features,3cJ1OmQXzZFd6vPxILAEbZ,spotify:track:3cJ1OmQXzZFd6vPxILAEbZ,https://api.spotify.com/v1/tracks/3cJ1OmQXzZFd6vPxILAEbZ,https://api.spotify.com/v1/audio-analysis/3cJ1OmQXzZFd6vPxILAEbZ,205720,4
0.314,0.378,5,-14.275,0,0.03,0.608,0.562,0.103,0.395,92.438,audio_features,5TPGNQ5YIuc9ssbY0MCTtW,spotify:track:5TPGNQ5YIuc9ssbY0MCTtW,https://api.spotify.com/v1/tracks/5TPGNQ5YIuc9ssbY0MCTtW,https://api.spotify.com/v1/audio-analysis/5TPGNQ5YIuc9ssbY0MCTtW,299200,4
