danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.689,0.182,1,-21.661,0,0.913,0.62,4.41e-05,0.178,0.491,103.658,audio_features,4frhhNdw9CqvsJqWdQg1kZ,spotify:track:4frhhNdw9CqvsJqWdQg1kZ,https://api.spotify.com/v1/tracks/4frhhNdw9CqvsJqWdQg1kZ,https://api.spotify.com/v1/audio-analysis/4frhhNdw9CqvsJqWdQg1kZ,574158,4
0.588,0.231,0,-13.479,1,0.217,0.886,0,0.334,0.547,113.644,audio_features,4zD9OOsl1Hz4g0P8zDZp9R,spotify:track:4zD9OOsl1Hz4g0P8zDZp9R,https://api.spotify.com/v1/tracks/4zD9OOsl1Hz4g0P8zDZp9R,https://api.spotify.com/v1/audio-analysis/4zD9OOsl1Hz4g0P8zDZp9R,247093,4
0.465,0.326,0,-24.668,1,0.483,0.52,1.74e-05,0.0645,0.134,80.729,audio_features,1LOEa9lc84aaHbSi8K8MBt,spotify:track:1LOEa9lc84aaHbSi8K8MBt,https://api.spotify.com/v1/tracks/1LOEa9lc84aaHbSi8K8MBt,https://api.spotify.com/v1/audio-analysis/1LOEa9lc84aaHbSi8K8MBt,723160,4
0.647,0.264,9,-11.621,1,0.953,0.795,0,0.389,0.263,71.481,audio_features,7H6TODbeHNHJTi72xlT5Ly,spotify:track:7H6TODbeHNHJTi72xlT5Ly,https://api.spotify.com/v1/tracks/7H6TODbeHNHJTi72xlT5Ly,https://api.spotify.com/v1/audio-analysis/7H6TODbeHNHJTi72xlT5Ly,327333,4
0.534,0.383,6,-9.932,1,0.74,0.989,0.625,0.107,0.531,74.62,audio_features,4u1T0uJyILHxjaq6dNrqba,spotify:track:4u1T0uJyILHxjaq6dNrqba,https://api.spotify.com/v1/tracks/4u1T0uJyILHxjaq6dNrqba,https://api.spotify.com/v1/audio-analysis/4u1T0uJyILHxjaq6dNrqba,3486400,4
0.706,0.218,0,-17.608,1,0.908,0.354,0,0.0924,0.47,133.4,audio_features,4VfIAZTXrv47d75H6xZ3HD,spotify:track:4VfIAZTXrv47d75H6xZ3HD,https://api.spotify.com/v1/tracks/4VfIAZTXrv47d75H6xZ3HD,https://api.spotify.com/v1/audio-analysis/4VfIAZTXrv47d75H6xZ3HD,882412,4
0.725,0.296,3,-14.057,1,0.954,0.632,0,0.254,0.463,125.064,audio_features,7fnOmCkC85DJdnMBamnxue,spotify:track:7fnOmCkC85DJdnMBamnxue,https://api.spotify.com/v1/tracks/7fnOmCkC85DJdnMBamnxue,https://api.spotify.com/v1/audio-analysis/7fnOmCkC85DJdnMBamnxue,736093,3
0.259,0.183,2,-18.764,1,0.0469,0.856,0.128,0.339,0.0748,84.549,audio_features,6gtwQy0GKmzV8qBjov6Nly,spotify:track:6gtwQy0GKmzV8qBjov6Nly,https://api.spotify.com/v1/tracks/6gtwQy0GKmzV8qBjov6Nly,https://api.spotify.com/v1/audio-analysis/6gtwQy0GKmzV8qBjov6Nly,1323840,4
0.63,0.105,11,-23.789,1,0.942,0.257,0,0.207,0.452,85.124,audio_features,5KMHxIxL8FLgDZKv9fLXPD,spotify:track:5KMHxIxL8FLgDZKv9fLXPD,https://api.spotify.com/v1/tracks/5KMHxIxL8FLgDZKv9fLXPD,https://api.spotify.com/v1/audio-analysis/5KMHxIxL8FLgDZKv9fLXPD,382703,3
0.683,0.23,7,-17.323,1,0.93,0.443,0,0.11,0.516,78.977,audio_features,1QnUsBUNqmmrDYYUJZ2NRE,spotify:track:1QnUsBUNqmmrDYYUJZ2NRE,https://api.spotify.com/v1/tracks/1QnUsBUNqmmrDYYUJZ2NRE,https://api.spotify.com/v1/audio-analysis/1QnUsBUNqmmrDYYUJZ2NRE,3120000,4
0.619,0.207,2,-20.359,1,0.943,0.984,8.88e-05,0.183,0.389,86.785,audio_features,2MkFvpV4c7h7K5anileFCl,spotify:track:2MkFvpV4c7h7K5anileFCl,https://api.spotify.com/v1/tracks/2MkFvpV4c7h7K5anileFCl,https://api.spotify.com/v1/audio-analysis/2MkFvpV4c7h7K5anileFCl,1648080,4
0.57,0.0739,5,-23.432,1,0.524,0.854,0.00018,0.255,0.445,94.648,audio_features,2ejNTogyM0B9aGwdR8Crrk,spotify:track:2ejNTogyM0B9aGwdR8Crrk,https://api.spotify.com/v1/tracks/2ejNTogyM0B9aGwdR8Crrk,https://api.spotify.com/v1/audio-analysis/2ejNTogyM0B9aGwdR8Crrk,498493,3
0.713,0.141,1,-20.971,1,0.886,0.458,0,0.0979,0.453,129.644,audio_features,1GW41m1ec7rHw9VQFDOpgu,spotify:track:1GW41m1ec7rHw9VQFDOpgu,https://api.spotify.com/v1/tracks/1GW41m1ec7rHw9VQFDOpgu,https://api.spotify.com/v1/audio-analysis/1GW41m1ec7rHw9VQFDOpgu,1809329,4
0.63,0.231,1,-16.774,1,0.934,0.461,0,0.109,0.484,82.086,audio_features,6CMSO7jqCCadPZEiqaBHYU,spotify:track:6CMSO7jqCCadPZEiqaBHYU,https://api.spotify.com/v1/tracks/6CMSO7jqCCadPZEiqaBHYU,https://api.spotify.com/v1/audio-analysis/6CMSO7jqCCadPZEiqaBHYU,736092,3
0.625,0.22,1,-17.333,1,0.941,0.446,0,0.111,0.539,80.082,audio_features,1yrBdOJxDVB0zz4tj0ehtq,spotify:track:1yrBdOJxDVB0zz4tj0ehtq,https://api.spotify.com/v1/tracks/1yrBdOJxDVB0zz4tj0ehtq,https://api.spotify.com/v1/audio-analysis/1yrBdOJxDVB0zz4tj0ehtq,1668572,4
0.644,0.294,5,-16.994,1,0.939,0.648,0,0.167,0.511,86.437,audio_features,4xxFAqC5hsHJDlR7rnYrY1,spotify:track:4xxFAqC5hsHJDlR7rnYrY1,https://api.spotify.com/v1/tracks/4xxFAqC5hsHJDlR7rnYrY1,https://api.spotify.com/v1/audio-analysis/4xxFAqC5hsHJDlR7rnYrY1,1975063,4
0.636,0.257,5,-17.813,1,0.939,0.625,0,0.167,0.531,85.517,audio_features,0zW5dCTW58vmZx3rLiP53X,spotify:track:0zW5dCTW58vmZx3rLiP53X,https://api.spotify.com/v1/tracks/0zW5dCTW58vmZx3rLiP53X,https://api.spotify.com/v1/audio-analysis/0zW5dCTW58vmZx3rLiP53X,2046633,3
0.703,0.184,11,-24.014,1,0.909,0.554,0,0.353,0.337,108.579,audio_features,0omhMtNi2uB1RbLh8k36sf,spotify:track:0omhMtNi2uB1RbLh8k36sf,https://api.spotify.com/v1/tracks/0omhMtNi2uB1RbLh8k36sf,https://api.spotify.com/v1/audio-analysis/0omhMtNi2uB1RbLh8k36sf,1192200,3
