danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.609,0.728,7,-5.859,1,0.0419,0.327,0.0851,0.0569,0.322,146.016,audio_features,6S0IRhCK4P0llKnIjivfGd,spotify:track:6S0IRhCK4P0llKnIjivfGd,https://api.spotify.com/v1/tracks/6S0IRhCK4P0llKnIjivfGd,https://api.spotify.com/v1/audio-analysis/6S0IRhCK4P0llKnIjivfGd,225360,4
0.43,0.641,4,-7.027,1,0.034,0.393,0.0036,0.223,0.288,100.39,audio_features,0dqJjKKxuKD5Dt3QH2n4CG,spotify:track:0dqJjKKxuKD5Dt3QH2n4CG,https://api.spotify.com/v1/tracks/0dqJjKKxuKD5Dt3QH2n4CG,https://api.spotify.com/v1/audio-analysis/0dqJjKKxuKD5Dt3QH2n4CG,257693,4
0.396,0.677,3,-7.513,1,0.0354,0.0372,0.000137,0.112,0.249,135.177,audio_features,2kG5litgxXvx6ZRgwO1v7W,spotify:track:2kG5litgxXvx6ZRgwO1v7W,https://api.spotify.com/v1/tracks/2kG5litgxXvx6ZRgwO1v7W,https://api.spotify.com/v1/audio-analysis/2kG5litgxXvx6ZRgwO1v7W,239880,4
0.677,0.74,2,-6.528,1,0.0243,0.242,0.0146,0.105,0.679,110.193,audio_features,2N60TAtXaCbmi7zqdUoW61,spotify:track:2N60TAtXaCbmi7zqdUoW61,https://api.spotify.com/v1/tracks/2N60TAtXaCbmi7zqdUoW61,https://api.spotify.com/v1/audio-analysis/2N60TAtXaCbmi7zqdUoW61,237961,4
0.519,0.515,5,-9.448,1,0.031,0.61,5.66e-05,0.107,0.714,80.329,audio_features,0iWUW8UNkmyUa8Aa6anow6,spotify:track:0iWUW8UNkmyUa8Aa6anow6,https://api.spotify.com/v1/tracks/0iWUW8UNkmyUa8Aa6anow6,https://api.spotify.com/v1/audio-analysis/0iWUW8UNkmyUa8Aa6anow6,231760,4
0.669,0.487,7,-6.317,1,0.0323,0.114,0.00739,0.268,0.186,116.987,audio_features,5Pa2dSXQYIcYAb5uVlP7Sk,spotify:track:5Pa2dSXQYIcYAb5uVlP7Sk,https://api.spotify.com/v1/tracks/5Pa2dSXQYIcYAb5uVlP7Sk,https://api.spotify.com/v1/audio-analysis/5Pa2dSXQYIcYAb5uVlP7Sk,250414,4
0.498,0.502,2,-8.052,1,0.0371,0.891,0.000907,0.0716,0.286,81.169,audio_features,7412fpVfB2PSSb1nENQczC,spotify:track:7412fpVfB2PSSb1nENQczC,https://api.spotify.com/v1/tracks/7412fpVfB2PSSb1nENQczC,https://api.spotify.com/v1/audio-analysis/7412fpVfB2PSSb1nENQczC,215180,4
0.612,0.529,7,-9.675,1,0.0273,0.0192,0.436,0.073,0.159,147.047,audio_features,1Ncfo3Q2IT4oc3RG719AIz,spotify:track:1Ncfo3Q2IT4oc3RG719AIz,https://api.spotify.com/v1/tracks/1Ncfo3Q2IT4oc3RG719AIz,https://api.spotify.com/v1/audio-analysis/1Ncfo3Q2IT4oc3RG719AIz,227121,4
0.402,0.476,0,-8.823,1,0.0289,0.334,0.0701,0.0947,0.164,86.06,audio_features,7DeJ8TdwgNpz6Un0SiskhX,spotify:track:7DeJ8TdwgNpz6Un0SiskhX,https://api.spotify.com/v1/tracks/7DeJ8TdwgNpz6Un0SiskhX,https://api.spotify.com/v1/audio-analysis/7DeJ8TdwgNpz6Un0SiskhX,282147,4
0.763,0.387,10,-8.643,0,0.0278,0.239,0.00747,0.13,0.273,109.957,audio_features,5Z1U0knfYnsfvZycgDeOiC,spotify:track:5Z1U0knfYnsfvZycgDeOiC,https://api.spotify.com/v1/tracks/5Z1U0knfYnsfvZycgDeOiC,https://api.spotify.com/v1/audio-analysis/5Z1U0knfYnsfvZycgDeOiC,239147,4
0.601,0.537,6,-9.464,1,0.0296,0.743,0.732,0.143,0.394,144.994,audio_features,13PUJCvdTSCT1dn70tlGdm,spotify:track:13PUJCvdTSCT1dn70tlGdm,https://api.spotify.com/v1/tracks/13PUJCvdTSCT1dn70tlGdm,https://api.spotify.com/v1/audio-analysis/13PUJCvdTSCT1dn70tlGdm,285320,3
0.651,0.716,0,-6.516,0,0.0258,0.13,0.0616,0.125,0.722,101.05,audio_features,2EWpa5XnAuSn0sIkSSIhYk,spotify:track:2EWpa5XnAuSn0sIkSSIhYk,https://api.spotify.com/v1/tracks/2EWpa5XnAuSn0sIkSSIhYk,https://api.spotify.com/v1/audio-analysis/2EWpa5XnAuSn0sIkSSIhYk,274093,4
0.541,0.798,1,-3.891,1,0.0321,0.00635,0.000209,0.1,0.314,105.03,audio_features,7f4WCVcAM8m3B7ThYYjeYu,spotify:track:7f4WCVcAM8m3B7ThYYjeYu,https://api.spotify.com/v1/tracks/7f4WCVcAM8m3B7ThYYjeYu,https://api.spotify.com/v1/audio-analysis/7f4WCVcAM8m3B7ThYYjeYu,225525,4
0.337,0.446,3,-9.5,1,0.0374,0.984,0.00403,0.102,0.0476,75.641,audio_features,0KGM1gftECJvXNfQ9W6ovA,spotify:track:0KGM1gftECJvXNfQ9W6ovA,https://api.spotify.com/v1/tracks/0KGM1gftECJvXNfQ9W6ovA,https://api.spotify.com/v1/audio-analysis/0KGM1gftECJvXNfQ9W6ovA,162453,4
0.441,0.379,2,-9.545,1,0.0449,0.968,0.262,0.639,0.105,174.118,audio_features,4iH31mAwPbG9SSPN6nHWgu,spotify:track:4iH31mAwPbG9SSPN6nHWgu,https://api.spotify.com/v1/tracks/4iH31mAwPbG9SSPN6nHWgu,https://api.spotify.com/v1/audio-analysis/4iH31mAwPbG9SSPN6nHWgu,208227,3
0.648,0.681,5,-7.47,1,0.0295,0.103,0.00102,0.103,0.364,124.795,audio_features,3FRXQfVBPe9UGyS12p3bx7,spotify:track:3FRXQfVBPe9UGyS12p3bx7,https://api.spotify.com/v1/tracks/3FRXQfVBPe9UGyS12p3bx7,https://api.spotify.com/v1/audio-analysis/3FRXQfVBPe9UGyS12p3bx7,228800,4
0.787,0.343,0,-11.413,1,0.0298,0.895,0.0275,0.11,0.47,100.007,audio_features,0g3Vm5xbQsDslbTeN9SwEb,spotify:track:0g3Vm5xbQsDslbTeN9SwEb,https://api.spotify.com/v1/tracks/0g3Vm5xbQsDslbTeN9SwEb,https://api.spotify.com/v1/audio-analysis/0g3Vm5xbQsDslbTeN9SwEb,159600,4
0.499,0.809,5,-8.751,1,0.0344,0.00459,0.416,0.224,0.168,140.038,audio_features,4mxNpTSvmKCaQKdWhWnkCz,spotify:track:4mxNpTSvmKCaQKdWhWnkCz,https://api.spotify.com/v1/tracks/4mxNpTSvmKCaQKdWhWnkCz,https://api.spotify.com/v1/audio-analysis/4mxNpTSvmKCaQKdWhWnkCz,206928,4
0.473,0.317,2,-10.324,1,0.0318,0.944,0.0124,0.11,0.132,139.899,audio_features,6FOyzhp375u8DapDyQqGTh,spotify:track:6FOyzhp375u8DapDyQqGTh,https://api.spotify.com/v1/tracks/6FOyzhp375u8DapDyQqGTh,https://api.spotify.com/v1/audio-analysis/6FOyzhp375u8DapDyQqGTh,241720,4
0.668,0.822,4,-7.206,1,0.051,0.0907,0.157,0.114,0.472,95.001,audio_features,21BWdXsBx3CfHuuj36RWS5,spotify:track:21BWdXsBx3CfHuuj36RWS5,https://api.spotify.com/v1/tracks/21BWdXsBx3CfHuuj36RWS5,https://api.spotify.com/v1/audio-analysis/21BWdXsBx3CfHuuj36RWS5,262680,4
0.468,0.692,2,-4.015,1,0.0295,0.0202,2.39e-06,0.523,0.561,78.009,audio_features,0aGSUNleFqs5HNEJcwqvXJ,spotify:track:0aGSUNleFqs5HNEJcwqvXJ,https://api.spotify.com/v1/tracks/0aGSUNleFqs5HNEJcwqvXJ,https://api.spotify.com/v1/audio-analysis/0aGSUNleFqs5HNEJcwqvXJ,200360,4
0.433,0.724,5,-6.126,0,0.0372,0.1,0,0.0918,0.689,174.006,audio_features,2kz40rIHjfGYxurLiuCBp9,spotify:track:2kz40rIHjfGYxurLiuCBp9,https://api.spotify.com/v1/tracks/2kz40rIHjfGYxurLiuCBp9,https://api.spotify.com/v1/audio-analysis/2kz40rIHjfGYxurLiuCBp9,268105,4
0.642,0.288,9,-14.754,0,0.0455,0.654,0.0145,0.0939,0.182,90.304,audio_features,21bU7CRxpiTtSdQjoTLQ7Q,spotify:track:21bU7CRxpiTtSdQjoTLQ7Q,https://api.spotify.com/v1/tracks/21bU7CRxpiTtSdQjoTLQ7Q,https://api.spotify.com/v1/audio-analysis/21bU7CRxpiTtSdQjoTLQ7Q,203604,4
0.618,0.749,11,-5.093,0,0.0304,0.654,0.213,0.255,0.548,111.986,audio_features,0pXkRtFSYDSln6ITAPLPeP,spotify:track:0pXkRtFSYDSln6ITAPLPeP,https://api.spotify.com/v1/tracks/0pXkRtFSYDSln6ITAPLPeP,https://api.spotify.com/v1/audio-analysis/0pXkRtFSYDSln6ITAPLPeP,194129,4
0.428,0.816,7,-5.672,1,0.0314,0.00592,0.00835,0.193,0.244,80.05,audio_features,2zsogjhJg4yjyH0Coxk7Sl,spotify:track:2zsogjhJg4yjyH0Coxk7Sl,https://api.spotify.com/v1/tracks/2zsogjhJg4yjyH0Coxk7Sl,https://api.spotify.com/v1/audio-analysis/2zsogjhJg4yjyH0Coxk7Sl,258727,4
0.715,0.52,9,-6.933,1,0.0265,0.391,0,0.0797,0.769,108.991,audio_features,6NVu0gFLV6t6SDjXUpwCeu,spotify:track:6NVu0gFLV6t6SDjXUpwCeu,https://api.spotify.com/v1/tracks/6NVu0gFLV6t6SDjXUpwCeu,https://api.spotify.com/v1/audio-analysis/6NVu0gFLV6t6SDjXUpwCeu,188411,4
0.596,0.827,5,-4.402,1,0.0372,0.0242,0,0.0958,0.329,115.034,audio_features,6liNJDyWJjyHAgDnAX95bw,spotify:track:6liNJDyWJjyHAgDnAX95bw,https://api.spotify.com/v1/tracks/6liNJDyWJjyHAgDnAX95bw,https://api.spotify.com/v1/audio-analysis/6liNJDyWJjyHAgDnAX95bw,249382,4
0.645,0.435,6,-5.371,0,0.0276,0.122,0.000101,0.0989,0.328,83.993,audio_features,0UyCF0hctdZJomjdzDibPB,spotify:track:0UyCF0hctdZJomjdzDibPB,https://api.spotify.com/v1/tracks/0UyCF0hctdZJomjdzDibPB,https://api.spotify.com/v1/audio-analysis/0UyCF0hctdZJomjdzDibPB,164587,4
0.526,0.803,11,-3.989,1,0.127,0.135,0,0.119,0.564,157.887,audio_features,62M9yafZsSRzlsphzeJPGo,spotify:track:62M9yafZsSRzlsphzeJPGo,https://api.spotify.com/v1/tracks/62M9yafZsSRzlsphzeJPGo,https://api.spotify.com/v1/audio-analysis/62M9yafZsSRzlsphzeJPGo,208205,4
0.551,0.825,2,-5.813,1,0.0306,0.000614,0.307,0.115,0.686,107.031,audio_features,1zXpHPdBAUxnOCQqFMFLk3,spotify:track:1zXpHPdBAUxnOCQqFMFLk3,https://api.spotify.com/v1/tracks/1zXpHPdBAUxnOCQqFMFLk3,https://api.spotify.com/v1/audio-analysis/1zXpHPdBAUxnOCQqFMFLk3,247280,4
0.736,0.665,1,-9.214,0,0.165,0.269,0.00125,0.162,0.882,95.923,audio_features,3GHzLV34LAz2e4scBN5V0W,spotify:track:3GHzLV34LAz2e4scBN5V0W,https://api.spotify.com/v1/tracks/3GHzLV34LAz2e4scBN5V0W,https://api.spotify.com/v1/audio-analysis/3GHzLV34LAz2e4scBN5V0W,213193,4
0.689,0.617,4,-5.196,1,0.0289,0.0918,2.02e-05,0.0816,0.682,121.062,audio_features,5ftdTvmQjjsL23t7jxADfI,spotify:track:5ftdTvmQjjsL23t7jxADfI,https://api.spotify.com/v1/tracks/5ftdTvmQjjsL23t7jxADfI,https://api.spotify.com/v1/audio-analysis/5ftdTvmQjjsL23t7jxADfI,252307,4
0.629,0.586,1,-8.562,1,0.0269,0.617,0.0803,0.129,0.526,102.995,audio_features,1WXVfFRD89EtVURD4Tbixo,spotify:track:1WXVfFRD89EtVURD4Tbixo,https://api.spotify.com/v1/tracks/1WXVfFRD89EtVURD4Tbixo,https://api.spotify.com/v1/audio-analysis/1WXVfFRD89EtVURD4Tbixo,253848,5
0.714,0.555,6,-7.55,0,0.0459,0.656,0.000289,0.11,0.329,102.971,audio_features,2U6hcDLZHYRSd9Up0mMe9W,spotify:track:2U6hcDLZHYRSd9Up0mMe9W,https://api.spotify.com/v1/tracks/2U6hcDLZHYRSd9Up0mMe9W,https://api.spotify.com/v1/audio-analysis/2U6hcDLZHYRSd9Up0mMe9W,205130,4
