danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.431,0.334,1,-9.88,1,0.0319,0.651,0.0184,0.147,0.0449,94.492,audio_features,1tvJf62LAwhnx8cInsfRZM,spotify:track:1tvJf62LAwhnx8cInsfRZM,https://api.spotify.com/v1/tracks/1tvJf62LAwhnx8cInsfRZM,https://api.spotify.com/v1/audio-analysis/1tvJf62LAwhnx8cInsfRZM,249429,4
0.617,0.703,8,-5.926,1,0.0472,0.00486,9.83e-06,0.136,0.222,93.987,audio_features,3205YaV6srWWF1WmebkLdA,spotify:track:3205YaV6srWWF1WmebkLdA,https://api.spotify.com/v1/tracks/3205YaV6srWWF1WmebkLdA,https://api.spotify.com/v1/audio-analysis/3205YaV6srWWF1WmebkLdA,177947,4
0.692,0.674,9,-7.817,1,0.0298,0.141,0.443,0.353,0.548,127.994,audio_features,7CxYp0UOnUWiiW6oazqvwp,spotify:track:7CxYp0UOnUWiiW6oazqvwp,https://api.spotify.com/v1/tracks/7CxYp0UOnUWiiW6oazqvwp,https://api.spotify.com/v1/audio-analysis/7CxYp0UOnUWiiW6oazqvwp,235133,4
0.792,0.706,7,-4.043,0,0.0453,0.248,1.36e-05,0.143,0.449,104.986,audio_features,6UTCRrPoZg2e05PCLXbY1v,spotify:track:6UTCRrPoZg2e05PCLXbY1v,https://api.spotify.com/v1/tracks/6UTCRrPoZg2e05PCLXbY1v,https://api.spotify.com/v1/audio-analysis/6UTCRrPoZg2e05PCLXbY1v,241399,4
0.897,0.569,8,-9.822,1,0.0529,0.0944,0.644,0.108,0.415,114.981,audio_features,6uQe7SVjdDlRqDRAi0qnKg,spotify:track:6uQe7SVjdDlRqDRAi0qnKg,https://api.spotify.com/v1/tracks/6uQe7SVjdDlRqDRAi0qnKg,https://api.spotify.com/v1/audio-analysis/6uQe7SVjdDlRqDRAi0qnKg,202845,4
0.604,0.658,4,-4.936,0,0.0302,0.0318,0.00126,0.131,0.73,106.033,audio_features,7lw7uY2jcbX0mskCP3Sy8T,spotify:track:7lw7uY2jcbX0mskCP3Sy8T,https://api.spotify.com/v1/tracks/7lw7uY2jcbX0mskCP3Sy8T,https://api.spotify.com/v1/audio-analysis/7lw7uY2jcbX0mskCP3Sy8T,222101,4
0.716,0.517,3,-8.955,1,0.0307,0.459,0.00012,0.08,0.188,113.967,audio_features,1GGJ7tTOpTFq3VlzbX4HCp,spotify:track:1GGJ7tTOpTFq3VlzbX4HCp,https://api.spotify.com/v1/tracks/1GGJ7tTOpTFq3VlzbX4HCp,https://api.spotify.com/v1/audio-analysis/1GGJ7tTOpTFq3VlzbX4HCp,222598,4
0.533,0.662,4,-6.522,1,0.0378,0.0165,9.04e-05,0.0905,0.331,107.008,audio_features,4ez93TABX3rWyZVQsgdMo1,spotify:track:4ez93TABX3rWyZVQsgdMo1,https://api.spotify.com/v1/tracks/4ez93TABX3rWyZVQsgdMo1,https://api.spotify.com/v1/audio-analysis/4ez93TABX3rWyZVQsgdMo1,236895,4
0.624,0.716,8,-6.338,0,0.0364,0.0233,0,0.168,0.571,92.005,audio_features,6hFNBJ8ybSoNwR7F4kzVC0,spotify:track:6hFNBJ8ybSoNwR7F4kzVC0,https://api.spotify.com/v1/tracks/6hFNBJ8ybSoNwR7F4kzVC0,https://api.spotify.com/v1/audio-analysis/6hFNBJ8ybSoNwR7F4kzVC0,202140,4
0.631,0.835,0,-7.005,1,0.031,0.0364,4.23e-05,0.394,0.474,120.995,audio_features,5Lqn8pFi1wAgePylSbHJ7k,spotify:track:5Lqn8pFi1wAgePylSbHJ7k,https://api.spotify.com/v1/tracks/5Lqn8pFi1wAgePylSbHJ7k,https://api.spotify.com/v1/audio-analysis/5Lqn8pFi1wAgePylSbHJ7k,287747,4
0.498,0.612,5,-6.413,1,0.071,0.141,0,0.222,0.182,99.86,audio_features,31cahXEtbRJM5lzVjvgW21,spotify:track:31cahXEtbRJM5lzVjvgW21,https://api.spotify.com/v1/tracks/31cahXEtbRJM5lzVjvgW21,https://api.spotify.com/v1/audio-analysis/31cahXEtbRJM5lzVjvgW21,183752,4
0.555,0.697,1,-5.488,1,0.0263,0.115,0,0.0963,0.168,103.934,audio_features,7iCbeEbIEFbCP559GvoyYL,spotify:track:7iCbeEbIEFbCP559GvoyYL,https://api.spotify.com/v1/tracks/7iCbeEbIEFbCP559GvoyYL,https://api.spotify.com/v1/audio-analysis/7iCbeEbIEFbCP559GvoyYL,193924,4
0.62,0.841,2,-4.745,0,0.129,0.309,0,0.0538,0.647,91.996,audio_features,0f2GvRhpXneua2xx1fCIEd,spotify:track:0f2GvRhpXneua2xx1fCIEd,https://api.spotify.com/v1/tracks/0f2GvRhpXneua2xx1fCIEd,https://api.spotify.com/v1/audio-analysis/0f2GvRhpXneua2xx1fCIEd,193000,4
0.916,0.439,3,-7.792,0,0.0554,0.597,0.0102,0.0768,0.636,120.01,audio_features,6hBvmgHA88liRvhlCxzWXC,spotify:track:6hBvmgHA88liRvhlCxzWXC,https://api.spotify.com/v1/tracks/6hBvmgHA88liRvhlCxzWXC,https://api.spotify.com/v1/audio-analysis/6hBvmgHA88liRvhlCxzWXC,202213,4
0.692,0.694,0,-8.598,1,0.029,0.11,0.191,0.116,0.385,100.002,audio_features,4tIxW8RAcSFZcTUzZS8c0M,spotify:track:4tIxW8RAcSFZcTUzZS8c0M,https://api.spotify.com/v1/tracks/4tIxW8RAcSFZcTUzZS8c0M,https://api.spotify.com/v1/audio-analysis/4tIxW8RAcSFZcTUzZS8c0M,213652,4
0.573,0.787,0,-5.918,1,0.0756,0.163,0,0.522,0.564,99.547,audio_features,6IoCdALXyv3Zjb0IAZMNO4,spotify:track:6IoCdALXyv3Zjb0IAZMNO4,https://api.spotify.com/v1/tracks/6IoCdALXyv3Zjb0IAZMNO4,https://api.spotify.com/v1/audio-analysis/6IoCdALXyv3Zjb0IAZMNO4,189765,4
0.548,0.583,6,-6.406,1,0.0565,0.223,0.00116,0.129,0.162,92.882,audio_features,3GM83vbkQdpY6PFPP9WZ8Z,spotify:track:3GM83vbkQdpY6PFPP9WZ8Z,https://api.spotify.com/v1/tracks/3GM83vbkQdpY6PFPP9WZ8Z,https://api.spotify.com/v1/audio-analysis/3GM83vbkQdpY6PFPP9WZ8Z,226400,4
0.647,0.65,0,-5.549,1,0.0441,0.117,0.0403,0.0976,0.656,126.644,audio_features,7FTdJsd2Kxy6mAoMtFIi1q,spotify:track:7FTdJsd2Kxy6mAoMtFIi1q,https://api.spotify.com/v1/tracks/7FTdJsd2Kxy6mAoMtFIi1q,https://api.spotify.com/v1/audio-analysis/7FTdJsd2Kxy6mAoMtFIi1q,207785,4
0.627,0.488,10,-7.167,1,0.159,0.292,0.000375,0.166,0.174,170.068,audio_features,3M4PG8X9lp0gpDEMGpenBI,spotify:track:3M4PG8X9lp0gpDEMGpenBI,https://api.spotify.com/v1/tracks/3M4PG8X9lp0gpDEMGpenBI,https://api.spotify.com/v1/audio-analysis/3M4PG8X9lp0gpDEMGpenBI,194265,4
0.599,0.777,4,-6.856,1,0.0542,0.0248,0.000246,0.0823,0.466,146.064,audio_features,2B6PzjtBWYM0uzLeSJBJJX,spotify:track:2B6PzjtBWYM0uzLeSJBJJX,https://api.spotify.com/v1/tracks/2B6PzjtBWYM0uzLeSJBJJX,https://api.spotify.com/v1/audio-analysis/2B6PzjtBWYM0uzLeSJBJJX,204338,4
