danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.258,0.437,11,-6.593,0,0.039,0.101,1.27e-06,0.106,0.0967,180.043,audio_features,1j4kHkkpqZRBwE0A4CN4Yv,spotify:track:1j4kHkkpqZRBwE0A4CN4Yv,https://api.spotify.com/v1/tracks/1j4kHkkpqZRBwE0A4CN4Yv,https://api.spotify.com/v1/audio-analysis/1j4kHkkpqZRBwE0A4CN4Yv,239000,4
0.39,0.584,6,-5.612,0,0.121,0.0319,0,0.125,0.266,197.121,audio_features,0eCkBrobTQFiBVqa1p92KA,spotify:track:0eCkBrobTQFiBVqa1p92KA,https://api.spotify.com/v1/tracks/0eCkBrobTQFiBVqa1p92KA,https://api.spotify.com/v1/audio-analysis/0eCkBrobTQFiBVqa1p92KA,201787,3
0.693,0.613,3,-6.209,1,0.0268,0.125,0,0.111,0.453,117.993,audio_features,1OBlp2GgUQbPMtGNYg4Kdn,spotify:track:1OBlp2GgUQbPMtGNYg4Kdn,https://api.spotify.com/v1/tracks/1OBlp2GgUQbPMtGNYg4Kdn,https://api.spotify.com/v1/audio-analysis/1OBlp2GgUQbPMtGNYg4Kdn,203520,4
0.398,0.174,0,-11.16,1,0.0364,0.958,4.16e-06,0.158,0.153,172.152,audio_features,2pV8RpdLemcyMWko8dASVt,spotify:track:2pV8RpdLemcyMWko8dASVt,https://api.spotify.com/v1/tracks/2pV8RpdLemcyMWko8dASVt,https://api.spotify.com/v1/audio-analysis/2pV8RpdLemcyMWko8dASVt,232339,3
0.541,0.46,9,-9.53,0,0.0262,0.335,0.000164,0.469,0.395,79.994,audio_features,6CAJfBlMsYUtkI7fBAXE6Y,spotify:track:6CAJfBlMsYUtkI7fBAXE6Y,https://api.spotify.com/v1/tracks/6CAJfBlMsYUtkI7fBAXE6Y,https://api.spotify.com/v1/audio-analysis/6CAJfBlMsYUtkI7fBAXE6Y,227252,4
0.544,0.402,6,-6.441,0,0.0483,0.687,0,0.11,0.347,207.942,audio_features,5Bfy1NvrHFgstrUTbGNhzA,spotify:track:5Bfy1NvrHFgstrUTbGNhzA,https://api.spotify.com/v1/tracks/5Bfy1NvrHFgstrUTbGNhzA,https://api.spotify.com/v1/audio-analysis/5Bfy1NvrHFgstrUTbGNhzA,234133,4
0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017,audio_features,06KyNuuMOX1ROXRhj787tj,spotify:track:06KyNuuMOX1ROXRhj787tj,https://api.spotify.com/v1/tracks/06KyNuuMOX1ROXRhj787tj,https://api.spotify.com/v1/audio-analysis/06KyNuuMOX1ROXRhj787tj,217707,4
0.568,0.481,0,-9.861,0,0.047,0.516,0.000321,0.156,0.126,149.923,audio_features,6SjUDhQsGP1Ynz4aYGxckR,spotify:track:6SjUDhQsGP1Ynz4aYGxckR,https://api.spotify.com/v1/tracks/6SjUDhQsGP1Ynz4aYGxckR,https://api.spotify.com/v1/audio-analysis/6SjUDhQsGP1Ynz4aYGxckR,215253,4
0.706,0.589,2,-6.051,1,0.08,0.353,0,0.105,0.399,90.491,audio_features,2nI6aT3cnPFoXQ1L705wcY,spotify:track:2nI6aT3cnPFoXQ1L705wcY,https://api.spotify.com/v1/tracks/2nI6aT3cnPFoXQ1L705wcY,https://api.spotify.com/v1/audio-analysis/2nI6aT3cnPFoXQ1L705wcY,185608,4
0.587,0.398,3,-9.965,1,0.0278,0.435,5.23e-06,0.155,0.309,145.9,audio_features,6SJ1qt2W5A4AEdxjqajMWU,spotify:track:6SJ1qt2W5A4AEdxjqajMWU,https://api.spotify.com/v1/tracks/6SJ1qt2W5A4AEdxjqajMWU,https://api.spotify.com/v1/audio-analysis/6SJ1qt2W5A4AEdxjqajMWU,233053,4
0.473,0.317,2,-10.324,1,0.0318,0.944,0.0124,0.11,0.132,139.899,audio_features,6FOyzhp375u8DapDyQqGTh,spotify:track:6FOyzhp375u8DapDyQqGTh,https://api.spotify.com/v1/tracks/6FOyzhp375u8DapDyQqGTh,https://api.spotify.com/v1/audio-analysis/6FOyzhp375u8DapDyQqGTh,241720,4
0.355,0.536,0,-6.7,1,0.0433,0.31,0.00156,0.077,0.628,78.995,audio_features,0NHCEt3hoIZX0o8mhohoZV,spotify:track:0NHCEt3hoIZX0o8mhohoZV,https://api.spotify.com/v1/tracks/0NHCEt3hoIZX0o8mhohoZV,https://api.spotify.com/v1/audio-analysis/0NHCEt3hoIZX0o8mhohoZV,233200,4
0.377,0.595,3,-5.936,1,0.0489,0.303,0,0.095,0.264,144.464,audio_features,7ilS0BPWS8ek2P2GaxH3cP,spotify:track:7ilS0BPWS8ek2P2GaxH3cP,https://api.spotify.com/v1/tracks/7ilS0BPWS8ek2P2GaxH3cP,https://api.spotify.com/v1/audio-analysis/7ilS0BPWS8ek2P2GaxH3cP,290900,4
0.426,0.2,3,-6.279,0,0.0508,0.882,0,0.0875,0.301,182.442,audio_features,4Qr9Z6b041U0BaQFeDqMXI,spotify:track:4Qr9Z6b041U0BaQFeDqMXI,https://api.spotify.com/v1/tracks/4Qr9Z6b041U0BaQFeDqMXI,https://api.spotify.com/v1/audio-analysis/4Qr9Z6b041U0BaQFeDqMXI,178416,4
0.556,0.533,0,-5.758,1,0.0267,0.0553,0,0.212,0.281,134.115,audio_features,10THcVz6xpbsdmxzdqCVZV,spotify:track:10THcVz6xpbsdmxzdqCVZV,https://api.spotify.com/v1/tracks/10THcVz6xpbsdmxzdqCVZV,https://api.spotify.com/v1/audio-analysis/10THcVz6xpbsdmxzdqCVZV,218653,4
0.41,0.306,4,-9.704,0,0.0348,0.472,3.28e-05,0.12,0.166,141.565,audio_features,2WOpBtXX02RS4UCzBholDq,spotify:track:2WOpBtXX02RS4UCzBholDq,https://api.spotify.com/v1/tracks/2WOpBtXX02RS4UCzBholDq,https://api.spotify.com/v1/audio-analysis/2WOpBtXX02RS4UCzBholDq,326206,4
0.679,0.228,10,-13.106,1,0.0325,0.837,0.0105,0.11,0.389,125.933,audio_features,6iDRG4bz5YdoKhmHfVRpZw,spotify:track:6iDRG4bz5YdoKhmHfVRpZw,https://api.spotify.com/v1/tracks/6iDRG4bz5YdoKhmHfVRpZw,https://api.spotify.com/v1/audio-analysis/6iDRG4bz5YdoKhmHfVRpZw,254840,4
0.629,0.529,3,-7.657,1,0.0421,0.37,1.61e-06,0.154,0.198,128.082,audio_features,2Cj2XFOMBT8IrT0aapNTee,spotify:track:2Cj2XFOMBT8IrT0aapNTee,https://api.spotify.com/v1/tracks/2Cj2XFOMBT8IrT0aapNTee,https://api.spotify.com/v1/audio-analysis/2Cj2XFOMBT8IrT0aapNTee,200373,4
0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,audio_features,059ACLUOyEcdruA2m9f2jd,spotify:track:059ACLUOyEcdruA2m9f2jd,https://api.spotify.com/v1/tracks/059ACLUOyEcdruA2m9f2jd,https://api.spotify.com/v1/audio-analysis/059ACLUOyEcdruA2m9f2jd,217747,4
0.551,0.677,2,-6.347,1,0.0893,0.0589,0.0566,0.112,0.293,89.961,audio_features,7vHmfnKJMWYWzS1H3dC5VF,spotify:track:7vHmfnKJMWYWzS1H3dC5VF,https://api.spotify.com/v1/tracks/7vHmfnKJMWYWzS1H3dC5VF,https://api.spotify.com/v1/audio-analysis/7vHmfnKJMWYWzS1H3dC5VF,238719,4
0.314,0.555,9,-9.601,1,0.37,0.157,0.000108,0.067,0.159,179.666,audio_features,5hYTyyh2odQKphUbMqc5gN,spotify:track:5hYTyyh2odQKphUbMqc5gN,https://api.spotify.com/v1/tracks/5hYTyyh2odQKphUbMqc5gN,https://api.spotify.com/v1/audio-analysis/5hYTyyh2odQKphUbMqc5gN,175517,4
