danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.272,0.764,7,-9.025,0,0.058,0.0183,1.69e-05,0.0616,0.134,160.092,audio_features,4FEsafrAjZPDo9N0RiiH1I,spotify:track:4FEsafrAjZPDo9N0RiiH1I,https://api.spotify.com/v1/tracks/4FEsafrAjZPDo9N0RiiH1I,https://api.spotify.com/v1/audio-analysis/4FEsafrAjZPDo9N0RiiH1I,169784,3
0.353,0.679,6,-10.509,1,0.037,0.495,0.898,0.0662,0.302,69.994,audio_features,1JQIgTMYI7nkrzYuWbIOTR,spotify:track:1JQIgTMYI7nkrzYuWbIOTR,https://api.spotify.com/v1/tracks/1JQIgTMYI7nkrzYuWbIOTR,https://api.spotify.com/v1/audio-analysis/1JQIgTMYI7nkrzYuWbIOTR,129093,4
0.231,0.509,11,-10.423,0,0.0808,0.845,0.911,0.115,0.245,69.288,audio_features,0iyglTS5t81u4SFDZOGIQx,spotify:track:0iyglTS5t81u4SFDZOGIQx,https://api.spotify.com/v1/tracks/0iyglTS5t81u4SFDZOGIQx,https://api.spotify.com/v1/audio-analysis/0iyglTS5t81u4SFDZOGIQx,234244,4
0.449,0.663,2,-10.675,1,0.0303,0.00148,0.803,0.106,0.202,82.994,audio_features,69EN77bAhbLQ4ACzCrVk72,spotify:track:69EN77bAhbLQ4ACzCrVk72,https://api.spotify.com/v1/tracks/69EN77bAhbLQ4ACzCrVk72,https://api.spotify.com/v1/audio-analysis/69EN77bAhbLQ4ACzCrVk72,215347,4
0.413,0.881,2,-10.675,0,0.118,0.0305,0.809,0.0789,0.0927,135.017,audio_features,3Pyb7rYWBsRL24vmdlzlxk,spotify:track:3Pyb7rYWBsRL24vmdlzlxk,https://api.spotify.com/v1/tracks/3Pyb7rYWBsRL24vmdlzlxk,https://api.spotify.com/v1/audio-analysis/3Pyb7rYWBsRL24vmdlzlxk,186613,4
0.221,0.466,7,-15.996,0,0.042,0.746,0.919,0.0959,0.0388,125.132,audio_features,3uzQC9S17ShcnURJlQfR14,spotify:track:3uzQC9S17ShcnURJlQfR14,https://api.spotify.com/v1/tracks/3uzQC9S17ShcnURJlQfR14,https://api.spotify.com/v1/audio-analysis/3uzQC9S17ShcnURJlQfR14,114933,4
0.179,0.277,4,-14.298,0,0.0369,0.699,0.976,0.1,0.142,75.791,audio_features,4iA3wKwcVJJoIU4J0wweyP,spotify:track:4iA3wKwcVJJoIU4J0wweyP,https://api.spotify.com/v1/tracks/4iA3wKwcVJJoIU4J0wweyP,https://api.spotify.com/v1/audio-analysis/4iA3wKwcVJJoIU4J0wweyP,123720,4
0.473,0.755,7,-12.62,1,0.0553,0.389,0.868,0.139,0.352,170.014,audio_features,2vvLrV2iEl1HgpI7FDUTtR,spotify:track:2vvLrV2iEl1HgpI7FDUTtR,https://api.spotify.com/v1/tracks/2vvLrV2iEl1HgpI7FDUTtR,https://api.spotify.com/v1/audio-analysis/2vvLrV2iEl1HgpI7FDUTtR,115987,3
0.418,0.441,2,-13.047,0,0.0443,0.706,3.87e-05,0.0961,0.04,79.955,audio_features,0emoHo6F49vaomApgXBSUP,spotify:track:0emoHo6F49vaomApgXBSUP,https://api.spotify.com/v1/tracks/0emoHo6F49vaomApgXBSUP,https://api.spotify.com/v1/audio-analysis/0emoHo6F49vaomApgXBSUP,144000,4
0.418,0.529,2,-12.674,1,0.0525,0.33,0.895,0.148,0.0544,128.052,audio_features,23HykWgKpB4MkjqDHPbQIX,spotify:track:23HykWgKpB4MkjqDHPbQIX,https://api.spotify.com/v1/tracks/23HykWgKpB4MkjqDHPbQIX,https://api.spotify.com/v1/audio-analysis/23HykWgKpB4MkjqDHPbQIX,172107,4
0.341,0.189,9,-14.457,0,0.0298,0.0953,0.864,0.0894,0.0609,74.014,audio_features,6ZXa4Ztf2itEtbTRNUDYAP,spotify:track:6ZXa4Ztf2itEtbTRNUDYAP,https://api.spotify.com/v1/tracks/6ZXa4Ztf2itEtbTRNUDYAP,https://api.spotify.com/v1/audio-analysis/6ZXa4Ztf2itEtbTRNUDYAP,333280,4
0.686,0.433,4,-8.9,0,0.0339,0.239,0.18,0.0898,0.389,88.981,audio_features,5ZZuiMFxl85qakgTZQapsc,spotify:track:5ZZuiMFxl85qakgTZQapsc,https://api.spotify.com/v1/tracks/5ZZuiMFxl85qakgTZQapsc,https://api.spotify.com/v1/audio-analysis/5ZZuiMFxl85qakgTZQapsc,154280,4
0.274,0.609,2,-7.417,0,0.0453,0.246,0.00343,0.143,0.349,124.96,audio_features,50cSs6d03KV85oKytBmin9,spotify:track:50cSs6d03KV85oKytBmin9,https://api.spotify.com/v1/tracks/50cSs6d03KV85oKytBmin9,https://api.spotify.com/v1/audio-analysis/50cSs6d03KV85oKytBmin9,291315,4
0.267,0.535,4,-13.332,0,0.0505,0.535,0.948,0.112,0.0424,85.015,audio_features,0Pfdg72l2kQsh4sQHMRSbv,spotify:track:0Pfdg72l2kQsh4sQHMRSbv,https://api.spotify.com/v1/tracks/0Pfdg72l2kQsh4sQHMRSbv,https://api.spotify.com/v1/audio-analysis/0Pfdg72l2kQsh4sQHMRSbv,141994,4
0.303,0.401,2,-13.932,1,0.0375,0.0228,0.768,0.113,0.0974,155.822,audio_features,4y0Lt1KOuyhKGkGKFZjSlS,spotify:track:4y0Lt1KOuyhKGkGKFZjSlS,https://api.spotify.com/v1/tracks/4y0Lt1KOuyhKGkGKFZjSlS,https://api.spotify.com/v1/audio-analysis/4y0Lt1KOuyhKGkGKFZjSlS,205333,4
0.37,0.219,1,-19.093,1,0.0384,0.688,0.897,0.0743,0.0611,127.982,audio_features,11wKe8bZjcb3npZX6aAcXi,spotify:track:11wKe8bZjcb3npZX6aAcXi,https://api.spotify.com/v1/tracks/11wKe8bZjcb3npZX6aAcXi,https://api.spotify.com/v1/audio-analysis/11wKe8bZjcb3npZX6aAcXi,182022,4
0.574,0.468,4,-12.392,0,0.0305,0.867,0.928,0.098,0.352,154.626,audio_features,285ieonEuLkll3zknYK2TY,spotify:track:285ieonEuLkll3zknYK2TY,https://api.spotify.com/v1/tracks/285ieonEuLkll3zknYK2TY,https://api.spotify.com/v1/audio-analysis/285ieonEuLkll3zknYK2TY,183533,3
0.212,0.148,0,-16.09,1,0.0451,0.949,0.903,0.0915,0.0375,72.17,audio_features,1ObRVltzyUfuBbJsxGvCRs,spotify:track:1ObRVltzyUfuBbJsxGvCRs,https://api.spotify.com/v1/tracks/1ObRVltzyUfuBbJsxGvCRs,https://api.spotify.com/v1/audio-analysis/1ObRVltzyUfuBbJsxGvCRs,103893,5
0.238,0.636,7,-11.745,0,0.0612,0.00976,0.827,0.332,0.0375,140.023,audio_features,0isQTobrn3ihfNL3taz2B0,spotify:track:0isQTobrn3ihfNL3taz2B0,https://api.spotify.com/v1/tracks/0isQTobrn3ihfNL3taz2B0,https://api.spotify.com/v1/audio-analysis/0isQTobrn3ihfNL3taz2B0,377600,4
0.25,0.229,2,-15.153,0,0.0351,0.881,0.927,0.119,0.163,169.858,audio_features,7aENwq13lwx4TLLNRDxr5P,spotify:track:7aENwq13lwx4TLLNRDxr5P,https://api.spotify.com/v1/tracks/7aENwq13lwx4TLLNRDxr5P,https://api.spotify.com/v1/audio-analysis/7aENwq13lwx4TLLNRDxr5P,112762,3
0.251,0.245,2,-17.616,0,0.0302,0.948,0.9,0.407,0.175,99.628,audio_features,1AvDDjLuwwC63X1xlRReCD,spotify:track:1AvDDjLuwwC63X1xlRReCD,https://api.spotify.com/v1/tracks/1AvDDjLuwwC63X1xlRReCD,https://api.spotify.com/v1/audio-analysis/1AvDDjLuwwC63X1xlRReCD,68199,4
0.119,0.182,4,-23.807,1,0.0629,0.925,0.934,0.0802,0.0362,70.488,audio_features,3nSA8ivUWfuRqysFjLeooy,spotify:track:3nSA8ivUWfuRqysFjLeooy,https://api.spotify.com/v1/tracks/3nSA8ivUWfuRqysFjLeooy,https://api.spotify.com/v1/audio-analysis/3nSA8ivUWfuRqysFjLeooy,219282,3
0.163,0.133,0,-18.363,1,0.0388,0.879,0.872,0.121,0.0358,68.662,audio_features,2MB6eZBk3vaEFZXyx1MmdX,spotify:track:2MB6eZBk3vaEFZXyx1MmdX,https://api.spotify.com/v1/tracks/2MB6eZBk3vaEFZXyx1MmdX,https://api.spotify.com/v1/audio-analysis/2MB6eZBk3vaEFZXyx1MmdX,150493,4
0.56,0.302,9,-12.921,0,0.0278,0.219,0.881,0.0846,0.0482,102.0,audio_features,5x3lpVdpLCWlbliQ7RY9pF,spotify:track:5x3lpVdpLCWlbliQ7RY9pF,https://api.spotify.com/v1/tracks/5x3lpVdpLCWlbliQ7RY9pF,https://api.spotify.com/v1/audio-analysis/5x3lpVdpLCWlbliQ7RY9pF,334725,4
0.566,0.799,2,-6.448,1,0.0426,0.0623,0.795,0.307,0.168,92.994,audio_features,4lkq5v8nVr5feDwYWCDjwr,spotify:track:4lkq5v8nVr5feDwYWCDjwr,https://api.spotify.com/v1/tracks/4lkq5v8nVr5feDwYWCDjwr,https://api.spotify.com/v1/audio-analysis/4lkq5v8nVr5feDwYWCDjwr,176532,4
0.259,0.204,4,-20.866,0,0.0408,0.315,0.883,0.0829,0.0333,119.957,audio_features,4shsCsVxXiTryOQFiSmkMR,spotify:track:4shsCsVxXiTryOQFiSmkMR,https://api.spotify.com/v1/tracks/4shsCsVxXiTryOQFiSmkMR,https://api.spotify.com/v1/audio-analysis/4shsCsVxXiTryOQFiSmkMR,224973,4
0.335,0.647,9,-10.166,1,0.0331,0.00404,0.859,0.144,0.232,130.083,audio_features,6Cwnnru8rvYiYmfPeejd5n,spotify:track:6Cwnnru8rvYiYmfPeejd5n,https://api.spotify.com/v1/tracks/6Cwnnru8rvYiYmfPeejd5n,https://api.spotify.com/v1/audio-analysis/6Cwnnru8rvYiYmfPeejd5n,426736,4
0.381,0.881,2,-8.113,0,0.0998,0.00768,0.938,0.332,0.177,77.92,audio_features,6hwadsbDuCaiS4lhyBVAa5,spotify:track:6hwadsbDuCaiS4lhyBVAa5,https://api.spotify.com/v1/tracks/6hwadsbDuCaiS4lhyBVAa5,https://api.spotify.com/v1/audio-analysis/6hwadsbDuCaiS4lhyBVAa5,262333,3
