danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.646,0.813,6,-5.29,0,0.0288,0.00178,2.26e-05,0.144,0.821,112.115,audio_features,7e8utCy2JlSB8dRHKi49xM,spotify:track:7e8utCy2JlSB8dRHKi49xM,https://api.spotify.com/v1/tracks/7e8utCy2JlSB8dRHKi49xM,https://api.spotify.com/v1/audio-analysis/7e8utCy2JlSB8dRHKi49xM,173493,4
0.55,0.753,6,-4.003,0,0.0407,0.000665,7.74e-06,0.0921,0.841,139.048,audio_features,1qfYG2JrchEyJiqKnkE7YQ,spotify:track:1qfYG2JrchEyJiqKnkE7YQ,https://api.spotify.com/v1/tracks/1qfYG2JrchEyJiqKnkE7YQ,https://api.spotify.com/v1/audio-analysis/1qfYG2JrchEyJiqKnkE7YQ,189693,4
0.461,0.8,7,-5.402,1,0.0648,0.276,0,0.098,0.807,77.086,audio_features,5xoUgPXbMNUmoHU0Enwtwq,spotify:track:5xoUgPXbMNUmoHU0Enwtwq,https://api.spotify.com/v1/tracks/5xoUgPXbMNUmoHU0Enwtwq,https://api.spotify.com/v1/audio-analysis/5xoUgPXbMNUmoHU0Enwtwq,169307,4
0.551,0.821,2,-4.489,1,0.0539,0.0102,0.0438,0.153,0.842,174.923,audio_features,5dKBaysNJtfpyNTRa5lqDb,spotify:track:5dKBaysNJtfpyNTRa5lqDb,https://api.spotify.com/v1/tracks/5dKBaysNJtfpyNTRa5lqDb,https://api.spotify.com/v1/audio-analysis/5dKBaysNJtfpyNTRa5lqDb,137760,4
0.577,0.72,6,-4.737,1,0.0324,0.00475,0,0.123,0.392,109.938,audio_features,18jk6Dx2PsARpxfIHJTTtD,spotify:track:18jk6Dx2PsARpxfIHJTTtD,https://api.spotify.com/v1/tracks/18jk6Dx2PsARpxfIHJTTtD,https://api.spotify.com/v1/audio-analysis/18jk6Dx2PsARpxfIHJTTtD,168667,4
0.651,0.841,0,-5.099,1,0.0335,0.00563,0.00116,0.19,0.661,119.939,audio_features,4gLKwyeBDtXoqe5ev9QcqP,spotify:track:4gLKwyeBDtXoqe5ev9QcqP,https://api.spotify.com/v1/tracks/4gLKwyeBDtXoqe5ev9QcqP,https://api.spotify.com/v1/audio-analysis/4gLKwyeBDtXoqe5ev9QcqP,162907,4
0.441,0.684,9,-7.495,0,0.031,0.374,0.000848,0.108,0.971,199.001,audio_features,2BodCfcjTxsHSoQq6uFBlJ,spotify:track:2BodCfcjTxsHSoQq6uFBlJ,https://api.spotify.com/v1/tracks/2BodCfcjTxsHSoQq6uFBlJ,https://api.spotify.com/v1/audio-analysis/2BodCfcjTxsHSoQq6uFBlJ,141000,4
0.685,0.474,0,-9.105,1,0.0313,0.779,1.23e-06,0.149,0.36,79.991,audio_features,1jdNcAD8Ir58RlsdGjJJdx,spotify:track:1jdNcAD8Ir58RlsdGjJJdx,https://api.spotify.com/v1/tracks/1jdNcAD8Ir58RlsdGjJJdx,https://api.spotify.com/v1/audio-analysis/1jdNcAD8Ir58RlsdGjJJdx,161227,4
0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,audio_features,7w87IxuO7BDcJ3YUqCyMTT,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,https://api.spotify.com/v1/tracks/7w87IxuO7BDcJ3YUqCyMTT,https://api.spotify.com/v1/audio-analysis/7w87IxuO7BDcJ3YUqCyMTT,239600,4
0.624,0.91,0,-5.703,1,0.0297,0.0285,0.000198,0.0789,0.767,104.042,audio_features,7kzKAuUzOITUauHAhoMoxA,spotify:track:7kzKAuUzOITUauHAhoMoxA,https://api.spotify.com/v1/tracks/7kzKAuUzOITUauHAhoMoxA,https://api.spotify.com/v1/audio-analysis/7kzKAuUzOITUauHAhoMoxA,193051,4
