danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.394,0.961,1,-3.733,1,0.0438,5.22e-05,0.000131,0.101,0.842,175.991,audio_features,53oEpGga4UriwcOKc35LpM,spotify:track:53oEpGga4UriwcOKc35LpM,https://api.spotify.com/v1/tracks/53oEpGga4UriwcOKc35LpM,https://api.spotify.com/v1/audio-analysis/53oEpGga4UriwcOKc35LpM,156248,4
0.451,0.916,1,-3.955,1,0.073,0.0158,0,0.0702,0.784,158.268,audio_features,5INOUHACgzsc79cRSdpRIN,spotify:track:5INOUHACgzsc79cRSdpRIN,https://api.spotify.com/v1/tracks/5INOUHACgzsc79cRSdpRIN,https://api.spotify.com/v1/audio-analysis/5INOUHACgzsc79cRSdpRIN,189373,4
0.519,0.913,8,-4.659,1,0.045,0.000209,8.22e-05,0.0719,0.715,100.064,audio_features,3ZmYRJVR8NZAVg7X4zt4eb,spotify:track:3ZmYRJVR8NZAVg7X4zt4eb,https://api.spotify.com/v1/tracks/3ZmYRJVR8NZAVg7X4zt4eb,https://api.spotify.com/v1/audio-analysis/3ZmYRJVR8NZAVg7X4zt4eb,182044,4
0.522,0.996,10,-4.316,0,0.186,0.000116,1.05e-05,0.252,0.138,96.477,audio_features,44RrOIa9ziCFW9YC6ndAUL,spotify:track:44RrOIa9ziCFW9YC6ndAUL,https://api.spotify.com/v1/tracks/44RrOIa9ziCFW9YC6ndAUL,https://api.spotify.com/v1/audio-analysis/44RrOIa9ziCFW9YC6ndAUL,187561,4
0.438,0.964,5,-2.402,0,0.0513,0.000399,5.39e-05,0.384,0.732,105.221,audio_features,21jfc0FyjqTsFr0HXNByQJ,spotify:track:21jfc0FyjqTsFr0HXNByQJ,https://api.spotify.com/v1/tracks/21jfc0FyjqTsFr0HXNByQJ,https://api.spotify.com/v1/audio-analysis/21jfc0FyjqTsFr0HXNByQJ,131453,4
0.486,0.989,8,-2.738,1,0.243,0.000243,0,0.138,0.364,157.984,audio_features,73VWNMYtM7sn2JIC4FsT2V,spotify:track:73VWNMYtM7sn2JIC4FsT2V,https://api.spotify.com/v1/tracks/73VWNMYtM7sn2JIC4FsT2V,https://api.spotify.com/v1/audio-analysis/73VWNMYtM7sn2JIC4FsT2V,201120,4
0.459,0.989,0,-3.609,1,0.1,3.65e-05,0,0.178,0.286,137.533,audio_features,0UaOzDAzZPiPfXP2AbIrpf,spotify:track:0UaOzDAzZPiPfXP2AbIrpf,https://api.spotify.com/v1/tracks/0UaOzDAzZPiPfXP2AbIrpf,https://api.spotify.com/v1/audio-analysis/0UaOzDAzZPiPfXP2AbIrpf,157387,4
0.476,0.99,11,-3.989,1,0.104,2.95e-05,0.000232,0.358,0.317,109.979,audio_features,2Dai1HEZPERYE93GHUAVcW,spotify:track:2Dai1HEZPERYE93GHUAVcW,https://api.spotify.com/v1/tracks/2Dai1HEZPERYE93GHUAVcW,https://api.spotify.com/v1/audio-analysis/2Dai1HEZPERYE93GHUAVcW,234866,4
0.359,0.983,2,-3.69,0,0.0864,9.09e-05,3.54e-05,0.335,0.486,193.042,audio_features,1FTBGFF2CJIEsMdkRMHo6z,spotify:track:1FTBGFF2CJIEsMdkRMHo6z,https://api.spotify.com/v1/tracks/1FTBGFF2CJIEsMdkRMHo6z,https://api.spotify.com/v1/audio-analysis/1FTBGFF2CJIEsMdkRMHo6z,239560,4
0.57,0.981,4,-4.106,0,0.0943,0.000547,0.00144,0.112,0.405,130.0,audio_features,3V5YvDJvJYLrjzuzl23dC9,spotify:track:3V5YvDJvJYLrjzuzl23dC9,https://api.spotify.com/v1/tracks/3V5YvDJvJYLrjzuzl23dC9,https://api.spotify.com/v1/audio-analysis/3V5YvDJvJYLrjzuzl23dC9,150053,4
0.555,0.919,3,-6.763,0,0.0375,1.69e-05,0,0.353,0.718,104.978,audio_features,1T5Y4J89qGF3dddKK39ybT,spotify:track:1T5Y4J89qGF3dddKK39ybT,https://api.spotify.com/v1/tracks/1T5Y4J89qGF3dddKK39ybT,https://api.spotify.com/v1/audio-analysis/1T5Y4J89qGF3dddKK39ybT,143480,4
