danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.599,0.897,0,-2.731,1,0.0435,0.228,0,0.554,0.931,156.016,audio_features,6TdweeWiGv35hKXn3tARjA,spotify:track:6TdweeWiGv35hKXn3tARjA,https://api.spotify.com/v1/tracks/6TdweeWiGv35hKXn3tARjA,https://api.spotify.com/v1/audio-analysis/6TdweeWiGv35hKXn3tARjA,190769,4
0.499,0.849,8,-3.58,1,0.0405,8.07e-05,0.0219,0.384,0.534,144.901,audio_features,07W97KhvfVHSQxzER5NmZK,spotify:track:07W97KhvfVHSQxzER5NmZK,https://api.spotify.com/v1/tracks/07W97KhvfVHSQxzER5NmZK,https://api.spotify.com/v1/audio-analysis/07W97KhvfVHSQxzER5NmZK,221693,4
0.411,0.969,1,-4.726,1,0.136,0.0256,0.122,0.298,0.245,100.025,audio_features,30NoUa99XVQzE9ZbrpLzmo,spotify:track:30NoUa99XVQzE9ZbrpLzmo,https://api.spotify.com/v1/tracks/30NoUa99XVQzE9ZbrpLzmo,https://api.spotify.com/v1/audio-analysis/30NoUa99XVQzE9ZbrpLzmo,239874,4
0.612,0.838,2,-3.757,1,0.0262,0.00114,0.00145,0.124,0.505,144.978,audio_features,6alr7688ourUXS0PxixLSO,spotify:track:6alr7688ourUXS0PxixLSO,https://api.spotify.com/v1/tracks/6alr7688ourUXS0PxixLSO,https://api.spotify.com/v1/audio-analysis/6alr7688ourUXS0PxixLSO,233250,4
0.587,0.862,2,-3.791,1,0.0639,0.0278,7.01e-06,0.0609,0.669,122.546,audio_features,4CeO2k70uwWNdYWNIk1paV,spotify:track:4CeO2k70uwWNdYWNIk1paV,https://api.spotify.com/v1/tracks/4CeO2k70uwWNdYWNIk1paV,https://api.spotify.com/v1/audio-analysis/4CeO2k70uwWNdYWNIk1paV,192147,4
0.694,0.59,5,-5.859,0,0.175,0.0512,1.67e-06,0.0633,0.661,144.004,audio_features,1PyXGps2mnzQeTlKg333YS,spotify:track:1PyXGps2mnzQeTlKg333YS,https://api.spotify.com/v1/tracks/1PyXGps2mnzQeTlKg333YS,https://api.spotify.com/v1/audio-analysis/1PyXGps2mnzQeTlKg333YS,208333,4
0.445,0.853,7,-1.13,1,0.0372,0.0559,0,0.75,0.509,94.024,audio_features,7b6F41jUoZbQouCse1S2q3,spotify:track:7b6F41jUoZbQouCse1S2q3,https://api.spotify.com/v1/tracks/7b6F41jUoZbQouCse1S2q3,https://api.spotify.com/v1/audio-analysis/7b6F41jUoZbQouCse1S2q3,246383,4
0.577,0.883,3,-4.255,0,0.0525,0.0114,9.29e-05,0.292,0.445,126.006,audio_features,1DMjHWLTn2adWTlvRWFRHX,spotify:track:1DMjHWLTn2adWTlvRWFRHX,https://api.spotify.com/v1/tracks/1DMjHWLTn2adWTlvRWFRHX,https://api.spotify.com/v1/audio-analysis/1DMjHWLTn2adWTlvRWFRHX,141125,4
0.434,0.775,8,-4.912,1,0.0452,0.0797,8.66e-06,0.125,0.232,94.974,audio_features,1V9P6nk1iVqhqnbcQqrY8W,spotify:track:1V9P6nk1iVqhqnbcQqrY8W,https://api.spotify.com/v1/tracks/1V9P6nk1iVqhqnbcQqrY8W,https://api.spotify.com/v1/audio-analysis/1V9P6nk1iVqhqnbcQqrY8W,204391,4
0.359,0.819,8,-3.718,0,0.0723,0.184,0,0.18,0.451,145.005,audio_features,6wRXzNyQvkBb0kTaNXyQlC,spotify:track:6wRXzNyQvkBb0kTaNXyQlC,https://api.spotify.com/v1/tracks/6wRXzNyQvkBb0kTaNXyQlC,https://api.spotify.com/v1/audio-analysis/6wRXzNyQvkBb0kTaNXyQlC,193655,4
0.456,0.603,3,-5.49,0,0.0304,0.0214,4.56e-05,0.089,0.0537,139.726,audio_features,78g9qGFwjw4W4OBpqIVyFG,spotify:track:78g9qGFwjw4W4OBpqIVyFG,https://api.spotify.com/v1/tracks/78g9qGFwjw4W4OBpqIVyFG,https://api.spotify.com/v1/audio-analysis/78g9qGFwjw4W4OBpqIVyFG,401733,4
0.433,0.945,8,-2.909,1,0.091,0.0133,0,0.334,0.462,174.012,audio_features,35ECfXaOa3NP3QVhRwA0Av,spotify:track:35ECfXaOa3NP3QVhRwA0Av,https://api.spotify.com/v1/tracks/35ECfXaOa3NP3QVhRwA0Av,https://api.spotify.com/v1/audio-analysis/35ECfXaOa3NP3QVhRwA0Av,280320,4
0.457,0.698,1,-5.309,1,0.0319,0.107,0,0.101,0.406,170.0,audio_features,5iwboryDc8jVaacAtdxqmj,spotify:track:5iwboryDc8jVaacAtdxqmj,https://api.spotify.com/v1/tracks/5iwboryDc8jVaacAtdxqmj,https://api.spotify.com/v1/audio-analysis/5iwboryDc8jVaacAtdxqmj,177882,4
