danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.694,0.891,9,-2.94,1,0.0949,0.0562,0,0.561,0.563,97.939,audio_features,6E11E0lT5Zy7yb6iT3y8DN,spotify:track:6E11E0lT5Zy7yb6iT3y8DN,https://api.spotify.com/v1/tracks/6E11E0lT5Zy7yb6iT3y8DN,https://api.spotify.com/v1/audio-analysis/6E11E0lT5Zy7yb6iT3y8DN,214573,4
0.611,0.269,10,-15.339,1,0.0321,0.771,0,0.15,0.563,120.242,audio_features,7wliemSUQ2bYbNwMC2UmxZ,spotify:track:7wliemSUQ2bYbNwMC2UmxZ,https://api.spotify.com/v1/tracks/7wliemSUQ2bYbNwMC2UmxZ,https://api.spotify.com/v1/audio-analysis/7wliemSUQ2bYbNwMC2UmxZ,253707,4
0.566,0.755,11,-5.526,1,0.0368,0.0338,0,0.315,0.445,101.006,audio_features,4Sfa7hdVkqlM8UW5LsSY3F,spotify:track:4Sfa7hdVkqlM8UW5LsSY3F,https://api.spotify.com/v1/tracks/4Sfa7hdVkqlM8UW5LsSY3F,https://api.spotify.com/v1/audio-analysis/4Sfa7hdVkqlM8UW5LsSY3F,264493,4
0.778,0.879,8,-7.068,1,0.312,0.123,0,0.201,0.741,152.047,audio_features,69jqKUauM2XyKBQ6eOZzB6,spotify:track:69jqKUauM2XyKBQ6eOZzB6,https://api.spotify.com/v1/tracks/69jqKUauM2XyKBQ6eOZzB6,https://api.spotify.com/v1/audio-analysis/69jqKUauM2XyKBQ6eOZzB6,189531,4
0.482,0.519,2,-9.062,1,0.0295,0.0382,4.43e-05,0.0695,0.871,169.337,audio_features,326gCPgUbQ52kgK9XGkx4t,spotify:track:326gCPgUbQ52kgK9XGkx4t,https://api.spotify.com/v1/tracks/326gCPgUbQ52kgK9XGkx4t,https://api.spotify.com/v1/audio-analysis/326gCPgUbQ52kgK9XGkx4t,226960,4
0.51,0.18,2,-15.673,1,0.0553,0.784,0.000478,0.0944,0.145,109.973,audio_features,4Xh9pVPgjZoEeoxgnqbXVk,spotify:track:4Xh9pVPgjZoEeoxgnqbXVk,https://api.spotify.com/v1/tracks/4Xh9pVPgjZoEeoxgnqbXVk,https://api.spotify.com/v1/audio-analysis/4Xh9pVPgjZoEeoxgnqbXVk,212840,4
0.755,0.686,4,-5.916,0,0.141,0.013,0.000265,0.0702,0.73,132.979,audio_features,16dJvMKPm7wmlgTI3QsmD8,spotify:track:16dJvMKPm7wmlgTI3QsmD8,https://api.spotify.com/v1/tracks/16dJvMKPm7wmlgTI3QsmD8,https://api.spotify.com/v1/audio-analysis/16dJvMKPm7wmlgTI3QsmD8,202307,4
0.488,0.671,5,-5.209,1,0.0313,0.0026,0,0.0951,0.942,120.55,audio_features,3yRPPxid15UxIgyTkFCgm2,spotify:track:3yRPPxid15UxIgyTkFCgm2,https://api.spotify.com/v1/tracks/3yRPPxid15UxIgyTkFCgm2,https://api.spotify.com/v1/audio-analysis/3yRPPxid15UxIgyTkFCgm2,195600,4
0.598,0.553,9,-6.742,0,0.0397,0.562,0.157,0.257,0.533,123.075,audio_features,41yYZpI0PSuRVqh4Xc1iax,spotify:track:41yYZpI0PSuRVqh4Xc1iax,https://api.spotify.com/v1/tracks/41yYZpI0PSuRVqh4Xc1iax,https://api.spotify.com/v1/audio-analysis/41yYZpI0PSuRVqh4Xc1iax,211227,4
0.585,0.95,11,-4.872,1,0.0314,0.00182,0.0461,0.319,0.879,131.76,audio_features,1QkMRCOQkAKVQ2hYoTJ4SK,spotify:track:1QkMRCOQkAKVQ2hYoTJ4SK,https://api.spotify.com/v1/tracks/1QkMRCOQkAKVQ2hYoTJ4SK,https://api.spotify.com/v1/audio-analysis/1QkMRCOQkAKVQ2hYoTJ4SK,172560,4
0.626,0.703,11,-5.247,1,0.0306,0.0275,1.66e-06,0.0903,0.522,92.054,audio_features,4orHVYvdG5v4G4bmp2Lwdg,spotify:track:4orHVYvdG5v4G4bmp2Lwdg,https://api.spotify.com/v1/tracks/4orHVYvdG5v4G4bmp2Lwdg,https://api.spotify.com/v1/audio-analysis/4orHVYvdG5v4G4bmp2Lwdg,210373,4
0.614,0.38,4,-14.901,1,0.0419,0.841,0,0.182,0.517,111.914,audio_features,1e5NoIqQ29fQgB4fInZ1UU,spotify:track:1e5NoIqQ29fQgB4fInZ1UU,https://api.spotify.com/v1/tracks/1e5NoIqQ29fQgB4fInZ1UU,https://api.spotify.com/v1/audio-analysis/1e5NoIqQ29fQgB4fInZ1UU,162573,4
0.379,0.782,11,-8.163,1,0.0358,0.0472,0.748,0.265,0.549,101.698,audio_features,3cSlU4ZH4wzb5pM7wI1k3f,spotify:track:3cSlU4ZH4wzb5pM7wI1k3f,https://api.spotify.com/v1/tracks/3cSlU4ZH4wzb5pM7wI1k3f,https://api.spotify.com/v1/audio-analysis/3cSlU4ZH4wzb5pM7wI1k3f,570733,4
0.519,0.613,3,-5.74,1,0.378,0.7,1.09e-06,0.349,0.746,160.484,audio_features,4u1fXbflPvuB5pRxGeF27X,spotify:track:4u1fXbflPvuB5pRxGeF27X,https://api.spotify.com/v1/tracks/4u1fXbflPvuB5pRxGeF27X,https://api.spotify.com/v1/audio-analysis/4u1fXbflPvuB5pRxGeF27X,162933,4
0.65,0.773,7,-5.115,1,0.0298,0.214,0.0657,0.364,0.681,157.529,audio_features,14uxqEaQ2dB93HGogVBMvG,spotify:track:14uxqEaQ2dB93HGogVBMvG,https://api.spotify.com/v1/tracks/14uxqEaQ2dB93HGogVBMvG,https://api.spotify.com/v1/audio-analysis/14uxqEaQ2dB93HGogVBMvG,210939,3
0.712,0.799,5,-3.44,0,0.0329,0.0463,0,0.0836,0.7,93.015,audio_features,3wJIAMuPdEoBddWlovWXCX,spotify:track:3wJIAMuPdEoBddWlovWXCX,https://api.spotify.com/v1/tracks/3wJIAMuPdEoBddWlovWXCX,https://api.spotify.com/v1/audio-analysis/3wJIAMuPdEoBddWlovWXCX,219480,4
0.326,0.886,9,-6.936,1,0.0395,0.000124,0.000147,0.221,0.583,157.057,audio_features,08mEHKuCfCJeRyrJ6x7smE,spotify:track:08mEHKuCfCJeRyrJ6x7smE,https://api.spotify.com/v1/tracks/08mEHKuCfCJeRyrJ6x7smE,https://api.spotify.com/v1/audio-analysis/08mEHKuCfCJeRyrJ6x7smE,135393,4
0.6,0.876,1,-5.646,1,0.0426,0.00123,0.0358,0.0549,0.517,125.949,audio_features,7t8jBKQfC9VssvYKCpM4bY,spotify:track:7t8jBKQfC9VssvYKCpM4bY,https://api.spotify.com/v1/tracks/7t8jBKQfC9VssvYKCpM4bY,https://api.spotify.com/v1/audio-analysis/7t8jBKQfC9VssvYKCpM4bY,229589,4
0.833,0.666,0,-8.864,1,0.0353,0.325,0.0115,0.118,0.731,133.617,audio_features,2v1IbJQO2DOhGMDhBG40AK,spotify:track:2v1IbJQO2DOhGMDhBG40AK,https://api.spotify.com/v1/tracks/2v1IbJQO2DOhGMDhBG40AK,https://api.spotify.com/v1/audio-analysis/2v1IbJQO2DOhGMDhBG40AK,213107,4
