danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.73,0.721,11,-5.537,0,0.04,0.0271,0.000227,0.159,0.738,125.955,audio_features,7bGScuzoMhidpD9MKWeaq3,spotify:track:7bGScuzoMhidpD9MKWeaq3,https://api.spotify.com/v1/tracks/7bGScuzoMhidpD9MKWeaq3,https://api.spotify.com/v1/audio-analysis/7bGScuzoMhidpD9MKWeaq3,207630,4
0.751,0.579,2,-4.036,1,0.0321,0.398,2.28e-05,0.133,0.349,105.031,audio_features,3whrwq4DtvucphBPUogRuJ,spotify:track:3whrwq4DtvucphBPUogRuJ,https://api.spotify.com/v1/tracks/3whrwq4DtvucphBPUogRuJ,https://api.spotify.com/v1/audio-analysis/3whrwq4DtvucphBPUogRuJ,199095,4
0.656,0.839,9,-4.916,0,0.0604,0.119,2.83e-05,0.0949,0.207,119.877,audio_features,3oSYwASkN2eAt0uGYanNP2,spotify:track:3oSYwASkN2eAt0uGYanNP2,https://api.spotify.com/v1/tracks/3oSYwASkN2eAt0uGYanNP2,https://api.spotify.com/v1/audio-analysis/3oSYwASkN2eAt0uGYanNP2,231944,4
0.841,0.629,4,-3.033,0,0.114,0.188,0,0.346,0.676,143.949,audio_features,3t6j6WNv2OSn6qm5Vxynub,spotify:track:3t6j6WNv2OSn6qm5Vxynub,https://api.spotify.com/v1/tracks/3t6j6WNv2OSn6qm5Vxynub,https://api.spotify.com/v1/audio-analysis/3t6j6WNv2OSn6qm5Vxynub,216307,4
0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965,audio_features,5knuzwU65gJK7IF5yJsuaW,spotify:track:5knuzwU65gJK7IF5yJsuaW,https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW,https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW,251088,4
0.675,0.724,7,-5.503,1,0.0787,0.0166,0,0.697,0.506,92.051,audio_features,3xWEI23MLJrD0dpDcDUTW6,spotify:track:3xWEI23MLJrD0dpDcDUTW6,https://api.spotify.com/v1/tracks/3xWEI23MLJrD0dpDcDUTW6,https://api.spotify.com/v1/audio-analysis/3xWEI23MLJrD0dpDcDUTW6,233072,4
0.685,0.819,1,-3.748,0,0.0494,0.0918,7.33e-06,0.0934,0.607,104.978,audio_features,0fH86zQcE2CmATQju6WpXv,spotify:track:0fH86zQcE2CmATQju6WpXv,https://api.spotify.com/v1/tracks/0fH86zQcE2CmATQju6WpXv,https://api.spotify.com/v1/audio-analysis/0fH86zQcE2CmATQju6WpXv,194693,4
0.711,0.875,5,-2.211,1,0.104,0.211,0.000198,0.0862,0.922,103.637,audio_features,4m5A5meIueOcDBpbqGvkQB,spotify:track:4m5A5meIueOcDBpbqGvkQB,https://api.spotify.com/v1/tracks/4m5A5meIueOcDBpbqGvkQB,https://api.spotify.com/v1/audio-analysis/4m5A5meIueOcDBpbqGvkQB,225813,4
0.367,0.915,9,-3.456,0,0.0488,0.0022,5.81e-05,0.0905,0.365,110.169,audio_features,46NBoIAHrmR7qcUGCIFEjR,spotify:track:46NBoIAHrmR7qcUGCIFEjR,https://api.spotify.com/v1/tracks/46NBoIAHrmR7qcUGCIFEjR,https://api.spotify.com/v1/audio-analysis/46NBoIAHrmR7qcUGCIFEjR,207273,4
0.432,0.874,7,-5.558,1,0.0462,0.0732,6.14e-06,0.371,0.374,103.85,audio_features,5FoYSQF0IaVwS6M9mlk6C4,spotify:track:5FoYSQF0IaVwS6M9mlk6C4,https://api.spotify.com/v1/tracks/5FoYSQF0IaVwS6M9mlk6C4,https://api.spotify.com/v1/audio-analysis/5FoYSQF0IaVwS6M9mlk6C4,195195,4
0.534,0.749,6,-5.562,0,0.0749,0.0776,1.47e-06,0.0906,0.671,179.975,audio_features,59iNA6gwthoTJ6IgpBGGHW,spotify:track:59iNA6gwthoTJ6IgpBGGHW,https://api.spotify.com/v1/tracks/59iNA6gwthoTJ6IgpBGGHW,https://api.spotify.com/v1/audio-analysis/59iNA6gwthoTJ6IgpBGGHW,212160,4
0.565,0.849,0,-3.516,0,0.0517,0.00868,4.68e-06,0.12,0.427,102.034,audio_features,6s3GEN8wK0OMzzzZbXj0fu,spotify:track:6s3GEN8wK0OMzzzZbXj0fu,https://api.spotify.com/v1/tracks/6s3GEN8wK0OMzzzZbXj0fu,https://api.spotify.com/v1/audio-analysis/6s3GEN8wK0OMzzzZbXj0fu,212647,4
0.793,0.696,1,-3.8,0,0.184,0.256,0,0.146,0.485,96.036,audio_features,54MeG5FCVXStJTyNvRu9zN,spotify:track:54MeG5FCVXStJTyNvRu9zN,https://api.spotify.com/v1/tracks/54MeG5FCVXStJTyNvRu9zN,https://api.spotify.com/v1/audio-analysis/54MeG5FCVXStJTyNvRu9zN,207280,4
0.727,0.937,1,-1.464,0,0.0909,0.112,0,0.326,0.566,118.064,audio_features,7H6yuAWFnyEex99w17WZWJ,spotify:track:7H6yuAWFnyEex99w17WZWJ,https://api.spotify.com/v1/tracks/7H6yuAWFnyEex99w17WZWJ,https://api.spotify.com/v1/audio-analysis/7H6yuAWFnyEex99w17WZWJ,203760,4
0.484,0.658,8,-5.647,1,0.0749,0.377,0,0.129,0.573,109.624,audio_features,0fksAq9r4zFzFZM0fFGSJz,spotify:track:0fksAq9r4zFzFZM0fFGSJz,https://api.spotify.com/v1/tracks/0fksAq9r4zFzFZM0fFGSJz,https://api.spotify.com/v1/audio-analysis/0fksAq9r4zFzFZM0fFGSJz,248520,4
0.799,0.738,9,-9.043,1,0.118,0.0485,0.34,0.0603,0.397,128.051,audio_features,45sGyAtAxD6efaN0bJAFgh,spotify:track:45sGyAtAxD6efaN0bJAFgh,https://api.spotify.com/v1/tracks/45sGyAtAxD6efaN0bJAFgh,https://api.spotify.com/v1/audio-analysis/45sGyAtAxD6efaN0bJAFgh,137661,4
0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,audio_features,1xznGGDReH1oQq0xzbwXa3,spotify:track:1xznGGDReH1oQq0xzbwXa3,https://api.spotify.com/v1/tracks/1xznGGDReH1oQq0xzbwXa3,https://api.spotify.com/v1/audio-analysis/1xznGGDReH1oQq0xzbwXa3,173987,4
0.797,0.72,5,-5.765,0,0.0465,0.181,0.608,0.128,0.347,124.065,audio_features,2spLJ8KbU1MC2n81YeMOck,spotify:track:2spLJ8KbU1MC2n81YeMOck,https://api.spotify.com/v1/tracks/2spLJ8KbU1MC2n81YeMOck,https://api.spotify.com/v1/audio-analysis/2spLJ8KbU1MC2n81YeMOck,225227,4
0.736,0.879,9,-3.782,0,0.0696,0.0369,0.000736,0.233,0.757,107.976,audio_features,4kCmfCnNjca59NowllKhzV,spotify:track:4kCmfCnNjca59NowllKhzV,https://api.spotify.com/v1/tracks/4kCmfCnNjca59NowllKhzV,https://api.spotify.com/v1/audio-analysis/4kCmfCnNjca59NowllKhzV,166138,4
0.73,0.885,10,-2.902,1,0.116,0.109,1.73e-05,0.117,0.799,177.939,audio_features,0yOBoHL98lOPc1HGrAvNt8,spotify:track:0yOBoHL98lOPc1HGrAvNt8,https://api.spotify.com/v1/tracks/0yOBoHL98lOPc1HGrAvNt8,https://api.spotify.com/v1/audio-analysis/0yOBoHL98lOPc1HGrAvNt8,209600,4
0.885,0.703,6,-6.468,0,0.0878,0.0824,2.39e-05,0.0639,0.824,100.002,audio_features,7dpNTLMcvvlYc1EpSQ3Ebl,spotify:track:7dpNTLMcvvlYc1EpSQ3Ebl,https://api.spotify.com/v1/tracks/7dpNTLMcvvlYc1EpSQ3Ebl,https://api.spotify.com/v1/audio-analysis/7dpNTLMcvvlYc1EpSQ3Ebl,194800,4
0.82,0.766,2,-4.543,0,0.0618,0.0485,0.00171,0.0812,0.687,126.013,audio_features,3wBBxdiL0tpliCE6JpzmWa,spotify:track:3wBBxdiL0tpliCE6JpzmWa,https://api.spotify.com/v1/tracks/3wBBxdiL0tpliCE6JpzmWa,https://api.spotify.com/v1/audio-analysis/3wBBxdiL0tpliCE6JpzmWa,195707,4
0.673,0.824,9,-5.909,0,0.0773,0.454,0.00136,0.0877,0.0768,104.939,audio_features,2eK6JUURpmZZiA6HWPJl38,spotify:track:2eK6JUURpmZZiA6HWPJl38,https://api.spotify.com/v1/tracks/2eK6JUURpmZZiA6HWPJl38,https://api.spotify.com/v1/audio-analysis/2eK6JUURpmZZiA6HWPJl38,209573,4
0.757,0.678,8,-5.529,0,0.233,0.0472,9.14e-06,0.0654,0.82,120.075,audio_features,2hgzdQdnfWwtdpZbhZlV72,spotify:track:2hgzdQdnfWwtdpZbhZlV72,https://api.spotify.com/v1/tracks/2hgzdQdnfWwtdpZbhZlV72,https://api.spotify.com/v1/audio-analysis/2hgzdQdnfWwtdpZbhZlV72,218235,4
0.702,0.621,1,-3.456,1,0.197,0.432,0.000491,0.109,0.662,148.923,audio_features,4c9EOM7032CaKEsDWdKpge,spotify:track:4c9EOM7032CaKEsDWdKpge,https://api.spotify.com/v1/tracks/4c9EOM7032CaKEsDWdKpge,https://api.spotify.com/v1/audio-analysis/4c9EOM7032CaKEsDWdKpge,246413,4
0.771,0.629,1,-5.79,1,0.0511,0.00802,0.00252,0.356,0.362,103.918,audio_features,0JoaFxLgrqbWutREzcZBzS,spotify:track:0JoaFxLgrqbWutREzcZBzS,https://api.spotify.com/v1/tracks/0JoaFxLgrqbWutREzcZBzS,https://api.spotify.com/v1/audio-analysis/0JoaFxLgrqbWutREzcZBzS,173975,4
0.724,0.904,8,-3.354,0,0.0966,0.0786,0,0.226,0.846,90.999,audio_features,6YZdkObH88npeKrrkb8Ggf,spotify:track:6YZdkObH88npeKrrkb8Ggf,https://api.spotify.com/v1/tracks/6YZdkObH88npeKrrkb8Ggf,https://api.spotify.com/v1/audio-analysis/6YZdkObH88npeKrrkb8Ggf,200813,4
0.673,0.79,7,-4.663,0,0.0893,0.037,9.95e-06,0.0875,0.705,102.013,audio_features,7vfWgVGiLgnGbInU5lvSQg,spotify:track:7vfWgVGiLgnGbInU5lvSQg,https://api.spotify.com/v1/tracks/7vfWgVGiLgnGbInU5lvSQg,https://api.spotify.com/v1/audio-analysis/7vfWgVGiLgnGbInU5lvSQg,199227,4
0.632,0.681,0,-5.023,0,0.115,0.128,1.53e-05,0.116,0.633,126.477,audio_features,3Uz8ZcQdlOF2qE6q1rcVpw,spotify:track:3Uz8ZcQdlOF2qE6q1rcVpw,https://api.spotify.com/v1/tracks/3Uz8ZcQdlOF2qE6q1rcVpw,https://api.spotify.com/v1/audio-analysis/3Uz8ZcQdlOF2qE6q1rcVpw,167000,5
0.903,0.799,10,-7.254,0,0.137,0.32,0.00126,0.0545,0.825,119.0,audio_features,2Hcg3Vkma8HCiEugCKCole,spotify:track:2Hcg3Vkma8HCiEugCKCole,https://api.spotify.com/v1/tracks/2Hcg3Vkma8HCiEugCKCole,https://api.spotify.com/v1/audio-analysis/2Hcg3Vkma8HCiEugCKCole,188159,4
0.671,0.916,6,-4.014,0,0.0397,0.0282,0.00762,0.24,0.803,126.01,audio_features,0gb1J5UrTpzaU1s3nupgCd,spotify:track:0gb1J5UrTpzaU1s3nupgCd,https://api.spotify.com/v1/tracks/0gb1J5UrTpzaU1s3nupgCd,https://api.spotify.com/v1/audio-analysis/0gb1J5UrTpzaU1s3nupgCd,189127,4
0.695,0.797,7,-5.199,1,0.0548,0.00259,0.112,0.664,0.297,124.972,audio_features,1Wuwsq0BK4Abd7gRitOhXl,spotify:track:1Wuwsq0BK4Abd7gRitOhXl,https://api.spotify.com/v1/tracks/1Wuwsq0BK4Abd7gRitOhXl,https://api.spotify.com/v1/audio-analysis/1Wuwsq0BK4Abd7gRitOhXl,237051,4
0.835,0.734,7,-8.932,1,0.209,0.0119,0.000683,0.205,0.56,120.016,audio_features,6qXtUXwaAiokpGB4aAgBAW,spotify:track:6qXtUXwaAiokpGB4aAgBAW,https://api.spotify.com/v1/tracks/6qXtUXwaAiokpGB4aAgBAW,https://api.spotify.com/v1/audio-analysis/6qXtUXwaAiokpGB4aAgBAW,371909,4
0.599,0.869,0,-3.697,1,0.0789,0.0525,0.00719,0.103,0.593,108.061,audio_features,53Y0kdCa1CZ9gRqEuknfwy,spotify:track:53Y0kdCa1CZ9gRqEuknfwy,https://api.spotify.com/v1/tracks/53Y0kdCa1CZ9gRqEuknfwy,https://api.spotify.com/v1/audio-analysis/53Y0kdCa1CZ9gRqEuknfwy,193333,4
0.607,0.707,9,-5.509,0,0.106,0.00842,1.71e-05,0.348,0.117,128.014,audio_features,1DZ9n7K1LZW8bWBZqGJUfN,spotify:track:1DZ9n7K1LZW8bWBZqGJUfN,https://api.spotify.com/v1/tracks/1DZ9n7K1LZW8bWBZqGJUfN,https://api.spotify.com/v1/audio-analysis/1DZ9n7K1LZW8bWBZqGJUfN,252933,4
0.747,0.873,1,-5.448,1,0.0615,0.0193,0.365,0.0924,0.529,119.011,audio_features,1TT6cxGfrwFZP2Q864GfeJ,spotify:track:1TT6cxGfrwFZP2Q864GfeJ,https://api.spotify.com/v1/tracks/1TT6cxGfrwFZP2Q864GfeJ,https://api.spotify.com/v1/audio-analysis/1TT6cxGfrwFZP2Q864GfeJ,247133,4
0.667,0.755,0,-3.773,0,0.0431,0.162,0,0.306,0.513,99.994,audio_features,3grxgV6Ot8KqtysApjYLs1,spotify:track:3grxgV6Ot8KqtysApjYLs1,https://api.spotify.com/v1/tracks/3grxgV6Ot8KqtysApjYLs1,https://api.spotify.com/v1/audio-analysis/3grxgV6Ot8KqtysApjYLs1,219987,4
