danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.688,0.578,11,-7.547,0,0.36,0.0946,0,0.303,0.621,78.024,audio_features,4V8IMrloXw7yEnKAZuY6ck,spotify:track:4V8IMrloXw7yEnKAZuY6ck,https://api.spotify.com/v1/tracks/4V8IMrloXw7yEnKAZuY6ck,https://api.spotify.com/v1/audio-analysis/4V8IMrloXw7yEnKAZuY6ck,246973,4
0.582,0.484,6,-10.058,1,0.0509,0.0489,0,0.0704,0.237,120.099,audio_features,50OKP6WN8JWxnWpPkuNTKy,spotify:track:50OKP6WN8JWxnWpPkuNTKy,https://api.spotify.com/v1/tracks/50OKP6WN8JWxnWpPkuNTKy,https://api.spotify.com/v1/audio-analysis/50OKP6WN8JWxnWpPkuNTKy,250053,4
0.49,0.605,9,-8.765,0,0.419,0.0596,0,0.107,0.257,180.109,audio_features,7fR5bApzyUW5swONO3T2cH,spotify:track:7fR5bApzyUW5swONO3T2cH,https://api.spotify.com/v1/tracks/7fR5bApzyUW5swONO3T2cH,https://api.spotify.com/v1/audio-analysis/7fR5bApzyUW5swONO3T2cH,213356,4
0.524,0.364,7,-10.209,1,0.0367,0.808,0,0.1,0.436,75.24,audio_features,1RMJOxR6GRPsBHL8qeC2ux,spotify:track:1RMJOxR6GRPsBHL8qeC2ux,https://api.spotify.com/v1/tracks/1RMJOxR6GRPsBHL8qeC2ux,https://api.spotify.com/v1/audio-analysis/1RMJOxR6GRPsBHL8qeC2ux,209831,4
0.654,0.325,2,-11.925,1,0.282,0.74,2.14e-05,0.152,0.39,139.886,audio_features,6R6ihJhRbgu7JxJKIbW57w,spotify:track:6R6ihJhRbgu7JxJKIbW57w,https://api.spotify.com/v1/tracks/6R6ihJhRbgu7JxJKIbW57w,https://api.spotify.com/v1/audio-analysis/6R6ihJhRbgu7JxJKIbW57w,243238,4
0.509,0.708,9,-7.799,1,0.11,0.276,0.309,0.0835,0.34,95.017,audio_features,1YnjZxBQFmLizsE8wEA9TE,spotify:track:1YnjZxBQFmLizsE8wEA9TE,https://api.spotify.com/v1/tracks/1YnjZxBQFmLizsE8wEA9TE,https://api.spotify.com/v1/audio-analysis/1YnjZxBQFmLizsE8wEA9TE,253187,4
0.623,0.49,9,-8.255,0,0.0515,0.367,0.000211,0.338,0.29,84.275,audio_features,4d0dY3ZeMdoYrD5YmdFvWZ,spotify:track:4d0dY3ZeMdoYrD5YmdFvWZ,https://api.spotify.com/v1/tracks/4d0dY3ZeMdoYrD5YmdFvWZ,https://api.spotify.com/v1/audio-analysis/4d0dY3ZeMdoYrD5YmdFvWZ,230853,4
0.616,0.533,5,-11.121,0,0.126,0.749,0.000181,0.321,0.394,90.007,audio_features,5Rjzric0cJseAdTKudfiyF,spotify:track:5Rjzric0cJseAdTKudfiyF,https://api.spotify.com/v1/tracks/5Rjzric0cJseAdTKudfiyF,https://api.spotify.com/v1/audio-analysis/5Rjzric0cJseAdTKudfiyF,262253,4
0.497,0.636,8,-8.71,1,0.0723,0.683,0,0.228,0.69,93.777,audio_features,3Tc6dHggtSaZqlKRhzkeub,spotify:track:3Tc6dHggtSaZqlKRhzkeub,https://api.spotify.com/v1/tracks/3Tc6dHggtSaZqlKRhzkeub,https://api.spotify.com/v1/audio-analysis/3Tc6dHggtSaZqlKRhzkeub,204056,4
0.54,0.424,11,-10.749,1,0.0418,0.0951,0.406,0.0439,0.678,108.973,audio_features,5ISNIruipHp8AHnxbRBwtO,spotify:track:5ISNIruipHp8AHnxbRBwtO,https://api.spotify.com/v1/tracks/5ISNIruipHp8AHnxbRBwtO,https://api.spotify.com/v1/audio-analysis/5ISNIruipHp8AHnxbRBwtO,345200,4
0.547,0.774,8,-4.89,0,0.0455,0.194,0.000423,0.21,0.422,132.071,audio_features,3oNd8QPgEeDP5L4TfZLhGW,spotify:track:3oNd8QPgEeDP5L4TfZLhGW,https://api.spotify.com/v1/tracks/3oNd8QPgEeDP5L4TfZLhGW,https://api.spotify.com/v1/audio-analysis/3oNd8QPgEeDP5L4TfZLhGW,199653,4
0.6,0.651,5,-5.028,0,0.0807,0.537,0.0463,0.123,0.611,92.953,audio_features,2gJsWRBkrNzvx43FvZmaGK,spotify:track:2gJsWRBkrNzvx43FvZmaGK,https://api.spotify.com/v1/tracks/2gJsWRBkrNzvx43FvZmaGK,https://api.spotify.com/v1/audio-analysis/2gJsWRBkrNzvx43FvZmaGK,240173,4
