danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.789,0.793,4,-6.629,0,0.107,0.0217,0.826,0.112,0.743,149.368,audio_features,7EGPjajqOZC7XvV7UgR8pW,spotify:track:7EGPjajqOZC7XvV7UgR8pW,https://api.spotify.com/v1/tracks/7EGPjajqOZC7XvV7UgR8pW,https://api.spotify.com/v1/audio-analysis/7EGPjajqOZC7XvV7UgR8pW,236253,4
0.799,0.467,1,-11.541,0,0.0708,0.0476,0.816,0.0915,0.533,140.644,audio_features,6eCsMxyabKZWLOjoW3cgNF,spotify:track:6eCsMxyabKZWLOjoW3cgNF,https://api.spotify.com/v1/tracks/6eCsMxyabKZWLOjoW3cgNF,https://api.spotify.com/v1/audio-analysis/6eCsMxyabKZWLOjoW3cgNF,265333,4
0.929,0.349,5,-13.612,0,0.119,0.00438,1.2e-06,0.0874,0.788,131.691,audio_features,5Xmplqj77ATmZcVdvhtzoo,spotify:track:5Xmplqj77ATmZcVdvhtzoo,https://api.spotify.com/v1/tracks/5Xmplqj77ATmZcVdvhtzoo,https://api.spotify.com/v1/audio-analysis/5Xmplqj77ATmZcVdvhtzoo,313507,4
0.882,0.241,8,-16.648,0,0.0601,0.788,0.432,0.106,0.718,126.007,audio_features,1i4KkAHiiTKHh8ysCSMvsJ,spotify:track:1i4KkAHiiTKHh8ysCSMvsJ,https://api.spotify.com/v1/tracks/1i4KkAHiiTKHh8ysCSMvsJ,https://api.spotify.com/v1/audio-analysis/1i4KkAHiiTKHh8ysCSMvsJ,386240,4
0.834,0.483,2,-8.834,1,0.428,0.188,0.00803,0.0828,0.292,69.116,audio_features,6jxka5AJgy5VReTKJJIAyw,spotify:track:6jxka5AJgy5VReTKJJIAyw,https://api.spotify.com/v1/tracks/6jxka5AJgy5VReTKJJIAyw,https://api.spotify.com/v1/audio-analysis/6jxka5AJgy5VReTKJJIAyw,219707,4
0.734,0.42,9,-11.126,1,0.101,0.0312,0.0569,0.0778,0.573,76.767,audio_features,0T5p5JWseJxbqGr3cILhL4,spotify:track:0T5p5JWseJxbqGr3cILhL4,https://api.spotify.com/v1/tracks/0T5p5JWseJxbqGr3cILhL4,https://api.spotify.com/v1/audio-analysis/0T5p5JWseJxbqGr3cILhL4,260907,4
0.61,0.374,1,-9.394,1,0.073,0.047,0.873,0.247,0.735,80.151,audio_features,39LAeYCw8RfxNSDOLDuyzP,spotify:track:39LAeYCw8RfxNSDOLDuyzP,https://api.spotify.com/v1/tracks/39LAeYCw8RfxNSDOLDuyzP,https://api.spotify.com/v1/audio-analysis/39LAeYCw8RfxNSDOLDuyzP,238627,4
0.919,0.422,2,-9.152,0,0.106,0.0555,0.855,0.0777,0.468,119.061,audio_features,6u2g6f67PqUMJq9GHajjXn,spotify:track:6u2g6f67PqUMJq9GHajjXn,https://api.spotify.com/v1/tracks/6u2g6f67PqUMJq9GHajjXn,https://api.spotify.com/v1/audio-analysis/6u2g6f67PqUMJq9GHajjXn,227645,4
0.796,0.621,1,-14.566,1,0.0402,0.00222,0.84,0.107,0.397,131.406,audio_features,3lyehLFWwaQgRl8Hbjc3Ux,spotify:track:3lyehLFWwaQgRl8Hbjc3Ux,https://api.spotify.com/v1/tracks/3lyehLFWwaQgRl8Hbjc3Ux,https://api.spotify.com/v1/audio-analysis/3lyehLFWwaQgRl8Hbjc3Ux,245227,4
0.78,0.524,11,-6.936,1,0.0469,0.0391,0.95,0.113,0.738,141.338,audio_features,4aD2IlvdN5ubh1WSPyI5VN,spotify:track:4aD2IlvdN5ubh1WSPyI5VN,https://api.spotify.com/v1/tracks/4aD2IlvdN5ubh1WSPyI5VN,https://api.spotify.com/v1/audio-analysis/4aD2IlvdN5ubh1WSPyI5VN,156933,4
0.779,0.274,4,-16.647,1,0.076,0.0156,0.881,0.0522,0.883,149.451,audio_features,3ShdCF10PgPkKPLRdqkPSl,spotify:track:3ShdCF10PgPkKPLRdqkPSl,https://api.spotify.com/v1/tracks/3ShdCF10PgPkKPLRdqkPSl,https://api.spotify.com/v1/audio-analysis/3ShdCF10PgPkKPLRdqkPSl,212107,4
0.801,0.516,1,-7.022,1,0.0815,0.0549,0.0083,0.126,0.877,84.793,audio_features,58hdQ6kllWBvhUmBxOtz3H,spotify:track:58hdQ6kllWBvhUmBxOtz3H,https://api.spotify.com/v1/tracks/58hdQ6kllWBvhUmBxOtz3H,https://api.spotify.com/v1/audio-analysis/58hdQ6kllWBvhUmBxOtz3H,187611,4
0.747,0.49,9,-8.605,1,0.0977,0.00313,0.562,0.137,0.737,142.905,audio_features,7d3adDUXTHu3prwiMxbYv5,spotify:track:7d3adDUXTHu3prwiMxbYv5,https://api.spotify.com/v1/tracks/7d3adDUXTHu3prwiMxbYv5,https://api.spotify.com/v1/audio-analysis/7d3adDUXTHu3prwiMxbYv5,483813,4
0.886,0.27,11,-16.073,1,0.0541,0.00283,0.129,0.359,0.819,121.936,audio_features,4iPFmddLTNRzXlrHnijIPz,spotify:track:4iPFmddLTNRzXlrHnijIPz,https://api.spotify.com/v1/tracks/4iPFmddLTNRzXlrHnijIPz,https://api.spotify.com/v1/audio-analysis/4iPFmddLTNRzXlrHnijIPz,257880,4
0.756,0.372,6,-14.385,1,0.0763,0.0248,0.88,0.095,0.479,135.059,audio_features,7fbjerF8AlMCF4lCkyEiyG,spotify:track:7fbjerF8AlMCF4lCkyEiyG,https://api.spotify.com/v1/tracks/7fbjerF8AlMCF4lCkyEiyG,https://api.spotify.com/v1/audio-analysis/7fbjerF8AlMCF4lCkyEiyG,254093,4
0.907,0.519,5,-14.42,0,0.0719,0.237,0.884,0.0789,0.982,141.571,audio_features,2FrZoMAivb7RSId6R8z7ZW,spotify:track:2FrZoMAivb7RSId6R8z7ZW,https://api.spotify.com/v1/tracks/2FrZoMAivb7RSId6R8z7ZW,https://api.spotify.com/v1/audio-analysis/2FrZoMAivb7RSId6R8z7ZW,188893,4
0.663,0.566,7,-13.662,1,0.135,0.00258,0.887,0.361,0.826,161.33,audio_features,4z1wB5oMJcTrh0kUT5UCZJ,spotify:track:4z1wB5oMJcTrh0kUT5UCZJ,https://api.spotify.com/v1/tracks/4z1wB5oMJcTrh0kUT5UCZJ,https://api.spotify.com/v1/audio-analysis/4z1wB5oMJcTrh0kUT5UCZJ,270827,4
0.718,0.485,2,-7.866,1,0.0636,0.00867,0.903,0.0661,0.721,144.405,audio_features,6nH9254NEli6m6KXKS98XS,spotify:track:6nH9254NEli6m6KXKS98XS,https://api.spotify.com/v1/tracks/6nH9254NEli6m6KXKS98XS,https://api.spotify.com/v1/audio-analysis/6nH9254NEli6m6KXKS98XS,180760,4
0.857,0.485,7,-10.757,0,0.0637,0.0259,0.712,0.0858,0.501,134.416,audio_features,1tszACVAezDsw71KyLOCpR,spotify:track:1tszACVAezDsw71KyLOCpR,https://api.spotify.com/v1/tracks/1tszACVAezDsw71KyLOCpR,https://api.spotify.com/v1/audio-analysis/1tszACVAezDsw71KyLOCpR,253453,4
0.718,0.836,7,-7.406,1,0.0903,0.207,0.837,0.359,0.878,144.807,audio_features,5mPByd2ppul73z0C5zo1Ug,spotify:track:5mPByd2ppul73z0C5zo1Ug,https://api.spotify.com/v1/tracks/5mPByd2ppul73z0C5zo1Ug,https://api.spotify.com/v1/audio-analysis/5mPByd2ppul73z0C5zo1Ug,144093,4
0.75,0.585,5,-9.596,1,0.122,0.044,0.0121,0.112,0.843,74.422,audio_features,3gH0VFRynyl6xC6nfFZYG7,spotify:track:3gH0VFRynyl6xC6nfFZYG7,https://api.spotify.com/v1/tracks/3gH0VFRynyl6xC6nfFZYG7,https://api.spotify.com/v1/audio-analysis/3gH0VFRynyl6xC6nfFZYG7,237507,4
0.73,0.584,7,-7.441,1,0.0486,0.0238,0.0798,0.107,0.414,83.769,audio_features,50QPOvKYebMWt8EBckwSyl,spotify:track:50QPOvKYebMWt8EBckwSyl,https://api.spotify.com/v1/tracks/50QPOvKYebMWt8EBckwSyl,https://api.spotify.com/v1/audio-analysis/50QPOvKYebMWt8EBckwSyl,218680,4
0.69,0.832,6,-7.366,1,0.0403,0.0041,0.000205,0.365,0.777,129.956,audio_features,6kl67DZUVeyai0QxjLdDFI,spotify:track:6kl67DZUVeyai0QxjLdDFI,https://api.spotify.com/v1/tracks/6kl67DZUVeyai0QxjLdDFI,https://api.spotify.com/v1/audio-analysis/6kl67DZUVeyai0QxjLdDFI,279493,4
0.73,0.584,6,-9.058,0,0.0825,0.104,0.0406,0.347,0.817,144.039,audio_features,2FvW1kJGtL2gx9xUT7Zfo2,spotify:track:2FvW1kJGtL2gx9xUT7Zfo2,https://api.spotify.com/v1/tracks/2FvW1kJGtL2gx9xUT7Zfo2,https://api.spotify.com/v1/audio-analysis/2FvW1kJGtL2gx9xUT7Zfo2,365760,4
0.67,0.367,11,-15.957,1,0.0418,0.00676,0.828,0.216,0.313,131.07,audio_features,3Rh4wkbhJihnCkTITD2b74,spotify:track:3Rh4wkbhJihnCkTITD2b74,https://api.spotify.com/v1/tracks/3Rh4wkbhJihnCkTITD2b74,https://api.spotify.com/v1/audio-analysis/3Rh4wkbhJihnCkTITD2b74,278962,4
0.725,0.641,7,-6.135,0,0.0481,0.194,0.00498,0.091,0.786,87.732,audio_features,1ZlRjoXqR9PdHNGQ707sJV,spotify:track:1ZlRjoXqR9PdHNGQ707sJV,https://api.spotify.com/v1/tracks/1ZlRjoXqR9PdHNGQ707sJV,https://api.spotify.com/v1/audio-analysis/1ZlRjoXqR9PdHNGQ707sJV,218653,4
0.695,0.59,7,-11.002,1,0.0388,0.00573,0.806,0.151,0.827,131.198,audio_features,10Iv0caBaOPyGs27YJHmUV,spotify:track:10Iv0caBaOPyGs27YJHmUV,https://api.spotify.com/v1/tracks/10Iv0caBaOPyGs27YJHmUV,https://api.spotify.com/v1/audio-analysis/10Iv0caBaOPyGs27YJHmUV,398053,4
0.804,0.352,1,-16.076,1,0.0526,0.00157,0.911,0.156,0.886,128.218,audio_features,4W9vnsbTJuSNFQeSsRWfK5,spotify:track:4W9vnsbTJuSNFQeSsRWfK5,https://api.spotify.com/v1/tracks/4W9vnsbTJuSNFQeSsRWfK5,https://api.spotify.com/v1/audio-analysis/4W9vnsbTJuSNFQeSsRWfK5,226373,4
