danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.741,0.63,6,-6.338,0,0.0256,0.185,0,0.0796,0.627,117.92,audio_features,4GuY9QJIk8uosZxiwikNvw,spotify:track:4GuY9QJIk8uosZxiwikNvw,https://api.spotify.com/v1/tracks/4GuY9QJIk8uosZxiwikNvw,https://api.spotify.com/v1/audio-analysis/4GuY9QJIk8uosZxiwikNvw,186227,4
0.494,0.684,7,-5.752,1,0.0378,0.0472,8.65e-05,0.182,0.507,153.895,audio_features,5kgX2sIGxDpqetN4TiwqXb,spotify:track:5kgX2sIGxDpqetN4TiwqXb,https://api.spotify.com/v1/tracks/5kgX2sIGxDpqetN4TiwqXb,https://api.spotify.com/v1/audio-analysis/5kgX2sIGxDpqetN4TiwqXb,236693,4
0.554,0.398,10,-10.785,1,0.0301,0.675,0.000712,0.113,0.236,124.543,audio_features,5jpGm9FHfUPB2Tx3GsGjWO,spotify:track:5jpGm9FHfUPB2Tx3GsGjWO,https://api.spotify.com/v1/tracks/5jpGm9FHfUPB2Tx3GsGjWO,https://api.spotify.com/v1/audio-analysis/5jpGm9FHfUPB2Tx3GsGjWO,229867,4
0.626,0.691,11,-5.873,1,0.0283,0.0887,9.63e-05,0.115,0.396,109.005,audio_features,5CdOqNxkQ7054Rp86f5OWi,spotify:track:5CdOqNxkQ7054Rp86f5OWi,https://api.spotify.com/v1/tracks/5CdOqNxkQ7054Rp86f5OWi,https://api.spotify.com/v1/audio-analysis/5CdOqNxkQ7054Rp86f5OWi,260853,4
0.784,0.747,7,-4.016,1,0.0417,0.103,7.66e-06,0.0841,0.755,112.011,audio_features,64UziEgv9hQfNOVjAel43f,spotify:track:64UziEgv9hQfNOVjAel43f,https://api.spotify.com/v1/tracks/64UziEgv9hQfNOVjAel43f,https://api.spotify.com/v1/audio-analysis/64UziEgv9hQfNOVjAel43f,250627,4
0.617,0.468,2,-6.908,1,0.0291,0.65,0,0.141,0.333,119.921,audio_features,3VupwwmeklG7tv2ELOJO8r,spotify:track:3VupwwmeklG7tv2ELOJO8r,https://api.spotify.com/v1/tracks/3VupwwmeklG7tv2ELOJO8r,https://api.spotify.com/v1/audio-analysis/3VupwwmeklG7tv2ELOJO8r,225360,3
0.6,0.662,1,-6.499,1,0.0261,0.126,3.35e-05,0.0883,0.603,104.012,audio_features,6gJuVyNSSukV9en6EklJhx,spotify:track:6gJuVyNSSukV9en6EklJhx,https://api.spotify.com/v1/tracks/6gJuVyNSSukV9en6EklJhx,https://api.spotify.com/v1/audio-analysis/6gJuVyNSSukV9en6EklJhx,193227,4
0.647,0.547,1,-9.248,0,0.0327,0.332,0.000321,0.0989,0.571,115.838,audio_features,1UJ9T5MfNlbubVUdHPeF64,spotify:track:1UJ9T5MfNlbubVUdHPeF64,https://api.spotify.com/v1/tracks/1UJ9T5MfNlbubVUdHPeF64,https://api.spotify.com/v1/audio-analysis/1UJ9T5MfNlbubVUdHPeF64,239225,4
0.768,0.691,7,-7.279,1,0.0252,0.334,2.98e-06,0.209,0.759,109.075,audio_features,7avvwsm77mqqvyr9ACu8sr,spotify:track:7avvwsm77mqqvyr9ACu8sr,https://api.spotify.com/v1/tracks/7avvwsm77mqqvyr9ACu8sr,https://api.spotify.com/v1/audio-analysis/7avvwsm77mqqvyr9ACu8sr,208624,4
0.458,0.58,2,-6.531,1,0.0314,0.484,0.00106,0.296,0.422,199.862,audio_features,1LKJJ4LsmUm7ibocmosUf1,spotify:track:1LKJJ4LsmUm7ibocmosUf1,https://api.spotify.com/v1/tracks/1LKJJ4LsmUm7ibocmosUf1,https://api.spotify.com/v1/audio-analysis/1LKJJ4LsmUm7ibocmosUf1,228000,4
