danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.333,0.067,3,-20.798,0,0.038,0.992,0.857,0.0868,0.0997,61.396,audio_features,6YNE1CO3l2jGkPPm21vTF4,spotify:track:6YNE1CO3l2jGkPPm21vTF4,https://api.spotify.com/v1/tracks/6YNE1CO3l2jGkPPm21vTF4,https://api.spotify.com/v1/audio-analysis/6YNE1CO3l2jGkPPm21vTF4,316480,4
0.458,0.0844,11,-15.553,0,0.0513,0.95,0.268,0.0844,0.237,114.196,audio_features,2Rng45EgVYKORVBUHDN51E,spotify:track:2Rng45EgVYKORVBUHDN51E,https://api.spotify.com/v1/tracks/2Rng45EgVYKORVBUHDN51E,https://api.spotify.com/v1/audio-analysis/2Rng45EgVYKORVBUHDN51E,335333,4
0.3,0.0964,4,-21.238,0,0.0451,0.932,0.828,0.115,0.092,118.923,audio_features,5ZaNOCU2RnxSDAQxKq0EcM,spotify:track:5ZaNOCU2RnxSDAQxKq0EcM,https://api.spotify.com/v1/tracks/5ZaNOCU2RnxSDAQxKq0EcM,https://api.spotify.com/v1/audio-analysis/5ZaNOCU2RnxSDAQxKq0EcM,491360,4
0.618,0.0651,2,-18.758,1,0.0531,0.99,0.941,0.0908,0.13,76.767,audio_features,7yIjo6VNjB4JOyxe8pRPg6,spotify:track:7yIjo6VNjB4JOyxe8pRPg6,https://api.spotify.com/v1/tracks/7yIjo6VNjB4JOyxe8pRPg6,https://api.spotify.com/v1/audio-analysis/7yIjo6VNjB4JOyxe8pRPg6,162347,4
0.275,0.194,2,-23.076,0,0.0944,0.75,0.0299,0.102,0.0373,79.808,audio_features,76vva6m7qajQ039LW8u6Zv,spotify:track:76vva6m7qajQ039LW8u6Zv,https://api.spotify.com/v1/tracks/76vva6m7qajQ039LW8u6Zv,https://api.spotify.com/v1/audio-analysis/76vva6m7qajQ039LW8u6Zv,419000,4
0.532,0.181,4,-13.785,0,0.0481,0.974,0.881,0.0805,0.492,99.246,audio_features,1BSR3PsJCk1yn6wtoxhHK8,spotify:track:1BSR3PsJCk1yn6wtoxhHK8,https://api.spotify.com/v1/tracks/1BSR3PsJCk1yn6wtoxhHK8,https://api.spotify.com/v1/audio-analysis/1BSR3PsJCk1yn6wtoxhHK8,180520,4
0.384,0.125,10,-27.009,0,0.0574,0.834,0.267,0.121,0.0418,149.218,audio_features,0YVnEhs2Cxet2ILbo5AriF,spotify:track:0YVnEhs2Cxet2ILbo5AriF,https://api.spotify.com/v1/tracks/0YVnEhs2Cxet2ILbo5AriF,https://api.spotify.com/v1/audio-analysis/0YVnEhs2Cxet2ILbo5AriF,498133,3
0.242,0.0518,10,-21.572,0,0.0393,0.928,0.799,0.0868,0.0365,116.136,audio_features,4gGZ6RIhcRYgnCwqaxiBAJ,spotify:track:4gGZ6RIhcRYgnCwqaxiBAJ,https://api.spotify.com/v1/tracks/4gGZ6RIhcRYgnCwqaxiBAJ,https://api.spotify.com/v1/audio-analysis/4gGZ6RIhcRYgnCwqaxiBAJ,573333,4
0.194,0.0441,11,-28.346,0,0.0383,0.982,0.852,0.0899,0.198,81.71,audio_features,3tbVEuphdCiUfZ2dMrRjJK,spotify:track:3tbVEuphdCiUfZ2dMrRjJK,https://api.spotify.com/v1/tracks/3tbVEuphdCiUfZ2dMrRjJK,https://api.spotify.com/v1/audio-analysis/3tbVEuphdCiUfZ2dMrRjJK,202800,4
0.248,0.0754,0,-18.336,1,0.0437,0.964,0.0464,0.0962,0.0549,96.115,audio_features,4lAMHkot4dp01mklUKz4Qm,spotify:track:4lAMHkot4dp01mklUKz4Qm,https://api.spotify.com/v1/tracks/4lAMHkot4dp01mklUKz4Qm,https://api.spotify.com/v1/audio-analysis/4lAMHkot4dp01mklUKz4Qm,344120,4
0.316,0.0285,6,-21.726,0,0.0403,0.995,0.833,0.086,0.0358,71.396,audio_features,3laIWTVdXASANIYiCGm6Ul,spotify:track:3laIWTVdXASANIYiCGm6Ul,https://api.spotify.com/v1/tracks/3laIWTVdXASANIYiCGm6Ul,https://api.spotify.com/v1/audio-analysis/3laIWTVdXASANIYiCGm6Ul,271752,3
0.281,0.093,2,-25.936,0,0.0642,0.938,0.829,0.0959,0.119,78.963,audio_features,43JEZcLb9xNy1fiaCOm71R,spotify:track:43JEZcLb9xNy1fiaCOm71R,https://api.spotify.com/v1/tracks/43JEZcLb9xNy1fiaCOm71R,https://api.spotify.com/v1/audio-analysis/43JEZcLb9xNy1fiaCOm71R,531973,4
0.408,0.111,2,-23.171,1,0.0601,0.957,0.83,0.13,0.379,104.087,audio_features,6maUyjmJwKqDZjqQ3PwFDK,spotify:track:6maUyjmJwKqDZjqQ3PwFDK,https://api.spotify.com/v1/tracks/6maUyjmJwKqDZjqQ3PwFDK,https://api.spotify.com/v1/audio-analysis/6maUyjmJwKqDZjqQ3PwFDK,138240,4
0.31,0.193,0,-16.256,1,0.0392,0.915,0.356,0.0892,0.143,114.141,audio_features,1Q0tSZgzOurosLtZ1r6PrU,spotify:track:1Q0tSZgzOurosLtZ1r6PrU,https://api.spotify.com/v1/tracks/1Q0tSZgzOurosLtZ1r6PrU,https://api.spotify.com/v1/audio-analysis/1Q0tSZgzOurosLtZ1r6PrU,228600,4
0.399,0.0796,9,-26.61,0,0.0393,0.993,0.893,0.108,0.305,117.316,audio_features,35yuAaaJb2EMgSSD5Q8ou6,spotify:track:35yuAaaJb2EMgSSD5Q8ou6,https://api.spotify.com/v1/tracks/35yuAaaJb2EMgSSD5Q8ou6,https://api.spotify.com/v1/audio-analysis/35yuAaaJb2EMgSSD5Q8ou6,159187,4
0.56,0.259,2,-17.943,1,0.0512,0.87,0.664,0.104,0.173,124.26,audio_features,4KjKiIfWabqEoYNo8KuAqC,spotify:track:4KjKiIfWabqEoYNo8KuAqC,https://api.spotify.com/v1/tracks/4KjKiIfWabqEoYNo8KuAqC,https://api.spotify.com/v1/audio-analysis/4KjKiIfWabqEoYNo8KuAqC,188600,4
