danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.675,0.493,7,-10.614,1,0.0288,0.445,0.821,0.271,0.352,140.001,audio_features,30W7qmHOEz8gc1U6nY52xd,spotify:track:30W7qmHOEz8gc1U6nY52xd,https://api.spotify.com/v1/tracks/30W7qmHOEz8gc1U6nY52xd,https://api.spotify.com/v1/audio-analysis/30W7qmHOEz8gc1U6nY52xd,231379,4
0.777,0.353,0,-11.048,1,0.158,0.378,0.907,0.0757,0.665,90.008,audio_features,2ytaqTjaDdJljeFgU2YEsm,spotify:track:2ytaqTjaDdJljeFgU2YEsm,https://api.spotify.com/v1/tracks/2ytaqTjaDdJljeFgU2YEsm,https://api.spotify.com/v1/audio-analysis/2ytaqTjaDdJljeFgU2YEsm,385693,4
0.39,0.245,3,-17.511,0,0.0394,0.926,0.859,0.361,0.11,132.247,audio_features,3rvNNaoCyHMQpTxvaPM2ko,spotify:track:3rvNNaoCyHMQpTxvaPM2ko,https://api.spotify.com/v1/tracks/3rvNNaoCyHMQpTxvaPM2ko,https://api.spotify.com/v1/audio-analysis/3rvNNaoCyHMQpTxvaPM2ko,353333,3
0.68,0.299,1,-12.776,0,0.0289,0.597,0.86,0.112,0.0404,100.008,audio_features,0TKh0LH7lusCzXROSjXkKv,spotify:track:0TKh0LH7lusCzXROSjXkKv,https://api.spotify.com/v1/tracks/0TKh0LH7lusCzXROSjXkKv,https://api.spotify.com/v1/audio-analysis/0TKh0LH7lusCzXROSjXkKv,283917,4
0.526,0.43,1,-11.714,1,0.0288,0.534,0.948,0.606,0.0902,139.999,audio_features,0JvVjFvRmXNpj2QErDjjr7,spotify:track:0JvVjFvRmXNpj2QErDjjr7,https://api.spotify.com/v1/tracks/0JvVjFvRmXNpj2QErDjjr7,https://api.spotify.com/v1/audio-analysis/0JvVjFvRmXNpj2QErDjjr7,228000,4
0.766,0.368,11,-14.567,1,0.0637,0.559,0.816,0.0726,0.431,164.035,audio_features,7A78RZz9w3LPg6HW1oDz7q,spotify:track:7A78RZz9w3LPg6HW1oDz7q,https://api.spotify.com/v1/tracks/7A78RZz9w3LPg6HW1oDz7q,https://api.spotify.com/v1/audio-analysis/7A78RZz9w3LPg6HW1oDz7q,203596,4
0.613,0.292,7,-14.837,0,0.0318,0.404,0.929,0.131,0.04,112.929,audio_features,26Ugvfnxpz0lCTjqhMoODt,spotify:track:26Ugvfnxpz0lCTjqhMoODt,https://api.spotify.com/v1/tracks/26Ugvfnxpz0lCTjqhMoODt,https://api.spotify.com/v1/audio-analysis/26Ugvfnxpz0lCTjqhMoODt,223103,4
0.648,0.782,2,-5.864,0,0.0369,0.06,0.784,0.202,0.497,99.972,audio_features,1zFs3ysRX61ga7yArV70iz,spotify:track:1zFs3ysRX61ga7yArV70iz,https://api.spotify.com/v1/tracks/1zFs3ysRX61ga7yArV70iz,https://api.spotify.com/v1/audio-analysis/1zFs3ysRX61ga7yArV70iz,250307,4
0.576,0.5,8,-10.537,0,0.0549,0.762,0.909,0.126,0.302,138.01,audio_features,3O6XK9wig0lgqaG8RgOcha,spotify:track:3O6XK9wig0lgqaG8RgOcha,https://api.spotify.com/v1/tracks/3O6XK9wig0lgqaG8RgOcha,https://api.spotify.com/v1/audio-analysis/3O6XK9wig0lgqaG8RgOcha,273086,4
0.523,0.331,7,-13.067,1,0.0324,0.727,0.913,0.148,0.0717,130.004,audio_features,6UMllCi2VUgW9I9ZVLD6Pz,spotify:track:6UMllCi2VUgW9I9ZVLD6Pz,https://api.spotify.com/v1/tracks/6UMllCi2VUgW9I9ZVLD6Pz,https://api.spotify.com/v1/audio-analysis/6UMllCi2VUgW9I9ZVLD6Pz,284000,4
0.275,0.0541,2,-22.887,0,0.0351,0.93,0.911,0.106,0.0485,68.703,audio_features,2HCRgdIF6TtqJ7PLv1tRTr,spotify:track:2HCRgdIF6TtqJ7PLv1tRTr,https://api.spotify.com/v1/tracks/2HCRgdIF6TtqJ7PLv1tRTr,https://api.spotify.com/v1/audio-analysis/2HCRgdIF6TtqJ7PLv1tRTr,366869,4
0.557,0.186,0,-18.882,1,0.0322,0.727,0.0121,0.115,0.154,129.957,audio_features,0yplat8BWBy2vHAUZIGh2p,spotify:track:0yplat8BWBy2vHAUZIGh2p,https://api.spotify.com/v1/tracks/0yplat8BWBy2vHAUZIGh2p,https://api.spotify.com/v1/audio-analysis/0yplat8BWBy2vHAUZIGh2p,267692,4
0.545,0.329,9,-15.867,0,0.0273,0.741,0.413,0.108,0.0769,115.006,audio_features,07zMzbryNCeY7NDK6xbOWD,spotify:track:07zMzbryNCeY7NDK6xbOWD,https://api.spotify.com/v1/tracks/07zMzbryNCeY7NDK6xbOWD,https://api.spotify.com/v1/audio-analysis/07zMzbryNCeY7NDK6xbOWD,277895,4
