danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.915,0.592,6,-9.47,0,0.0965,0.829,5.79e-05,0.111,0.841,126.06,audio_features,263bVOZsG8FlGQ67ikkiOY,spotify:track:263bVOZsG8FlGQ67ikkiOY,https://api.spotify.com/v1/tracks/263bVOZsG8FlGQ67ikkiOY,https://api.spotify.com/v1/audio-analysis/263bVOZsG8FlGQ67ikkiOY,184964,4
0.874,0.358,11,-10.59,0,0.0363,0.0173,0.00022,0.0312,0.926,95.992,audio_features,3B6c3ieDunAfuwzjzcqmYU,spotify:track:3B6c3ieDunAfuwzjzcqmYU,https://api.spotify.com/v1/tracks/3B6c3ieDunAfuwzjzcqmYU,https://api.spotify.com/v1/audio-analysis/3B6c3ieDunAfuwzjzcqmYU,296907,4
0.63,0.816,0,-3.936,1,0.032,4.89e-05,0.0056,0.094,0.562,135.057,audio_features,1EymydSgZSlLuVQcdiNohO,spotify:track:1EymydSgZSlLuVQcdiNohO,https://api.spotify.com/v1/tracks/1EymydSgZSlLuVQcdiNohO,https://api.spotify.com/v1/audio-analysis/1EymydSgZSlLuVQcdiNohO,224918,4
0.564,0.675,11,-9.019,1,0.0414,0.727,0,0.117,0.305,96.055,audio_features,2a7yC57zJ15hEDxOsyIAj6,spotify:track:2a7yC57zJ15hEDxOsyIAj6,https://api.spotify.com/v1/tracks/2a7yC57zJ15hEDxOsyIAj6,https://api.spotify.com/v1/audio-analysis/2a7yC57zJ15hEDxOsyIAj6,339987,3
0.794,0.799,4,-8.721,1,0.0406,0.831,0.0277,0.269,0.881,104.006,audio_features,5es8rVnIOOHzZ2FsFQBftF,spotify:track:5es8rVnIOOHzZ2FsFQBftF,https://api.spotify.com/v1/tracks/5es8rVnIOOHzZ2FsFQBftF,https://api.spotify.com/v1/audio-analysis/5es8rVnIOOHzZ2FsFQBftF,228106,4
0.723,0.774,11,-3.939,0,0.0403,0.179,0,0.113,0.771,109.1,audio_features,5jMvnSyOgGY8JpvHqeyVOg,spotify:track:5jMvnSyOgGY8JpvHqeyVOg,https://api.spotify.com/v1/tracks/5jMvnSyOgGY8JpvHqeyVOg,https://api.spotify.com/v1/audio-analysis/5jMvnSyOgGY8JpvHqeyVOg,131004,4
0.767,0.82,4,-4.936,0,0.137,0.0222,0,0.0493,0.785,110.076,audio_features,47EEKhimMiDtUfYNR5Ii58,spotify:track:47EEKhimMiDtUfYNR5Ii58,https://api.spotify.com/v1/tracks/47EEKhimMiDtUfYNR5Ii58,https://api.spotify.com/v1/audio-analysis/47EEKhimMiDtUfYNR5Ii58,180183,4
0.393,0.551,4,-8.415,1,0.0277,0.26,0.0134,0.108,0.473,91.418,audio_features,6ywppvpjTRk8GaBwoPueZu,spotify:track:6ywppvpjTRk8GaBwoPueZu,https://api.spotify.com/v1/tracks/6ywppvpjTRk8GaBwoPueZu,https://api.spotify.com/v1/audio-analysis/6ywppvpjTRk8GaBwoPueZu,257031,4
0.375,0.951,4,-3.051,1,0.16,0.239,3.84e-06,0.982,0.385,168.773,audio_features,5ozeAT5Zq7LRP1gmG3zdHR,spotify:track:5ozeAT5Zq7LRP1gmG3zdHR,https://api.spotify.com/v1/tracks/5ozeAT5Zq7LRP1gmG3zdHR,https://api.spotify.com/v1/audio-analysis/5ozeAT5Zq7LRP1gmG3zdHR,271252,4
0.705,0.646,7,-4.67,1,0.0282,0.0586,1.71e-06,0.104,0.549,105.98,audio_features,6m92pqNym2O5xaMPq8FiVN,spotify:track:6m92pqNym2O5xaMPq8FiVN,https://api.spotify.com/v1/tracks/6m92pqNym2O5xaMPq8FiVN,https://api.spotify.com/v1/audio-analysis/6m92pqNym2O5xaMPq8FiVN,214627,4
