danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.803,0.724,10,-4.835,1,0.0541,0.112,3.67e-06,0.148,0.496,91.035,audio_features,5ojXuKXBYq0apcNucYSDXq,spotify:track:5ojXuKXBYq0apcNucYSDXq,https://api.spotify.com/v1/tracks/5ojXuKXBYq0apcNucYSDXq,https://api.spotify.com/v1/audio-analysis/5ojXuKXBYq0apcNucYSDXq,174201,4
0.737,0.624,5,-5.236,0,0.199,0.0149,0,0.145,0.803,172.036,audio_features,4XP6qLtHI0n9UjIPTsuqe8,spotify:track:4XP6qLtHI0n9UjIPTsuqe8,https://api.spotify.com/v1/tracks/4XP6qLtHI0n9UjIPTsuqe8,https://api.spotify.com/v1/audio-analysis/4XP6qLtHI0n9UjIPTsuqe8,222731,4
0.775,0.679,4,-4.985,0,0.135,0.18,7.26e-05,0.068,0.619,166.008,audio_features,3Ga6eKrUFf12ouh9Yw3v2D,spotify:track:3Ga6eKrUFf12ouh9Yw3v2D,https://api.spotify.com/v1/tracks/3Ga6eKrUFf12ouh9Yw3v2D,https://api.spotify.com/v1/audio-analysis/3Ga6eKrUFf12ouh9Yw3v2D,193456,4
0.743,0.917,4,-3.941,1,0.0968,0.0389,6.03e-06,0.265,0.491,112.941,audio_features,7h9sdbDEBfkWSmO4mzGED6,spotify:track:7h9sdbDEBfkWSmO4mzGED6,https://api.spotify.com/v1/tracks/7h9sdbDEBfkWSmO4mzGED6,https://api.spotify.com/v1/audio-analysis/7h9sdbDEBfkWSmO4mzGED6,198587,4
0.751,0.579,2,-4.036,1,0.0321,0.398,2.28e-05,0.133,0.349,105.031,audio_features,3whrwq4DtvucphBPUogRuJ,spotify:track:3whrwq4DtvucphBPUogRuJ,https://api.spotify.com/v1/tracks/3whrwq4DtvucphBPUogRuJ,https://api.spotify.com/v1/audio-analysis/3whrwq4DtvucphBPUogRuJ,199095,4
0.909,0.493,3,-6.688,1,0.0735,0.128,0.000147,0.127,0.844,94.016,audio_features,1Ft13La2daEGqz5yWJC7lx,spotify:track:1Ft13La2daEGqz5yWJC7lx,https://api.spotify.com/v1/tracks/1Ft13La2daEGqz5yWJC7lx,https://api.spotify.com/v1/audio-analysis/1Ft13La2daEGqz5yWJC7lx,197120,4
0.608,0.753,0,-4.748,0,0.368,0.103,0,0.0996,0.482,97.626,audio_features,0MIcPSq9n2z5H8TAfEstri,spotify:track:0MIcPSq9n2z5H8TAfEstri,https://api.spotify.com/v1/tracks/0MIcPSq9n2z5H8TAfEstri,https://api.spotify.com/v1/audio-analysis/0MIcPSq9n2z5H8TAfEstri,200987,4
0.733,0.728,11,-6.695,0,0.0307,0.135,0,0.341,0.561,131.98,audio_features,7lVNnyDGPPGHo3XVvvuVZ5,spotify:track:7lVNnyDGPPGHo3XVvvuVZ5,https://api.spotify.com/v1/tracks/7lVNnyDGPPGHo3XVvvuVZ5,https://api.spotify.com/v1/audio-analysis/7lVNnyDGPPGHo3XVvvuVZ5,202080,4
0.826,0.836,3,-4.238,0,0.0654,0.0961,4.81e-06,0.282,0.887,91.992,audio_features,5P45FGGEl99tHmKx6RaP9C,spotify:track:5P45FGGEl99tHmKx6RaP9C,https://api.spotify.com/v1/tracks/5P45FGGEl99tHmKx6RaP9C,https://api.spotify.com/v1/audio-analysis/5P45FGGEl99tHmKx6RaP9C,268107,4
0.797,0.777,0,-5.499,1,0.0772,0.237,0,0.128,0.575,99.987,audio_features,0H7cz1bR7w9PulJL7Na774,spotify:track:0H7cz1bR7w9PulJL7Na774,https://api.spotify.com/v1/tracks/0H7cz1bR7w9PulJL7Na774,https://api.spotify.com/v1/audio-analysis/0H7cz1bR7w9PulJL7Na774,232307,4
0.655,0.784,2,-4.704,1,0.0686,0.016,3.19e-06,0.22,0.447,178.096,audio_features,1tRcQ6izhfz2UBo3Nti8gx,spotify:track:1tRcQ6izhfz2UBo3Nti8gx,https://api.spotify.com/v1/tracks/1tRcQ6izhfz2UBo3Nti8gx,https://api.spotify.com/v1/audio-analysis/1tRcQ6izhfz2UBo3Nti8gx,208944,4
