danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.609,0.652,2,-7.39,1,0.027,0.0829,0.00269,0.115,0.246,111.997,audio_features,2PzQepOc2vrzP8hYfQlghd,spotify:track:2PzQepOc2vrzP8hYfQlghd,https://api.spotify.com/v1/tracks/2PzQepOc2vrzP8hYfQlghd,https://api.spotify.com/v1/audio-analysis/2PzQepOc2vrzP8hYfQlghd,271760,4
0.714,0.746,6,-6.34,1,0.0507,0.0859,0,0.383,0.576,116.965,audio_features,5fXJTHvKzqtgqY58LrEqhI,spotify:track:5fXJTHvKzqtgqY58LrEqhI,https://api.spotify.com/v1/tracks/5fXJTHvKzqtgqY58LrEqhI,https://api.spotify.com/v1/audio-analysis/5fXJTHvKzqtgqY58LrEqhI,158920,4
0.618,0.52,9,-6.744,1,0.0266,0.707,5.82e-06,0.198,0.629,141.86,audio_features,6UnPxEadLyb4aUtoZIYK7A,spotify:track:6UnPxEadLyb4aUtoZIYK7A,https://api.spotify.com/v1/tracks/6UnPxEadLyb4aUtoZIYK7A,https://api.spotify.com/v1/audio-analysis/6UnPxEadLyb4aUtoZIYK7A,187893,4
0.657,0.832,2,-6.89,1,0.0423,0.00462,0.00422,0.677,0.107,103.991,audio_features,5KLQlI6pfbyrkmj9KmAGnI,spotify:track:5KLQlI6pfbyrkmj9KmAGnI,https://api.spotify.com/v1/tracks/5KLQlI6pfbyrkmj9KmAGnI,https://api.spotify.com/v1/audio-analysis/5KLQlI6pfbyrkmj9KmAGnI,277627,4
0.509,0.716,5,-6.85,1,0.0261,0.000699,0,0.0836,0.39,95.998,audio_features,2soNiIWAQItFQjo4yIfipv,spotify:track:2soNiIWAQItFQjo4yIfipv,https://api.spotify.com/v1/tracks/2soNiIWAQItFQjo4yIfipv,https://api.spotify.com/v1/audio-analysis/2soNiIWAQItFQjo4yIfipv,225987,4
0.575,0.844,10,-4.808,0,0.0308,0.222,0.000147,0.162,0.731,81.998,audio_features,1R1rjUsLIIcY6IBWGn6BZu,spotify:track:1R1rjUsLIIcY6IBWGn6BZu,https://api.spotify.com/v1/tracks/1R1rjUsLIIcY6IBWGn6BZu,https://api.spotify.com/v1/audio-analysis/1R1rjUsLIIcY6IBWGn6BZu,221145,4
0.624,0.815,4,-4.683,0,0.0374,0.299,0.000429,0.586,0.922,124.049,audio_features,6RVYDDcu8qfcGgCPNPDJBS,spotify:track:6RVYDDcu8qfcGgCPNPDJBS,https://api.spotify.com/v1/tracks/6RVYDDcu8qfcGgCPNPDJBS,https://api.spotify.com/v1/audio-analysis/6RVYDDcu8qfcGgCPNPDJBS,249173,4
0.603,0.814,9,-5.394,1,0.0584,0.495,1.69e-05,0.379,0.367,120.116,audio_features,4l1kj1GjSMJykhDma3UoJ8,spotify:track:4l1kj1GjSMJykhDma3UoJ8,https://api.spotify.com/v1/tracks/4l1kj1GjSMJykhDma3UoJ8,https://api.spotify.com/v1/audio-analysis/4l1kj1GjSMJykhDma3UoJ8,238863,4
0.881,0.5,6,-7.576,0,0.141,0.518,0,0.309,0.446,120.067,audio_features,6qGlG6u0CMMkU1jWRtpddE,spotify:track:6qGlG6u0CMMkU1jWRtpddE,https://api.spotify.com/v1/tracks/6qGlG6u0CMMkU1jWRtpddE,https://api.spotify.com/v1/audio-analysis/6qGlG6u0CMMkU1jWRtpddE,109147,4
0.287,0.378,9,-11.538,1,0.0283,0.876,0.000163,0.0816,0.146,77.002,audio_features,3I1Ib2BEneOqchd00MMrfQ,spotify:track:3I1Ib2BEneOqchd00MMrfQ,https://api.spotify.com/v1/tracks/3I1Ib2BEneOqchd00MMrfQ,https://api.spotify.com/v1/audio-analysis/3I1Ib2BEneOqchd00MMrfQ,264187,3
0.336,0.254,10,-10.445,0,0.0297,0.689,0,0.104,0.0942,137.861,audio_features,6YCCHnSCcJYWenamiJfLWh,spotify:track:6YCCHnSCcJYWenamiJfLWh,https://api.spotify.com/v1/tracks/6YCCHnSCcJYWenamiJfLWh,https://api.spotify.com/v1/audio-analysis/6YCCHnSCcJYWenamiJfLWh,257653,4
