danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.692,0.883,9,-5.412,0,0.0407,0.717,0.176,0.393,0.894,94.241,audio_features,3YHunSQgkyhYF6Nx40jbKb,spotify:track:3YHunSQgkyhYF6Nx40jbKb,https://api.spotify.com/v1/tracks/3YHunSQgkyhYF6Nx40jbKb,https://api.spotify.com/v1/audio-analysis/3YHunSQgkyhYF6Nx40jbKb,284840,4
0.544,0.668,5,-7.042,0,0.0513,0.274,0.757,0.0737,0.91,206.498,audio_features,6QR9Xn4zCfcY9Hz4pOkg59,spotify:track:6QR9Xn4zCfcY9Hz4pOkg59,https://api.spotify.com/v1/tracks/6QR9Xn4zCfcY9Hz4pOkg59,https://api.spotify.com/v1/audio-analysis/6QR9Xn4zCfcY9Hz4pOkg59,229467,4
0.678,0.784,0,-7.592,1,0.033,0.125,0.547,0.324,0.973,99.116,audio_features,7EQQWuRfR6FEN8N1hmz1v0,spotify:track:7EQQWuRfR6FEN8N1hmz1v0,https://api.spotify.com/v1/tracks/7EQQWuRfR6FEN8N1hmz1v0,https://api.spotify.com/v1/audio-analysis/7EQQWuRfR6FEN8N1hmz1v0,194320,4
0.557,0.772,7,-5.896,1,0.0375,0.161,1.17e-06,0.0774,0.88,100.789,audio_features,31ZSoNDpyBBjC35OmzaHo2,spotify:track:31ZSoNDpyBBjC35OmzaHo2,https://api.spotify.com/v1/tracks/31ZSoNDpyBBjC35OmzaHo2,https://api.spotify.com/v1/audio-analysis/31ZSoNDpyBBjC35OmzaHo2,218787,4
0.735,0.741,9,-6.434,0,0.039,0.177,0.17,0.0878,0.949,88.514,audio_features,69APu3s6PAL133FTh6YbfQ,spotify:track:69APu3s6PAL133FTh6YbfQ,https://api.spotify.com/v1/tracks/69APu3s6PAL133FTh6YbfQ,https://api.spotify.com/v1/audio-analysis/69APu3s6PAL133FTh6YbfQ,265933,3
0.54,0.741,8,-7.872,1,0.0404,0.444,3.56e-05,0.0749,0.885,90.523,audio_features,54njcI3Sbn8yt6JL1CU2HG,spotify:track:54njcI3Sbn8yt6JL1CU2HG,https://api.spotify.com/v1/tracks/54njcI3Sbn8yt6JL1CU2HG,https://api.spotify.com/v1/audio-analysis/54njcI3Sbn8yt6JL1CU2HG,261173,4
0.687,0.75,8,-7.141,1,0.0444,0.0706,0.0118,0.0616,0.814,109.464,audio_features,225eruHea4diGKgH0x1Dq8,spotify:track:225eruHea4diGKgH0x1Dq8,https://api.spotify.com/v1/tracks/225eruHea4diGKgH0x1Dq8,https://api.spotify.com/v1/audio-analysis/225eruHea4diGKgH0x1Dq8,253173,4
0.617,0.691,7,-5.013,0,0.0359,0.762,0.0578,0.401,0.938,113.118,audio_features,4h8k6beBxLqG335li8qPjW,spotify:track:4h8k6beBxLqG335li8qPjW,https://api.spotify.com/v1/tracks/4h8k6beBxLqG335li8qPjW,https://api.spotify.com/v1/audio-analysis/4h8k6beBxLqG335li8qPjW,249800,4
0.379,0.719,7,-9.545,0,0.0351,0.707,0.8,0.3,0.486,126.76,audio_features,5ze6zmZ1sEIIFPSvrNi75n,spotify:track:5ze6zmZ1sEIIFPSvrNi75n,https://api.spotify.com/v1/tracks/5ze6zmZ1sEIIFPSvrNi75n,https://api.spotify.com/v1/audio-analysis/5ze6zmZ1sEIIFPSvrNi75n,238907,4
0.595,0.812,3,-6.097,0,0.0388,0.896,0.912,0.0769,0.931,115.265,audio_features,1nl3jpGY023LVaJzm3uPLi,spotify:track:1nl3jpGY023LVaJzm3uPLi,https://api.spotify.com/v1/tracks/1nl3jpGY023LVaJzm3uPLi,https://api.spotify.com/v1/audio-analysis/1nl3jpGY023LVaJzm3uPLi,186360,4
