danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.486,0.302,2,-10.72,1,0.0332,0.772,0,0.073,0.45,79.258,audio_features,398Dfg7EisARPcvixgrtuI,spotify:track:398Dfg7EisARPcvixgrtuI,https://api.spotify.com/v1/tracks/398Dfg7EisARPcvixgrtuI,https://api.spotify.com/v1/audio-analysis/398Dfg7EisARPcvixgrtuI,249242,4,62
0.404,0.532,2,-7.037,1,0.0315,0.00826,0,0.858,0.145,135.747,audio_features,1yYUIjT3bZ9RB9vejqYy9f,spotify:track:1yYUIjT3bZ9RB9vejqYy9f,https://api.spotify.com/v1/tracks/1yYUIjT3bZ9RB9vejqYy9f,https://api.spotify.com/v1/audio-analysis/1yYUIjT3bZ9RB9vejqYy9f,341080,4,62
0.335,0.582,5,-5.09,1,0.0375,0.379,2.67e-05,0.0954,0.151,110.522,audio_features,787cootcZRw5Xr47Of97AN,spotify:track:787cootcZRw5Xr47Of97AN,https://api.spotify.com/v1/tracks/787cootcZRw5Xr47Of97AN,https://api.spotify.com/v1/audio-analysis/787cootcZRw5Xr47Of97AN,255160,4,58
0.256,0.564,11,-6.496,1,0.0366,0.00274,0,0.743,0.152,139.914,audio_features,1lEk3U3MzbDeL5MNHkE9JU,spotify:track:1lEk3U3MzbDeL5MNHkE9JU,https://api.spotify.com/v1/tracks/1lEk3U3MzbDeL5MNHkE9JU,https://api.spotify.com/v1/audio-analysis/1lEk3U3MzbDeL5MNHkE9JU,349587,3,71
0.415,0.658,4,-8.304,1,0.0311,0.000819,0,0.118,0.193,88.529,audio_features,5ffsmOjdQ2R3Te0Sy4kVWw,spotify:track:5ffsmOjdQ2R3Te0Sy4kVWw,https://api.spotify.com/v1/tracks/5ffsmOjdQ2R3Te0Sy4kVWw,https://api.spotify.com/v1/audio-analysis/5ffsmOjdQ2R3Te0Sy4kVWw,294560,4,60
0.467,0.715,0,-5.076,1,0.0327,0.0231,0,0.144,0.374,156.095,audio_features,17GmwQ9Q3MTAz05OokmNNB,spotify:track:17GmwQ9Q3MTAz05OokmNNB,https://api.spotify.com/v1/tracks/17GmwQ9Q3MTAz05OokmNNB,https://api.spotify.com/v1/audio-analysis/17GmwQ9Q3MTAz05OokmNNB,196467,4,59
0.468,0.786,9,-2.757,1,0.0334,0.0363,0,0.31,0.461,84.992,audio_features,2aMb1asq5acm7cDYlFsYhY,spotify:track:2aMb1asq5acm7cDYlFsYhY,https://api.spotify.com/v1/tracks/2aMb1asq5acm7cDYlFsYhY,https://api.spotify.com/v1/audio-analysis/2aMb1asq5acm7cDYlFsYhY,219720,4,59
0.736,0.681,5,-5.856,0,0.101,0.126,0,0.396,0.166,135.118,audio_features,6m60IwLIkZ2Fmz4J9FsQ1o,spotify:track:6m60IwLIkZ2Fmz4J9FsQ1o,https://api.spotify.com/v1/tracks/6m60IwLIkZ2Fmz4J9FsQ1o,https://api.spotify.com/v1/audio-analysis/6m60IwLIkZ2Fmz4J9FsQ1o,217507,4,62
0.55,0.54,0,-7.235,1,0.0335,0.0309,0,0.194,0.246,110.65,audio_features,2SRmoMTKQPwqySNCq0eANT,spotify:track:2SRmoMTKQPwqySNCq0eANT,https://api.spotify.com/v1/tracks/2SRmoMTKQPwqySNCq0eANT,https://api.spotify.com/v1/audio-analysis/2SRmoMTKQPwqySNCq0eANT,187293,4,48
0.424,0.583,9,-6.864,1,0.0285,0.00227,0,0.115,0.0711,144.977,audio_features,6zvSkAEtFZIJD7kVeo5by4,spotify:track:6zvSkAEtFZIJD7kVeo5by4,https://api.spotify.com/v1/tracks/6zvSkAEtFZIJD7kVeo5by4,https://api.spotify.com/v1/audio-analysis/6zvSkAEtFZIJD7kVeo5by4,486945,4,62
0.306,0.742,11,-3.914,1,0.0427,0.0298,0,0.126,0.15,155.873,audio_features,7eBybNhcjCylloMZT2QjQE,spotify:track:7eBybNhcjCylloMZT2QjQE,https://api.spotify.com/v1/tracks/7eBybNhcjCylloMZT2QjQE,https://api.spotify.com/v1/audio-analysis/7eBybNhcjCylloMZT2QjQE,293331,3,57
0.422,0.336,0,-7.199,1,0.0306,0.199,0,0.189,0.11,108.009,audio_features,5ELZpvTDGorz9BIE9zaBoZ,spotify:track:5ELZpvTDGorz9BIE9zaBoZ,https://api.spotify.com/v1/tracks/5ELZpvTDGorz9BIE9zaBoZ,https://api.spotify.com/v1/audio-analysis/5ELZpvTDGorz9BIE9zaBoZ,204800,4,59
0.421,0.414,9,-10.336,1,0.0298,0.0513,2.92e-06,0.118,0.213,127.897,audio_features,1ed3wNCecRIp6SugyR0w2J,spotify:track:1ed3wNCecRIp6SugyR0w2J,https://api.spotify.com/v1/tracks/1ed3wNCecRIp6SugyR0w2J,https://api.spotify.com/v1/audio-analysis/1ed3wNCecRIp6SugyR0w2J,411000,4,67
0.511,0.815,6,-6.317,0,0.048,0.0342,0,0.09,0.257,128.004,audio_features,02X93AUKXP7FPJBPckqgGu,spotify:track:02X93AUKXP7FPJBPckqgGu,https://api.spotify.com/v1/tracks/02X93AUKXP7FPJBPckqgGu,https://api.spotify.com/v1/audio-analysis/02X93AUKXP7FPJBPckqgGu,284947,4,54
0.464,0.225,0,-9.155,1,0.0403,0.587,5.64e-06,0.116,0.214,84.677,audio_features,2dBpNhfNCT1XkBRAOdam5J,spotify:track:2dBpNhfNCT1XkBRAOdam5J,https://api.spotify.com/v1/tracks/2dBpNhfNCT1XkBRAOdam5J,https://api.spotify.com/v1/audio-analysis/2dBpNhfNCT1XkBRAOdam5J,205387,4,61
0.385,0.522,9,-7.959,1,0.041,0.182,0,0.319,0.0927,143.84,audio_features,70EydOWbBwGIlHuv0h7uwF,spotify:track:70EydOWbBwGIlHuv0h7uwF,https://api.spotify.com/v1/tracks/70EydOWbBwGIlHuv0h7uwF,https://api.spotify.com/v1/audio-analysis/70EydOWbBwGIlHuv0h7uwF,297320,3,53
0.573,0.688,6,-7.303,1,0.0372,0.0312,0,0.0962,0.189,110.739,audio_features,7rKCmo4SZhKubupJdsuM5S,spotify:track:7rKCmo4SZhKubupJdsuM5S,https://api.spotify.com/v1/tracks/7rKCmo4SZhKubupJdsuM5S,https://api.spotify.com/v1/audio-analysis/7rKCmo4SZhKubupJdsuM5S,331125,4,68
