danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.281,0.113,4,-16.608,1,0.0586,0.99,1.9e-06,0.101,0.232,81.682,audio_features,371CJqptwTeAu39EJwLexY,spotify:track:371CJqptwTeAu39EJwLexY,https://api.spotify.com/v1/tracks/371CJqptwTeAu39EJwLexY,https://api.spotify.com/v1/audio-analysis/371CJqptwTeAu39EJwLexY,405387,4,36
0.132,0.0219,11,-31.859,1,0.0428,0.971,0.859,0.0896,0.0602,66.031,audio_features,1DHKhVZdzJlf4N38lEmqPo,spotify:track:1DHKhVZdzJlf4N38lEmqPo,https://api.spotify.com/v1/tracks/1DHKhVZdzJlf4N38lEmqPo,https://api.spotify.com/v1/audio-analysis/1DHKhVZdzJlf4N38lEmqPo,470480,3,23
0.156,0.0776,4,-22.433,1,0.0411,0.961,0.905,0.0877,0.0253,135.133,audio_features,70mZwr5zctUTtltrA5T2N4,spotify:track:70mZwr5zctUTtltrA5T2N4,https://api.spotify.com/v1/tracks/70mZwr5zctUTtltrA5T2N4,https://api.spotify.com/v1/audio-analysis/70mZwr5zctUTtltrA5T2N4,611587,4,42
0.215,0.166,10,-16.627,1,0.0367,0.865,0.682,0.106,0.0411,103.442,audio_features,1JFk7hDkIsfUgs59FcRLyb,spotify:track:1JFk7hDkIsfUgs59FcRLyb,https://api.spotify.com/v1/tracks/1JFk7hDkIsfUgs59FcRLyb,https://api.spotify.com/v1/audio-analysis/1JFk7hDkIsfUgs59FcRLyb,750613,4,26
0.264,0.192,7,-14.825,0,0.0359,0.967,0.0579,0.0871,0.064,90.326,audio_features,31gVadbjTck7o1NlTxt1yc,spotify:track:31gVadbjTck7o1NlTxt1yc,https://api.spotify.com/v1/tracks/31gVadbjTck7o1NlTxt1yc,https://api.spotify.com/v1/audio-analysis/31gVadbjTck7o1NlTxt1yc,655120,4,38
0.359,0.137,10,-19.978,1,0.048,0.992,0.927,0.124,0.201,73.066,audio_features,3GiSy33Qr6cHArDIJ3Hgrh,spotify:track:3GiSy33Qr6cHArDIJ3Hgrh,https://api.spotify.com/v1/tracks/3GiSy33Qr6cHArDIJ3Hgrh,https://api.spotify.com/v1/audio-analysis/3GiSy33Qr6cHArDIJ3Hgrh,494333,4,24
0.187,0.0236,10,-29.865,1,0.0397,0.936,0.519,0.0729,0.0374,132.868,audio_features,0kBWGOenrJbs6o47eVA5lT,spotify:track:0kBWGOenrJbs6o47eVA5lT,https://api.spotify.com/v1/tracks/0kBWGOenrJbs6o47eVA5lT,https://api.spotify.com/v1/audio-analysis/0kBWGOenrJbs6o47eVA5lT,305667,5,22
0.318,0.107,0,-22.092,0,0.05,0.992,0.934,0.114,0.133,133.131,audio_features,0uUH9tgwwfIMXT3XCiQ8NI,spotify:track:0uUH9tgwwfIMXT3XCiQ8NI,https://api.spotify.com/v1/tracks/0uUH9tgwwfIMXT3XCiQ8NI,https://api.spotify.com/v1/audio-analysis/0uUH9tgwwfIMXT3XCiQ8NI,365066,3,19
0.302,0.0397,4,-23.152,0,0.0384,0.983,0.796,0.094,0.0396,131.693,audio_features,1v6SoaBFZsgNempfPITepL,spotify:track:1v6SoaBFZsgNempfPITepL,https://api.spotify.com/v1/tracks/1v6SoaBFZsgNempfPITepL,https://api.spotify.com/v1/audio-analysis/1v6SoaBFZsgNempfPITepL,731493,3,21
0.202,0.0444,1,-24.731,0,0.0439,0.961,0.0156,0.087,0.0375,81.625,audio_features,3td1fjlKofqiAec89leNDl,spotify:track:3td1fjlKofqiAec89leNDl,https://api.spotify.com/v1/tracks/3td1fjlKofqiAec89leNDl,https://api.spotify.com/v1/audio-analysis/3td1fjlKofqiAec89leNDl,421982,3,21
0.359,0.188,9,-20.331,1,0.0556,0.903,0.753,0.0925,0.266,75.968,audio_features,1enWNj33qcvpL55Rj10olY,spotify:track:1enWNj33qcvpL55Rj10olY,https://api.spotify.com/v1/tracks/1enWNj33qcvpL55Rj10olY,https://api.spotify.com/v1/audio-analysis/1enWNj33qcvpL55Rj10olY,620253,4,17
0.348,0.0185,0,-33.304,0,0.0474,0.995,0.891,0.0856,0.1,134.557,audio_features,4yBBiQL47FZaOsjTa4NkC1,spotify:track:4yBBiQL47FZaOsjTa4NkC1,https://api.spotify.com/v1/tracks/4yBBiQL47FZaOsjTa4NkC1,https://api.spotify.com/v1/audio-analysis/4yBBiQL47FZaOsjTa4NkC1,422027,4,32
0.382,0.215,9,-17.278,0,0.0593,0.919,0.92,0.102,0.0664,167.2,audio_features,5ejSIiseOusMj76vBVnB5Y,spotify:track:5ejSIiseOusMj76vBVnB5Y,https://api.spotify.com/v1/tracks/5ejSIiseOusMj76vBVnB5Y,https://api.spotify.com/v1/audio-analysis/5ejSIiseOusMj76vBVnB5Y,479872,4,29
0.176,0.0131,10,-26.833,0,0.0411,0.967,5.92e-06,0.131,0.0541,94.923,audio_features,1egsdLgnk37TMTIugIMo7S,spotify:track:1egsdLgnk37TMTIugIMo7S,https://api.spotify.com/v1/tracks/1egsdLgnk37TMTIugIMo7S,https://api.spotify.com/v1/audio-analysis/1egsdLgnk37TMTIugIMo7S,423107,3,22
0.248,0.0364,9,-25.313,1,0.0413,0.969,0.047,0.0632,0.0379,134.059,audio_features,4O7q4mtcvtiakSjbZ6gsnw,spotify:track:4O7q4mtcvtiakSjbZ6gsnw,https://api.spotify.com/v1/tracks/4O7q4mtcvtiakSjbZ6gsnw,https://api.spotify.com/v1/audio-analysis/4O7q4mtcvtiakSjbZ6gsnw,392840,4,36
0.147,0.0649,10,-23.626,1,0.048,0.984,7.48e-05,0.0593,0.0588,178.969,audio_features,5ouJFrFmVd0oozI3hyJmrA,spotify:track:5ouJFrFmVd0oozI3hyJmrA,https://api.spotify.com/v1/tracks/5ouJFrFmVd0oozI3hyJmrA,https://api.spotify.com/v1/audio-analysis/5ouJFrFmVd0oozI3hyJmrA,465560,3,22
0.519,0.184,2,-25.942,0,0.0624,0.933,0.569,0.0547,0.772,99.956,audio_features,6UPiLy9ShPCLF5th2AV4pq,spotify:track:6UPiLy9ShPCLF5th2AV4pq,https://api.spotify.com/v1/tracks/6UPiLy9ShPCLF5th2AV4pq,https://api.spotify.com/v1/audio-analysis/6UPiLy9ShPCLF5th2AV4pq,248933,3,21
