danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.314,0.526,0,-4.686,0,0.0484,0.428,0,0.126,0.195,78.643,audio_features,1HYzRuWjmS9LXCkdVHi25K,spotify:track:1HYzRuWjmS9LXCkdVHi25K,https://api.spotify.com/v1/tracks/1HYzRuWjmS9LXCkdVHi25K,https://api.spotify.com/v1/audio-analysis/1HYzRuWjmS9LXCkdVHi25K,192441,5,70
0.524,0.405,10,-6.145,1,0.028,0.842,0,0.107,0.237,109.984,audio_features,6mzF8HvHdVrzJNd8M1uFCS,spotify:track:6mzF8HvHdVrzJNd8M1uFCS,https://api.spotify.com/v1/tracks/6mzF8HvHdVrzJNd8M1uFCS,https://api.spotify.com/v1/audio-analysis/6mzF8HvHdVrzJNd8M1uFCS,227584,4,68
0.454,0.344,5,-6.002,1,0.0316,0.901,0,0.129,0.209,133.329,audio_features,3SfbB0Y3saMIQnNctxMVhj,spotify:track:3SfbB0Y3saMIQnNctxMVhj,https://api.spotify.com/v1/tracks/3SfbB0Y3saMIQnNctxMVhj,https://api.spotify.com/v1/audio-analysis/3SfbB0Y3saMIQnNctxMVhj,169449,4,63
0.497,0.431,5,-4.755,0,0.0287,0.66,0,0.153,0.166,133.682,audio_features,2BPXILn0MqOe5WroVXlvN1,spotify:track:2BPXILn0MqOe5WroVXlvN1,https://api.spotify.com/v1/tracks/2BPXILn0MqOe5WroVXlvN1,https://api.spotify.com/v1/audio-analysis/2BPXILn0MqOe5WroVXlvN1,229678,4,64
0.437,0.502,10,-5.506,1,0.0298,0.771,0,0.125,0.151,131.608,audio_features,3RYVWLRwdRaneGvLBcw4lH,spotify:track:3RYVWLRwdRaneGvLBcw4lH,https://api.spotify.com/v1/tracks/3RYVWLRwdRaneGvLBcw4lH,https://api.spotify.com/v1/audio-analysis/3RYVWLRwdRaneGvLBcw4lH,217203,4,50
0.533,0.838,0,-3.722,1,0.0319,0.103,0,0.394,0.451,75.013,audio_features,7rLvsAO1yb7ElxPhkz60qh,spotify:track:7rLvsAO1yb7ElxPhkz60qh,https://api.spotify.com/v1/tracks/7rLvsAO1yb7ElxPhkz60qh,https://api.spotify.com/v1/audio-analysis/7rLvsAO1yb7ElxPhkz60qh,196549,4,61
0.463,0.449,8,-5.993,0,0.0293,0.803,6.99e-06,0.124,0.23,131.751,audio_features,7Jo5oEViT27zCkdRI5hEuG,spotify:track:7Jo5oEViT27zCkdRI5hEuG,https://api.spotify.com/v1/tracks/7Jo5oEViT27zCkdRI5hEuG,https://api.spotify.com/v1/audio-analysis/7Jo5oEViT27zCkdRI5hEuG,255464,4,58
0.685,0.777,1,-4.654,0,0.063,0.353,0,0.329,0.417,95.049,audio_features,27zrFrtUtWl2urlvjOn5xc,spotify:track:27zrFrtUtWl2urlvjOn5xc,https://api.spotify.com/v1/tracks/27zrFrtUtWl2urlvjOn5xc,https://api.spotify.com/v1/audio-analysis/27zrFrtUtWl2urlvjOn5xc,218897,4,60
0.404,0.589,10,-3.852,1,0.0327,0.751,0,0.339,0.251,128.553,audio_features,7BfQtUagX8OMgYSKotIV5Q,spotify:track:7BfQtUagX8OMgYSKotIV5Q,https://api.spotify.com/v1/tracks/7BfQtUagX8OMgYSKotIV5Q,https://api.spotify.com/v1/audio-analysis/7BfQtUagX8OMgYSKotIV5Q,205284,4,23
0.694,0.592,7,-6.406,1,0.0367,0.742,0,0.124,0.305,95.047,audio_features,7n5eQJYX7e6H5gkzgyEfQG,spotify:track:7n5eQJYX7e6H5gkzgyEfQG,https://api.spotify.com/v1/tracks/7n5eQJYX7e6H5gkzgyEfQG,https://api.spotify.com/v1/audio-analysis/7n5eQJYX7e6H5gkzgyEfQG,248144,4,60
0.403,0.447,9,-4.559,1,0.0347,0.701,0,0.0965,0.206,138.489,audio_features,5vmoDoDlgTaNsYh3wCNKOQ,spotify:track:5vmoDoDlgTaNsYh3wCNKOQ,https://api.spotify.com/v1/tracks/5vmoDoDlgTaNsYh3wCNKOQ,https://api.spotify.com/v1/audio-analysis/5vmoDoDlgTaNsYh3wCNKOQ,226574,4,22
0.491,0.553,0,-5.65,1,0.142,0.721,0,0.113,0.519,151.736,audio_features,2nJDePK69THatYkjkjQFE8,spotify:track:2nJDePK69THatYkjkjQFE8,https://api.spotify.com/v1/tracks/2nJDePK69THatYkjkjQFE8,https://api.spotify.com/v1/audio-analysis/2nJDePK69THatYkjkjQFE8,195334,3,57
0.366,0.46,6,-5.364,1,0.0348,0.697,0,0.12,0.124,135.354,audio_features,109Yq7KKwMyZhEyX4JqqeU,spotify:track:109Yq7KKwMyZhEyX4JqqeU,https://api.spotify.com/v1/tracks/109Yq7KKwMyZhEyX4JqqeU,https://api.spotify.com/v1/audio-analysis/109Yq7KKwMyZhEyX4JqqeU,240680,4,21
