danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.714,0.812,7,-2.703,1,0.0351,0.00189,1.96e-06,0.229,0.377,112.018,audio_features,6BKOhvRPY54uvfqWwg7MKi,spotify:track:6BKOhvRPY54uvfqWwg7MKi,https://api.spotify.com/v1/tracks/6BKOhvRPY54uvfqWwg7MKi,https://api.spotify.com/v1/audio-analysis/6BKOhvRPY54uvfqWwg7MKi,189882,4,63
0.621,0.873,11,-2.888,0,0.103,0.0194,0,0.488,0.401,169.91,audio_features,2JTjDYA0vfx8sp5XMTbeqU,spotify:track:2JTjDYA0vfx8sp5XMTbeqU,https://api.spotify.com/v1/tracks/2JTjDYA0vfx8sp5XMTbeqU,https://api.spotify.com/v1/audio-analysis/2JTjDYA0vfx8sp5XMTbeqU,210478,4,62
0.612,0.844,5,-4.694,0,0.0756,0.142,0,0.287,0.653,134.868,audio_features,3ryjLm3oupIjJFGc39naNi,spotify:track:3ryjLm3oupIjJFGc39naNi,https://api.spotify.com/v1/tracks/3ryjLm3oupIjJFGc39naNi,https://api.spotify.com/v1/audio-analysis/3ryjLm3oupIjJFGc39naNi,196776,4,75
0.681,0.94,3,-3.367,0,0.3,0.0998,0,0.334,0.889,164.035,audio_features,5ubfQzhabDSLYyohz2ozaN,spotify:track:5ubfQzhabDSLYyohz2ozaN,https://api.spotify.com/v1/tracks/5ubfQzhabDSLYyohz2ozaN,https://api.spotify.com/v1/audio-analysis/5ubfQzhabDSLYyohz2ozaN,197638,4,60
0.724,0.976,1,-3.279,1,0.0602,0.116,1.3e-05,0.352,0.626,110.006,audio_features,1pLh3xuAaDMyux3laCEqaq,spotify:track:1pLh3xuAaDMyux3laCEqaq,https://api.spotify.com/v1/tracks/1pLh3xuAaDMyux3laCEqaq,https://api.spotify.com/v1/audio-analysis/1pLh3xuAaDMyux3laCEqaq,178565,4,62
0.853,0.814,8,-3.047,1,0.0766,0.0347,0,0.171,0.686,108.111,audio_features,0pWxUlYb3EM2WkcTJfwBdP,spotify:track:0pWxUlYb3EM2WkcTJfwBdP,https://api.spotify.com/v1/tracks/0pWxUlYb3EM2WkcTJfwBdP,https://api.spotify.com/v1/audio-analysis/0pWxUlYb3EM2WkcTJfwBdP,206227,4,62
0.445,0.528,10,-7.243,1,0.0744,0.677,0,0.155,0.511,203.155,audio_features,093PI3mdUvOSlvMYDwnV1e,spotify:track:093PI3mdUvOSlvMYDwnV1e,https://api.spotify.com/v1/tracks/093PI3mdUvOSlvMYDwnV1e,https://api.spotify.com/v1/audio-analysis/093PI3mdUvOSlvMYDwnV1e,223452,4,59
0.614,0.823,1,-3.48,1,0.062,0.0269,0,0.0783,0.539,139.949,audio_features,54s6sdPuMjVtdB5d5KFzTC,spotify:track:54s6sdPuMjVtdB5d5KFzTC,https://api.spotify.com/v1/tracks/54s6sdPuMjVtdB5d5KFzTC,https://api.spotify.com/v1/audio-analysis/54s6sdPuMjVtdB5d5KFzTC,196506,4,73
0.58,0.935,9,-3.348,1,0.189,0.0318,0,0.0977,0.603,172.023,audio_features,3kQX7VBJDL0ffqcCn7YDQ1,spotify:track:3kQX7VBJDL0ffqcCn7YDQ1,https://api.spotify.com/v1/tracks/3kQX7VBJDL0ffqcCn7YDQ1,https://api.spotify.com/v1/audio-analysis/3kQX7VBJDL0ffqcCn7YDQ1,191440,4,47
0.649,0.601,4,-5.452,1,0.0347,0.721,0,0.108,0.522,140.031,audio_features,2CCyeyaPmGRpVxmRwu3HZo,spotify:track:2CCyeyaPmGRpVxmRwu3HZo,https://api.spotify.com/v1/tracks/2CCyeyaPmGRpVxmRwu3HZo,https://api.spotify.com/v1/audio-analysis/2CCyeyaPmGRpVxmRwu3HZo,221793,4,62
