danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.476,0.408,7,-11.216,1,0.0305,0.844,0.111,0.125,0.0568,90.055,audio_features,1ZXSLHLp5AJnCp12UXdYiO,spotify:track:1ZXSLHLp5AJnCp12UXdYiO,https://api.spotify.com/v1/tracks/1ZXSLHLp5AJnCp12UXdYiO,https://api.spotify.com/v1/audio-analysis/1ZXSLHLp5AJnCp12UXdYiO,185500,4,56
0.393,0.178,2,-12.016,1,0.0318,0.859,0.00453,0.117,0.178,123.141,audio_features,4hh1aGOyYlqVEeHWTghR6v,spotify:track:4hh1aGOyYlqVEeHWTghR6v,https://api.spotify.com/v1/tracks/4hh1aGOyYlqVEeHWTghR6v,https://api.spotify.com/v1/audio-analysis/4hh1aGOyYlqVEeHWTghR6v,272000,4,17
0.636,0.233,0,-9.381,1,0.0318,0.913,1.4e-06,0.101,0.16,129.759,audio_features,3Jy394MtpM2xciRBTzxBlg,spotify:track:3Jy394MtpM2xciRBTzxBlg,https://api.spotify.com/v1/tracks/3Jy394MtpM2xciRBTzxBlg,https://api.spotify.com/v1/audio-analysis/3Jy394MtpM2xciRBTzxBlg,246000,4,61
0.577,0.17,9,-12.979,1,0.0462,0.865,0,0.133,0.36,174.192,audio_features,79ms40oOzof3LMyrrXDXtJ,spotify:track:79ms40oOzof3LMyrrXDXtJ,https://api.spotify.com/v1/tracks/79ms40oOzof3LMyrrXDXtJ,https://api.spotify.com/v1/audio-analysis/79ms40oOzof3LMyrrXDXtJ,272967,4,64
0.734,0.354,4,-6.323,1,0.0285,0.797,0,0.278,0.468,100.071,audio_features,6nWh37Xjbph0Zr0dTJGZ2p,spotify:track:6nWh37Xjbph0Zr0dTJGZ2p,https://api.spotify.com/v1/tracks/6nWh37Xjbph0Zr0dTJGZ2p,https://api.spotify.com/v1/audio-analysis/6nWh37Xjbph0Zr0dTJGZ2p,199200,4,60
0.611,0.496,0,-5.639,1,0.0327,0.56,0,0.0884,0.463,113.94,audio_features,5xcsnZOeoLJkgFz3uVNc7h,spotify:track:5xcsnZOeoLJkgFz3uVNc7h,https://api.spotify.com/v1/tracks/5xcsnZOeoLJkgFz3uVNc7h,https://api.spotify.com/v1/audio-analysis/5xcsnZOeoLJkgFz3uVNc7h,148175,4,60
0.724,0.39,10,-7.073,1,0.0365,0.859,0,0.0975,0.36,119.838,audio_features,2KKsKMLBt0b6ophWUp91ba,spotify:track:2KKsKMLBt0b6ophWUp91ba,https://api.spotify.com/v1/tracks/2KKsKMLBt0b6ophWUp91ba,https://api.spotify.com/v1/audio-analysis/2KKsKMLBt0b6ophWUp91ba,188046,4,56
0.509,0.257,6,-13.962,0,0.108,0.733,0,0.312,0.55,187.366,audio_features,4esmMZzUcSw6cgd8WbSOgi,spotify:track:4esmMZzUcSw6cgd8WbSOgi,https://api.spotify.com/v1/tracks/4esmMZzUcSw6cgd8WbSOgi,https://api.spotify.com/v1/audio-analysis/4esmMZzUcSw6cgd8WbSOgi,181596,4,60
0.643,0.566,9,-6.859,1,0.0334,0.369,0,0.268,0.305,94.948,audio_features,1LqLiOS2pby65qbMpvKdUh,spotify:track:1LqLiOS2pby65qbMpvKdUh,https://api.spotify.com/v1/tracks/1LqLiOS2pby65qbMpvKdUh,https://api.spotify.com/v1/audio-analysis/1LqLiOS2pby65qbMpvKdUh,204632,4,57
0.717,0.32,3,-8.393,1,0.0283,0.828,0,0.107,0.322,107.946,audio_features,6Pbh08Uo0o51ha2JOW8KtE,spotify:track:6Pbh08Uo0o51ha2JOW8KtE,https://api.spotify.com/v1/tracks/6Pbh08Uo0o51ha2JOW8KtE,https://api.spotify.com/v1/audio-analysis/6Pbh08Uo0o51ha2JOW8KtE,260187,4,67
0.533,0.152,2,-14.996,1,0.0302,0.79,2.46e-05,0.148,0.132,143.972,audio_features,3ZTCvMqkW3Hqxap4dqTTpR,spotify:track:3ZTCvMqkW3Hqxap4dqTTpR,https://api.spotify.com/v1/tracks/3ZTCvMqkW3Hqxap4dqTTpR,https://api.spotify.com/v1/audio-analysis/3ZTCvMqkW3Hqxap4dqTTpR,261667,4,60
0.66,0.312,9,-9.807,1,0.0276,0.761,2.31e-05,0.122,0.441,92.446,audio_features,5DK6YlsH7zI54P6bi2NYvS,spotify:track:5DK6YlsH7zI54P6bi2NYvS,https://api.spotify.com/v1/tracks/5DK6YlsH7zI54P6bi2NYvS,https://api.spotify.com/v1/audio-analysis/5DK6YlsH7zI54P6bi2NYvS,247297,4,61
0.545,0.181,11,-14.698,1,0.0362,0.872,0.0035,0.689,0.16,113.221,audio_features,5Lbi5aI8aLOGjO7A8vhbUv,spotify:track:5Lbi5aI8aLOGjO7A8vhbUv,https://api.spotify.com/v1/tracks/5Lbi5aI8aLOGjO7A8vhbUv,https://api.spotify.com/v1/audio-analysis/5Lbi5aI8aLOGjO7A8vhbUv,271800,4,18
