danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.584,0.459,7,-8.678,1,0.288,0.669,0,0.0802,0.662,104.498,audio_features,4rJjWNQAhm8p0I621rJj1f,spotify:track:4rJjWNQAhm8p0I621rJj1f,https://api.spotify.com/v1/tracks/4rJjWNQAhm8p0I621rJj1f,https://api.spotify.com/v1/audio-analysis/4rJjWNQAhm8p0I621rJj1f,176893,4,1
0.662,0.346,4,-13.703,1,0.0295,0.00249,0.121,0.0466,0.784,99.58,audio_features,0yZTpH4QgkaRwqcrKBHyOk,spotify:track:0yZTpH4QgkaRwqcrKBHyOk,https://api.spotify.com/v1/tracks/0yZTpH4QgkaRwqcrKBHyOk,https://api.spotify.com/v1/audio-analysis/0yZTpH4QgkaRwqcrKBHyOk,260000,4,36
0.384,0.874,7,-7.552,1,0.0376,0.000108,0.0104,0.122,0.762,112.207,audio_features,3N8YmS2jHNmziUhqTR7Wk4,spotify:track:3N8YmS2jHNmziUhqTR7Wk4,https://api.spotify.com/v1/tracks/3N8YmS2jHNmziUhqTR7Wk4,https://api.spotify.com/v1/audio-analysis/3N8YmS2jHNmziUhqTR7Wk4,334800,4,44
0.707,0.884,7,-3.096,1,0.043,0.0739,0,0.0747,0.851,131.032,audio_features,3IpHgNS0QExqqu4HEteCJM,spotify:track:3IpHgNS0QExqqu4HEteCJM,https://api.spotify.com/v1/tracks/3IpHgNS0QExqqu4HEteCJM,https://api.spotify.com/v1/audio-analysis/3IpHgNS0QExqqu4HEteCJM,258880,4,33
0.722,0.774,4,-7.34,1,0.0714,0.208,0.000261,0.263,0.666,110.059,audio_features,3nmjapTy10JPxmavz9sRDK,spotify:track:3nmjapTy10JPxmavz9sRDK,https://api.spotify.com/v1/tracks/3nmjapTy10JPxmavz9sRDK,https://api.spotify.com/v1/audio-analysis/3nmjapTy10JPxmavz9sRDK,219333,4,31
0.581,0.806,9,-6.458,1,0.0437,0.399,0.000898,0.0761,0.758,184.016,audio_features,2ZCs3CbZkxpTIcqc2fFV1U,spotify:track:2ZCs3CbZkxpTIcqc2fFV1U,https://api.spotify.com/v1/tracks/2ZCs3CbZkxpTIcqc2fFV1U,https://api.spotify.com/v1/audio-analysis/2ZCs3CbZkxpTIcqc2fFV1U,299520,4,46
0.469,0.901,5,-6.174,0,0.0989,0.0159,0.058,0.194,0.802,114.049,audio_features,1gTeTAPjm2uc6oGAfzpAwQ,spotify:track:1gTeTAPjm2uc6oGAfzpAwQ,https://api.spotify.com/v1/tracks/1gTeTAPjm2uc6oGAfzpAwQ,https://api.spotify.com/v1/audio-analysis/1gTeTAPjm2uc6oGAfzpAwQ,299933,4,32
0.598,0.669,0,-11.402,1,0.0465,0.0634,0.126,0.11,0.777,110.16,audio_features,6YGREHE5JCSWpkW82QWrv0,spotify:track:6YGREHE5JCSWpkW82QWrv0,https://api.spotify.com/v1/tracks/6YGREHE5JCSWpkW82QWrv0,https://api.spotify.com/v1/audio-analysis/6YGREHE5JCSWpkW82QWrv0,302733,4,38
0.539,0.695,9,-8.913,1,0.032,0.0627,0.151,0.409,0.717,102.896,audio_features,2wKj4Lh1yMjJBQUEkjgKD5,spotify:track:2wKj4Lh1yMjJBQUEkjgKD5,https://api.spotify.com/v1/tracks/2wKj4Lh1yMjJBQUEkjgKD5,https://api.spotify.com/v1/audio-analysis/2wKj4Lh1yMjJBQUEkjgKD5,257853,4,33
0.692,0.791,9,-4.895,1,0.0494,0.155,1.46e-06,0.239,0.41,118.14,audio_features,48yOW2e3ONxgllr7emYL97,spotify:track:48yOW2e3ONxgllr7emYL97,https://api.spotify.com/v1/tracks/48yOW2e3ONxgllr7emYL97,https://api.spotify.com/v1/audio-analysis/48yOW2e3ONxgllr7emYL97,273427,4,1
