danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.541,0.0599,0,-24.845,1,0.039,0.961,0,0.339,0.38,99.222,audio_features,1a8IIcFxGV6P8GOMQlAvbH,spotify:track:1a8IIcFxGV6P8GOMQlAvbH,https://api.spotify.com/v1/tracks/1a8IIcFxGV6P8GOMQlAvbH,https://api.spotify.com/v1/audio-analysis/1a8IIcFxGV6P8GOMQlAvbH,164880,4,22
0.5,0.542,9,-7.2,1,0.0554,0.121,0.000123,0.684,0.349,65.415,audio_features,4MZ867kzz3tla27ZLGakxe,spotify:track:4MZ867kzz3tla27ZLGakxe,https://api.spotify.com/v1/tracks/4MZ867kzz3tla27ZLGakxe,https://api.spotify.com/v1/audio-analysis/4MZ867kzz3tla27ZLGakxe,186200,3,23
0.823,0.333,11,-6.038,0,0.0325,0.862,4.49e-06,0.105,0.509,105.116,audio_features,2htMhRnF3VzZ9RuoOanp5c,spotify:track:2htMhRnF3VzZ9RuoOanp5c,https://api.spotify.com/v1/tracks/2htMhRnF3VzZ9RuoOanp5c,https://api.spotify.com/v1/audio-analysis/2htMhRnF3VzZ9RuoOanp5c,235733,4,22
0.703,0.131,3,-13.157,1,0.121,0.978,1.77e-06,0.131,0.603,64.49,audio_features,5d2wtuYBQY3EoL3EQTYkb0,spotify:track:5d2wtuYBQY3EoL3EQTYkb0,https://api.spotify.com/v1/tracks/5d2wtuYBQY3EoL3EQTYkb0,https://api.spotify.com/v1/audio-analysis/5d2wtuYBQY3EoL3EQTYkb0,195347,4,24
0.48,0.38,0,-9.756,1,0.034,0.294,0.0212,0.114,0.359,61.479,audio_features,6r0Rc9Ww0rJ4rflysiGj60,spotify:track:6r0Rc9Ww0rJ4rflysiGj60,https://api.spotify.com/v1/tracks/6r0Rc9Ww0rJ4rflysiGj60,https://api.spotify.com/v1/audio-analysis/6r0Rc9Ww0rJ4rflysiGj60,391867,3,24
0.612,0.225,4,-13.942,1,0.0285,0.92,1.86e-05,0.143,0.618,87.467,audio_features,5G7RSsbtwjPjZeZma9JdLO,spotify:track:5G7RSsbtwjPjZeZma9JdLO,https://api.spotify.com/v1/tracks/5G7RSsbtwjPjZeZma9JdLO,https://api.spotify.com/v1/audio-analysis/5G7RSsbtwjPjZeZma9JdLO,215667,4,0
0.322,0.893,10,-4.998,1,0.106,0.0518,1.93e-05,0.102,0.726,187.67,audio_features,1oSDiJFk3OfzPvCGmXwNqj,spotify:track:1oSDiJFk3OfzPvCGmXwNqj,https://api.spotify.com/v1/tracks/1oSDiJFk3OfzPvCGmXwNqj,https://api.spotify.com/v1/audio-analysis/1oSDiJFk3OfzPvCGmXwNqj,201733,4,31
0.456,0.413,1,-9.138,1,0.0654,0.674,0.00342,0.0868,0.715,123.487,audio_features,0J1F0i9FHyJmR5Ddwfjy1o,spotify:track:0J1F0i9FHyJmR5Ddwfjy1o,https://api.spotify.com/v1/tracks/0J1F0i9FHyJmR5Ddwfjy1o,https://api.spotify.com/v1/audio-analysis/0J1F0i9FHyJmR5Ddwfjy1o,185760,3,21
0.449,0.22,0,-11.324,1,0.0537,0.995,0.00152,0.121,0.631,204.681,audio_features,7uxPz3hqZsr2Buchhl6uVb,spotify:track:7uxPz3hqZsr2Buchhl6uVb,https://api.spotify.com/v1/tracks/7uxPz3hqZsr2Buchhl6uVb,https://api.spotify.com/v1/audio-analysis/7uxPz3hqZsr2Buchhl6uVb,193160,4,19
0.695,0.127,2,-13.506,0,0.0465,0.983,0.00122,0.204,0.261,102.223,audio_features,21ZbFVuvLaV4qSyTTwu9j7,spotify:track:21ZbFVuvLaV4qSyTTwu9j7,https://api.spotify.com/v1/tracks/21ZbFVuvLaV4qSyTTwu9j7,https://api.spotify.com/v1/audio-analysis/21ZbFVuvLaV4qSyTTwu9j7,183667,4,9
0.558,0.359,0,-9.787,0,0.041,0.452,0.00177,0.176,0.376,114.358,audio_features,1IegrJxyw8sfcxmTKMU1W9,spotify:track:1IegrJxyw8sfcxmTKMU1W9,https://api.spotify.com/v1/tracks/1IegrJxyw8sfcxmTKMU1W9,https://api.spotify.com/v1/audio-analysis/1IegrJxyw8sfcxmTKMU1W9,159840,4,20
0.422,0.462,4,-7.406,1,0.0509,0.677,0.00139,0.175,0.54,93.81,audio_features,7IPIADr3zapmuTf0uabZmY,spotify:track:7IPIADr3zapmuTf0uabZmY,https://api.spotify.com/v1/tracks/7IPIADr3zapmuTf0uabZmY,https://api.spotify.com/v1/audio-analysis/7IPIADr3zapmuTf0uabZmY,171600,4,32
0.678,0.122,0,-13.593,1,0.0752,0.995,0.00336,0.181,0.493,85.633,audio_features,7moZDy5V8HI1xwzKZCa8eb,spotify:track:7moZDy5V8HI1xwzKZCa8eb,https://api.spotify.com/v1/tracks/7moZDy5V8HI1xwzKZCa8eb,https://api.spotify.com/v1/audio-analysis/7moZDy5V8HI1xwzKZCa8eb,201378,4,22
0.442,0.298,2,-11.392,1,0.0389,0.983,0.0269,0.13,0.393,150.036,audio_features,1YNcDkxASZ6OtkslHNNFWX,spotify:track:1YNcDkxASZ6OtkslHNNFWX,https://api.spotify.com/v1/tracks/1YNcDkxASZ6OtkslHNNFWX,https://api.spotify.com/v1/audio-analysis/1YNcDkxASZ6OtkslHNNFWX,163027,3,0
