danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.384,0.196,5,-13.427,0,0.0681,0.874,0,0.166,0.392,206.297,audio_features,3rlpBpSe9ZE8KaW0X9IZ41,spotify:track:3rlpBpSe9ZE8KaW0X9IZ41,https://api.spotify.com/v1/tracks/3rlpBpSe9ZE8KaW0X9IZ41,https://api.spotify.com/v1/audio-analysis/3rlpBpSe9ZE8KaW0X9IZ41,187674,4,0
0.397,0.399,0,-10.566,1,0.0483,0.674,0,0.116,0.381,179.625,audio_features,5AZWf9rIKcTBGsHfRDOb3M,spotify:track:5AZWf9rIKcTBGsHfRDOb3M,https://api.spotify.com/v1/tracks/5AZWf9rIKcTBGsHfRDOb3M,https://api.spotify.com/v1/audio-analysis/5AZWf9rIKcTBGsHfRDOb3M,192542,4,2
0.608,0.307,5,-10.859,0,0.0285,0.749,0.000252,0.156,0.505,99.938,audio_features,6tmwEEqi4o7wpys88d0sqg,spotify:track:6tmwEEqi4o7wpys88d0sqg,https://api.spotify.com/v1/tracks/6tmwEEqi4o7wpys88d0sqg,https://api.spotify.com/v1/audio-analysis/6tmwEEqi4o7wpys88d0sqg,189794,4,48
0.457,0.422,0,-7.885,0,0.0354,0.337,0,0.126,0.516,126.633,audio_features,11CisIrmehTpWiu7zhuzwk,spotify:track:11CisIrmehTpWiu7zhuzwk,https://api.spotify.com/v1/tracks/11CisIrmehTpWiu7zhuzwk,https://api.spotify.com/v1/audio-analysis/11CisIrmehTpWiu7zhuzwk,212153,5,70
0.7,0.361,0,-5.049,1,0.135,0.717,0,0.14,0.738,175.312,audio_features,7eTkIKmFgeb9MQmkTC2jCi,spotify:track:7eTkIKmFgeb9MQmkTC2jCi,https://api.spotify.com/v1/tracks/7eTkIKmFgeb9MQmkTC2jCi,https://api.spotify.com/v1/audio-analysis/7eTkIKmFgeb9MQmkTC2jCi,148288,4,61
0.556,0.31,3,-9.33,1,0.0302,0.865,0,0.0793,0.492,104.776,audio_features,2HfKpWYPx4Os46z1K7yE4k,spotify:track:2HfKpWYPx4Os46z1K7yE4k,https://api.spotify.com/v1/tracks/2HfKpWYPx4Os46z1K7yE4k,https://api.spotify.com/v1/audio-analysis/2HfKpWYPx4Os46z1K7yE4k,216294,4,42
0.66,0.255,6,-9.408,0,0.0308,0.786,0,0.252,0.415,83.86,audio_features,1xFsUSKR7r6B2kOyWjqLHV,spotify:track:1xFsUSKR7r6B2kOyWjqLHV,https://api.spotify.com/v1/tracks/1xFsUSKR7r6B2kOyWjqLHV,https://api.spotify.com/v1/audio-analysis/1xFsUSKR7r6B2kOyWjqLHV,190230,4,0
0.689,0.52,6,-10.07,0,0.0269,0.111,0,0.0912,0.609,108.98,audio_features,5PUqb7aCQHByJ0waXwdxkw,spotify:track:5PUqb7aCQHByJ0waXwdxkw,https://api.spotify.com/v1/tracks/5PUqb7aCQHByJ0waXwdxkw,https://api.spotify.com/v1/audio-analysis/5PUqb7aCQHByJ0waXwdxkw,192575,4,3
0.519,0.228,9,-10.922,0,0.036,0.861,0,0.102,0.398,175.367,audio_features,352UHNRKcQBaGKReDvtyM4,spotify:track:352UHNRKcQBaGKReDvtyM4,https://api.spotify.com/v1/tracks/352UHNRKcQBaGKReDvtyM4,https://api.spotify.com/v1/audio-analysis/352UHNRKcQBaGKReDvtyM4,226457,4,65
0.334,0.46,10,-7.424,1,0.0323,0.772,0,0.78,0.249,124.53,audio_features,1nv5i3do60HP13MXuG4znq,spotify:track:1nv5i3do60HP13MXuG4znq,https://api.spotify.com/v1/tracks/1nv5i3do60HP13MXuG4znq,https://api.spotify.com/v1/audio-analysis/1nv5i3do60HP13MXuG4znq,271147,4,1
0.394,0.138,2,-12.648,1,0.0368,0.964,0,0.0912,0.14,93.889,audio_features,3MNt8oBLAHesmGAEJm3DG2,spotify:track:3MNt8oBLAHesmGAEJm3DG2,https://api.spotify.com/v1/tracks/3MNt8oBLAHesmGAEJm3DG2,https://api.spotify.com/v1/audio-analysis/3MNt8oBLAHesmGAEJm3DG2,244797,4,38
0.419,0.281,5,-9.319,1,0.0728,0.834,0,0.134,0.224,171.661,audio_features,1JhuXhMiTBavuRXQTsGOdV,spotify:track:1JhuXhMiTBavuRXQTsGOdV,https://api.spotify.com/v1/tracks/1JhuXhMiTBavuRXQTsGOdV,https://api.spotify.com/v1/audio-analysis/1JhuXhMiTBavuRXQTsGOdV,220096,4,0
0.528,0.291,10,-9.696,1,0.0401,0.914,0,0.121,0.355,76.805,audio_features,30LDuVfrePWbedYTc1mUCn,spotify:track:30LDuVfrePWbedYTc1mUCn,https://api.spotify.com/v1/tracks/30LDuVfrePWbedYTc1mUCn,https://api.spotify.com/v1/audio-analysis/30LDuVfrePWbedYTc1mUCn,157467,4,61
0.483,0.248,9,-9.368,1,0.0502,0.91,0,0.713,0.415,98.136,audio_features,0iVAPfPW2NkfxCqu0a1UBl,spotify:track:0iVAPfPW2NkfxCqu0a1UBl,https://api.spotify.com/v1/tracks/0iVAPfPW2NkfxCqu0a1UBl,https://api.spotify.com/v1/audio-analysis/0iVAPfPW2NkfxCqu0a1UBl,305160,4,70
0.482,0.0953,10,-13.292,0,0.0375,0.802,0,0.0968,0.193,117.307,audio_features,1qipbACiBKXywkAGEbYuqX,spotify:track:1qipbACiBKXywkAGEbYuqX,https://api.spotify.com/v1/tracks/1qipbACiBKXywkAGEbYuqX,https://api.spotify.com/v1/audio-analysis/1qipbACiBKXywkAGEbYuqX,177361,4,65
0.822,0.22,9,-8.36,0,0.0382,0.25,0,0.112,0.634,87.453,audio_features,7tAPTpA6VmKAeu3S5w9RVW,spotify:track:7tAPTpA6VmKAeu3S5w9RVW,https://api.spotify.com/v1/tracks/7tAPTpA6VmKAeu3S5w9RVW,https://api.spotify.com/v1/audio-analysis/7tAPTpA6VmKAeu3S5w9RVW,160592,4,54
0.366,0.402,9,-9.45,0,0.0505,0.84,0,0.318,0.603,82.949,audio_features,0oo2vEWgWeCTTXzDuVzCbf,spotify:track:0oo2vEWgWeCTTXzDuVzCbf,https://api.spotify.com/v1/tracks/0oo2vEWgWeCTTXzDuVzCbf,https://api.spotify.com/v1/audio-analysis/0oo2vEWgWeCTTXzDuVzCbf,197891,4,67
0.691,0.343,8,-6.107,1,0.0531,0.742,0,0.0731,0.591,114.398,audio_features,7M8d1oa1Rfvik0RRHT12wt,spotify:track:7M8d1oa1Rfvik0RRHT12wt,https://api.spotify.com/v1/tracks/7M8d1oa1Rfvik0RRHT12wt,https://api.spotify.com/v1/audio-analysis/7M8d1oa1Rfvik0RRHT12wt,175280,4,57
0.509,0.257,6,-13.962,0,0.108,0.733,0,0.312,0.55,187.366,audio_features,4esmMZzUcSw6cgd8WbSOgi,spotify:track:4esmMZzUcSw6cgd8WbSOgi,https://api.spotify.com/v1/tracks/4esmMZzUcSw6cgd8WbSOgi,https://api.spotify.com/v1/audio-analysis/4esmMZzUcSw6cgd8WbSOgi,181596,4,65
0.564,0.3,2,-9.295,1,0.033,0.879,0,0.0961,0.448,155.632,audio_features,2nYRexPm8vndayCOHgbovU,spotify:track:2nYRexPm8vndayCOHgbovU,https://api.spotify.com/v1/tracks/2nYRexPm8vndayCOHgbovU,https://api.spotify.com/v1/audio-analysis/2nYRexPm8vndayCOHgbovU,178490,4,60
0.785,0.254,4,-8.325,1,0.0413,0.61,0,0.118,0.72,99.853,audio_features,3otAtzQb3f7adNdiCgdECo,spotify:track:3otAtzQb3f7adNdiCgdECo,https://api.spotify.com/v1/tracks/3otAtzQb3f7adNdiCgdECo,https://api.spotify.com/v1/audio-analysis/3otAtzQb3f7adNdiCgdECo,181293,4,15
0.354,0.415,9,-6.578,1,0.0289,0.797,0,0.107,0.421,175.537,audio_features,18ZK9RiSZdZVTkzVFw0yin,spotify:track:18ZK9RiSZdZVTkzVFw0yin,https://api.spotify.com/v1/tracks/18ZK9RiSZdZVTkzVFw0yin,https://api.spotify.com/v1/audio-analysis/18ZK9RiSZdZVTkzVFw0yin,192545,4,67
0.672,0.357,0,-6.225,0,0.0307,0.797,0,0.103,0.49,99.98,audio_features,3D1dtHt0jajUguVbEo4iAu,spotify:track:3D1dtHt0jajUguVbEo4iAu,https://api.spotify.com/v1/tracks/3D1dtHt0jajUguVbEo4iAu,https://api.spotify.com/v1/audio-analysis/3D1dtHt0jajUguVbEo4iAu,206667,4,70
0.438,0.37,10,-7.788,1,0.0397,0.328,0,0.109,0.297,178.014,audio_features,4Y2ZHikCR0EApcIR3cdCdj,spotify:track:4Y2ZHikCR0EApcIR3cdCdj,https://api.spotify.com/v1/tracks/4Y2ZHikCR0EApcIR3cdCdj,https://api.spotify.com/v1/audio-analysis/4Y2ZHikCR0EApcIR3cdCdj,187507,4,60
0.666,0.355,2,-9.305,1,0.0373,0.847,0,0.122,0.661,89.964,audio_features,3KhgqRMwfWSI9J41k7pbvD,spotify:track:3KhgqRMwfWSI9J41k7pbvD,https://api.spotify.com/v1/tracks/3KhgqRMwfWSI9J41k7pbvD,https://api.spotify.com/v1/audio-analysis/3KhgqRMwfWSI9J41k7pbvD,199112,4,52
0.881,0.384,6,-7.88,1,0.0565,0.628,0,0.12,0.901,106.017,audio_features,6N8bOypJtAzJp8w2LF8cWG,spotify:track:6N8bOypJtAzJp8w2LF8cWG,https://api.spotify.com/v1/tracks/6N8bOypJtAzJp8w2LF8cWG,https://api.spotify.com/v1/audio-analysis/6N8bOypJtAzJp8w2LF8cWG,184476,4,62
0.643,0.11,6,-14.28,1,0.0294,0.876,1.38e-05,0.112,0.152,101.995,audio_features,18PrtmAcNMgZNy1edWuXGb,spotify:track:18PrtmAcNMgZNy1edWuXGb,https://api.spotify.com/v1/tracks/18PrtmAcNMgZNy1edWuXGb,https://api.spotify.com/v1/audio-analysis/18PrtmAcNMgZNy1edWuXGb,165067,4,67
