danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.62,0.58,0,-8.569,1,0.0303,0.253,0.000562,0.449,0.221,119.88,audio_features,29i8axWOLDmgbiutJb9prB,spotify:track:29i8axWOLDmgbiutJb9prB,https://api.spotify.com/v1/tracks/29i8axWOLDmgbiutJb9prB,https://api.spotify.com/v1/audio-analysis/29i8axWOLDmgbiutJb9prB,227360,4,47
0.243,0.318,0,-9.108,1,0.0303,0.841,0.0211,0.101,0.0936,98.869,audio_features,5WW2D9aRqJqF9QtvUBSv6V,spotify:track:5WW2D9aRqJqF9QtvUBSv6V,https://api.spotify.com/v1/tracks/5WW2D9aRqJqF9QtvUBSv6V,https://api.spotify.com/v1/audio-analysis/5WW2D9aRqJqF9QtvUBSv6V,217120,4,3
0.457,0.821,4,-7.391,0,0.107,0.653,0.00304,0.327,0.36,119.959,audio_features,5UVHyU7iif8DICTIFBMFyD,spotify:track:5UVHyU7iif8DICTIFBMFyD,https://api.spotify.com/v1/tracks/5UVHyU7iif8DICTIFBMFyD,https://api.spotify.com/v1/audio-analysis/5UVHyU7iif8DICTIFBMFyD,249987,4,1
0.667,0.337,0,-13.321,1,0.0355,0.735,0.0221,0.157,0.3,145.028,audio_features,73BlRcsVrLsbR9ltEXiOpM,spotify:track:73BlRcsVrLsbR9ltEXiOpM,https://api.spotify.com/v1/tracks/73BlRcsVrLsbR9ltEXiOpM,https://api.spotify.com/v1/audio-analysis/73BlRcsVrLsbR9ltEXiOpM,204213,4,1
0.575,0.768,11,-7.011,1,0.0365,0.0747,0.0176,0.113,0.816,145.904,audio_features,6fPFCbFs5LnytNS6DDE1Cm,spotify:track:6fPFCbFs5LnytNS6DDE1Cm,https://api.spotify.com/v1/tracks/6fPFCbFs5LnytNS6DDE1Cm,https://api.spotify.com/v1/audio-analysis/6fPFCbFs5LnytNS6DDE1Cm,218427,4,35
0.542,0.503,11,-8.732,1,0.0339,0.524,0,0.255,0.648,141.877,audio_features,2T1X44AdAera0Kfzp1jD8v,spotify:track:2T1X44AdAera0Kfzp1jD8v,https://api.spotify.com/v1/tracks/2T1X44AdAera0Kfzp1jD8v,https://api.spotify.com/v1/audio-analysis/2T1X44AdAera0Kfzp1jD8v,207787,3,24
0.358,0.757,6,-5.715,1,0.0444,0.0818,0.000275,0.12,0.196,121.245,audio_features,5K8krP3FbkTRRyC3153ygP,spotify:track:5K8krP3FbkTRRyC3153ygP,https://api.spotify.com/v1/tracks/5K8krP3FbkTRRyC3153ygP,https://api.spotify.com/v1/audio-analysis/5K8krP3FbkTRRyC3153ygP,252293,4,34
0.485,0.744,2,-8.049,1,0.0409,0.464,0.553,0.122,0.263,90.292,audio_features,0lQIZtHlrUcJEpOzTASw8q,spotify:track:0lQIZtHlrUcJEpOzTASw8q,https://api.spotify.com/v1/tracks/0lQIZtHlrUcJEpOzTASw8q,https://api.spotify.com/v1/audio-analysis/0lQIZtHlrUcJEpOzTASw8q,339293,4,30
0.478,0.619,4,-8.216,1,0.0376,0.731,0.496,0.0518,0.5,86.005,audio_features,6DnfC25EaxcFPZWaF7T8UO,spotify:track:6DnfC25EaxcFPZWaF7T8UO,https://api.spotify.com/v1/tracks/6DnfC25EaxcFPZWaF7T8UO,https://api.spotify.com/v1/audio-analysis/6DnfC25EaxcFPZWaF7T8UO,370200,4,1
0.561,0.839,2,-4.888,1,0.034,0.0351,5.2e-05,0.092,0.504,111.871,audio_features,6pP4bceLIsE13mlkLWzjm2,spotify:track:6pP4bceLIsE13mlkLWzjm2,https://api.spotify.com/v1/tracks/6pP4bceLIsE13mlkLWzjm2,https://api.spotify.com/v1/audio-analysis/6pP4bceLIsE13mlkLWzjm2,309653,4,23
0.611,0.512,7,-11.806,1,0.0281,0.412,0.00766,0.063,0.892,149.934,audio_features,3JuFo3Qi4rwHB93zqbqGcs,spotify:track:3JuFo3Qi4rwHB93zqbqGcs,https://api.spotify.com/v1/tracks/3JuFo3Qi4rwHB93zqbqGcs,https://api.spotify.com/v1/audio-analysis/3JuFo3Qi4rwHB93zqbqGcs,208800,4,0
0.498,0.113,6,-16.097,0,0.0333,0.691,0.000287,0.108,0.296,168.383,audio_features,3x3zdepy3au5Uo81WIA9MG,spotify:track:3x3zdepy3au5Uo81WIA9MG,https://api.spotify.com/v1/tracks/3x3zdepy3au5Uo81WIA9MG,https://api.spotify.com/v1/audio-analysis/3x3zdepy3au5Uo81WIA9MG,228427,4,47
0.488,0.871,4,-4.651,1,0.0401,0.00121,1.03e-05,0.11,0.614,138.067,audio_features,1UPsIlZ1LJPSDrNWpbD3PQ,spotify:track:1UPsIlZ1LJPSDrNWpbD3PQ,https://api.spotify.com/v1/tracks/1UPsIlZ1LJPSDrNWpbD3PQ,https://api.spotify.com/v1/audio-analysis/1UPsIlZ1LJPSDrNWpbD3PQ,176133,1,22
