danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.742,0.658,0,-6.289,0,0.116,0.355,0,0.0685,0.609,153.773,audio_features,1HZUPhTBUV0D8hqb0LTUcH,spotify:track:1HZUPhTBUV0D8hqb0LTUcH,https://api.spotify.com/v1/tracks/1HZUPhTBUV0D8hqb0LTUcH,https://api.spotify.com/v1/audio-analysis/1HZUPhTBUV0D8hqb0LTUcH,213421,4,30
0.819,0.542,6,-10.32,1,0.0491,0.203,0.000234,0.147,0.363,113.957,audio_features,7rBLWjluMsSMJldxtqE4LK,spotify:track:7rBLWjluMsSMJldxtqE4LK,https://api.spotify.com/v1/tracks/7rBLWjluMsSMJldxtqE4LK,https://api.spotify.com/v1/audio-analysis/7rBLWjluMsSMJldxtqE4LK,181293,4,38
0.365,0.289,9,-14.542,0,0.0378,0.475,6.68e-06,0.0805,0.335,157.13,audio_features,0JjLP9Wxv0kXwGCLiiVdMm,spotify:track:0JjLP9Wxv0kXwGCLiiVdMm,https://api.spotify.com/v1/tracks/0JjLP9Wxv0kXwGCLiiVdMm,https://api.spotify.com/v1/audio-analysis/0JjLP9Wxv0kXwGCLiiVdMm,280293,3,41
0.686,0.354,10,-9.284,1,0.0387,0.829,0.0112,0.102,0.283,123.636,audio_features,5H3ChVfItCaDpj1vPbigyX,spotify:track:5H3ChVfItCaDpj1vPbigyX,https://api.spotify.com/v1/tracks/5H3ChVfItCaDpj1vPbigyX,https://api.spotify.com/v1/audio-analysis/5H3ChVfItCaDpj1vPbigyX,169107,3,51
0.764,0.814,9,-5.357,1,0.0586,0.266,0,0.109,0.89,105.996,audio_features,2pvn9jpkCZtN35JbM9MpDe,spotify:track:2pvn9jpkCZtN35JbM9MpDe,https://api.spotify.com/v1/tracks/2pvn9jpkCZtN35JbM9MpDe,https://api.spotify.com/v1/audio-analysis/2pvn9jpkCZtN35JbM9MpDe,137747,4,37
0.425,0.789,0,-5.814,0,0.0452,0.0017,0.19,0.126,0.845,177.975,audio_features,3cDSURJg6zPJg3UwDYEZe6,spotify:track:3cDSURJg6zPJg3UwDYEZe6,https://api.spotify.com/v1/tracks/3cDSURJg6zPJg3UwDYEZe6,https://api.spotify.com/v1/audio-analysis/3cDSURJg6zPJg3UwDYEZe6,188280,4,50
0.746,0.377,4,-10.851,0,0.126,0.912,5e-06,0.137,0.507,86.004,audio_features,1ZIQ5W30QYzQUYBIBpNw9I,spotify:track:1ZIQ5W30QYzQUYBIBpNw9I,https://api.spotify.com/v1/tracks/1ZIQ5W30QYzQUYBIBpNw9I,https://api.spotify.com/v1/audio-analysis/1ZIQ5W30QYzQUYBIBpNw9I,210092,4,42
0.51,0.587,7,-8.583,1,0.0304,0.478,0.000921,0.0838,0.683,157.891,audio_features,00QIoJwUK7ElUbHYIPeqSU,spotify:track:00QIoJwUK7ElUbHYIPeqSU,https://api.spotify.com/v1/tracks/00QIoJwUK7ElUbHYIPeqSU,https://api.spotify.com/v1/audio-analysis/00QIoJwUK7ElUbHYIPeqSU,172547,4,37
0.638,0.344,9,-9.12,0,0.0546,0.8,0,0.101,0.697,89.982,audio_features,0GUbFXJB6l41tqivHL71gJ,spotify:track:0GUbFXJB6l41tqivHL71gJ,https://api.spotify.com/v1/tracks/0GUbFXJB6l41tqivHL71gJ,https://api.spotify.com/v1/audio-analysis/0GUbFXJB6l41tqivHL71gJ,239920,4,47
0.489,0.845,9,-4.445,1,0.0583,0.441,0,0.0693,0.51,144.628,audio_features,1k5xez10wJlNykz10XzcRe,spotify:track:1k5xez10wJlNykz10XzcRe,https://api.spotify.com/v1/tracks/1k5xez10wJlNykz10XzcRe,https://api.spotify.com/v1/audio-analysis/1k5xez10wJlNykz10XzcRe,222733,4,54
