danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.659,0.572,7,-9.495,1,0.043,0.131,3.64e-05,0.115,0.34,107.058,audio_features,1kQjyyI3xZixtByFizxlXE,spotify:track:1kQjyyI3xZixtByFizxlXE,https://api.spotify.com/v1/tracks/1kQjyyI3xZixtByFizxlXE,https://api.spotify.com/v1/audio-analysis/1kQjyyI3xZixtByFizxlXE,231625,4,39
0.574,0.203,1,-17.188,1,0.0424,0.751,0.0314,0.135,0.41,77.672,audio_features,1uBgbgO9T2EYbWCnzxUNTL,spotify:track:1uBgbgO9T2EYbWCnzxUNTL,https://api.spotify.com/v1/tracks/1uBgbgO9T2EYbWCnzxUNTL,https://api.spotify.com/v1/audio-analysis/1uBgbgO9T2EYbWCnzxUNTL,93227,3,45
0.534,0.582,2,-6.22,1,0.0424,0.83,0,0.125,0.306,186.346,audio_features,0s22h9wqeGlLAVeFKDYrtg,spotify:track:0s22h9wqeGlLAVeFKDYrtg,https://api.spotify.com/v1/tracks/0s22h9wqeGlLAVeFKDYrtg,https://api.spotify.com/v1/audio-analysis/0s22h9wqeGlLAVeFKDYrtg,238265,4,44
0.484,0.506,0,-9.229,1,0.0293,0.611,1.72e-06,0.0925,0.441,125.978,audio_features,4V59xkzDRDWaxuZjYiSnf1,spotify:track:4V59xkzDRDWaxuZjYiSnf1,https://api.spotify.com/v1/tracks/4V59xkzDRDWaxuZjYiSnf1,https://api.spotify.com/v1/audio-analysis/4V59xkzDRDWaxuZjYiSnf1,143074,4,43
0.714,0.364,2,-10.505,1,0.031,0.899,0,0.113,0.518,108.949,audio_features,7jc8hEfxUGsxcXP5zm7mZs,spotify:track:7jc8hEfxUGsxcXP5zm7mZs,https://api.spotify.com/v1/tracks/7jc8hEfxUGsxcXP5zm7mZs,https://api.spotify.com/v1/audio-analysis/7jc8hEfxUGsxcXP5zm7mZs,103133,4,45
0.52,0.598,2,-5.779,1,0.0356,0.57,0,0.139,0.634,147.002,audio_features,0kzJFJECfl9zssMYCocW8X,spotify:track:0kzJFJECfl9zssMYCocW8X,https://api.spotify.com/v1/tracks/0kzJFJECfl9zssMYCocW8X,https://api.spotify.com/v1/audio-analysis/0kzJFJECfl9zssMYCocW8X,260107,4,49
0.862,0.409,6,-10.255,0,0.0399,0.762,0.0871,0.0927,0.8,135.013,audio_features,0cgWTzGYVUWELohSykTxrb,spotify:track:0cgWTzGYVUWELohSykTxrb,https://api.spotify.com/v1/tracks/0cgWTzGYVUWELohSykTxrb,https://api.spotify.com/v1/audio-analysis/0cgWTzGYVUWELohSykTxrb,170893,4,47
0.537,0.687,7,-8.558,1,0.0289,0.228,0.00926,0.11,0.179,116.956,audio_features,6JSZCTk9fDor8RI3m8BGFz,spotify:track:6JSZCTk9fDor8RI3m8BGFz,https://api.spotify.com/v1/tracks/6JSZCTk9fDor8RI3m8BGFz,https://api.spotify.com/v1/audio-analysis/6JSZCTk9fDor8RI3m8BGFz,239107,4,43
0.649,0.522,9,-8.662,0,0.0426,0.524,0.837,0.0794,0.36,172.527,audio_features,7hKxyb70OOPvDQo1kEvRv0,spotify:track:7hKxyb70OOPvDQo1kEvRv0,https://api.spotify.com/v1/tracks/7hKxyb70OOPvDQo1kEvRv0,https://api.spotify.com/v1/audio-analysis/7hKxyb70OOPvDQo1kEvRv0,331692,3,44
0.431,0.34,11,-11.64,1,0.0358,0.855,0,0.114,0.294,136.416,audio_features,3nkA77oKDQcxbz9QLQITwa,spotify:track:3nkA77oKDQcxbz9QLQITwa,https://api.spotify.com/v1/tracks/3nkA77oKDQcxbz9QLQITwa,https://api.spotify.com/v1/audio-analysis/3nkA77oKDQcxbz9QLQITwa,242067,3,48
