danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.0978,0.0122,0,-31.02,1,0.0415,0.97,0.967,0.0856,0.0311,67.991,audio_features,74bjEbwwtdxUHbdMlSvf3a,spotify:track:74bjEbwwtdxUHbdMlSvf3a,https://api.spotify.com/v1/tracks/74bjEbwwtdxUHbdMlSvf3a,https://api.spotify.com/v1/audio-analysis/74bjEbwwtdxUHbdMlSvf3a,202215,5,53
0.146,0.0055,7,-38.053,0,0.0421,0.989,0.877,0.0958,0.0344,74.307,audio_features,1Bj6P9NaFut5P5PAxBFkkm,spotify:track:1Bj6P9NaFut5P5PAxBFkkm,https://api.spotify.com/v1/tracks/1Bj6P9NaFut5P5PAxBFkkm,https://api.spotify.com/v1/audio-analysis/1Bj6P9NaFut5P5PAxBFkkm,147093,4,53
0.0953,0.209,9,-19.738,0,0.0402,0.78,0.901,0.131,0.0385,163.208,audio_features,5iIuKWVUw6rF6Uuis7CVNK,spotify:track:5iIuKWVUw6rF6Uuis7CVNK,https://api.spotify.com/v1/tracks/5iIuKWVUw6rF6Uuis7CVNK,https://api.spotify.com/v1/audio-analysis/5iIuKWVUw6rF6Uuis7CVNK,162307,5,40
0.118,0.0788,4,-21.392,0,0.0362,0.975,0.0866,0.0727,0.0883,67.174,audio_features,4lQP0AyiVeRekqUGvIh10X,spotify:track:4lQP0AyiVeRekqUGvIh10X,https://api.spotify.com/v1/tracks/4lQP0AyiVeRekqUGvIh10X,https://api.spotify.com/v1/audio-analysis/4lQP0AyiVeRekqUGvIh10X,311667,3,52
0.157,0.0351,0,-28.017,0,0.0432,0.85,0.929,0.136,0.031,132.977,audio_features,6YvIz4Tz5jP3phdV9qUxaR,spotify:track:6YvIz4Tz5jP3phdV9qUxaR,https://api.spotify.com/v1/tracks/6YvIz4Tz5jP3phdV9qUxaR,https://api.spotify.com/v1/audio-analysis/6YvIz4Tz5jP3phdV9qUxaR,180147,4,0
0.158,0.0123,7,-32.594,0,0.0444,0.976,0.874,0.095,0.129,70.931,audio_features,69qWOufMRbCDBXNyBqtiPY,spotify:track:69qWOufMRbCDBXNyBqtiPY,https://api.spotify.com/v1/tracks/69qWOufMRbCDBXNyBqtiPY,https://api.spotify.com/v1/audio-analysis/69qWOufMRbCDBXNyBqtiPY,95920,3,46
0.173,0.0285,5,-28.179,1,0.0389,0.96,0.315,0.111,0.0361,67.085,audio_features,64WjcBE2VjcXKCj9McT5BS,spotify:track:64WjcBE2VjcXKCj9McT5BS,https://api.spotify.com/v1/tracks/64WjcBE2VjcXKCj9McT5BS,https://api.spotify.com/v1/audio-analysis/64WjcBE2VjcXKCj9McT5BS,193283,3,46
0.245,0.00601,0,-33.086,0,0.0376,0.987,0.417,0.0702,0.0393,74.251,audio_features,75KucxgJRpZwgptDI2oLWs,spotify:track:75KucxgJRpZwgptDI2oLWs,https://api.spotify.com/v1/tracks/75KucxgJRpZwgptDI2oLWs,https://api.spotify.com/v1/audio-analysis/75KucxgJRpZwgptDI2oLWs,131635,4,46
0.18,0.0333,5,-27.667,0,0.0406,0.985,0.875,0.0666,0.0392,134.159,audio_features,2ouBCzavu59F6ZcJlb1kZ6,spotify:track:2ouBCzavu59F6ZcJlb1kZ6,https://api.spotify.com/v1/tracks/2ouBCzavu59F6ZcJlb1kZ6,https://api.spotify.com/v1/audio-analysis/2ouBCzavu59F6ZcJlb1kZ6,187802,3,42
0.104,0.111,1,-20.031,1,0.0517,0.979,0.926,0.11,0.039,83.933,audio_features,3Knohqfb9jeYzL6wMZiWLM,spotify:track:3Knohqfb9jeYzL6wMZiWLM,https://api.spotify.com/v1/tracks/3Knohqfb9jeYzL6wMZiWLM,https://api.spotify.com/v1/audio-analysis/3Knohqfb9jeYzL6wMZiWLM,229107,4,62
0.172,0.298,7,-13.144,0,0.04,0.905,0.88,0.0933,0.0386,119.08,audio_features,1EcJYWBoOiF8TlcUyYPVY3,spotify:track:1EcJYWBoOiF8TlcUyYPVY3,https://api.spotify.com/v1/tracks/1EcJYWBoOiF8TlcUyYPVY3,https://api.spotify.com/v1/audio-analysis/1EcJYWBoOiF8TlcUyYPVY3,271120,5,46
0.178,0.0031,5,-30.736,1,0.037,0.957,0.909,0.0903,0.037,61.866,audio_features,37IexGi3KksWaXoS7pnd5P,spotify:track:37IexGi3KksWaXoS7pnd5P,https://api.spotify.com/v1/tracks/37IexGi3KksWaXoS7pnd5P,https://api.spotify.com/v1/audio-analysis/37IexGi3KksWaXoS7pnd5P,78272,3,45
