danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.442,0.923,4,-7.916,0,0.434,0.858,0.884,0.106,0.75,99.185,audio_features,0BDYUVxKdtPujL5lzltwl3,spotify:track:0BDYUVxKdtPujL5lzltwl3,https://api.spotify.com/v1/tracks/0BDYUVxKdtPujL5lzltwl3,https://api.spotify.com/v1/audio-analysis/0BDYUVxKdtPujL5lzltwl3,140000,4,28
0.333,0.476,10,-11.989,1,0.036,0.531,3.31e-05,0.218,0.194,158.972,audio_features,5wRFX64vIXvVEUra5U2mVS,spotify:track:5wRFX64vIXvVEUra5U2mVS,https://api.spotify.com/v1/tracks/5wRFX64vIXvVEUra5U2mVS,https://api.spotify.com/v1/audio-analysis/5wRFX64vIXvVEUra5U2mVS,208991,4,33
0.394,0.29,11,-14.697,0,0.0431,0.955,0.25,0.145,0.246,177.05,audio_features,4J1WfKGw95OykWgSArdAUn,spotify:track:4J1WfKGw95OykWgSArdAUn,https://api.spotify.com/v1/tracks/4J1WfKGw95OykWgSArdAUn,https://api.spotify.com/v1/audio-analysis/4J1WfKGw95OykWgSArdAUn,62006,4,32
0.483,0.0492,10,-30.394,1,0.0914,0.884,0.916,0.112,0.35,79.458,audio_features,1LZl21xwqzOa8yDWVWu2My,spotify:track:1LZl21xwqzOa8yDWVWu2My,https://api.spotify.com/v1/tracks/1LZl21xwqzOa8yDWVWu2My,https://api.spotify.com/v1/audio-analysis/1LZl21xwqzOa8yDWVWu2My,93500,4,28
0.695,0.608,10,-12.978,0,0.145,0.174,0.813,0.347,0.943,106.525,audio_features,4cOIU32VFNW5WmbzdYNFjK,spotify:track:4cOIU32VFNW5WmbzdYNFjK,https://api.spotify.com/v1/tracks/4cOIU32VFNW5WmbzdYNFjK,https://api.spotify.com/v1/audio-analysis/4cOIU32VFNW5WmbzdYNFjK,213136,4,32
0.519,0.677,7,-4.838,1,0.039,0.31,0.886,0.105,0.161,165.171,audio_features,3180ajrq2iTEDrxPPOJSvG,spotify:track:3180ajrq2iTEDrxPPOJSvG,https://api.spotify.com/v1/tracks/3180ajrq2iTEDrxPPOJSvG,https://api.spotify.com/v1/audio-analysis/3180ajrq2iTEDrxPPOJSvG,274880,4,35
0.578,0.695,10,-9.884,0,0.0646,0.667,0.685,0.104,0.122,104.995,audio_features,2qTu1kGVYAVvv2nOZ4yI0H,spotify:track:2qTu1kGVYAVvv2nOZ4yI0H,https://api.spotify.com/v1/tracks/2qTu1kGVYAVvv2nOZ4yI0H,https://api.spotify.com/v1/audio-analysis/2qTu1kGVYAVvv2nOZ4yI0H,348004,4,35
0.461,0.73,10,-5.089,1,0.301,0.273,0.000434,0.243,0.363,94.194,audio_features,6kczxpSRCLfItPiyVMSi2L,spotify:track:6kczxpSRCLfItPiyVMSi2L,https://api.spotify.com/v1/tracks/6kczxpSRCLfItPiyVMSi2L,https://api.spotify.com/v1/audio-analysis/6kczxpSRCLfItPiyVMSi2L,98693,4,36
0.452,0.579,2,-11.085,1,0.0476,0.0153,0.893,0.637,0.929,84.615,audio_features,4ugLp0bGRzn333EjSC6Qdl,spotify:track:4ugLp0bGRzn333EjSC6Qdl,https://api.spotify.com/v1/tracks/4ugLp0bGRzn333EjSC6Qdl,https://api.spotify.com/v1/audio-analysis/4ugLp0bGRzn333EjSC6Qdl,213760,4,55
0.461,0.124,8,-12.518,1,0.0479,0.825,0.906,0.0951,0.384,164.225,audio_features,2B7edZVnKjHP7wVGYFPUPq,spotify:track:2B7edZVnKjHP7wVGYFPUPq,https://api.spotify.com/v1/tracks/2B7edZVnKjHP7wVGYFPUPq,https://api.spotify.com/v1/audio-analysis/2B7edZVnKjHP7wVGYFPUPq,99026,4,34
0.359,0.246,0,-13.778,1,0.032,0.465,0.866,0.364,0.0897,80.625,audio_features,54QBjKdapUU6xsoKbkVIoH,spotify:track:54QBjKdapUU6xsoKbkVIoH,https://api.spotify.com/v1/tracks/54QBjKdapUU6xsoKbkVIoH,https://api.spotify.com/v1/audio-analysis/54QBjKdapUU6xsoKbkVIoH,307422,4,34
