danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.715,0.308,8,-8.254,0,0.0274,0.829,3.79e-05,0.0935,0.262,96.936,audio_features,0p5Er0P1sO8W35d5JX0Cat,spotify:track:0p5Er0P1sO8W35d5JX0Cat,https://api.spotify.com/v1/tracks/0p5Er0P1sO8W35d5JX0Cat,https://api.spotify.com/v1/audio-analysis/0p5Er0P1sO8W35d5JX0Cat,201839,4,52
0.563,0.26,2,-5.856,1,0.0391,0.518,0,0.146,0.616,145.561,audio_features,5X6TnKT37TaSDkFm0598Uo,spotify:track:5X6TnKT37TaSDkFm0598Uo,https://api.spotify.com/v1/tracks/5X6TnKT37TaSDkFm0598Uo,https://api.spotify.com/v1/audio-analysis/5X6TnKT37TaSDkFm0598Uo,226227,4,68
0.655,0.379,10,-8.985,1,0.0299,0.767,0,0.131,0.541,98.093,audio_features,75Kchp4GZGyu61amcr8jRT,spotify:track:75Kchp4GZGyu61amcr8jRT,https://api.spotify.com/v1/tracks/75Kchp4GZGyu61amcr8jRT,https://api.spotify.com/v1/audio-analysis/75Kchp4GZGyu61amcr8jRT,202587,4,62
0.773,0.358,8,-10.634,1,0.044,0.794,0,0.104,0.756,124.934,audio_features,5bldrrpdHrTeaWNT1Kp5xs,spotify:track:5bldrrpdHrTeaWNT1Kp5xs,https://api.spotify.com/v1/tracks/5bldrrpdHrTeaWNT1Kp5xs,https://api.spotify.com/v1/audio-analysis/5bldrrpdHrTeaWNT1Kp5xs,203800,4,68
0.489,0.25,8,-11.975,1,0.0335,0.925,0,0.126,0.435,175.901,audio_features,4Q28TwldTqBGxYfyWaYPFL,spotify:track:4Q28TwldTqBGxYfyWaYPFL,https://api.spotify.com/v1/tracks/4Q28TwldTqBGxYfyWaYPFL,https://api.spotify.com/v1/audio-analysis/4Q28TwldTqBGxYfyWaYPFL,180828,4,62
0.843,0.4,8,-5.576,0,0.103,0.49,0,0.125,0.927,100.728,audio_features,5ULRlgiSPSKTaJN1vU9yso,spotify:track:5ULRlgiSPSKTaJN1vU9yso,https://api.spotify.com/v1/tracks/5ULRlgiSPSKTaJN1vU9yso,https://api.spotify.com/v1/audio-analysis/5ULRlgiSPSKTaJN1vU9yso,223573,4,74
0.491,0.339,0,-8.93,0,0.0425,0.88,0,0.0847,0.654,95.967,audio_features,7q3a1lmqGzMWJg9xc4jhF3,spotify:track:7q3a1lmqGzMWJg9xc4jhF3,https://api.spotify.com/v1/tracks/7q3a1lmqGzMWJg9xc4jhF3,https://api.spotify.com/v1/audio-analysis/7q3a1lmqGzMWJg9xc4jhF3,216879,3,49
0.778,0.225,5,-8.848,1,0.0523,0.947,0,0.103,0.288,106.996,audio_features,1yP8Yqwu8YS3BiBKVWCjpR,spotify:track:1yP8Yqwu8YS3BiBKVWCjpR,https://api.spotify.com/v1/tracks/1yP8Yqwu8YS3BiBKVWCjpR,https://api.spotify.com/v1/audio-analysis/1yP8Yqwu8YS3BiBKVWCjpR,217400,4,60
0.585,0.397,7,-9.847,0,0.0528,0.782,0,0.269,0.226,86.837,audio_features,2QoyYV4YAuw9T9UgsDoam2,spotify:track:2QoyYV4YAuw9T9UgsDoam2,https://api.spotify.com/v1/tracks/2QoyYV4YAuw9T9UgsDoam2,https://api.spotify.com/v1/audio-analysis/2QoyYV4YAuw9T9UgsDoam2,225790,4,66
0.543,0.601,8,-8.434,1,0.0415,0.291,0,0.0695,0.486,121.763,audio_features,0GGVNLSXv3uaN0GrXvDsOC,spotify:track:0GGVNLSXv3uaN0GrXvDsOC,https://api.spotify.com/v1/tracks/0GGVNLSXv3uaN0GrXvDsOC,https://api.spotify.com/v1/audio-analysis/0GGVNLSXv3uaN0GrXvDsOC,199120,4,59
0.533,0.126,3,-11.674,1,0.0404,0.733,0,0.116,0.259,105.079,audio_features,4O4kZfHsxo8oHjkSTCclYD,spotify:track:4O4kZfHsxo8oHjkSTCclYD,https://api.spotify.com/v1/tracks/4O4kZfHsxo8oHjkSTCclYD,https://api.spotify.com/v1/audio-analysis/4O4kZfHsxo8oHjkSTCclYD,191607,4,42
0.681,0.299,11,-7.497,0,0.0292,0.78,0,0.0813,0.159,126.069,audio_features,1T2HTSy2wENxaFKD1SzjBk,spotify:track:1T2HTSy2wENxaFKD1SzjBk,https://api.spotify.com/v1/tracks/1T2HTSy2wENxaFKD1SzjBk,https://api.spotify.com/v1/audio-analysis/1T2HTSy2wENxaFKD1SzjBk,255410,4,47
0.476,0.247,9,-9.843,1,0.0347,0.854,0,0.0867,0.576,103.047,audio_features,618v3huzqDQQBfMogznSb3,spotify:track:618v3huzqDQQBfMogznSb3,https://api.spotify.com/v1/tracks/618v3huzqDQQBfMogznSb3,https://api.spotify.com/v1/audio-analysis/618v3huzqDQQBfMogznSb3,217864,4,62
0.677,0.518,11,-8.56,1,0.0289,0.463,0,0.0852,0.527,95.013,audio_features,4JrV4NJ4ChSoxBTEIb0D7F,spotify:track:4JrV4NJ4ChSoxBTEIb0D7F,https://api.spotify.com/v1/tracks/4JrV4NJ4ChSoxBTEIb0D7F,https://api.spotify.com/v1/audio-analysis/4JrV4NJ4ChSoxBTEIb0D7F,245780,4,64
0.623,0.574,5,-7.383,0,0.028,0.0898,0,0.262,0.377,100.043,audio_features,2y1P3jmytgSKdLkRfLxdp2,spotify:track:2y1P3jmytgSKdLkRfLxdp2,https://api.spotify.com/v1/tracks/2y1P3jmytgSKdLkRfLxdp2,https://api.spotify.com/v1/audio-analysis/2y1P3jmytgSKdLkRfLxdp2,195051,4,55
0.552,0.311,11,-9.186,0,0.0347,0.768,0,0.089,0.464,135.497,audio_features,1kN9UiyOSRVCrSc49ft0lp,spotify:track:1kN9UiyOSRVCrSc49ft0lp,https://api.spotify.com/v1/tracks/1kN9UiyOSRVCrSc49ft0lp,https://api.spotify.com/v1/audio-analysis/1kN9UiyOSRVCrSc49ft0lp,221693,4,59
0.636,0.355,5,-7.047,1,0.0665,0.794,0,0.374,0.738,99.295,audio_features,78loPG2VNA0Lg0vjumMfeD,spotify:track:78loPG2VNA0Lg0vjumMfeD,https://api.spotify.com/v1/tracks/78loPG2VNA0Lg0vjumMfeD,https://api.spotify.com/v1/audio-analysis/78loPG2VNA0Lg0vjumMfeD,231583,4,61
