danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.179,0.046,1,-28.349,1,0.042,0.991,0.95,0.0802,0.0767,174.311,audio_features,755s9TyTwH8mxtrN8fmbkz,spotify:track:755s9TyTwH8mxtrN8fmbkz,https://api.spotify.com/v1/tracks/755s9TyTwH8mxtrN8fmbkz,https://api.spotify.com/v1/audio-analysis/755s9TyTwH8mxtrN8fmbkz,161437,3,21
0.715,0.00295,11,-29.456,0,0.071,0.995,0.953,0.0698,0.44,137.798,audio_features,1IfsSgpOy1pLK7NfxMkn0k,spotify:track:1IfsSgpOy1pLK7NfxMkn0k,https://api.spotify.com/v1/tracks/1IfsSgpOy1pLK7NfxMkn0k,https://api.spotify.com/v1/audio-analysis/1IfsSgpOy1pLK7NfxMkn0k,140000,4,46
0.566,0.139,0,-22.174,0,0.0371,0.829,0.937,0.112,0.295,141.963,audio_features,4piid7tPoN2WkIqAxathMC,spotify:track:4piid7tPoN2WkIqAxathMC,https://api.spotify.com/v1/tracks/4piid7tPoN2WkIqAxathMC,https://api.spotify.com/v1/audio-analysis/4piid7tPoN2WkIqAxathMC,268926,4,57
0.406,0.104,8,-20.798,1,0.031,0.954,0.932,0.2,0.167,131.387,audio_features,0V0lsyEd6xIeCivMSXrQjM,spotify:track:0V0lsyEd6xIeCivMSXrQjM,https://api.spotify.com/v1/tracks/0V0lsyEd6xIeCivMSXrQjM,https://api.spotify.com/v1/audio-analysis/0V0lsyEd6xIeCivMSXrQjM,271374,4,21
0.347,0.0157,2,-17.511,1,0.0398,0.913,0.0834,0.108,0.0708,77.6,audio_features,7aAisjhqR53JMDCgEAtBYx,spotify:track:7aAisjhqR53JMDCgEAtBYx,https://api.spotify.com/v1/tracks/7aAisjhqR53JMDCgEAtBYx,https://api.spotify.com/v1/audio-analysis/7aAisjhqR53JMDCgEAtBYx,174000,4,0
0.312,0.0305,7,-16.07,1,0.0489,0.989,0.901,0.11,0.063,140.654,audio_features,4iYe0r85W043bRwcI7avQk,spotify:track:4iYe0r85W043bRwcI7avQk,https://api.spotify.com/v1/tracks/4iYe0r85W043bRwcI7avQk,https://api.spotify.com/v1/audio-analysis/4iYe0r85W043bRwcI7avQk,223769,3,64
0.151,0.144,0,-18.762,0,0.0357,0.972,0.917,0.117,0.0398,94.036,audio_features,5ZAJoaoiu3KJ7OoTio2OEU,spotify:track:5ZAJoaoiu3KJ7OoTio2OEU,https://api.spotify.com/v1/tracks/5ZAJoaoiu3KJ7OoTio2OEU,https://api.spotify.com/v1/audio-analysis/5ZAJoaoiu3KJ7OoTio2OEU,199245,1,56
0.545,0.144,3,-16.761,1,0.0381,0.992,0.924,0.116,0.339,77.031,audio_features,7lzopZxQZutbRugTbi19qI,spotify:track:7lzopZxQZutbRugTbi19qI,https://api.spotify.com/v1/tracks/7lzopZxQZutbRugTbi19qI,https://api.spotify.com/v1/audio-analysis/7lzopZxQZutbRugTbi19qI,161497,3,46
0.597,0.324,8,-17.904,0,0.0356,0.677,0.938,0.112,0.133,129.979,audio_features,3eZJAq6QI1rAjLzYlrUWJC,spotify:track:3eZJAq6QI1rAjLzYlrUWJC,https://api.spotify.com/v1/tracks/3eZJAq6QI1rAjLzYlrUWJC,https://api.spotify.com/v1/audio-analysis/3eZJAq6QI1rAjLzYlrUWJC,271385,4,42
0.609,0.0761,0,-21.284,1,0.0624,0.993,0.909,0.0953,0.306,142.417,audio_features,5EhmLz25rdgm13G1C3KQ8J,spotify:track:5EhmLz25rdgm13G1C3KQ8J,https://api.spotify.com/v1/tracks/5EhmLz25rdgm13G1C3KQ8J,https://api.spotify.com/v1/audio-analysis/5EhmLz25rdgm13G1C3KQ8J,167344,4,46
