danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.219,0.0345,11,-22.173,0,0.0397,0.943,0.268,0.145,0.16,68.213,audio_features,7MtpebEOQfnZClVgzVDMnL,spotify:track:7MtpebEOQfnZClVgzVDMnL,https://api.spotify.com/v1/tracks/7MtpebEOQfnZClVgzVDMnL,https://api.spotify.com/v1/audio-analysis/7MtpebEOQfnZClVgzVDMnL,490667,4,15
0.372,0.286,5,-17.994,1,0.0767,0.688,4.11e-06,0.182,0.251,113.843,audio_features,10ADDcOwl2DuOVKnHbeE0V,spotify:track:10ADDcOwl2DuOVKnHbeE0V,https://api.spotify.com/v1/tracks/10ADDcOwl2DuOVKnHbeE0V,https://api.spotify.com/v1/audio-analysis/10ADDcOwl2DuOVKnHbeE0V,366667,4,17
0.0693,0.265,5,-17.165,1,0.0455,0.801,0.903,0.123,0.0381,75.605,audio_features,1R7tOW6IjHGqPgrya9iG8U,spotify:track:1R7tOW6IjHGqPgrya9iG8U,https://api.spotify.com/v1/tracks/1R7tOW6IjHGqPgrya9iG8U,https://api.spotify.com/v1/audio-analysis/1R7tOW6IjHGqPgrya9iG8U,523000,1,11
0.15,0.168,10,-18.663,1,0.0407,0.981,0.495,0.0818,0.071,137.863,audio_features,26nEbd5S5IG0nvcAPXFoOn,spotify:track:26nEbd5S5IG0nvcAPXFoOn,https://api.spotify.com/v1/tracks/26nEbd5S5IG0nvcAPXFoOn,https://api.spotify.com/v1/audio-analysis/26nEbd5S5IG0nvcAPXFoOn,511060,5,32
0.364,0.367,2,-17.038,0,0.0398,0.924,0.159,0.105,0.528,131.087,audio_features,1oQ1Nu6pNBVEVdUOuN44sy,spotify:track:1oQ1Nu6pNBVEVdUOuN44sy,https://api.spotify.com/v1/tracks/1oQ1Nu6pNBVEVdUOuN44sy,https://api.spotify.com/v1/audio-analysis/1oQ1Nu6pNBVEVdUOuN44sy,166000,4,8
0.0888,0.0767,4,-22.356,1,0.045,0.925,0.886,0.296,0.0263,86.174,audio_features,4AsG9dl8iEbAE7Rf79GXD9,spotify:track:4AsG9dl8iEbAE7Rf79GXD9,https://api.spotify.com/v1/tracks/4AsG9dl8iEbAE7Rf79GXD9,https://api.spotify.com/v1/audio-analysis/4AsG9dl8iEbAE7Rf79GXD9,1136533,4,16
0.11,0.124,4,-19.495,0,0.0374,0.554,0.773,0.197,0.0331,93.035,audio_features,7Mx00Ye1ypcK1hToeKyrVl,spotify:track:7Mx00Ye1ypcK1hToeKyrVl,https://api.spotify.com/v1/tracks/7Mx00Ye1ypcK1hToeKyrVl,https://api.spotify.com/v1/audio-analysis/7Mx00Ye1ypcK1hToeKyrVl,1607333,4,34
0.06,0.0637,7,-20.106,1,0.0442,0.937,0.863,0.361,0.0355,60.954,audio_features,5GK4F5uj8nteXxba5yEDTD,spotify:track:5GK4F5uj8nteXxba5yEDTD,https://api.spotify.com/v1/tracks/5GK4F5uj8nteXxba5yEDTD,https://api.spotify.com/v1/audio-analysis/5GK4F5uj8nteXxba5yEDTD,1130760,3,17
0.175,0.192,5,-23.541,1,0.0508,0.684,0.838,0.137,0.039,107.535,audio_features,4oqf2EnhIUjQercmFiRdXA,spotify:track:4oqf2EnhIUjQercmFiRdXA,https://api.spotify.com/v1/tracks/4oqf2EnhIUjQercmFiRdXA,https://api.spotify.com/v1/audio-analysis/4oqf2EnhIUjQercmFiRdXA,1345413,4,28
0.551,0.35,2,-19.071,0,0.0649,0.851,0.929,0.528,0.545,89.947,audio_features,3nOHdE2kXV78JXkkjKM8yS,spotify:track:3nOHdE2kXV78JXkkjKM8yS,https://api.spotify.com/v1/tracks/3nOHdE2kXV78JXkkjKM8yS,https://api.spotify.com/v1/audio-analysis/3nOHdE2kXV78JXkkjKM8yS,1233107,3,16
0.166,0.111,5,-17.187,1,0.0402,0.964,0.42,0.0895,0.0348,94.884,audio_features,0Pyu7ePGJfkU1ch6YOQzbk,spotify:track:0Pyu7ePGJfkU1ch6YOQzbk,https://api.spotify.com/v1/tracks/0Pyu7ePGJfkU1ch6YOQzbk,https://api.spotify.com/v1/audio-analysis/0Pyu7ePGJfkU1ch6YOQzbk,1772827,4,20
