danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.383,0.208,0,-16.035,1,0.03,0.818,3.36e-05,0.189,0.219,84.699,audio_features,3g3xDtGtU0asKw6iYCYiG5,spotify:track:3g3xDtGtU0asKw6iYCYiG5,https://api.spotify.com/v1/tracks/3g3xDtGtU0asKw6iYCYiG5,https://api.spotify.com/v1/audio-analysis/3g3xDtGtU0asKw6iYCYiG5,225133,4,36
0.153,0.0631,4,-22.481,1,0.0494,0.993,0.122,0.375,0.142,79.057,audio_features,5xzdEeJ1OI43cHA6vQ5IWg,spotify:track:5xzdEeJ1OI43cHA6vQ5IWg,https://api.spotify.com/v1/tracks/5xzdEeJ1OI43cHA6vQ5IWg,https://api.spotify.com/v1/audio-analysis/5xzdEeJ1OI43cHA6vQ5IWg,106733,4,22
0.314,0.172,10,-12.484,0,0.0333,0.889,1e-05,0.134,0.185,109.978,audio_features,5jbYpsQ90SOPOkORyG4a4F,spotify:track:5jbYpsQ90SOPOkORyG4a4F,https://api.spotify.com/v1/tracks/5jbYpsQ90SOPOkORyG4a4F,https://api.spotify.com/v1/audio-analysis/5jbYpsQ90SOPOkORyG4a4F,271480,1,55
0.199,0.0927,7,-20.582,0,0.0465,0.897,0.724,0.192,0.0397,89.853,audio_features,0za6HhjZw6LwCIDdBl92Vm,spotify:track:0za6HhjZw6LwCIDdBl92Vm,https://api.spotify.com/v1/tracks/0za6HhjZw6LwCIDdBl92Vm,https://api.spotify.com/v1/audio-analysis/0za6HhjZw6LwCIDdBl92Vm,298387,4,38
0.564,0.819,7,-4.902,1,0.0543,0.026,0.000537,0.63,0.219,86.024,audio_features,1I1qgMyNQ7zoSTjYjlKG5z,spotify:track:1I1qgMyNQ7zoSTjYjlKG5z,https://api.spotify.com/v1/tracks/1I1qgMyNQ7zoSTjYjlKG5z,https://api.spotify.com/v1/audio-analysis/1I1qgMyNQ7zoSTjYjlKG5z,201021,4,33
0.227,0.105,2,-23.001,1,0.0435,0.885,0.698,0.0963,0.0594,85.379,audio_features,6eJO3KPASyzKrVP9izfCEC,spotify:track:6eJO3KPASyzKrVP9izfCEC,https://api.spotify.com/v1/tracks/6eJO3KPASyzKrVP9izfCEC,https://api.spotify.com/v1/audio-analysis/6eJO3KPASyzKrVP9izfCEC,918027,4,13
0.371,0.795,5,-5.092,0,0.0785,0.206,0,0.181,0.544,79.837,audio_features,6D186kBHszfjVVWDsWdUig,spotify:track:6D186kBHszfjVVWDsWdUig,https://api.spotify.com/v1/tracks/6D186kBHszfjVVWDsWdUig,https://api.spotify.com/v1/audio-analysis/6D186kBHszfjVVWDsWdUig,235360,4,60
0.124,0.0327,6,-27.207,0,0.0419,0.958,0.921,0.14,0.0491,68.543,audio_features,2kzJk1fFlxwavj3TcCHcqk,spotify:track:2kzJk1fFlxwavj3TcCHcqk,https://api.spotify.com/v1/tracks/2kzJk1fFlxwavj3TcCHcqk,https://api.spotify.com/v1/audio-analysis/2kzJk1fFlxwavj3TcCHcqk,385867,4,37
0.628,0.717,9,-9.055,1,0.0416,0.393,1.67e-06,0.049,0.582,91.207,audio_features,1WK7eLVsD0zH4UWm9ob3z6,spotify:track:1WK7eLVsD0zH4UWm9ob3z6,https://api.spotify.com/v1/tracks/1WK7eLVsD0zH4UWm9ob3z6,https://api.spotify.com/v1/audio-analysis/1WK7eLVsD0zH4UWm9ob3z6,384907,4,48
0.419,0.786,7,-4.589,1,0.256,0.000454,0,0.314,0.744,105.289,audio_features,1x01tXhHXuRaxDvyo0BrxZ,spotify:track:1x01tXhHXuRaxDvyo0BrxZ,https://api.spotify.com/v1/tracks/1x01tXhHXuRaxDvyo0BrxZ,https://api.spotify.com/v1/audio-analysis/1x01tXhHXuRaxDvyo0BrxZ,216960,4,48
0.434,0.192,2,-16.304,0,0.0494,0.985,0.848,0.0988,0.471,78.07,audio_features,17V09EMAJWzzb5pUdiV9a3,spotify:track:17V09EMAJWzzb5pUdiV9a3,https://api.spotify.com/v1/tracks/17V09EMAJWzzb5pUdiV9a3,https://api.spotify.com/v1/audio-analysis/17V09EMAJWzzb5pUdiV9a3,191933,4,30
0.358,0.34,3,-14.042,1,0.0379,0.937,0.885,0.0762,0.0334,63.739,audio_features,0if8P2p8x7jl1BJiFNeUxr,spotify:track:0if8P2p8x7jl1BJiFNeUxr,https://api.spotify.com/v1/tracks/0if8P2p8x7jl1BJiFNeUxr,https://api.spotify.com/v1/audio-analysis/0if8P2p8x7jl1BJiFNeUxr,104667,4,25
0.626,0.799,11,-6.612,0,0.046,0.000358,0.00155,0.36,0.369,98.992,audio_features,44XBLYMVEt5vJcb5qXfQ7V,spotify:track:44XBLYMVEt5vJcb5qXfQ7V,https://api.spotify.com/v1/tracks/44XBLYMVEt5vJcb5qXfQ7V,https://api.spotify.com/v1/audio-analysis/44XBLYMVEt5vJcb5qXfQ7V,274213,4,62
