danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.454,0.0139,4,-29.966,0,0.0514,0.995,0.943,0.0736,0.244,130.253,audio_features,5bu9A6uphPWg39RC3ZKeku,spotify:track:5bu9A6uphPWg39RC3ZKeku,https://api.spotify.com/v1/tracks/5bu9A6uphPWg39RC3ZKeku,https://api.spotify.com/v1/audio-analysis/5bu9A6uphPWg39RC3ZKeku,184853,4,58
0.362,0.0617,7,-24.588,1,0.0379,0.991,0.916,0.171,0.392,93.635,audio_features,3MdV4O6NgN42ZC0a335Cag,spotify:track:3MdV4O6NgN42ZC0a335Cag,https://api.spotify.com/v1/tracks/3MdV4O6NgN42ZC0a335Cag,https://api.spotify.com/v1/audio-analysis/3MdV4O6NgN42ZC0a335Cag,234987,4,44
0.371,0.00246,5,-31.159,0,0.0565,0.995,0.963,0.0895,0.163,73.543,audio_features,6WH2PngYNGuSR23ZCTVZ1Y,spotify:track:6WH2PngYNGuSR23ZCTVZ1Y,https://api.spotify.com/v1/tracks/6WH2PngYNGuSR23ZCTVZ1Y,https://api.spotify.com/v1/audio-analysis/6WH2PngYNGuSR23ZCTVZ1Y,274560,4,43
0.191,0.0946,10,-25.59,1,0.0365,0.99,0.933,0.101,0.348,110.502,audio_features,1Q9JMojxHHF6JbEJAKJLgj,spotify:track:1Q9JMojxHHF6JbEJAKJLgj,https://api.spotify.com/v1/tracks/1Q9JMojxHHF6JbEJAKJLgj,https://api.spotify.com/v1/audio-analysis/1Q9JMojxHHF6JbEJAKJLgj,100347,4,49
0.33,0.0676,10,-28.938,1,0.0583,0.993,0.914,0.0794,0.215,85.009,audio_features,3BAKpBBHpvwafiLuf1D1lT,spotify:track:3BAKpBBHpvwafiLuf1D1lT,https://api.spotify.com/v1/tracks/3BAKpBBHpvwafiLuf1D1lT,https://api.spotify.com/v1/audio-analysis/3BAKpBBHpvwafiLuf1D1lT,185400,4,43
0.343,0.0209,8,-27.015,1,0.0398,0.987,0.922,0.126,0.0393,125.242,audio_features,1M2RkUUJ9wXRsW3jN1MCHS,spotify:track:1M2RkUUJ9wXRsW3jN1MCHS,https://api.spotify.com/v1/tracks/1M2RkUUJ9wXRsW3jN1MCHS,https://api.spotify.com/v1/audio-analysis/1M2RkUUJ9wXRsW3jN1MCHS,497773,3,52
0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,audio_features,3DNRdudZ2SstnDCVKFdXxG,spotify:track:3DNRdudZ2SstnDCVKFdXxG,https://api.spotify.com/v1/tracks/3DNRdudZ2SstnDCVKFdXxG,https://api.spotify.com/v1/audio-analysis/3DNRdudZ2SstnDCVKFdXxG,315427,3,65
0.202,0.0672,4,-23.67,0,0.036,0.989,0.917,0.0701,0.0606,67.097,audio_features,6emm7xJ0T65goIAp3qhySr,spotify:track:6emm7xJ0T65goIAp3qhySr,https://api.spotify.com/v1/tracks/6emm7xJ0T65goIAp3qhySr,https://api.spotify.com/v1/audio-analysis/6emm7xJ0T65goIAp3qhySr,288000,3,41
0.394,0.00948,1,-27.572,1,0.045,0.993,0.914,0.112,0.0423,132.018,audio_features,1nGDsTkP1npeWj4hJ9s9pw,spotify:track:1nGDsTkP1npeWj4hJ9s9pw,https://api.spotify.com/v1/tracks/1nGDsTkP1npeWj4hJ9s9pw,https://api.spotify.com/v1/audio-analysis/1nGDsTkP1npeWj4hJ9s9pw,376440,4,48
0.396,0.0856,7,-24.822,0,0.0554,0.993,0.895,0.0996,0.0327,77.083,audio_features,7bHvFyRRbdI8XzxIU9ed0k,spotify:track:7bHvFyRRbdI8XzxIU9ed0k,https://api.spotify.com/v1/tracks/7bHvFyRRbdI8XzxIU9ed0k,https://api.spotify.com/v1/audio-analysis/7bHvFyRRbdI8XzxIU9ed0k,114707,3,44
