danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.442,0.0172,11,-27.863,1,0.0435,0.993,0.803,0.0981,0.0686,87.464,audio_features,6l6gch6dBX1VWdIVTaGGpr,spotify:track:6l6gch6dBX1VWdIVTaGGpr,https://api.spotify.com/v1/tracks/6l6gch6dBX1VWdIVTaGGpr,https://api.spotify.com/v1/audio-analysis/6l6gch6dBX1VWdIVTaGGpr,92667,4,38
0.0714,0.0254,2,-24.989,1,0.0487,0.973,0.647,0.0814,0.0404,73.676,audio_features,5FCllSZdOJMcgmFCnAwOBT,spotify:track:5FCllSZdOJMcgmFCnAwOBT,https://api.spotify.com/v1/tracks/5FCllSZdOJMcgmFCnAwOBT,https://api.spotify.com/v1/audio-analysis/5FCllSZdOJMcgmFCnAwOBT,462640,3,39
0.315,0.0146,1,-31.689,0,0.0447,0.991,0.859,0.0776,0.112,130.274,audio_features,664fcA80WZzNL7uJWcCkLe,spotify:track:664fcA80WZzNL7uJWcCkLe,https://api.spotify.com/v1/tracks/664fcA80WZzNL7uJWcCkLe,https://api.spotify.com/v1/audio-analysis/664fcA80WZzNL7uJWcCkLe,244067,3,53
0.188,0.272,0,-12.413,0,0.0321,0.969,0.872,0.0756,0.417,186.718,audio_features,1aJMiIzORPosUmSt91llX0,spotify:track:1aJMiIzORPosUmSt91llX0,https://api.spotify.com/v1/tracks/1aJMiIzORPosUmSt91llX0,https://api.spotify.com/v1/audio-analysis/1aJMiIzORPosUmSt91llX0,221200,3,5
0.224,0.103,2,-20.085,1,0.0342,0.968,0.88,0.379,0.13,95.375,audio_features,5siXMmAafNxDlgcsLsqL9R,spotify:track:5siXMmAafNxDlgcsLsqL9R,https://api.spotify.com/v1/tracks/5siXMmAafNxDlgcsLsqL9R,https://api.spotify.com/v1/audio-analysis/5siXMmAafNxDlgcsLsqL9R,600667,4,41
0.093,0.0249,4,-20.74,0,0.0463,0.513,0.805,0.0831,0.0365,79.369,audio_features,4EcOBeGY1r0j26Z8FJ1nVZ,spotify:track:4EcOBeGY1r0j26Z8FJ1nVZ,https://api.spotify.com/v1/tracks/4EcOBeGY1r0j26Z8FJ1nVZ,https://api.spotify.com/v1/audio-analysis/4EcOBeGY1r0j26Z8FJ1nVZ,302987,3,46
0.351,0.206,3,-18.519,1,0.0381,0.989,0.937,0.135,0.193,108.584,audio_features,0S3k6lXXM0Hpg6kJXCpwuf,spotify:track:0S3k6lXXM0Hpg6kJXCpwuf,https://api.spotify.com/v1/tracks/0S3k6lXXM0Hpg6kJXCpwuf,https://api.spotify.com/v1/audio-analysis/0S3k6lXXM0Hpg6kJXCpwuf,714640,4,35
0.159,0.0533,1,-20.734,1,0.0346,0.97,0.834,0.0892,0.0403,75.579,audio_features,6y5U4NlIAuLFWqt3lRbe5j,spotify:track:6y5U4NlIAuLFWqt3lRbe5j,https://api.spotify.com/v1/tracks/6y5U4NlIAuLFWqt3lRbe5j,https://api.spotify.com/v1/audio-analysis/6y5U4NlIAuLFWqt3lRbe5j,523813,5,43
0.0924,0.0532,5,-26.04,1,0.0425,0.976,0.0489,0.087,0.0357,80.155,audio_features,25iYMuutdrsscCNgOFe4Rj,spotify:track:25iYMuutdrsscCNgOFe4Rj,https://api.spotify.com/v1/tracks/25iYMuutdrsscCNgOFe4Rj,https://api.spotify.com/v1/audio-analysis/25iYMuutdrsscCNgOFe4Rj,422000,4,3
0.0689,0.0475,4,-27.376,0,0.0508,0.937,0.819,0.163,0.0338,74.864,audio_features,5Ctje9srugvwbYZGgZxarl,spotify:track:5Ctje9srugvwbYZGgZxarl,https://api.spotify.com/v1/tracks/5Ctje9srugvwbYZGgZxarl,https://api.spotify.com/v1/audio-analysis/5Ctje9srugvwbYZGgZxarl,200080,3,37
0.246,0.075,5,-18.365,0,0.0414,0.923,0.899,0.121,0.042,120.905,audio_features,6WuIVj9gYbIUWxx3Okglsg,spotify:track:6WuIVj9gYbIUWxx3Okglsg,https://api.spotify.com/v1/tracks/6WuIVj9gYbIUWxx3Okglsg,https://api.spotify.com/v1/audio-analysis/6WuIVj9gYbIUWxx3Okglsg,173160,4,37
0.283,0.0022,8,-41.733,1,0.0451,0.991,0.887,0.105,0.0878,62.413,audio_features,2zSiV8Ze0yyrFtbVzX2Ytg,spotify:track:2zSiV8Ze0yyrFtbVzX2Ytg,https://api.spotify.com/v1/tracks/2zSiV8Ze0yyrFtbVzX2Ytg,https://api.spotify.com/v1/audio-analysis/2zSiV8Ze0yyrFtbVzX2Ytg,321040,4,35
0.17,0.0411,10,-29.766,1,0.0491,0.828,0.857,0.109,0.0328,102.018,audio_features,0rIac8mqqnUu7g200X3zP2,spotify:track:0rIac8mqqnUu7g200X3zP2,https://api.spotify.com/v1/tracks/0rIac8mqqnUu7g200X3zP2,https://api.spotify.com/v1/audio-analysis/0rIac8mqqnUu7g200X3zP2,351467,3,34
0.269,0.0492,10,-24.575,1,0.055,0.984,7.46e-06,0.246,0.111,119.088,audio_features,4CZWCG1KOEZPGdQqDL85VF,spotify:track:4CZWCG1KOEZPGdQqDL85VF,https://api.spotify.com/v1/tracks/4CZWCG1KOEZPGdQqDL85VF,https://api.spotify.com/v1/audio-analysis/4CZWCG1KOEZPGdQqDL85VF,212427,3,5
0.347,0.149,9,-20.444,1,0.0392,0.958,0.847,0.278,0.103,107.22,audio_features,4DRwOy4g0Y7smOS9hJrSps,spotify:track:4DRwOy4g0Y7smOS9hJrSps,https://api.spotify.com/v1/tracks/4DRwOy4g0Y7smOS9hJrSps,https://api.spotify.com/v1/audio-analysis/4DRwOy4g0Y7smOS9hJrSps,990467,4,36
0.282,0.162,11,-11.722,0,0.043,0.957,6.58e-05,0.314,0.0403,68.805,audio_features,43jjInKl4TphmijDQAUWRo,spotify:track:43jjInKl4TphmijDQAUWRo,https://api.spotify.com/v1/tracks/43jjInKl4TphmijDQAUWRo,https://api.spotify.com/v1/audio-analysis/43jjInKl4TphmijDQAUWRo,288333,3,4
0.305,0.0289,0,-22.509,0,0.0337,0.979,0.257,0.0881,0.0913,95.851,audio_features,00zJDVXhQvGixkoMC45crr,spotify:track:00zJDVXhQvGixkoMC45crr,https://api.spotify.com/v1/tracks/00zJDVXhQvGixkoMC45crr,https://api.spotify.com/v1/audio-analysis/00zJDVXhQvGixkoMC45crr,567733,4,47
0.144,0.0323,10,-27.776,0,0.0421,0.991,0.963,0.0839,0.0311,71.095,audio_features,5c9QyToWOOO41lLcrqUYEF,spotify:track:5c9QyToWOOO41lLcrqUYEF,https://api.spotify.com/v1/tracks/5c9QyToWOOO41lLcrqUYEF,https://api.spotify.com/v1/audio-analysis/5c9QyToWOOO41lLcrqUYEF,651093,3,33
0.246,0.125,8,-17.825,1,0.0431,0.985,0.000112,0.262,0.076,111.735,audio_features,1oi7QvpgDkBFTROce7LkB8,spotify:track:1oi7QvpgDkBFTROce7LkB8,https://api.spotify.com/v1/tracks/1oi7QvpgDkBFTROce7LkB8,https://api.spotify.com/v1/audio-analysis/1oi7QvpgDkBFTROce7LkB8,150133,4,45
0.136,0.0239,3,-26.097,0,0.0482,0.976,0.466,0.0721,0.035,83.006,audio_features,1xNiNZZbXVCK1h1VLjb6gz,spotify:track:1xNiNZZbXVCK1h1VLjb6gz,https://api.spotify.com/v1/tracks/1xNiNZZbXVCK1h1VLjb6gz,https://api.spotify.com/v1/audio-analysis/1xNiNZZbXVCK1h1VLjb6gz,232067,4,11
0.64,0.613,9,-8.055,1,0.0326,0.814,0.913,0.314,0.888,111.355,audio_features,1ngFOi0A8RTKAcJF0O4WQo,spotify:track:1ngFOi0A8RTKAcJF0O4WQo,https://api.spotify.com/v1/tracks/1ngFOi0A8RTKAcJF0O4WQo,https://api.spotify.com/v1/audio-analysis/1ngFOi0A8RTKAcJF0O4WQo,136160,4,36
0.537,0.453,11,-16.98,0,0.037,0.832,0.342,0.0694,0.599,91.276,audio_features,7r1FbJGYzoUyIAUggSXrX4,spotify:track:7r1FbJGYzoUyIAUggSXrX4,https://api.spotify.com/v1/tracks/7r1FbJGYzoUyIAUggSXrX4,https://api.spotify.com/v1/audio-analysis/7r1FbJGYzoUyIAUggSXrX4,116240,3,29
0.641,0.327,7,-16.848,1,0.0486,0.928,0.94,0.1,0.902,99.248,audio_features,21Lig0KA3GHOQiT2KITjau,spotify:track:21Lig0KA3GHOQiT2KITjau,https://api.spotify.com/v1/tracks/21Lig0KA3GHOQiT2KITjau,https://api.spotify.com/v1/audio-analysis/21Lig0KA3GHOQiT2KITjau,197933,1,27
0.564,0.193,5,-18.573,1,0.191,0.97,0,0.387,0.316,83.918,audio_features,5OjnpfLUTRdpmcZr2BPQqw,spotify:track:5OjnpfLUTRdpmcZr2BPQqw,https://api.spotify.com/v1/tracks/5OjnpfLUTRdpmcZr2BPQqw,https://api.spotify.com/v1/audio-analysis/5OjnpfLUTRdpmcZr2BPQqw,188467,3,30
