danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.655,0.103,4,-30.665,0,0.0763,0.952,0,0.247,0.964,101.981,audio_features,1s8QldGAhEcobxBdtjUhPf,spotify:track:1s8QldGAhEcobxBdtjUhPf,https://api.spotify.com/v1/tracks/1s8QldGAhEcobxBdtjUhPf,https://api.spotify.com/v1/audio-analysis/1s8QldGAhEcobxBdtjUhPf,175347,3,7
0.196,0.0323,1,-31.991,1,0.0456,0.992,0.0033,0.0906,0.0317,143.42,audio_features,4JjFlelE1x55yUnmXSJJvS,spotify:track:4JjFlelE1x55yUnmXSJJvS,https://api.spotify.com/v1/tracks/4JjFlelE1x55yUnmXSJJvS,https://api.spotify.com/v1/audio-analysis/4JjFlelE1x55yUnmXSJJvS,312893,1,41
0.192,0.0838,2,-20.876,0,0.0728,0.966,0.814,0.0999,0.205,73.822,audio_features,0M9c9A2GYItCff5P1q8oUj,spotify:track:0M9c9A2GYItCff5P1q8oUj,https://api.spotify.com/v1/tracks/0M9c9A2GYItCff5P1q8oUj,https://api.spotify.com/v1/audio-analysis/0M9c9A2GYItCff5P1q8oUj,241107,4,36
0.278,0.224,0,-14.392,1,0.0445,0.981,0.0239,0.0784,0.0362,76.458,audio_features,6rub2kEobve7nRLLMggl8A,spotify:track:6rub2kEobve7nRLLMggl8A,https://api.spotify.com/v1/tracks/6rub2kEobve7nRLLMggl8A,https://api.spotify.com/v1/audio-analysis/6rub2kEobve7nRLLMggl8A,362951,4,28
0.434,0.0439,5,-22.168,1,0.0599,0.991,0.87,0.086,0.273,148.918,audio_features,4miuADB2k5I55t7NeAnxKu,spotify:track:4miuADB2k5I55t7NeAnxKu,https://api.spotify.com/v1/tracks/4miuADB2k5I55t7NeAnxKu,https://api.spotify.com/v1/audio-analysis/4miuADB2k5I55t7NeAnxKu,613680,4,27
0.216,0.139,4,-18.196,0,0.0462,0.961,8.46e-05,0.122,0.116,81.482,audio_features,2m1a3uytXzw46myRCWfjYD,spotify:track:2m1a3uytXzw46myRCWfjYD,https://api.spotify.com/v1/tracks/2m1a3uytXzw46myRCWfjYD,https://api.spotify.com/v1/audio-analysis/2m1a3uytXzw46myRCWfjYD,323653,3,26
0.355,0.719,7,-10.154,1,0.0416,0.0288,0.227,0.314,0.354,112.999,audio_features,6NEYn1bRvLPDJ0aiuLqCQY,spotify:track:6NEYn1bRvLPDJ0aiuLqCQY,https://api.spotify.com/v1/tracks/6NEYn1bRvLPDJ0aiuLqCQY,https://api.spotify.com/v1/audio-analysis/6NEYn1bRvLPDJ0aiuLqCQY,632989,4,17
0.111,0.29,4,-20.465,0,0.0694,0.982,0.0862,0.111,0.0372,66.459,audio_features,6pDcGsvIVUYpMG8LLECqPE,spotify:track:6pDcGsvIVUYpMG8LLECqPE,https://api.spotify.com/v1/tracks/6pDcGsvIVUYpMG8LLECqPE,https://api.spotify.com/v1/audio-analysis/6pDcGsvIVUYpMG8LLECqPE,292520,3,8
0.421,0.00852,9,-23.048,1,0.0434,0.996,0.927,0.0956,0.0398,67.963,audio_features,34t48wYYuVdeNoJCn131ym,spotify:track:34t48wYYuVdeNoJCn131ym,https://api.spotify.com/v1/tracks/34t48wYYuVdeNoJCn131ym,https://api.spotify.com/v1/audio-analysis/34t48wYYuVdeNoJCn131ym,292867,4,15
0.252,0.126,0,-19.323,0,0.0515,0.993,0.784,0.0625,0.0378,126.516,audio_features,404GPTzxK5uHDuDmenmXp0,spotify:track:404GPTzxK5uHDuDmenmXp0,https://api.spotify.com/v1/tracks/404GPTzxK5uHDuDmenmXp0,https://api.spotify.com/v1/audio-analysis/404GPTzxK5uHDuDmenmXp0,146038,5,9
0.328,0.305,4,-14.309,1,0.0442,0.707,0.0383,0.277,0.0391,119.537,audio_features,5YDaLxaUpzATB5mivdCyJo,spotify:track:5YDaLxaUpzATB5mivdCyJo,https://api.spotify.com/v1/tracks/5YDaLxaUpzATB5mivdCyJo,https://api.spotify.com/v1/audio-analysis/5YDaLxaUpzATB5mivdCyJo,320240,4,11
0.364,0.0437,7,-23.016,1,0.0454,0.89,0,0.0798,0.101,133.329,audio_features,5JfQsFE3a9SdiUfhu5eQW5,spotify:track:5JfQsFE3a9SdiUfhu5eQW5,https://api.spotify.com/v1/tracks/5JfQsFE3a9SdiUfhu5eQW5,https://api.spotify.com/v1/audio-analysis/5JfQsFE3a9SdiUfhu5eQW5,766384,4,10
0.159,0.0807,1,-27.873,1,0.0609,0.903,0.00874,0.104,0.033,71.686,audio_features,28A17au3VIVy2IBCnBMIdO,spotify:track:28A17au3VIVy2IBCnBMIdO,https://api.spotify.com/v1/tracks/28A17au3VIVy2IBCnBMIdO,https://api.spotify.com/v1/audio-analysis/28A17au3VIVy2IBCnBMIdO,220960,3,9
0.31,0.0153,5,-32.381,0,0.0471,0.969,0,0.235,0.302,130.852,audio_features,0iEZz82Xtjv478BVCALSjN,spotify:track:0iEZz82Xtjv478BVCALSjN,https://api.spotify.com/v1/tracks/0iEZz82Xtjv478BVCALSjN,https://api.spotify.com/v1/audio-analysis/0iEZz82Xtjv478BVCALSjN,177480,1,18
0.116,0.0487,5,-25.916,0,0.0489,0.994,0.879,0.073,0.0299,78.324,audio_features,3aKCzNUjwdbY0ldonOauGH,spotify:track:3aKCzNUjwdbY0ldonOauGH,https://api.spotify.com/v1/tracks/3aKCzNUjwdbY0ldonOauGH,https://api.spotify.com/v1/audio-analysis/3aKCzNUjwdbY0ldonOauGH,217360,4,15
0.255,0.0393,0,-28.612,1,0.0555,0.976,0.937,0.0557,0.079,82.654,audio_features,7LC9ueXyRXe8L88cvGtgFz,spotify:track:7LC9ueXyRXe8L88cvGtgFz,https://api.spotify.com/v1/tracks/7LC9ueXyRXe8L88cvGtgFz,https://api.spotify.com/v1/audio-analysis/7LC9ueXyRXe8L88cvGtgFz,593520,4,14
0.252,0.139,9,-15.483,0,0.0664,0.99,0,0.116,0.0887,84.746,audio_features,0WxGsYN2mGlb9Gksy1XJuY,spotify:track:0WxGsYN2mGlb9Gksy1XJuY,https://api.spotify.com/v1/tracks/0WxGsYN2mGlb9Gksy1XJuY,https://api.spotify.com/v1/audio-analysis/0WxGsYN2mGlb9Gksy1XJuY,481040,4,10
0.253,0.0344,9,-19.718,0,0.0532,0.992,3.23e-05,0.116,0.0383,109.274,audio_features,14A9QAQJPAdKoTcwq05oxw,spotify:track:14A9QAQJPAdKoTcwq05oxw,https://api.spotify.com/v1/tracks/14A9QAQJPAdKoTcwq05oxw,https://api.spotify.com/v1/audio-analysis/14A9QAQJPAdKoTcwq05oxw,190152,5,11
0.309,0.0558,5,-19.068,0,0.0369,0.995,0.918,0.111,0.0398,71.953,audio_features,7IXN40EHOThZ351NDGqLS9,spotify:track:7IXN40EHOThZ351NDGqLS9,https://api.spotify.com/v1/tracks/7IXN40EHOThZ351NDGqLS9,https://api.spotify.com/v1/audio-analysis/7IXN40EHOThZ351NDGqLS9,426587,3,10
0.512,0.0619,2,-16.205,0,0.0376,0.995,0.0425,0.125,0.227,123.495,audio_features,5VkujTZMMMrT9UK7QQeIqs,spotify:track:5VkujTZMMMrT9UK7QQeIqs,https://api.spotify.com/v1/tracks/5VkujTZMMMrT9UK7QQeIqs,https://api.spotify.com/v1/audio-analysis/5VkujTZMMMrT9UK7QQeIqs,264960,3,11
0.24,0.0906,7,-15.571,0,0.0406,0.987,0.00546,0.105,0.17,180.186,audio_features,6PEbe1046wikE8KxFHsDwy,spotify:track:6PEbe1046wikE8KxFHsDwy,https://api.spotify.com/v1/tracks/6PEbe1046wikE8KxFHsDwy,https://api.spotify.com/v1/audio-analysis/6PEbe1046wikE8KxFHsDwy,379787,3,20
0.234,0.292,0,-11.399,1,0.0305,0.525,0.806,0.0751,0.0506,179.827,audio_features,4QIUqaocpRWWaqdCleVEO5,spotify:track:4QIUqaocpRWWaqdCleVEO5,https://api.spotify.com/v1/tracks/4QIUqaocpRWWaqdCleVEO5,https://api.spotify.com/v1/audio-analysis/4QIUqaocpRWWaqdCleVEO5,612480,3,14
0.0691,0.0284,2,-28.758,0,0.045,0.269,0.0911,0.119,0.0328,75.397,audio_features,7JJl5pam71InPdDWohAZXf,spotify:track:7JJl5pam71InPdDWohAZXf,https://api.spotify.com/v1/tracks/7JJl5pam71InPdDWohAZXf,https://api.spotify.com/v1/audio-analysis/7JJl5pam71InPdDWohAZXf,543453,4,7
0.128,0.0082,2,-31.361,0,0.0432,0.979,0,0.123,0.0593,167.809,audio_features,5fF6hV3iRZOqWKutBmCdpg,spotify:track:5fF6hV3iRZOqWKutBmCdpg,https://api.spotify.com/v1/tracks/5fF6hV3iRZOqWKutBmCdpg,https://api.spotify.com/v1/audio-analysis/5fF6hV3iRZOqWKutBmCdpg,271200,3,12
0.329,0.472,5,-11.478,1,0.0325,0.784,0.507,0.0977,0.28,95.47,audio_features,2M1aA0SVLyVe6DWlmgAP0B,spotify:track:2M1aA0SVLyVe6DWlmgAP0B,https://api.spotify.com/v1/tracks/2M1aA0SVLyVe6DWlmgAP0B,https://api.spotify.com/v1/audio-analysis/2M1aA0SVLyVe6DWlmgAP0B,833653,4,7
