danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.326,0.284,9,-13.131,0,0.0383,0.902,0.922,0.126,0.213,120.732,audio_features,0fIBz9zLZGqrCMaAUskhk2,spotify:track:0fIBz9zLZGqrCMaAUskhk2,https://api.spotify.com/v1/tracks/0fIBz9zLZGqrCMaAUskhk2,https://api.spotify.com/v1/audio-analysis/0fIBz9zLZGqrCMaAUskhk2,576653,4,27
0.159,0.0533,1,-20.734,1,0.0346,0.97,0.834,0.0892,0.0403,75.579,audio_features,6y5U4NlIAuLFWqt3lRbe5j,spotify:track:6y5U4NlIAuLFWqt3lRbe5j,https://api.spotify.com/v1/tracks/6y5U4NlIAuLFWqt3lRbe5j,https://api.spotify.com/v1/audio-analysis/6y5U4NlIAuLFWqt3lRbe5j,523813,5,43
0.345,0.266,3,-18.984,1,0.0373,0.979,0.878,0.424,0.359,139.013,audio_features,11W7nrD4T26Q0p4bXj53Hm,spotify:track:11W7nrD4T26Q0p4bXj53Hm,https://api.spotify.com/v1/tracks/11W7nrD4T26Q0p4bXj53Hm,https://api.spotify.com/v1/audio-analysis/11W7nrD4T26Q0p4bXj53Hm,468010,4,31
0.211,0.0292,11,-17.376,0,0.0406,0.943,0.875,0.119,0.078,118.818,audio_features,1ev0w7RxxeduSGZfWG8XVj,spotify:track:1ev0w7RxxeduSGZfWG8XVj,https://api.spotify.com/v1/tracks/1ev0w7RxxeduSGZfWG8XVj,https://api.spotify.com/v1/audio-analysis/1ev0w7RxxeduSGZfWG8XVj,843750,3,28
0.302,0.049,11,-21.603,0,0.0449,0.942,0.937,0.0824,0.0662,80.736,audio_features,4e7vCSlmwDw6Y40nQvuojR,spotify:track:4e7vCSlmwDw6Y40nQvuojR,https://api.spotify.com/v1/tracks/4e7vCSlmwDw6Y40nQvuojR,https://api.spotify.com/v1/audio-analysis/4e7vCSlmwDw6Y40nQvuojR,652307,4,22
0.359,0.327,5,-14.031,0,0.0409,0.904,0.837,0.0613,0.131,108.788,audio_features,1Y6ujg6IUpryelPvGVNsCd,spotify:track:1Y6ujg6IUpryelPvGVNsCd,https://api.spotify.com/v1/tracks/1Y6ujg6IUpryelPvGVNsCd,https://api.spotify.com/v1/audio-analysis/1Y6ujg6IUpryelPvGVNsCd,542293,4,22
0.0761,0.133,5,-19.92,0,0.0354,0.921,0.918,0.377,0.0355,73.692,audio_features,7wJOynfcHyoxQT25l6ecPV,spotify:track:7wJOynfcHyoxQT25l6ecPV,https://api.spotify.com/v1/tracks/7wJOynfcHyoxQT25l6ecPV,https://api.spotify.com/v1/audio-analysis/7wJOynfcHyoxQT25l6ecPV,351738,3,28
0.228,0.135,4,-17.095,0,0.0351,0.911,0.915,0.149,0.104,141.745,audio_features,0hBoe0lGBmDbGpCr1LXbSx,spotify:track:0hBoe0lGBmDbGpCr1LXbSx,https://api.spotify.com/v1/tracks/0hBoe0lGBmDbGpCr1LXbSx,https://api.spotify.com/v1/audio-analysis/0hBoe0lGBmDbGpCr1LXbSx,711733,4,34
0.356,0.207,10,-17.76,1,0.0388,0.95,0.914,0.0802,0.328,146.755,audio_features,1SHixA41Vy0TTlJJSX9Gbo,spotify:track:1SHixA41Vy0TTlJJSX9Gbo,https://api.spotify.com/v1/tracks/1SHixA41Vy0TTlJJSX9Gbo,https://api.spotify.com/v1/audio-analysis/1SHixA41Vy0TTlJJSX9Gbo,431787,4,44
0.473,0.086,6,-18.985,0,0.0312,0.869,0.793,0.135,0.352,86.878,audio_features,6rcAlTeTWF4uYpxwVm5QdD,spotify:track:6rcAlTeTWF4uYpxwVm5QdD,https://api.spotify.com/v1/tracks/6rcAlTeTWF4uYpxwVm5QdD,https://api.spotify.com/v1/audio-analysis/6rcAlTeTWF4uYpxwVm5QdD,203560,4,28
