danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.425,0.00946,1,-35.792,0,0.0378,0.973,0.0287,0.0984,0.0695,97.593,audio_features,3n6CsyMxM421azBIqGcLEq,spotify:track:3n6CsyMxM421azBIqGcLEq,https://api.spotify.com/v1/tracks/3n6CsyMxM421azBIqGcLEq,https://api.spotify.com/v1/audio-analysis/3n6CsyMxM421azBIqGcLEq,157653,3,37
0.306,0.166,2,-19.714,0,0.0439,0.992,0.873,0.0716,0.106,78.162,audio_features,5yDhnNPhTfwhpIRAMbVIUV,spotify:track:5yDhnNPhTfwhpIRAMbVIUV,https://api.spotify.com/v1/tracks/5yDhnNPhTfwhpIRAMbVIUV,https://api.spotify.com/v1/audio-analysis/5yDhnNPhTfwhpIRAMbVIUV,166173,3,37
0.254,0.0932,9,-26.193,0,0.0493,0.995,0.914,0.0858,0.27,64.19,audio_features,5Q2lBTE44FtwxnOMVOviqY,spotify:track:5Q2lBTE44FtwxnOMVOviqY,https://api.spotify.com/v1/tracks/5Q2lBTE44FtwxnOMVOviqY,https://api.spotify.com/v1/audio-analysis/5Q2lBTE44FtwxnOMVOviqY,590933,4,37
0.32,0.141,5,-20.589,0,0.0379,0.991,0.909,0.094,0.0364,105.649,audio_features,5nVahyJim5VpnWLhjVmpPc,spotify:track:5nVahyJim5VpnWLhjVmpPc,https://api.spotify.com/v1/tracks/5nVahyJim5VpnWLhjVmpPc,https://api.spotify.com/v1/audio-analysis/5nVahyJim5VpnWLhjVmpPc,801110,4,35
0.645,0.00762,3,-28.558,1,0.104,0.996,0.953,0.0912,0.105,82.171,audio_features,1vgCI6EXaW6WiROnNUpFI1,spotify:track:1vgCI6EXaW6WiROnNUpFI1,https://api.spotify.com/v1/tracks/1vgCI6EXaW6WiROnNUpFI1,https://api.spotify.com/v1/audio-analysis/1vgCI6EXaW6WiROnNUpFI1,64693,4,32
0.299,0.1,3,-27.316,1,0.0469,0.996,0.793,0.115,0.363,66.221,audio_features,6YD0OGjgAByz8exPMBzEf3,spotify:track:6YD0OGjgAByz8exPMBzEf3,https://api.spotify.com/v1/tracks/6YD0OGjgAByz8exPMBzEf3,https://api.spotify.com/v1/audio-analysis/6YD0OGjgAByz8exPMBzEf3,56773,3,32
0.697,0.0856,3,-23.596,1,0.148,0.995,0.931,0.132,0.635,79.836,audio_features,2oaEN2B9cbyLVMu0W9xJEZ,spotify:track:2oaEN2B9cbyLVMu0W9xJEZ,https://api.spotify.com/v1/tracks/2oaEN2B9cbyLVMu0W9xJEZ,https://api.spotify.com/v1/audio-analysis/2oaEN2B9cbyLVMu0W9xJEZ,40493,4,31
0.352,0.109,3,-24.926,1,0.0522,0.995,0.867,0.124,0.121,71.066,audio_features,11tYHfQ6v7u01cjbKoUYQX,spotify:track:11tYHfQ6v7u01cjbKoUYQX,https://api.spotify.com/v1/tracks/11tYHfQ6v7u01cjbKoUYQX,https://api.spotify.com/v1/audio-analysis/11tYHfQ6v7u01cjbKoUYQX,73240,3,31
0.559,0.197,3,-19.988,1,0.0722,0.994,0.923,0.137,0.397,142.708,audio_features,1IyLGHhBW7PNNtNm368elG,spotify:track:1IyLGHhBW7PNNtNm368elG,https://api.spotify.com/v1/tracks/1IyLGHhBW7PNNtNm368elG,https://api.spotify.com/v1/audio-analysis/1IyLGHhBW7PNNtNm368elG,26293,1,0
0.449,0.0384,3,-28.588,1,0.073,0.995,0.913,0.107,0.216,69.529,audio_features,5P8WnjAczdwtGl2QMww6VA,spotify:track:5P8WnjAczdwtGl2QMww6VA,https://api.spotify.com/v1/tracks/5P8WnjAczdwtGl2QMww6VA,https://api.spotify.com/v1/audio-analysis/5P8WnjAczdwtGl2QMww6VA,73440,3,31
