danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.274,0.108,9,-22.188,1,0.0456,0.949,0.854,0.0562,0.125,107.023,audio_features,59YiIzi4C1KJwClBBRFucR,spotify:track:59YiIzi4C1KJwClBBRFucR,https://api.spotify.com/v1/tracks/59YiIzi4C1KJwClBBRFucR,https://api.spotify.com/v1/audio-analysis/59YiIzi4C1KJwClBBRFucR,386987,4,29
0.092,0.0106,5,-28.155,1,0.0461,0.92,0.0884,0.0815,0.0372,78.6,audio_features,6isDzR44hlAYRkeVP23nC3,spotify:track:6isDzR44hlAYRkeVP23nC3,https://api.spotify.com/v1/tracks/6isDzR44hlAYRkeVP23nC3,https://api.spotify.com/v1/audio-analysis/6isDzR44hlAYRkeVP23nC3,985400,4,27
0.356,0.207,10,-17.76,1,0.0388,0.95,0.914,0.0802,0.328,146.755,audio_features,1SHixA41Vy0TTlJJSX9Gbo,spotify:track:1SHixA41Vy0TTlJJSX9Gbo,https://api.spotify.com/v1/tracks/1SHixA41Vy0TTlJJSX9Gbo,https://api.spotify.com/v1/audio-analysis/1SHixA41Vy0TTlJJSX9Gbo,431787,4,44
0.355,0.245,7,-16.943,0,0.0565,0.913,0.689,0.109,0.0953,117.317,audio_features,1d0g5Ae4uSvaf4bTMxPR5h,spotify:track:1d0g5Ae4uSvaf4bTMxPR5h,https://api.spotify.com/v1/tracks/1d0g5Ae4uSvaf4bTMxPR5h,https://api.spotify.com/v1/audio-analysis/1d0g5Ae4uSvaf4bTMxPR5h,613133,4,30
0.13,0.172,9,-18.27,0,0.0595,0.906,0.835,0.0943,0.0581,74.091,audio_features,0YMFqtRCxlAEBi6K1opnvP,spotify:track:0YMFqtRCxlAEBi6K1opnvP,https://api.spotify.com/v1/tracks/0YMFqtRCxlAEBi6K1opnvP,https://api.spotify.com/v1/audio-analysis/0YMFqtRCxlAEBi6K1opnvP,901973,3,27
0.388,0.222,5,-18.925,1,0.0507,0.931,0.924,0.152,0.335,134.823,audio_features,0j07MBosPO2VZBdAlWIFLs,spotify:track:0j07MBosPO2VZBdAlWIFLs,https://api.spotify.com/v1/tracks/0j07MBosPO2VZBdAlWIFLs,https://api.spotify.com/v1/audio-analysis/0j07MBosPO2VZBdAlWIFLs,250720,4,26
0.105,0.038,9,-22.637,1,0.047,0.962,0.823,0.109,0.0418,69.375,audio_features,3aOye07ofDu6Lyl0BpocN3,spotify:track:3aOye07ofDu6Lyl0BpocN3,https://api.spotify.com/v1/tracks/3aOye07ofDu6Lyl0BpocN3,https://api.spotify.com/v1/audio-analysis/3aOye07ofDu6Lyl0BpocN3,536120,4,26
0.349,0.205,9,-16.811,0,0.0446,0.924,0.849,0.0808,0.224,121.535,audio_features,0MkzBzrq5g929Dk3NZcsuE,spotify:track:0MkzBzrq5g929Dk3NZcsuE,https://api.spotify.com/v1/tracks/0MkzBzrq5g929Dk3NZcsuE,https://api.spotify.com/v1/audio-analysis/0MkzBzrq5g929Dk3NZcsuE,578625,4,26
0.343,0.133,7,-18.721,0,0.034,0.962,0.808,0.0988,0.191,96.891,audio_features,3PM3acBhUaj2bIeHu3BxYY,spotify:track:3PM3acBhUaj2bIeHu3BxYY,https://api.spotify.com/v1/tracks/3PM3acBhUaj2bIeHu3BxYY,https://api.spotify.com/v1/audio-analysis/3PM3acBhUaj2bIeHu3BxYY,529307,4,25
0.0903,0.038,3,-23.514,1,0.0385,0.971,0.882,0.111,0.048,85.184,audio_features,4caRxA3WAlAgD9Y2kqsRc5,spotify:track:4caRxA3WAlAgD9Y2kqsRc5,https://api.spotify.com/v1/tracks/4caRxA3WAlAgD9Y2kqsRc5,https://api.spotify.com/v1/audio-analysis/4caRxA3WAlAgD9Y2kqsRc5,566573,3,34
