danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.294,0.051,9,-28.207,0,0.0582,0.975,0.000698,0.665,0.0372,122.85,audio_features,43dsFFyq7JYPN8SJygpweE,spotify:track:43dsFFyq7JYPN8SJygpweE,https://api.spotify.com/v1/tracks/43dsFFyq7JYPN8SJygpweE,https://api.spotify.com/v1/audio-analysis/43dsFFyq7JYPN8SJygpweE,359352,3,17
0.121,0.0943,1,-15.267,1,0.0427,0.942,0.408,0.241,0.0314,85.095,audio_features,1jk1eEBDeuIuvuIbKmnhMI,spotify:track:1jk1eEBDeuIuvuIbKmnhMI,https://api.spotify.com/v1/tracks/1jk1eEBDeuIuvuIbKmnhMI,https://api.spotify.com/v1/audio-analysis/1jk1eEBDeuIuvuIbKmnhMI,275528,4,22
0.27,0.0614,3,-23.329,1,0.0449,0.98,0.00434,0.148,0.0861,98.592,audio_features,2Z088O7SZC87DBKZvChCFi,spotify:track:2Z088O7SZC87DBKZvChCFi,https://api.spotify.com/v1/tracks/2Z088O7SZC87DBKZvChCFi,https://api.spotify.com/v1/audio-analysis/2Z088O7SZC87DBKZvChCFi,293067,4,22
0.226,0.111,7,-25.836,0,0.0635,0.97,0.000167,0.19,0.0377,75.184,audio_features,72WfkUI9gFPplj31KxHRfc,spotify:track:72WfkUI9gFPplj31KxHRfc,https://api.spotify.com/v1/tracks/72WfkUI9gFPplj31KxHRfc,https://api.spotify.com/v1/audio-analysis/72WfkUI9gFPplj31KxHRfc,419573,3,20
0.182,0.0232,5,-33.688,1,0.0355,0.863,0.125,0.0923,0.0614,139.557,audio_features,4gSReSG7whtyRzI2pEHNeE,spotify:track:4gSReSG7whtyRzI2pEHNeE,https://api.spotify.com/v1/tracks/4gSReSG7whtyRzI2pEHNeE,https://api.spotify.com/v1/audio-analysis/4gSReSG7whtyRzI2pEHNeE,199160,3,0
0.297,0.32,9,-11.805,0,0.0419,0.957,0.000453,0.157,0.109,102.267,audio_features,0ye6BcI9xR5fEVDiFVE77X,spotify:track:0ye6BcI9xR5fEVDiFVE77X,https://api.spotify.com/v1/tracks/0ye6BcI9xR5fEVDiFVE77X,https://api.spotify.com/v1/audio-analysis/0ye6BcI9xR5fEVDiFVE77X,174453,4,19
0.195,0.41,7,-15.794,1,0.0707,0.87,0.092,0.0809,0.116,105.317,audio_features,1FedEIGRWkQPmveLJLoLmO,spotify:track:1FedEIGRWkQPmveLJLoLmO,https://api.spotify.com/v1/tracks/1FedEIGRWkQPmveLJLoLmO,https://api.spotify.com/v1/audio-analysis/1FedEIGRWkQPmveLJLoLmO,246333,3,17
0.191,0.175,6,-17.968,1,0.0388,0.971,0.0234,0.401,0.0397,86.613,audio_features,6RuqArvzxOB22IZk5IA086,spotify:track:6RuqArvzxOB22IZk5IA086,https://api.spotify.com/v1/tracks/6RuqArvzxOB22IZk5IA086,https://api.spotify.com/v1/audio-analysis/6RuqArvzxOB22IZk5IA086,299305,4,16
0.258,0.129,9,-20.432,0,0.0557,0.985,0.000178,0.682,0.0395,78.61,audio_features,54CyOWtY4JUNB2OSNct0js,spotify:track:54CyOWtY4JUNB2OSNct0js,https://api.spotify.com/v1/tracks/54CyOWtY4JUNB2OSNct0js,https://api.spotify.com/v1/audio-analysis/54CyOWtY4JUNB2OSNct0js,349160,4,29
0.228,0.269,1,-14.584,1,0.05,0.962,3.28e-05,0.0986,0.237,78.117,audio_features,7zmvpWFzdzbsDBu8w3KD10,spotify:track:7zmvpWFzdzbsDBu8w3KD10,https://api.spotify.com/v1/tracks/7zmvpWFzdzbsDBu8w3KD10,https://api.spotify.com/v1/audio-analysis/7zmvpWFzdzbsDBu8w3KD10,233040,4,22
