danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.384,0.467,1,-11.747,1,0.0341,0.931,0.918,0.0883,0.66,108.888,audio_features,0auLu5W8XB64BnHZYvZPt3,spotify:track:0auLu5W8XB64BnHZYvZPt3,https://api.spotify.com/v1/tracks/0auLu5W8XB64BnHZYvZPt3,https://api.spotify.com/v1/audio-analysis/0auLu5W8XB64BnHZYvZPt3,127053,4,25
0.29,0.0401,6,-25.373,1,0.0556,0.97,0.932,0.109,0.5,84.804,audio_features,7fBhShZA5DxPRlkwT7f3wM,spotify:track:7fBhShZA5DxPRlkwT7f3wM,https://api.spotify.com/v1/tracks/7fBhShZA5DxPRlkwT7f3wM,https://api.spotify.com/v1/audio-analysis/7fBhShZA5DxPRlkwT7f3wM,221067,4,24
0.373,0.0529,1,-20.122,0,0.036,0.713,0.52,0.107,0.483,97.377,audio_features,5TLI2Zez1KvXru9DHYC99Z,spotify:track:5TLI2Zez1KvXru9DHYC99Z,https://api.spotify.com/v1/tracks/5TLI2Zez1KvXru9DHYC99Z,https://api.spotify.com/v1/audio-analysis/5TLI2Zez1KvXru9DHYC99Z,98307,3,26
0.254,0.101,9,-24.018,0,0.0427,0.95,0.414,0.0986,0.287,78.795,audio_features,0ZwaiesNhqUe9CiVilb9ux,spotify:track:0ZwaiesNhqUe9CiVilb9ux,https://api.spotify.com/v1/tracks/0ZwaiesNhqUe9CiVilb9ux,https://api.spotify.com/v1/audio-analysis/0ZwaiesNhqUe9CiVilb9ux,165200,4,26
0.404,0.568,2,-12.811,1,0.0335,0.857,0.897,0.0557,0.797,146.642,audio_features,0frQ5ioTJYVLWnDFj2XY6P,spotify:track:0frQ5ioTJYVLWnDFj2XY6P,https://api.spotify.com/v1/tracks/0frQ5ioTJYVLWnDFj2XY6P,https://api.spotify.com/v1/audio-analysis/0frQ5ioTJYVLWnDFj2XY6P,174667,4,25
0.311,0.125,1,-22.717,1,0.0469,0.821,2.19e-05,0.0904,0.34,121.297,audio_features,4TGa5W6FfMUP1RE84BIYJr,spotify:track:4TGa5W6FfMUP1RE84BIYJr,https://api.spotify.com/v1/tracks/4TGa5W6FfMUP1RE84BIYJr,https://api.spotify.com/v1/audio-analysis/4TGa5W6FfMUP1RE84BIYJr,339533,3,24
0.369,0.0664,0,-22.577,1,0.0513,0.943,0.743,0.162,0.288,152.076,audio_features,55TIur1VMQOXxYTaAcMkCE,spotify:track:55TIur1VMQOXxYTaAcMkCE,https://api.spotify.com/v1/tracks/55TIur1VMQOXxYTaAcMkCE,https://api.spotify.com/v1/audio-analysis/55TIur1VMQOXxYTaAcMkCE,240800,4,25
0.465,0.144,1,-16.721,1,0.0417,0.964,0.905,0.102,0.246,126.485,audio_features,46Ks4brAOHAhyq9Ps2Qg9V,spotify:track:46Ks4brAOHAhyq9Ps2Qg9V,https://api.spotify.com/v1/tracks/46Ks4brAOHAhyq9Ps2Qg9V,https://api.spotify.com/v1/audio-analysis/46Ks4brAOHAhyq9Ps2Qg9V,267773,4,1
0.346,0.189,7,-14.835,0,0.0438,0.891,0.842,0.223,0.0595,130.734,audio_features,4KXhufKFp48I4AOamp0aO5,spotify:track:4KXhufKFp48I4AOamp0aO5,https://api.spotify.com/v1/tracks/4KXhufKFp48I4AOamp0aO5,https://api.spotify.com/v1/audio-analysis/4KXhufKFp48I4AOamp0aO5,661667,4,23
0.41,0.424,0,-14.803,1,0.0975,0.787,0.48,0.0807,0.119,136.792,audio_features,7dfwCZCBoM7HNAUUu170IZ,spotify:track:7dfwCZCBoM7HNAUUu170IZ,https://api.spotify.com/v1/tracks/7dfwCZCBoM7HNAUUu170IZ,https://api.spotify.com/v1/audio-analysis/7dfwCZCBoM7HNAUUu170IZ,331640,3,24
0.233,0.153,6,-14.08,0,0.0462,0.993,0.844,0.0607,0.334,77.006,audio_features,6Y44dF7imG5uM719odQr7a,spotify:track:6Y44dF7imG5uM719odQr7a,https://api.spotify.com/v1/tracks/6Y44dF7imG5uM719odQr7a,https://api.spotify.com/v1/audio-analysis/6Y44dF7imG5uM719odQr7a,498280,4,24
0.292,0.164,1,-17.792,1,0.0342,0.912,0.0296,0.177,0.284,149.46,audio_features,7125Z776uNesKF0pNYU3lU,spotify:track:7125Z776uNesKF0pNYU3lU,https://api.spotify.com/v1/tracks/7125Z776uNesKF0pNYU3lU,https://api.spotify.com/v1/audio-analysis/7125Z776uNesKF0pNYU3lU,377200,4,48
0.112,0.0761,9,-19.512,1,0.0431,0.995,0.889,0.147,0.0541,71.449,audio_features,7twovNbVgrmvBvaJPgQ8Pv,spotify:track:7twovNbVgrmvBvaJPgQ8Pv,https://api.spotify.com/v1/tracks/7twovNbVgrmvBvaJPgQ8Pv,https://api.spotify.com/v1/audio-analysis/7twovNbVgrmvBvaJPgQ8Pv,156493,3,21
0.336,0.288,1,-16.583,0,0.0371,0.699,0.816,0.0798,0.342,133.384,audio_features,3mj5Fa5ge2fMoVnuMMPaUX,spotify:track:3mj5Fa5ge2fMoVnuMMPaUX,https://api.spotify.com/v1/tracks/3mj5Fa5ge2fMoVnuMMPaUX,https://api.spotify.com/v1/audio-analysis/3mj5Fa5ge2fMoVnuMMPaUX,200133,4,19
0.419,0.15,0,-22.141,1,0.0607,0.96,0.699,0.0649,0.152,124.922,audio_features,2zKNKRLCF43XgfOG2SQkhy,spotify:track:2zKNKRLCF43XgfOG2SQkhy,https://api.spotify.com/v1/tracks/2zKNKRLCF43XgfOG2SQkhy,https://api.spotify.com/v1/audio-analysis/2zKNKRLCF43XgfOG2SQkhy,364507,4,0
0.233,0.133,7,-19.906,0,0.0359,0.781,0.0574,0.143,0.353,98.117,audio_features,75C2AxnLT9M3nTsPwMJybn,spotify:track:75C2AxnLT9M3nTsPwMJybn,https://api.spotify.com/v1/tracks/75C2AxnLT9M3nTsPwMJybn,https://api.spotify.com/v1/audio-analysis/75C2AxnLT9M3nTsPwMJybn,138160,3,24
0.161,0.0706,4,-24.192,0,0.0424,0.97,0.501,0.102,0.066,81.964,audio_features,4eI71zVuB3arIeKYPqwGEy,spotify:track:4eI71zVuB3arIeKYPqwGEy,https://api.spotify.com/v1/tracks/4eI71zVuB3arIeKYPqwGEy,https://api.spotify.com/v1/audio-analysis/4eI71zVuB3arIeKYPqwGEy,512360,3,23
0.303,0.204,6,-17.186,0,0.0341,0.97,0.592,0.114,0.137,92.808,audio_features,0hyzV8WhMY4SJAiZmCIWrh,spotify:track:0hyzV8WhMY4SJAiZmCIWrh,https://api.spotify.com/v1/tracks/0hyzV8WhMY4SJAiZmCIWrh,https://api.spotify.com/v1/audio-analysis/0hyzV8WhMY4SJAiZmCIWrh,286000,3,21
0.395,0.241,11,-16.367,1,0.0379,0.942,0.25,0.113,0.467,141.108,audio_features,7J1GLXjM0LAW3MMG0wEMFi,spotify:track:7J1GLXjM0LAW3MMG0wEMFi,https://api.spotify.com/v1/tracks/7J1GLXjM0LAW3MMG0wEMFi,https://api.spotify.com/v1/audio-analysis/7J1GLXjM0LAW3MMG0wEMFi,342307,3,29
0.244,0.0875,9,-22.125,1,0.0439,0.962,0.222,0.157,0.154,82.912,audio_features,5mo317InZSSLJklWbZJpG2,spotify:track:5mo317InZSSLJklWbZJpG2,https://api.spotify.com/v1/tracks/5mo317InZSSLJklWbZJpG2,https://api.spotify.com/v1/audio-analysis/5mo317InZSSLJklWbZJpG2,344827,4,22
0.538,0.153,9,-25.783,1,0.034,0.886,0.962,0.168,0.733,126.479,audio_features,6ILLyEdChwHelVSdZxSCFo,spotify:track:6ILLyEdChwHelVSdZxSCFo,https://api.spotify.com/v1/tracks/6ILLyEdChwHelVSdZxSCFo,https://api.spotify.com/v1/audio-analysis/6ILLyEdChwHelVSdZxSCFo,174000,4,18
0.487,0.137,11,-20.428,0,0.0386,0.973,0.554,0.11,0.488,115.934,audio_features,09qQfhQULBsLFebNk3Yz31,spotify:track:09qQfhQULBsLFebNk3Yz31,https://api.spotify.com/v1/tracks/09qQfhQULBsLFebNk3Yz31,https://api.spotify.com/v1/audio-analysis/09qQfhQULBsLFebNk3Yz31,404640,3,21
0.38,0.101,3,-25.009,1,0.0522,0.424,0.0161,0.134,0.0898,83.858,audio_features,4eV1U4DHtcoqANZce6Sf8q,spotify:track:4eV1U4DHtcoqANZce6Sf8q,https://api.spotify.com/v1/tracks/4eV1U4DHtcoqANZce6Sf8q,https://api.spotify.com/v1/audio-analysis/4eV1U4DHtcoqANZce6Sf8q,107533,4,36
0.376,0.0976,2,-20.285,1,0.0666,0.972,0.567,0.21,0.157,145.736,audio_features,6L83HrN0DlGfadSFTyFlGD,spotify:track:6L83HrN0DlGfadSFTyFlGD,https://api.spotify.com/v1/tracks/6L83HrN0DlGfadSFTyFlGD,https://api.spotify.com/v1/audio-analysis/6L83HrN0DlGfadSFTyFlGD,536667,3,16
0.117,0.0269,1,-31.926,1,0.0426,0.446,0.0325,0.0998,0.107,71.91,audio_features,0dppsv6H6jWnrnHKvjxY4w,spotify:track:0dppsv6H6jWnrnHKvjxY4w,https://api.spotify.com/v1/tracks/0dppsv6H6jWnrnHKvjxY4w,https://api.spotify.com/v1/audio-analysis/0dppsv6H6jWnrnHKvjxY4w,257200,4,20
0.184,0.0129,6,-28.281,0,0.0489,0.982,0.000807,0.124,0.0372,173.251,audio_features,1r1T2dpx5ZwxLQmxfIebAa,spotify:track:1r1T2dpx5ZwxLQmxfIebAa,https://api.spotify.com/v1/tracks/1r1T2dpx5ZwxLQmxfIebAa,https://api.spotify.com/v1/audio-analysis/1r1T2dpx5ZwxLQmxfIebAa,710250,3,18
0.329,0.0305,1,-30.05,0,0.0587,0.95,0.903,0.111,0.308,76.866,audio_features,56FpYaRnNQQxdBEzRb7otj,spotify:track:56FpYaRnNQQxdBEzRb7otj,https://api.spotify.com/v1/tracks/56FpYaRnNQQxdBEzRb7otj,https://api.spotify.com/v1/audio-analysis/56FpYaRnNQQxdBEzRb7otj,238640,3,24
0.571,0.0125,4,-35.335,1,0.0458,0.98,0.903,0.0857,0.798,98.705,audio_features,5yZ5HMWfTbZwzq3Bh6vh9v,spotify:track:5yZ5HMWfTbZwzq3Bh6vh9v,https://api.spotify.com/v1/tracks/5yZ5HMWfTbZwzq3Bh6vh9v,https://api.spotify.com/v1/audio-analysis/5yZ5HMWfTbZwzq3Bh6vh9v,143000,3,18
0.179,0.0768,3,-20.97,1,0.037,0.903,0.0552,0.0964,0.204,85.806,audio_features,6gXnHRMLjqP2OLGmOMzm3C,spotify:track:6gXnHRMLjqP2OLGmOMzm3C,https://api.spotify.com/v1/tracks/6gXnHRMLjqP2OLGmOMzm3C,https://api.spotify.com/v1/audio-analysis/6gXnHRMLjqP2OLGmOMzm3C,194347,3,19
0.499,0.377,6,-14.46,0,0.031,0.972,0.00322,0.26,0.514,112.498,audio_features,23S4SKIgyKUWOGyL87jZcX,spotify:track:23S4SKIgyKUWOGyL87jZcX,https://api.spotify.com/v1/tracks/23S4SKIgyKUWOGyL87jZcX,https://api.spotify.com/v1/audio-analysis/23S4SKIgyKUWOGyL87jZcX,128653,4,16
0.325,0.101,9,-20.441,1,0.0591,0.911,0.612,0.286,0.076,80.153,audio_features,3xn3q6fAT3AVz6vo7d4fm6,spotify:track:3xn3q6fAT3AVz6vo7d4fm6,https://api.spotify.com/v1/tracks/3xn3q6fAT3AVz6vo7d4fm6,https://api.spotify.com/v1/audio-analysis/3xn3q6fAT3AVz6vo7d4fm6,490280,4,18
0.223,0.141,8,-18.204,1,0.0495,0.835,1.24e-05,0.0951,0.149,81.088,audio_features,6JmeFtxB90jKkcYabhbd6r,spotify:track:6JmeFtxB90jKkcYabhbd6r,https://api.spotify.com/v1/tracks/6JmeFtxB90jKkcYabhbd6r,https://api.spotify.com/v1/audio-analysis/6JmeFtxB90jKkcYabhbd6r,437360,4,20
