danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.235,0.166,5,-19.632,1,0.0347,0.992,0.87,0.101,0.0356,101.182,audio_features,5bi8ryL6gy6a1BRXOf43y9,spotify:track:5bi8ryL6gy6a1BRXOf43y9,https://api.spotify.com/v1/tracks/5bi8ryL6gy6a1BRXOf43y9,https://api.spotify.com/v1/audio-analysis/5bi8ryL6gy6a1BRXOf43y9,295560,4,56
0.26,0.127,7,-24.262,0,0.0374,0.994,0.889,0.193,0.156,93.212,audio_features,4qbSuzwPH7zCccF2RSaIeq,spotify:track:4qbSuzwPH7zCccF2RSaIeq,https://api.spotify.com/v1/tracks/4qbSuzwPH7zCccF2RSaIeq,https://api.spotify.com/v1/audio-analysis/4qbSuzwPH7zCccF2RSaIeq,570933,3,38
0.289,0.27,5,-15.952,1,0.0441,0.737,0.00272,0.909,0.186,123.565,audio_features,4i4rnJoveCYiMeAhdCDmUc,spotify:track:4i4rnJoveCYiMeAhdCDmUc,https://api.spotify.com/v1/tracks/4i4rnJoveCYiMeAhdCDmUc,https://api.spotify.com/v1/audio-analysis/4i4rnJoveCYiMeAhdCDmUc,334613,4,42
0.245,0.0466,10,-29.679,1,0.0465,0.993,0.882,0.0981,0.178,151.059,audio_features,3jLui4jomVtV5IIxVdlXc6,spotify:track:3jLui4jomVtV5IIxVdlXc6,https://api.spotify.com/v1/tracks/3jLui4jomVtV5IIxVdlXc6,https://api.spotify.com/v1/audio-analysis/3jLui4jomVtV5IIxVdlXc6,328320,4,48
0.191,0.0368,0,-31.484,1,0.0439,0.943,0.372,0.0456,0.0615,130.415,audio_features,7JMfliSVdzjguSULo2VPUD,spotify:track:7JMfliSVdzjguSULo2VPUD,https://api.spotify.com/v1/tracks/7JMfliSVdzjguSULo2VPUD,https://api.spotify.com/v1/audio-analysis/7JMfliSVdzjguSULo2VPUD,202733,3,54
0.156,0.0409,5,-24.019,1,0.0442,0.985,0.501,0.159,0.0866,88.872,audio_features,6eroVYWZLEXyLqiqfmIfK9,spotify:track:6eroVYWZLEXyLqiqfmIfK9,https://api.spotify.com/v1/tracks/6eroVYWZLEXyLqiqfmIfK9,https://api.spotify.com/v1/audio-analysis/6eroVYWZLEXyLqiqfmIfK9,430947,4,43
0.0811,0.0122,4,-32.654,0,0.0511,0.902,0.308,0.0648,0.0384,74.554,audio_features,2kAgCRZPG3YQR2VMqRvLmb,spotify:track:2kAgCRZPG3YQR2VMqRvLmb,https://api.spotify.com/v1/tracks/2kAgCRZPG3YQR2VMqRvLmb,https://api.spotify.com/v1/audio-analysis/2kAgCRZPG3YQR2VMqRvLmb,935360,4,53
0.399,0.105,2,-26.116,0,0.0413,0.994,0.95,0.0809,0.283,118.63,audio_features,4PQkHn09HnFt4vXCX1Pexo,spotify:track:4PQkHn09HnFt4vXCX1Pexo,https://api.spotify.com/v1/tracks/4PQkHn09HnFt4vXCX1Pexo,https://api.spotify.com/v1/audio-analysis/4PQkHn09HnFt4vXCX1Pexo,210507,4,43
0.696,0.519,0,-10.602,0,0.0444,0.974,0.894,0.304,0.208,97.606,audio_features,0jPTADjTDjhVuG5Z3HFczW,spotify:track:0jPTADjTDjhVuG5Z3HFczW,https://api.spotify.com/v1/tracks/0jPTADjTDjhVuG5Z3HFczW,https://api.spotify.com/v1/audio-analysis/0jPTADjTDjhVuG5Z3HFczW,357427,4,37
0.655,0.103,4,-30.665,0,0.0763,0.952,0,0.247,0.964,101.981,audio_features,1s8QldGAhEcobxBdtjUhPf,spotify:track:1s8QldGAhEcobxBdtjUhPf,https://api.spotify.com/v1/tracks/1s8QldGAhEcobxBdtjUhPf,https://api.spotify.com/v1/audio-analysis/1s8QldGAhEcobxBdtjUhPf,175347,3,41
