danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.529,0.426,5,-14.849,1,0.0359,0.772,0.938,0.0858,0.68,89.956,audio_features,0UGooyHfCGp5X9UqAMyJzz,spotify:track:0UGooyHfCGp5X9UqAMyJzz,https://api.spotify.com/v1/tracks/0UGooyHfCGp5X9UqAMyJzz,https://api.spotify.com/v1/audio-analysis/0UGooyHfCGp5X9UqAMyJzz,282293,4,36
0.604,0.127,9,-19.603,0,0.0652,0.981,0.8,0.0842,0.883,86.759,audio_features,2Wfz5GJm1xKbVpw04D9Mdp,spotify:track:2Wfz5GJm1xKbVpw04D9Mdp,https://api.spotify.com/v1/tracks/2Wfz5GJm1xKbVpw04D9Mdp,https://api.spotify.com/v1/audio-analysis/2Wfz5GJm1xKbVpw04D9Mdp,402947,4,33
0.513,0.398,0,-15.17,1,0.0622,0.645,0.104,0.119,0.689,122.627,audio_features,0C5C53p7RtuzFqjLLd8Vmo,spotify:track:0C5C53p7RtuzFqjLLd8Vmo,https://api.spotify.com/v1/tracks/0C5C53p7RtuzFqjLLd8Vmo,https://api.spotify.com/v1/audio-analysis/0C5C53p7RtuzFqjLLd8Vmo,266107,4,31
0.241,0.168,11,-18.534,0,0.0354,0.981,0.901,0.125,0.072,139.168,audio_features,3RairptytDSeZorvNIEnvv,spotify:track:3RairptytDSeZorvNIEnvv,https://api.spotify.com/v1/tracks/3RairptytDSeZorvNIEnvv,https://api.spotify.com/v1/audio-analysis/3RairptytDSeZorvNIEnvv,348160,5,27
0.749,0.608,9,-7.505,0,0.0335,0.923,0.853,0.0765,0.77,154.978,audio_features,4KLOGWpuHolEqwvS7P4Llx,spotify:track:4KLOGWpuHolEqwvS7P4Llx,https://api.spotify.com/v1/tracks/4KLOGWpuHolEqwvS7P4Llx,https://api.spotify.com/v1/audio-analysis/4KLOGWpuHolEqwvS7P4Llx,239587,4,29
0.573,0.54,0,-11.167,1,0.132,0.804,0.000476,0.095,0.609,124.064,audio_features,5O08brHkNx7bnJ4fv3kwpQ,spotify:track:5O08brHkNx7bnJ4fv3kwpQ,https://api.spotify.com/v1/tracks/5O08brHkNx7bnJ4fv3kwpQ,https://api.spotify.com/v1/audio-analysis/5O08brHkNx7bnJ4fv3kwpQ,320067,3,28
0.412,0.354,11,-21.184,0,0.0548,0.86,0.882,0.117,0.351,165.191,audio_features,72OHkpnaQr7qeoEw8b2uvt,spotify:track:72OHkpnaQr7qeoEw8b2uvt,https://api.spotify.com/v1/tracks/72OHkpnaQr7qeoEw8b2uvt,https://api.spotify.com/v1/audio-analysis/72OHkpnaQr7qeoEw8b2uvt,225267,4,26
0.235,0.115,7,-19.393,0,0.0425,0.97,0.0102,0.156,0.156,91.987,audio_features,1X4gQ8UInfX8wZi1qu3PqQ,spotify:track:1X4gQ8UInfX8wZi1qu3PqQ,https://api.spotify.com/v1/tracks/1X4gQ8UInfX8wZi1qu3PqQ,https://api.spotify.com/v1/audio-analysis/1X4gQ8UInfX8wZi1qu3PqQ,430427,3,30
0.199,0.0639,1,-30.24,1,0.0484,0.992,0.925,0.103,0.376,182.389,audio_features,6UeYHIeYiPWYYWmDfkjyqy,spotify:track:6UeYHIeYiPWYYWmDfkjyqy,https://api.spotify.com/v1/tracks/6UeYHIeYiPWYYWmDfkjyqy,https://api.spotify.com/v1/audio-analysis/6UeYHIeYiPWYYWmDfkjyqy,181000,3,23
0.408,0.385,7,-9.105,1,0.0314,0.172,0.869,0.0755,0.239,108.099,audio_features,2G3eDzmZWKB2On8ywcQPsS,spotify:track:2G3eDzmZWKB2On8ywcQPsS,https://api.spotify.com/v1/tracks/2G3eDzmZWKB2On8ywcQPsS,https://api.spotify.com/v1/audio-analysis/2G3eDzmZWKB2On8ywcQPsS,202215,4,27
