danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.145,0.0238,7,-29.862,1,0.0381,0.967,0.943,0.116,0.0382,81.076,audio_features,5fFuM36Nh03xtiwZQtMaI7,spotify:track:5fFuM36Nh03xtiwZQtMaI7,https://api.spotify.com/v1/tracks/5fFuM36Nh03xtiwZQtMaI7,https://api.spotify.com/v1/audio-analysis/5fFuM36Nh03xtiwZQtMaI7,251920,3,38
0.169,0.0281,7,-29.439,0,0.0496,0.947,0.699,0.221,0.0349,114.454,audio_features,6dPuX5zBBexB2AA42isx2d,spotify:track:6dPuX5zBBexB2AA42isx2d,https://api.spotify.com/v1/tracks/6dPuX5zBBexB2AA42isx2d,https://api.spotify.com/v1/audio-analysis/6dPuX5zBBexB2AA42isx2d,170280,5,31
0.0667,0.0287,7,-27.475,0,0.0464,0.92,0.939,0.179,0.0311,73.283,audio_features,5HDNrfDZXJpCLSKxB4npUB,spotify:track:5HDNrfDZXJpCLSKxB4npUB,https://api.spotify.com/v1/tracks/5HDNrfDZXJpCLSKxB4npUB,https://api.spotify.com/v1/audio-analysis/5HDNrfDZXJpCLSKxB4npUB,263253,4,33
0.07,0.0724,4,-25.949,0,0.0404,0.946,0.896,0.286,0.0369,75.52,audio_features,5CBzaWVsJgl4DD1oNInz9b,spotify:track:5CBzaWVsJgl4DD1oNInz9b,https://api.spotify.com/v1/tracks/5CBzaWVsJgl4DD1oNInz9b,https://api.spotify.com/v1/audio-analysis/5CBzaWVsJgl4DD1oNInz9b,327600,4,34
0.0595,0.016,10,-26.213,1,0.0431,0.907,0.906,0.0725,0.0258,45.432,audio_features,7Ba00YnE1a62xyOor3RxRV,spotify:track:7Ba00YnE1a62xyOor3RxRV,https://api.spotify.com/v1/tracks/7Ba00YnE1a62xyOor3RxRV,https://api.spotify.com/v1/audio-analysis/7Ba00YnE1a62xyOor3RxRV,206467,4,29
0.0816,0.00119,7,-32.004,1,0.0474,0.766,0.911,0.118,0.0636,85.401,audio_features,0lhBWz4a7Er6cm5uMnLsZr,spotify:track:0lhBWz4a7Er6cm5uMnLsZr,https://api.spotify.com/v1/tracks/0lhBWz4a7Er6cm5uMnLsZr,https://api.spotify.com/v1/audio-analysis/0lhBWz4a7Er6cm5uMnLsZr,292133,4,21
0.0709,0.0208,0,-28.619,0,0.0516,0.931,0.887,0.113,0.033,77.586,audio_features,0oXGXuLj1o3sZsdsPCBEBa,spotify:track:0oXGXuLj1o3sZsdsPCBEBa,https://api.spotify.com/v1/tracks/0oXGXuLj1o3sZsdsPCBEBa,https://api.spotify.com/v1/audio-analysis/0oXGXuLj1o3sZsdsPCBEBa,421013,3,31
0.11,0.00518,8,-33.504,1,0.0538,0.974,0.875,0.0918,0.0338,71.029,audio_features,3xeeyDwYEIL9IDoev7vSSK,spotify:track:3xeeyDwYEIL9IDoev7vSSK,https://api.spotify.com/v1/tracks/3xeeyDwYEIL9IDoev7vSSK,https://api.spotify.com/v1/audio-analysis/3xeeyDwYEIL9IDoev7vSSK,326387,4,29
0.0916,0.0243,9,-33.511,0,0.0459,0.936,0.903,0.0746,0.0482,67.528,audio_features,3WzB0Gq9qgO9dPym0S7iEv,spotify:track:3WzB0Gq9qgO9dPym0S7iEv,https://api.spotify.com/v1/tracks/3WzB0Gq9qgO9dPym0S7iEv,https://api.spotify.com/v1/audio-analysis/3WzB0Gq9qgO9dPym0S7iEv,184871,3,27
0.102,0.0473,1,-27.134,1,0.0454,0.88,0.932,0.177,0.035,90.58,audio_features,5QmLB5rOEM843DfCp1CXIt,spotify:track:5QmLB5rOEM843DfCp1CXIt,https://api.spotify.com/v1/tracks/5QmLB5rOEM843DfCp1CXIt,https://api.spotify.com/v1/audio-analysis/5QmLB5rOEM843DfCp1CXIt,601000,4,20
0.0764,0.0124,7,-33.296,0,0.0486,0.818,0.978,0.101,0.0371,175.13,audio_features,7IZXiCKcY5Z1B3UeVuZQYZ,spotify:track:7IZXiCKcY5Z1B3UeVuZQYZ,https://api.spotify.com/v1/tracks/7IZXiCKcY5Z1B3UeVuZQYZ,https://api.spotify.com/v1/audio-analysis/7IZXiCKcY5Z1B3UeVuZQYZ,226507,3,31
0.138,0.0272,0,-26.334,1,0.0374,0.928,0.887,0.115,0.0367,74.544,audio_features,1gbxETaP5ZEZb7mqmTHlUe,spotify:track:1gbxETaP5ZEZb7mqmTHlUe,https://api.spotify.com/v1/tracks/1gbxETaP5ZEZb7mqmTHlUe,https://api.spotify.com/v1/audio-analysis/1gbxETaP5ZEZb7mqmTHlUe,517720,4,26
0.106,0.068,9,-23.956,1,0.0424,0.863,0.778,0.0758,0.036,87.073,audio_features,3ArX4IilB32kjwWhqDN1Ce,spotify:track:3ArX4IilB32kjwWhqDN1Ce,https://api.spotify.com/v1/tracks/3ArX4IilB32kjwWhqDN1Ce,https://api.spotify.com/v1/audio-analysis/3ArX4IilB32kjwWhqDN1Ce,229320,4,31
0.152,0.0187,9,-30.822,1,0.0419,0.946,0.947,0.1,0.0399,69.175,audio_features,7jex9jHb1GW1SdBN7Z8zoK,spotify:track:7jex9jHb1GW1SdBN7Z8zoK,https://api.spotify.com/v1/tracks/7jex9jHb1GW1SdBN7Z8zoK,https://api.spotify.com/v1/audio-analysis/7jex9jHb1GW1SdBN7Z8zoK,412013,3,27
0.0684,0.0493,0,-21.583,0,0.0426,0.969,0.687,0.0726,0.0387,72.661,audio_features,7bbeMeloUYGlFmcNrhInGW,spotify:track:7bbeMeloUYGlFmcNrhInGW,https://api.spotify.com/v1/tracks/7bbeMeloUYGlFmcNrhInGW,https://api.spotify.com/v1/audio-analysis/7bbeMeloUYGlFmcNrhInGW,531067,3,10
0.0692,0.0059,9,-32.054,0,0.0411,0.912,0.384,0.097,0.0354,76.977,audio_features,36zTfsGFYJkCo4o65xiQDM,spotify:track:36zTfsGFYJkCo4o65xiQDM,https://api.spotify.com/v1/tracks/36zTfsGFYJkCo4o65xiQDM,https://api.spotify.com/v1/audio-analysis/36zTfsGFYJkCo4o65xiQDM,384360,3,21
0.0795,0.0351,2,-27.074,1,0.0382,0.891,0.399,0.106,0.035,81.943,audio_features,3j3zTAn7kcs0Y8A4v1WQoN,spotify:track:3j3zTAn7kcs0Y8A4v1WQoN,https://api.spotify.com/v1/tracks/3j3zTAn7kcs0Y8A4v1WQoN,https://api.spotify.com/v1/audio-analysis/3j3zTAn7kcs0Y8A4v1WQoN,447853,3,27
0.162,0.012,3,-31.823,1,0.0427,0.924,0.835,0.0905,0.0923,110.305,audio_features,3xt4M4CIIyXs4qDrDPVVAQ,spotify:track:3xt4M4CIIyXs4qDrDPVVAQ,https://api.spotify.com/v1/tracks/3xt4M4CIIyXs4qDrDPVVAQ,https://api.spotify.com/v1/audio-analysis/3xt4M4CIIyXs4qDrDPVVAQ,308440,4,28
0.0612,0.0128,1,-31.278,0,0.0538,0.896,0.951,0.103,0.034,66.284,audio_features,4l7Lzyif5fqMiBx46WntGk,spotify:track:4l7Lzyif5fqMiBx46WntGk,https://api.spotify.com/v1/tracks/4l7Lzyif5fqMiBx46WntGk,https://api.spotify.com/v1/audio-analysis/4l7Lzyif5fqMiBx46WntGk,384480,3,26
0.153,0.15,2,-20.125,0,0.0385,0.956,0.913,0.0694,0.13,92.796,audio_features,7AJcxe8SiFjvDNHmYiNFJC,spotify:track:7AJcxe8SiFjvDNHmYiNFJC,https://api.spotify.com/v1/tracks/7AJcxe8SiFjvDNHmYiNFJC,https://api.spotify.com/v1/audio-analysis/7AJcxe8SiFjvDNHmYiNFJC,546000,4,19
0.0976,0.0506,9,-24.669,0,0.0407,0.966,0.884,0.0843,0.0462,76.951,audio_features,5oNizCBYLxLGtflRxq2MSU,spotify:track:5oNizCBYLxLGtflRxq2MSU,https://api.spotify.com/v1/tracks/5oNizCBYLxLGtflRxq2MSU,https://api.spotify.com/v1/audio-analysis/5oNizCBYLxLGtflRxq2MSU,273987,4,26
0.16,0.0127,3,-30.71,1,0.0425,0.896,0.646,0.112,0.0344,80.732,audio_features,1m6XBPwozalfjdULM3qI7O,spotify:track:1m6XBPwozalfjdULM3qI7O,https://api.spotify.com/v1/tracks/1m6XBPwozalfjdULM3qI7O,https://api.spotify.com/v1/audio-analysis/1m6XBPwozalfjdULM3qI7O,244080,3,26
0.228,0.0391,8,-29.691,1,0.0391,0.933,0.931,0.201,0.18,92.608,audio_features,0eRCKrLhtVmvanQEYwPHl1,spotify:track:0eRCKrLhtVmvanQEYwPHl1,https://api.spotify.com/v1/tracks/0eRCKrLhtVmvanQEYwPHl1,https://api.spotify.com/v1/audio-analysis/0eRCKrLhtVmvanQEYwPHl1,179067,4,34
0.0685,0.0107,1,-28.516,1,0.041,0.957,0.958,0.089,0.0356,76.187,audio_features,0JOZf6b4ubKHIVrwnxVbXQ,spotify:track:0JOZf6b4ubKHIVrwnxVbXQ,https://api.spotify.com/v1/tracks/0JOZf6b4ubKHIVrwnxVbXQ,https://api.spotify.com/v1/audio-analysis/0JOZf6b4ubKHIVrwnxVbXQ,356307,4,27
0.323,0.104,0,-25.852,1,0.0459,0.943,0.927,0.126,0.203,128.4,audio_features,0xwFyyPV3ulT2MAgOZgfWD,spotify:track:0xwFyyPV3ulT2MAgOZgfWD,https://api.spotify.com/v1/tracks/0xwFyyPV3ulT2MAgOZgfWD,https://api.spotify.com/v1/audio-analysis/0xwFyyPV3ulT2MAgOZgfWD,330880,4,18
0.257,0.0205,8,-23.6,1,0.0453,0.968,0.798,0.116,0.0944,136.355,audio_features,4Wr74tKVJu08MuBwH1RYLM,spotify:track:4Wr74tKVJu08MuBwH1RYLM,https://api.spotify.com/v1/tracks/4Wr74tKVJu08MuBwH1RYLM,https://api.spotify.com/v1/audio-analysis/4Wr74tKVJu08MuBwH1RYLM,615000,4,16
0.14,0.0582,7,-23.044,1,0.0384,0.936,0.653,0.0984,0.0352,92.53,audio_features,4LI0NZRtfFhQLZgUAQh81w,spotify:track:4LI0NZRtfFhQLZgUAQh81w,https://api.spotify.com/v1/tracks/4LI0NZRtfFhQLZgUAQh81w,https://api.spotify.com/v1/audio-analysis/4LI0NZRtfFhQLZgUAQh81w,741267,3,16
0.0642,0.126,2,-18.812,0,0.0473,0.884,0.874,0.0953,0.0384,59.559,audio_features,4sHWJD2vUe5uV7QIQ2rogQ,spotify:track:4sHWJD2vUe5uV7QIQ2rogQ,https://api.spotify.com/v1/tracks/4sHWJD2vUe5uV7QIQ2rogQ,https://api.spotify.com/v1/audio-analysis/4sHWJD2vUe5uV7QIQ2rogQ,344240,3,32
0.0622,0.0104,8,-29.967,1,0.0427,0.981,0.907,0.0939,0.0396,68.901,audio_features,3uUMsBHXgZj3QlBFLoN8Q9,spotify:track:3uUMsBHXgZj3QlBFLoN8Q9,https://api.spotify.com/v1/tracks/3uUMsBHXgZj3QlBFLoN8Q9,https://api.spotify.com/v1/audio-analysis/3uUMsBHXgZj3QlBFLoN8Q9,344160,4,24
0.109,0.0191,5,-30.52,0,0.0421,0.952,0.882,0.0661,0.0744,85.681,audio_features,7kJI2k92cTsK8nLBJJ9Ogw,spotify:track:7kJI2k92cTsK8nLBJJ9Ogw,https://api.spotify.com/v1/tracks/7kJI2k92cTsK8nLBJJ9Ogw,https://api.spotify.com/v1/audio-analysis/7kJI2k92cTsK8nLBJJ9Ogw,458840,4,24
0.12,0.0347,1,-22.495,1,0.0399,0.973,0.79,0.0971,0.0363,85.44,audio_features,78TRnqNNejg40IoJJ8Ty6B,spotify:track:78TRnqNNejg40IoJJ8Ty6B,https://api.spotify.com/v1/tracks/78TRnqNNejg40IoJJ8Ty6B,https://api.spotify.com/v1/audio-analysis/78TRnqNNejg40IoJJ8Ty6B,285547,4,24
