danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.133,0.00155,10,-42.839,1,0.0446,0.829,0.000111,0.0916,0.126,99.782,audio_features,6t2UFULQXc3N0oO0ujaK39,spotify:track:6t2UFULQXc3N0oO0ujaK39,https://api.spotify.com/v1/tracks/6t2UFULQXc3N0oO0ujaK39,https://api.spotify.com/v1/audio-analysis/6t2UFULQXc3N0oO0ujaK39,180067,4,15
0.405,0.00371,4,-38.818,1,0.0552,0.995,0.954,0.0542,0.0326,134.076,audio_features,51wfCNQpsBZ97cLgCNTE1B,spotify:track:51wfCNQpsBZ97cLgCNTE1B,https://api.spotify.com/v1/tracks/51wfCNQpsBZ97cLgCNTE1B,https://api.spotify.com/v1/audio-analysis/51wfCNQpsBZ97cLgCNTE1B,203293,4,13
0.181,0.188,8,-19.208,1,0.0392,0.933,0.887,0.0989,0.041,74.637,audio_features,3hHWhvw2hjwfngWcFjIzqr,spotify:track:3hHWhvw2hjwfngWcFjIzqr,https://api.spotify.com/v1/tracks/3hHWhvw2hjwfngWcFjIzqr,https://api.spotify.com/v1/audio-analysis/3hHWhvw2hjwfngWcFjIzqr,507973,4,46
0.245,0.0819,5,-18.843,1,0.041,0.976,2.78e-05,0.143,0.0386,78.827,audio_features,7gtl2QIs5RTCIRIe6InDwI,spotify:track:7gtl2QIs5RTCIRIe6InDwI,https://api.spotify.com/v1/tracks/7gtl2QIs5RTCIRIe6InDwI,https://api.spotify.com/v1/audio-analysis/7gtl2QIs5RTCIRIe6InDwI,173173,3,13
0.139,0.0393,5,-21.058,1,0.0468,0.974,0.85,0.0828,0.0394,64.106,audio_features,3fRwvuSDWv8BVgUJMd6ZVR,spotify:track:3fRwvuSDWv8BVgUJMd6ZVR,https://api.spotify.com/v1/tracks/3fRwvuSDWv8BVgUJMd6ZVR,https://api.spotify.com/v1/audio-analysis/3fRwvuSDWv8BVgUJMd6ZVR,405027,5,10
0.216,0.114,2,-25.028,1,0.0418,0.883,0.138,0.0957,0.034,92.888,audio_features,3YDxbZ1OR0V73nhi4MlOs2,spotify:track:3YDxbZ1OR0V73nhi4MlOs2,https://api.spotify.com/v1/tracks/3YDxbZ1OR0V73nhi4MlOs2,https://api.spotify.com/v1/audio-analysis/3YDxbZ1OR0V73nhi4MlOs2,181880,4,10
0.0688,0.0404,8,-26.48,0,0.0398,0.904,0.887,0.137,0.0706,74.707,audio_features,4YkBUn9DfD9UCfSTpbV0uz,spotify:track:4YkBUn9DfD9UCfSTpbV0uz,https://api.spotify.com/v1/tracks/4YkBUn9DfD9UCfSTpbV0uz,https://api.spotify.com/v1/audio-analysis/4YkBUn9DfD9UCfSTpbV0uz,330840,3,10
0.125,0.0158,4,-32.258,0,0.0484,0.97,0.92,0.0892,0.0336,87.967,audio_features,1Wyt63ALdQgkiNbQ03D4MI,spotify:track:1Wyt63ALdQgkiNbQ03D4MI,https://api.spotify.com/v1/tracks/1Wyt63ALdQgkiNbQ03D4MI,https://api.spotify.com/v1/audio-analysis/1Wyt63ALdQgkiNbQ03D4MI,285653,4,9
0.101,0.0292,1,-31.949,1,0.0426,0.308,0.87,0.112,0.0288,62.929,audio_features,5D1C13JHD5kCD94O8WnXK1,spotify:track:5D1C13JHD5kCD94O8WnXK1,https://api.spotify.com/v1/tracks/5D1C13JHD5kCD94O8WnXK1,https://api.spotify.com/v1/audio-analysis/5D1C13JHD5kCD94O8WnXK1,615693,4,40
0.173,0.0637,6,-23.904,0,0.045,0.987,0.831,0.115,0.0367,73.148,audio_features,6azIjAWPiw9ITjHgJu3Y2Y,spotify:track:6azIjAWPiw9ITjHgJu3Y2Y,https://api.spotify.com/v1/tracks/6azIjAWPiw9ITjHgJu3Y2Y,https://api.spotify.com/v1/audio-analysis/6azIjAWPiw9ITjHgJu3Y2Y,297693,3,12
